Aid received % of GNI,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,3.129959741,6.191071177,3.035258809,4.78304323,5.661171623,5.25292202,3.524416838,2.375812752,2.085261549,1.895285988,1.547260289,2.377886317,3.382974534,3.159037743,2.233198783,2.872472426,2.735616968,2.836855745,2.447857667,2.793356958,0.8559005288,0.64507682,,,,,,,,,,,,,,,,,,,,,32.06398728,34.78091373,43.67975517,45.18305887,41.71158811,56.74122737,45.62845297,50.85366735,40.86766932
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2614993886,0.4428218128,0.5262594011,29.70558374,60.18231748,22.25856272,8.193209649,7.317372741,7.343555559,7.485449502,9.634406207,13.96524048,8.385470914,6.338384691,6.716672422,6.091287302,3.922788254,3.736630674,3.428467524,2.793472851,2.765577071,2.972346027,2.897306612
Algeria,11.02104561,14.73376709,18.04838104,10.19820734,7.830093228,4.786164987,4.349063626,3.271881119,3.154786349,3.082503881,2.577205113,2.402258526,1.636623806,1.447912717,0.9767880696,1.487384335,0.7847322063,0.5936387557,0.7034833676,0.3157981767,0.484744208,0.3883648618,0.3107444175,0.1996364906,0.2332016517,0.3066494201,0.2700176522,0.3285424814,0.3013017447,0.2943908142,0.553163972,0.4854999383,0.812463407,0.6732237356,0.7195937865,0.7426582974,0.6873134493,0.5392113273,0.9087468827,0.2973639276,0.383294495,0.3714270451,0.3464981007,0.364550583,0.3883838938,0.3563779629,0.2129328542,0.2942459221,0.1915560134,0.2282905356,0.1275058414
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,1.442697478,2.220858662,1.940913126,2.367328699,2.146469609,3.235521805,2.811680509,9.787297224,8.933327925,23.0094864,11.29257996,7.808384456,9.518300981,45.53969417,29.56392628,12.21114115,9.528709575,8.222437025,4.59835009,6.948426642,1.559205187,0.434816767,0.4569767374,0.5596393847,0.409184907,0.327757073
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.158382621,4.835099324,3.626684203,5.052051528,7.381824168,3.687100043,2.213168709,1.363286289,1.481199031,2.405950071,2.255815391,2.735546063,1.315934281,1.331329665,1.91224877,1.185089844,0.6918228562,0.8509490012,0.4855768751,0.7771431074,0.7710289984,1.649415755,1.709082366,1.317321835,1.133342362,1.760648167,0.7599885993,0.1895286142,0.8115169092,0.2996322684,0.5936499353,0.6764421656,0.4847855187,1.699853348
