Female long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Armenia,,,,,,,,,,,,,,,,,,,,,,30.29999924,,,,,,
Aruba,,,,,,,,,,,,,,,1,,,2.099999905,,,,,,,,,,
Australia,1.5,1.299999952,1.5,2.400000095,2.400000095,2.099999905,1.799999952,1.799999952,1.700000048,1.299999952,1.200000048,1.899999976,2.900000095,3.099999905,2.900000095,2.200000048,2,2.200000048,1.899999976,1.600000024,1.299999952,1.200000048,1.100000024,1,1,0.8000000119,0.8000000119,0.6999999881
Austria,,,,,,,,,,,,,,,1.100000024,1.5,1.5,1.5,1.700000048,1.5,1.100000024,0.8999999762,1.100000024,1,1.399999976,1.399999976,1.299999952,1.399999976
Bahamas,,,,,,,,,,,,4.900000095,6.800000191,5.699999809,6.699999809,5.599999905,6.099999905,4.5,4.300000191,3.799999952,,,,,,,,
Barbados,,,,,,,,,,,,,15.80000019,18.20000076,17,16.89999962,12,11.69999981,10,7.5,6.400000095,6.400000095,,,,,,
Belgium,,,,12.30000019,12.89999962,12.80000019,12.89999962,13.19999981,11.80000019,9.899999619,7.800000191,6.900000095,5.800000191,6.400000095,7.800000191,7.699999809,7.800000191,7.099999905,7.400000095,6.199999809,4.699999809,3.5,4.199999809,3.799999952,4,4.699999809,5.099999905,4.400000095
Belize,,,,,,,,,,,,,,7,7.900000095,10.60000038,10.80000019,12.60000038,13,13,,,,,,,,
Botswana,,,,,,,,,,,,,,,,9.100000381,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,9,9.100000381,8.100000381,6.300000191,8.5,7.900000095,8.199999809,,,,,,,,
Canada,0.400000006,0.400000006,0.6999999881,1.100000024,1.100000024,1.100000024,0.8999999762,0.6999999881,0.6000000238,0.5,0.5,0.8000000119,1.200000048,1.5,1.5,1.299999952,1.399999976,1.200000048,0.8999999762,0.6999999881,0.6000000238,0.5,0.6000000238,0.6000000238,0.5,0.6000000238,0.5,0.3000000119
Chile,,,,,,,0.8000000119,0.6999999881,0.6999999881,0.400000006,0.3000000119,0.400000006,0.8999999762,0.8000000119,1.200000048,1,,,,,,,,,,,,
Costa Rica,0.8000000119,1.399999976,2.5,2.299999952,1.299999952,1,1,1.200000048,1.299999952,0.5,0.8000000119,0.6999999881,0.8999999762,0.6999999881,0.5,0.8000000119,1,1.100000024,1.200000048,1,1,1,,,,,,
Czech Rep.,,,,,,,,,,,,,,0.8999999762,1.100000024,1.399999976,1.299999952,1.600000024,2.5,4.199999809,5.099999905,5.099999905,4.599999905,5.099999905,5.400000095,5.300000191,5,3.700000048
Denmark,,,,5,3.400000095,3.299999952,2.299999952,2,1.899999976,2.200000048,2.799999952,3.400000095,2.799999952,3,2.900000095,2.099999905,2.099999905,1.799999952,1.799999952,1.200000048,1,0.8999999762,1,1,1.200000048,1.299999952,0.8999999762,0.6999999881
Dominica,,,,,,,,,,,,,,,,,,13.10000038,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,0.6000000238,0.3000000119,,,0.3000000119,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,0.6000000238,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,4.5,4.400000095,,,,,,,,,
Finland,1.299999952,,1.299999952,0.8999999762,0.6999999881,0.8000000119,0.6000000238,0.8000000119,,0,,0.6999999881,,4.099999905,,4.800000191,4.400000095,4.099999905,3,2.700000048,2.700000048,2,1.799999952,1.799999952,1.799999952,1.799999952,1.700000048,1.399999976
France,3.200000048,3.799999952,3.700000048,4,4.800000191,5.5,5,5.699999809,5.300000191,5,4.400000095,4.199999809,4.400000095,4.400000095,5.199999809,5.599999905,5.5,5.800000191,5.800000191,5.300000191,4.900000095,3.799999952,3.299999952,3.799999952,3.900000095,4,3.900000095,3.299999952
Germany,,,,,,,,,,,,1.799999952,2.5,4,4.900000095,4.900000095,4.900000095,5.5,5.599999905,4.900000095,4.300000191,4.099999905,4.099999905,4.800000191,5.300000191,5.900000095,5.599999905,4.800000191
West Germany,,,,2.900000095,3.5,3.900000095,3.799999952,3.799999952,3.5,3.400000095,2.700000048,,,,,,,,,,,,,,,,,
Greece,,,,5,5.699999809,6.199999809,6,6.099999905,6.599999905,7,6.599999905,7,7.300000191,8.600000381,7.800000191,7.900000095,9.600000381,9.199999809,10.10000038,10.69999981,10.19999981,8.699999809,8.5,8.699999809,9.399999619,9,8,6.900000095
Hungary,,,,,,,,,,,,,1.700000048,3.599999905,3.5,4,4.300000191,3.5,3.099999905,3,2.599999905,2.200000048,2.299999952,2.400000095,2.599999905,3.200000048,3.5,3.700000048
Iceland,,,,,,,,,,,,0.3000000119,0.200000003,0.6000000238,0.8000000119,0.6999999881,0.6000000238,0.5,0.5,0.400000006,0.400000006,0.3000000119,0.3000000119,0.200000003,0.400000006,0.3000000119,0.1000000015,0.1000000015
Ireland,,,,4.199999809,5.900000095,10.10000038,10.5,10.39999962,9.899999619,9.100000381,8,8.5,7.5,7.800000191,8.199999809,6,5.800000191,4.599999905,,2.099999905,,0.8000000119,0.6999999881,1,0.8000000119,0.8000000119,1,0.8999999762
Italy,,,,8.199999809,9.699999809,10,11.30000019,10.80000019,11.69999981,11.89999962,10.60000038,10.69999981,7.5,8.800000191,9.899999619,10.39999962,11.10000038,11.10000038,9.600000381,9.800000191,9,8.100000381,7.5,7,5.099999905,5,4.599999905,3.799999952
