Female long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Jamaica,,,,,,,,,,,,,6.300000191,7,7.199999809,6.199999809,6.699999809,6.599999905,6.5,6.800000191,7.699999809,7.599999905,,,,,,
Japan,0.3000000119,0.200000003,0.3000000119,0.1000000015,0.3000000119,0.200000003,0.3000000119,0.400000006,0.400000006,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.400000006,0.3000000119,0.400000006,0.400000006,0.400000006,0.6999999881,0.8000000119,0.8000000119,1.100000024,1.200000048,1,0.8999999762,0.8000000119,0.6999999881
"Korea, Rep.",,,,,,,,,,,0,0,0.1000000015,0,0.1000000015,0.1000000015,0,0,0,0.1000000015,0,0,0,0,0,0,0,0
Latvia,,,,,,,,,,,,,,,,8.399999619,9.600000381,8.600000381,7.199999809,7.199999809,,,,,,,,
Luxembourg,,,,1.799999952,1,1.700000048,1.100000024,1.299999952,0.6000000238,0.6999999881,0.5,0.3000000119,0.5,1.100000024,1,0.8999999762,1.200000048,1.299999952,1.100000024,0.8999999762,0.6000000238,0.5,1,0.8000000119,1.399999976,1.200000048,1.600000024,0.8999999762
Mexico,,,,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0,0,0,0,0,0,0,0.1000000015,0.1000000015,0.1000000015
Namibia,,,,,,,,,,,,,,,,,,11.39999962,,,,,,,,,,
Netherlands,,,,6.599999905,,6.699999809,,7.199999809,6.699999809,5.199999809,5,4.099999905,3.299999952,3.700000048,3.799999952,3.5,3.599999905,3.299999952,2.5,1.799999952,,,0.8000000119,1.100000024,1.5,1.799999952,1.899999976,1.399999976
Netherlands Antilles,,,,,,,,,,,,,8.399999619,7.699999809,5.300000191,8.600000381,7.599999905,9.699999809,10,,,,,,,,,
New Zealand,,,,,,,0.200000003,0.200000003,0.5,0.6999999881,0.8000000119,1.600000024,2.200000048,2.099999905,1.799999952,1.100000024,0.8999999762,0.8999999762,1,1,0.6999999881,0.6000000238,0.5,0.5,0.400000006,0.200000003,0.200000003,0.200000003
Norway,,,,0.200000003,0.3000000119,0.1000000015,,0.1000000015,0.3000000119,0.3000000119,0.8999999762,1,1,1.299999952,1.200000048,0.6000000238,0.6000000238,0.400000006,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.3000000119,0.400000006,0.400000006,0.200000003
Panama,,,,,,,,,,,,5.199999809,5.400000095,4.599999905,4.400000095,5.599999905,5.099999905,4.199999809,5,3.900000095,4,5.699999809,,,,,,
Poland,,,,,,,,,,,,,5.400000095,6.300000191,7,6.5,5.900000095,5.5,5.099999905,5.199999809,7.5,9.199999809,10.89999962,10.39999962,9.800000191,10.19999981,7.800000191,4.800000191
Portugal,,,,,,,6.800000191,5.699999809,4.400000095,3.700000048,3.299999952,2.400000095,1.700000048,2.5,3.299999952,4,4.199999809,4,2.5,2.200000048,1.899999976,2,1.899999976,2.5,3.099999905,4,4.400000095,4.400000095
Romania,,,,,,,,,,,,,,,3.700000048,3.400000095,3.200000048,3.900000095,3.200000048,3.599999905,,,,,,,,
Russia,,,,,,,,,,,,,0.6000000238,0.8999999762,1.700000048,2.400000095,2.599999905,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,6,7.599999905,6.5,6.699999809,7,8.199999809,10.19999981,10.39999962,11.5,11,11.5,11.60000038,10.60000038,8.699999809
Slovenia,,,,,,,,,,,,,,3.099999905,3.299999952,,,,,,,,,,,,,
Spain,5.099999905,7.5,10.10000038,12,13.80000019,15.5,15.80000019,18.29999924,18.60000038,16.60000038,14.89999962,14,14.39999962,17.10000038,19.79999924,19.20000076,18.10000038,17,15.5,12.5,10.39999962,6.900000095,6.800000191,6.5,5.699999809,4,3.299999952,2.900000095
Sweden,0.1000000015,0.1000000015,0.3000000119,0.3000000119,0.400000006,0.3000000119,0.3000000119,0.5,0.3000000119,0.200000003,0.200000003,0.3000000119,0.6000000238,1,1.700000048,1.899999976,2.400000095,2.900000095,2.400000095,1.799999952,1.200000048,0.8999999762,0.8000000119,0.8000000119,1,,,0.6999999881
Switzerland,,,,,,,,,,,,0.400000006,0.8000000119,1,1.5,1.399999976,1.200000048,1.200000048,1.200000048,1.299999952,0.8999999762,1.200000048,0.6999999881,1.299999952,1.700000048,2,2,1.899999976
Trinidad and Tobago,,,,,,,,,,,,8.5,8.600000381,7.800000191,7.599999905,6.699999809,7.099999905,7.099999905,6.800000191,5.699999809,5.699999809,5,,,,,,
Turkey,,,,,,,,,5.599999905,4.400000095,4.300000191,3.5,3.799999952,4.800000191,4.099999905,3.400000095,3.200000048,3.700000048,3.099999905,2.599999905,1.799999952,2.299999952,3.299999952,2.900000095,4.300000191,4.800000191,4.599999905,4
United Kingdom,,,,,3.5,4.599999905,4.300000191,4.099999905,2.5,2,1.5,1.600000024,1.899999976,2.400000095,2.5,2.200000048,1.799999952,1.600000024,1.299999952,1.100000024,0.8999999762,0.8000000119,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.8999999762
United States,0.200000003,0.400000006,0.5,0.8999999762,0.6999999881,0.5,0.400000006,0.400000006,0.3000000119,0.200000003,0.200000003,0.3000000119,0.6000000238,0.6000000238,0.6000000238,0.5,0.5,0.400000006,0.3000000119,0.3000000119,0.200000003,0.3000000119,0.5,0.6000000238,0.6000000238,0.5,0.400000006,0.400000006
