Import value index (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Kuwait,,,,,,,,,,,,,,,,,,,,,91.2812631,97.37320106,115.7607936,103.045969,96.35322062,83.90387034,79.87983792,76.7779796,85.85999721,88.03968143,55.49811373,66.52228587,101.3972335,98.33729216,93.572726,108.8444879,116.9903591,115.2158726,120.4275534,106.427274,100,109.39072,125.76859,153.50755,176.49525,220.80771,222.93181,329.69536,364.16993,
Laos,,,,,,,,,,,,,,,,,,,,,17.18726648,20.54999253,24.65999103,28.02271708,30.26453445,36.05589598,34.74816918,40.3527126,27.83589897,36.24271409,34.56135107,31.75907936,50.44089075,80.7054252,105.384098,109.9985055,128.8297713,131.8935884,103.2730534,98.04214617,100,95.32768,83.49275,86.33425,133.14901,164.76797,197.93379,199.3069,259.67718,
Lebanon,,,,,,,,,,,,,,,,,,,,,58.59390048,56.16693419,54.43338684,58.76725522,47.3258427,35.36436597,35.36436597,30.16853933,39.43820225,35.87640449,40.53130016,60.08346709,67.45264848,77.38362761,95.23274478,116.8218299,121.0341894,119.8548957,113.4826645,99.63467095,100,118.45907,105.29695,117.41573,154.23756,154.62279,150.89406,189.71589,259.10112,
Lesotho,,,,,,,,,,,,,,,,,,,,,52.86682497,57.07034728,56.69684377,59.75672801,53.78623726,41.97697141,43.73800336,58.10799446,72.26451964,73.32368655,83.17626398,100.2212575,111.1688681,107.6354259,108.6573662,136.8939844,139.2289997,141.0000495,116.3277926,107.0433858,100,92.37359,100.65864,138.57182,177.94699,174.2497,181.16482,213.94368,250.8647,
Libya,,,,,,,,,,,,,,,,,,,,,166.0622396,205.3908356,175.8147513,147.7333987,152.4626317,100.490076,102.2543494,105.4398432,143.7882872,120.632198,130.7522666,131.4138691,123.7686841,136.0205832,105.9299191,128.0985565,139.0492782,137.705326,139.3728223,105.4006969,100,110.12942,137.15779,152.83723,217.39671,278.44699,328.8452,485.6894,694.54953,
"Macao, China",,,,,,,,,,,,,,,,,,,,,24.03212626,31.53205118,31.79309093,32.15022148,35.21782389,34.33996727,39.31106385,50.1374035,57.61471833,65.21819302,67.78328474,81.35109588,86.16839339,88.30132932,92.40675556,89.57925543,88.10527882,91.84940803,86.14553244,90.04662547,100,105.58536,111.93817,121.83435,153.82514,173.091,201.90206,237.3202,237.31401,
Madagascar,,,,,,,,,,,,,,,,,,,,,76.63935371,51.21053566,45.26949193,37.92226385,36.10392891,33.66130266,33.19220694,31.60556258,31.9454289,32.07365575,56.78915556,44.70685778,47.19891002,51.57195692,54.71617152,62.97231643,63.06004004,69.59108768,69.44270947,74.43653874,100,101.89213,57.12353,118.89603,153.1317,155.53075,164.40179,240.23437,350.55037,
Malawi,,,,,,,,,,,,,,,,,,,,,82.54476533,67.54238674,57.19846041,58.53366402,50.86616187,55.29051631,48.57764432,55.55902367,78.89528401,95.34023154,108.2001922,132.1791403,138.2841101,102.6794327,92.41297485,89.17667922,117.1255908,146.7678066,96.79429379,126.5135292,100,108.83809,129.6533,147.46887,175.1655,218.63799,227.14396,259.23672,413.96881,
Malaysia,,,,,,,,,,,,,,,,,,,,,13.15143803,14.09186351,15.15100125,16.18061342,17.14263405,14.94932463,13.18389174,15.4713901,20.13923373,27.42716522,35.69639434,44.71352283,48.62529266,55.69605273,72.71594831,94.78751972,95.67523843,96.42216173,71.09521503,79.77865595,100,90.12138,97.44543,99.98182,128.47032,139.58877,159.92602,179.0737,200.59076,
Maldives,,,,,,,,,,,,,,,,,,,,,7.367868448,7.884762861,11.1197406,14.64175609,13.72204637,13.63905402,11.58032888,20.84459199,23.16065776,28.97655627,35.35860418,41.48845827,48.71201009,49.22411796,57.03955326,68.94413135,77.64481845,89.77070949,91.09086698,103.4921125,100,101.25582,100.80548,121.15083,165.16637,191.68275,238.43382,282.11997,357.11161,
Mali,,,,,,,,,,,,,,,,,,,,,54.41898263,47.17332506,41.22990074,43.82382134,34.55260546,37.15483871,55.06898263,46.41823821,62.57866005,42.18647643,74.74292804,57.12952854,75.37679901,78.61836228,73.12258065,95.79590571,95.8426799,91.65930521,94.38461538,102.2332506,100,122.51937,114.97901,157.63226,169.20592,191.42615,225.67405,270.94921,414.0697,
Mauritania,,,,,,,,,,,,,,,,,,,,,88.08150732,81.66542284,85.01620231,69.91071953,63.99745235,71.99690268,68.1306661,72.56908473,73.85156173,68.53144017,67.92041386,123.0391792,142.2045033,123.4291632,124.23996,94.95816821,99.11933069,95.3544694,87.93483047,84.85248789,100,102.42184,94.93615,119.35271,203.30251,295.7891,239.66352,314.84998,357.17621,
Mauritius,,,,,,,,,,,,,,,,,,,,,29.35112041,26.90656765,22.19829584,21.13389055,22.5102627,25.25923165,32.69879046,48.39022619,61.65980894,63.30184036,77.32218893,74.46918324,77.63329558,81.97970877,92.23284732,89.5301004,103.7041064,99.16911312,93.90471531,101.8171686,100,90.00127,97.81904,107.07205,125.53686,143.01856,164.30811,176.39991,211.38551,
Mexico,,,,,,,,,,,,,,,,,,,,,12.12017383,15.57831879,9.710895338,6.828715613,9.135586912,10.46293965,9.61823078,10.78067016,16.09276308,19.92320828,23.8357544,28.6340051,35.60415321,37.45925058,45.47032873,41.52023514,51.27135992,62.86028615,71.67299756,81.36090464,100,96.43299,96.66397,97.70172,113.09291,126.88476,146.77946,162.32882,168.93324,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.22780067,78.77482203,70.45710004,46.3001124,38.40389659,100,106.62233,97.6864,110.54983,124.38741,121.9689,129.25534,131.13526,,
Mongolia,,,,,,,,,,,,,,,,,,,,,89.14564687,114.5158666,128.6899919,151.0333605,158.6981286,178.2750203,299.3816111,179.7558991,181.2205045,156.7127746,150.3661513,58.73067535,68.08787632,62.88039056,54.23921888,67.58340114,71.35882832,76.20829943,81.90398698,83.44995932,100,103.77543,112.40033,130.34988,166.16762,192.72579,241.75753,344.55655,588.41334,
Morocco,,,,,,,,,,,,,,,,,,,,,36.89290421,38.14680585,37.40982867,31.14396199,33.90953388,33.37665603,32.97348616,36.66903655,41.37962128,47.62173129,60.01499965,59.59440244,63.71089686,58.36581813,71.71785045,86.90174794,84.1378234,82.58895748,89.21585628,86.05118957,100,95.69952,102.86207,123.55379,154.76001,180.38687,207.88912,261.40147,351.72366,
Mozambique,,,,,,,,,,,,,,,,,,,,,69.08462867,69.17098446,72.19343696,54.92227979,46.63212435,36.6148532,46.89119171,55.44041451,63.55785838,69.77547496,75.82037997,77.63385147,73.83419689,82.46977548,87.99654577,60.60713099,65.3420631,63.6202696,68.01084301,98.05613948,100,91.4676,132.75338,150.82427,175.05894,207.19614,246.87091,276.18175,327.25537,
Myanmar,,,,,,,,,,,,,,,,,,,,,14.84944513,15.67036582,17.19057236,11.25407566,10.04576402,11.88965,12.80272335,11.29938162,10.25134814,8.034062754,11.35418185,27.16446314,27.39261696,34.24580982,37.08272086,56.12983822,57.10216744,85.63367965,112.2047097,96.73988632,100,119.80345,97.78967,87.06448,91.46391,80.23902,106.77174,136.58914,179.02226,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.06823681,74.12356832,82.78432005,85.54218422,91.13469914,104.250363,107.790934,113.1046943,106.3558638,103.863849,100,99.82707,94.85401,127.76254,156.15486,172.28585,188.41749,215.51863,291.65995,
Nepal,,,,,,,,,,,,,,,,,,,,,21.75508959,23.46632259,25.1292498,29.50353077,26.48854962,28.81549091,29.22081472,36.26615225,43.0684989,36.96773045,42.71821828,46.82611818,49.33388843,56.57257629,73.4381654,84.72619365,88.84822143,107.582574,79.16682552,90.37325098,100,93.65079,90.14958,111.49364,123.18807,145.08496,158.33683,184.55145,69.89719,
Netherlands,,,,,,,,,,,,,,,,,,,,,39.58182,33.71942,32.31518,31.41467,31.30251,32.63427,37.9822,45.96167,50.1602,52.82153,63.19825,63.92987,67.67569,62.57345,70.69247,89.36146,91.94308,89.44543,94.15321,95.68546,100,98.23328,97.31483,117.4554,142.5571,156.197,180.0988,211.4926,245.4145,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,198.8731052,205.3944482,178.2575179,158.6156994,141.2900423,48.62817377,38.97247938,52.61890913,49.17304983,56.42918714,75.03311305,74.93535072,65.46081448,68.22093586,61.58466078,64.50619743,88.2530888,72.98303351,71.84991709,70.73430252,100,98.74214,79.24528,91.05521,68.06429,79.55975,90.49616,100.62893,112.96296,
New Caledonia,,,,,,,,,,,,,,,,,,,,,49.261576,44.12559264,39.68639691,32.87198055,33.66123339,37.0253452,54.05138254,67.81875087,65.28952969,82.63513981,95.4621747,93.4983432,99.31294556,91.78411372,93.50634603,103.0805823,107.3065177,100.567604,100.9064171,108.8697918,100,101.02198,109.77827,166.10817,177.95306,192.31958,228.49409,302.11736,348.88766,
New Zealand,,,,,,,,,,,,,,,,,,,,,39.57439,41.5088,42.54524,38.22754,44.32153,42.74856,43.46262,51.65774,52.56438,62.92461,67.84358,59.95267,65.92806,68.83105,84.88459,99.98161,105.4736,104.0049,89.55669,102.804,100,95.34852,107.303,132.3842,165.7488,187.6347,189.3501,222.584,245.3765,
Nicaragua,,,,,,,,,,,,,,,,,,,,,49.1401131,55.35622303,42.95557389,45.72770525,46.99053432,53.40991542,47.45578714,45.79416994,44.59780556,34.05761381,35.30726071,41.61675353,47.36146267,41.72880192,47.99608966,54.01236243,63.90413577,80.2982049,82.62114574,103.081746,100,98.33007,97.13426,104.09644,122.53208,145.28073,165.51923,198.24201,237.42627,
Niger,,,,,,,,,,,,,,,,,,,,,151.0557252,129.7045802,118.6396947,82.32366412,73.39338422,93.98193384,93.72569975,79.06717557,98.40992366,92.38396947,98.92620865,90.40941476,121.7834606,95.36335878,83.45597964,94.53493844,113.3967382,94.52886615,119.1767998,103.8432539,100,104.27135,118.48582,157.37075,189.75908,238.59042,240.10849,267.33679,389.71455,
Nigeria,,,,,,,,,,,,,,,,,,,,,190.8382066,241.3599358,183.4537324,141.1191377,107.7055384,101.9378512,49.00814127,51.19825708,63.44455911,48.01054925,64.52241715,103.0386424,94.88590758,63.49042541,75.82846004,94.27817911,73.82180943,108.9439284,105.6186217,98.47494553,100,108.80318,129.16706,162.9205,184.23197,242.95461,294.82612,367.55425,423.31091,
Norway,,,,,,,,,,,,,,,,,,,,,52.05254,46.01305,44.61568,39.66232,41.03244,46.42583,61.81722,68.47285,65.91004,62.44728,76.47371,74.11265,78.39272,70.0845,82.15894,100.0831,107.3115,104.9223,110.0455,102.5276,100,99.3817,105.5719,122.618,148.8193,170.5483,197.6086,246.1681,269.0501,
Oman,,,,,,,,,,,,,,,,,,,,,34.36649846,45.40244824,53.22718587,49.45838203,54.5316726,62.55781789,47.66615141,36.16150712,43.68581991,44.79028798,53.20734275,63.37416386,74.79487174,81.632811,77.68482378,84.28543932,90.83446274,99.73172101,112.7418628,92.7439662,100,115.04882,119.16707,130.41236,175.91482,175.15621,216.59163,317.04544,454.89514,
Pakistan,,,,,,,,,,,,,,,,,,,,,49.24752165,51.83319373,50.30053111,49.04916192,53.87551661,54.21461511,49.46364632,53.59017314,60.66153662,65.74902661,67.89232426,77.67573936,86.32744544,87.44184976,81.81800609,105.4914811,111.6631842,106.732265,85.67373275,93.95163888,100,93.80621,103.39467,120.00534,165.21019,233.40452,274.52711,299.97883,389.60982,
Panama,,,,,,,,,,,,,,,,,,,,,,45.58232456,46.47290378,41.78826176,42.11915826,41.19187853,36.38204043,38.65983958,22.22659603,29.18015805,45.53733685,50.16633616,59.89256223,64.75360346,71.15458608,74.30964572,82.27720721,88.85074141,100.5801048,104.0577737,100,87.71214,88.25821,91.33868,106.37819,123.71622,142.98517,203.39568,267.85947,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,102.178106,109.5725456,98.9913119,96.50651607,98.94352737,87.53953084,94.84013901,101.2571677,105.8279757,131.876629,97.10425717,140.1468288,125.9192007,112.3258036,131.9478714,126.0886186,151.2667246,147.4596003,107.0373588,103.2267593,100,93.09036,107.31625,118.75239,146.06429,150.13553,198.8636,256.29887,304.12685,
Paraguay,,,,,,,,,,,,,,,,,,,,,28.03025037,27.34351607,30.64129988,24.89206616,26.72062162,22.86971119,26.36038251,27.14606856,26.16931899,34.64177794,61.65287084,66.58997058,64.82525496,77.00908869,97.60382153,142.9952212,141.6944235,155.1924803,132.0886622,86.90660028,100,99.49668,76.24787,101.57558,141.24301,169.40024,268.07077,329.23118,464.20685,
Peru,,,,,,,,,,,,,,,,,,,,,28.1219903,39.17193224,40.51229084,28.6669997,24.88771276,20.64600041,32.7275673,40.08024375,37.66910593,30.93187157,39.04006787,47.19518177,54.69524928,55.6633048,75.39514307,104.6342676,106.2366673,115.669358,111.5521967,91.71988497,100,82.31299,84.30518,94.66809,113.64869,140.66092,172.27381,230.58026,319.97363,
Philippines,,,,,,,,,,,,,,,,,,,,,22.39269404,22.89591734,22.34089442,21.54215943,17.37215514,14.73161694,14.20740913,19.41127222,23.58070937,30.16936153,35.11922284,34.73518188,41.85263306,50.47194908,61.14650542,76.53947223,92.16497017,104.3076325,85.0623729,87.95672382,100,94.31122,100.41213,106.68318,114.36049,126.83561,146.05737,155.85176,162.78341,
Poland,,,,,,,,,,,,,,,,,,,,,165.4857,129.452,108.7957,111.6093,112.4049,113.9458,117.4454,114.2937,127.5458,107.4444,20.44567,32.92773,35.2756,37.7639,43.13759,58.728,74.96301,85.42779,95.98831,92.66009,100,103.807,111.8389,138.042,182.134,207.8744,259.367,339.1178,425.8205,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,42.5752,40.95626,45.31159,67.14219,71.78622,91.98171,98.16586,128.3411,134.4106,152.7094,112.3853,126.8088,134.4207,131.9798,121.6105,113.5746,106.5922,100,85.78674,85.18362,104.1648,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,44.49569496,46.67896679,59.87084871,44.77244772,35.73185732,35.02460025,33.79458795,34.87084871,38.96063961,40.77490775,52.12177122,52.89052891,61.96186962,58.14883149,59.25584256,104.4895449,88.19188192,102.1525215,104.8277983,76.84501845,100,115.54803,124.56897,150.58498,184.60591,309.75985,506.15764,677.49384,722.96798,
Rwanda,,,,,,,,,,,,,,,,,,,,,124.3074123,129.8405294,130.9502816,125.4906422,131.8007281,141.4998009,165.3056677,167.3564101,175.2213816,157.3942393,135.8960502,145.0580238,135.7168591,157.4515994,57.3601077,111.4860206,120.4566454,139.4358534,133.7836,118.5819415,100,131.7968,116.31888,121.47819,133.20388,201.85547,257.05535,345.76257,537.32875,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,26.00293429,27.66962028,25.37658602,29.78659739,30.09991649,29.75887824,36.47340586,46.0981536,54.02136346,59.43204751,63.99932732,63.75750968,55.28067083,68.49064044,74.01301292,77.18157779,76.38131799,75.81823664,75.8356336,78.35529215,100,96.42857,102.55102,101.72203,93.23878,107.38265,127.31276,141.63265,149.23469,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,34.86124841,36.39451471,33.24433404,40.51495667,33.38008613,35.20541656,43.59219172,50.45583973,62.24317649,77.36855002,76.39828874,83.17857032,86.27664698,84.54510377,85.23372172,86.47887324,88.16901408,93.52112676,92.3943662,100,100,100,87.04225,113.52113,123.09859,134.92958,166.76056,178.87324,178.59155,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,35.10640521,35.76665847,40.02403492,43.25694615,47.08175559,48.69818048,53.66135972,60.65078682,75.15306122,78.36304401,83.64519302,85.86181461,81.19006639,82.38873863,79.91148267,83.48291124,81.04868453,115.404475,118.4349643,123.4325055,100,114.28571,106.95845,123.62306,138.65257,147.79567,166.7808,190.55815,211.15073,
Samoa,,,,,,,,,,,,,,,,,,,,,59.20920324,53.66349477,47.12228377,45.61889883,47.65260616,48.60417554,44.5389386,58.66221654,71.56445581,71.37934952,76.39520901,88.96993798,104.2333002,99.1393268,77.147943,89.57867925,94.67830189,91.32679245,91.1845283,108.8584906,100,128.16038,124.89245,142.95094,197.87925,225.34623,259.43396,250.30645,272.01071,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,99.89402921,116.7930589,134.6259562,129.8009736,111.5872438,78.2196907,63.28774382,66.59601947,72.13961652,70.05000497,79.83243369,96.32744975,110.1864424,93.39338345,77.32887373,93.0158625,91.94290824,95.18495215,99.39066795,92.7045733,100,103.26191,106.93115,122.25055,156.88976,196.91691,230.84081,298.56277,389.68441,
Senegal,,,,,,,,,,,,,,,,,,,,,69.25411455,70.82554312,65.29861751,67.50032916,64.57373272,54.36010533,63.28999342,67.37985517,71.07636603,80.38841343,80.30546412,77.22843976,68.07834101,71.53719552,67.27913101,90.94692511,92.48029924,85.9526721,93.7154994,103.3214096,100,111.05596,130.79665,154.47353,182.84139,205.89067,221.15106,285.35185,364.45096,
Seychelles,,,,,,,,,,,,,,,,,,,,,28.87814788,27.31530715,28.65154416,25.72042854,25.60940674,29.03178942,30.8390944,33.2238121,46.48796387,48.13078239,54.62868501,50.43014367,55.9549248,69.68532133,60.38234993,67.87872072,110.4063637,99.23777643,112.0594033,126.5827657,100,139.46475,123.08044,120.23479,144.82977,197.01496,220.86405,250.52849,265.89984,
Singapore,,,,,,,,,,,,,,,,,,,,,17.8433238,20.49277194,20.93515181,20.92823962,21.30655171,19.5363633,18.96086811,24.19933851,32.60143446,36.90653685,45.16964584,49.12490245,53.64086365,63.34980861,76.30904158,92.53929912,97.61641087,98.43323795,77.83195213,82.54487346,100,86.21651,86.54948,95.09012,121.78379,148.68408,177.42019,195.58884,237.67513,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,97.0701087,98.4823913,77.08032609,79.94304348,85.4426087,90.33402174,78.38173913,87.85467391,106.1657609,123.0304348,99.41619565,122.0934783,121.3434783,148.7663043,151.6130435,166.7785744,163.5296411,171.1104854,138.6211527,119.1743367,100,92.4224,74.8695,101.63421,131.56988,200.44402,234.83181,310.99662,356.28337,
South Africa,,,,,,,,,,,,,,,,,,,,,66.33878088,77.17854341,62.29504332,53.08954616,54.69754473,38.5239415,43.69142592,51.50512034,62.87358606,62.26641927,61.95929996,63.40565679,66.46809428,67.32109122,78.67507653,102.8634161,101.6379696,111.1219621,98.4728223,89.89806468,100,95.86961,100.01388,138.62911,180.35345,211.70768,271.7995,298.11212,327.77679,
Spain,,,,,,,,,,,,,,,,,,,,,29.26398,21.82081,20.67919,19.30688,19.00658,19.80132,19.39007,28.31448,37.55274,45.20216,56.54883,60.34149,65.15894,52.46138,60.74841,75.95975,80.12815,80.01974,87.32566,94.21116,100,100.539,106.5554,135.7478,168.026,188.1906,212.3984,251.2759,270.7479,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,32.42958397,29.43097223,29.15109119,28.97007597,29.7156294,29.3472308,29.56024607,32.76072877,36.0072215,34.8264037,42.74649591,48.62256497,54.84108233,63.54111609,76.03116582,82.55073839,86.22612733,92.95393903,94.45985188,93.45734282,100,95.08903,97.191,106.22011,126.93162,140.63577,163.31489,179.90874,216.98046,
Sudan,,,,,,,,,,,,,,,,,,,,,101.5250853,100.0115927,82.59225865,87.23191859,73.85521994,49.63772783,61.88600502,56.09435177,68.29844787,,39.83383783,57.33882914,52.86919559,60.85528434,79.04939782,78.49552393,99.6650995,101.732466,123.3110066,91.13157725,100,148.18703,157.5578,185.60572,262.45894,435.16455,519.96522,565.17402,602.27604,
Suriname,,,,,,,,,,,,,,,,,,,,,95.81749049,107.9847909,97.71863118,89.7338403,65.77946768,56.84410646,62.16730038,55.89353612,66.73003802,84.22053232,89.7338403,96.76806084,103.0418251,99.80988593,80.41825095,111.21673,95.24714829,125.095057,104.9429658,92.39543726,100,86.72482,95.32624,133.70058,140.52014,199.43597,192.44997,198.36131,247.76094,
Swaziland,,,,,,,,,,,,,,,,,,,,,59.70247823,56.37812885,49.98872227,52.76935134,42.33343846,30.24247116,33.69699229,41.73648345,48.80045111,55.91841806,63.43005419,68.33577047,82.76380805,75.07545565,80.34760253,96.37296786,101.4546358,101.920081,103.9048235,101.6119522,100,101.6053,98.39185,154.32612,178.54439,204.1673,228.13546,233.17388,248.45937,
Sweden,,,,,,,,,,,,,,,,,,,,,39.05448,34.10271,33.17131,31.77566,32.62088,35.12254,39.71638,49.04213,54.83593,59.44809,67.42691,61.85736,62.07785,54.33761,65.56133,81.81532,86.36784,85.38495,89.01325,91.15393,100,88.04097,93.13538,116.7342,141.5292,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00363,68.54218,69.85188,68.95345,67.44135,65.13234,67.85554,70.57724,71.50504,80.15274,83.09055,88.17798,100,101.1128,99.68498,99.98177,106.5068,115.9299,128.6128,142.7387,145.3072,
Syria,,,,,,,,,,,,,,,,,,,,,108.0893861,135.5672508,105.5586129,119.0537985,107.8755179,103.9692789,71.50980628,65.03435779,58.46594543,54.97250343,62.90239923,72.54559912,91.47686245,108.4977275,143.293238,123.4231564,141.0051632,105.5612338,102.082207,100.4244666,100,124.6778,117.621,133.94631,220.4467,284.68578,301.10012,384.10119,480.15498,
Tanzania,,,,,,,,,,,,,,,,,,,,,82.54830918,77.2113264,74.28914619,52.64722485,43.64189509,55.43091,61.52876234,60.9739288,54.02935308,64.96048624,89.50522474,101.5057236,99.0994539,98.28161101,98.77520479,109.9125709,91.1363159,87.73695127,95.34236505,102.1568473,100,112.52888,108.97724,142.06052,167.79857,213.11343,297.12296,350.31112,456.42328,
Thailand,,,,,,,,,,,,,,,,,,,,,14.87889167,16.07626458,13.80481527,16.61281024,16.7909321,14.92478671,14.82196696,20.99367126,32.75827265,41.61624187,53.36420994,60.6691439,65.70322606,74.40826563,87.94552669,114.3128446,116.8083471,101.50234,69.39299199,81.30965031,100,100.05894,104.39559,122.44854,152.46224,190.81317,207.87457,227.36962,288.697,
Togo,,,,,,,,,,,,,,,,,,,,,98.00555348,77.19851907,69.97063064,50.2155533,48.20473114,51.27000231,55.50168206,75.39951229,86.75459675,83.99245296,103.4817821,79.00784963,70.24634663,31.93908973,39.5181645,105.640875,118.257774,114.8721098,104.6038696,106.2138445,100,98.41405,105.19571,137.94699,157.08816,212.42057,236.73484,258.09437,292.16283,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,96.04999471,94.44405822,111.7514773,78.04373781,58.00867502,46.3762903,40.80765336,36.83860535,34.05927426,36.91477625,33.51459187,50.38795774,33.38068826,44.21751024,34.17201928,51.81983071,64.85822249,90.32436518,90.65749698,82.85852479,100,108.11125,110.14933,117.64752,146.85762,173.05351,196.0133,225.42775,289.94551,
Tunisia,,,,,,,,,,,,,,,,,,,,,41.15442261,44.2567189,39.91628224,36.26197636,37.5995695,32.17635825,33.73503539,35.46938909,43.05791607,51.21397755,64.34758045,60.57526194,75.07108772,71.8246316,76.81699755,92.25038754,89.89503763,92.77158079,97.47014082,98.92271165,100,111.22848,111.19462,127.34975,149.61923,153.81329,173.51708,221.55207,287.29012,
Turkey,,,,,,,,,,,,,,,,,,,,,14.51228194,16.39071754,16.22430407,16.94408361,19.73641721,20.81269219,20.37473304,25.97628012,26.30213494,28.97484166,40.91918213,38.61636466,41.9631652,53.9942902,42.6950542,65.51773487,80.04469495,89.09395481,84.25512084,74.62240472,100,75.95775,94.58927,127.22227,178.96292,214.25321,256.0896,311.52895,370.29841,
Uganda,,,,,,,,,,,,,,,,,,,,,19.08699784,22.46628394,24.56455518,24.56455518,22.39709443,21.31336406,19.99160353,55.2054206,57.71518394,27.55727824,18.72555911,12.75918405,32.8780364,39.88830743,56.92350751,68.66109276,77.45559514,85.58760045,91.66905053,87.14989728,100,103.62,68.4602,89.40174,112.23039,133.54855,166.24191,225.32572,322.92019,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,24.65366049,28.01279671,25.02784998,22.40281071,18.76945928,18.6723414,19.44071524,20.22337113,24.34231198,28.5926476,31.98891714,39.26418921,49.73006941,55.75709103,60.0531292,59.93887286,64.66337228,85.55514296,70.63326573,94.92130595,100,120.12054,136.66486,164.72336,224.02239,268.1082,322.5742,424.14522,501.29967,
United Kingdom,,,,,,,,,,,,,,,,,,,,,28.5554,25.76671,25.61183,26.36758,28.07022,29.30907,34.29875,42.44839,51.86757,53.77436,59.79247,56.92047,60.86057,59.37537,65.39513,76.19726,82.31548,88.52682,92.29462,94.67744,100,99.30016,105.4863,116.2941,138.6116,153.9699,178.0647,190.0148,193.3443,
United States,,,,,,,,,,,,,,,,,,,,,20.40702,21.70671,20.24018,21.43084,27.50447,27.98886,30.35773,33.70475,36.49202,39.14263,41.05363,40.36877,43.98665,47.91861,54.73015,61.21288,65.27647,71.39058,74.99047,84.12909,100,93.63769,95.30925,103.4744,121.1284,137.7801,152.3133,160.4389,172.2776,
Uruguay,,,,,,,,,,,,,,,,,,,,,48.48231289,47.35126089,32.02723758,22.72202666,22.41041029,20.41952796,25.10242945,32.94765999,33.38911651,34.70483005,38.7471868,47.2185354,59.00802124,67.10427607,80.38836632,82.71971839,95.87396849,107.5307288,109.9457557,96.85498298,100,88.31439,56.67667,63.19955,89.839,111.91875,137.26845,165.21727,258.04692,
Venezuela,,,,,,,,,,,,,,,,,,,,,72.94763461,80.83636588,79.8371677,39.59168568,47.94917659,49.99691606,52.45173626,59.57564917,78.49256769,48.1280454,45.24147289,68.75346944,86.75754025,77.16647135,56.66440511,78.02380806,60.93875285,90.09436872,97.56368346,86.74520447,100,113.01511,79.95337,57.09283,102.87799,148.20048,207.34363,284.32402,305.94719,
Vietnam,,,,,,,,,,,,,,,,,,,,,8.403886737,8.838724952,9.414246937,9.762755953,11.15871554,11.87747671,13.78117181,15.6995757,17.62821271,16.40746694,17.59815833,14.95076097,16.24888093,25.09272285,37.2554035,52.15117023,71.26230976,74.12712623,73.53881571,75.08632817,100,103.70891,126.26934,161.50275,204.43023,236.46246,287.0642,401.36007,514.23456,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.60798557,87.12435824,111.351342,121.4120644,89.83298116,68.06827572,87.69840587,86.66505991,93.28197278,86.42154438,100,106.10896,125.72416,158.15336,171.55394,231.4459,261.39837,366.42878,431.91365,
Zambia,,,,,,,,,,,,,,,,,,,,,109.5650507,107.1269162,100.7728681,55.37937501,60.00448182,72.64724576,60.13575049,74.07277928,84.46132586,91.23021926,122.7764778,82.33394786,80.06563724,81.44023368,59.80556548,77.88947338,94.51280161,92.24174559,123.8798781,92.58629653,100,121.83494,124.15889,177.24163,242.36223,288.07813,346.2174,447.61989,555.50667,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,80.05325614,93.53523523,90.84259607,66.8115926,60.95452235,49.50682828,54.42539721,57.86135726,62.51187767,89.19187678,101.6126003,112.5162973,121.6179038,100.4027357,123.8155481,142.4712829,204.9973162,166.6419753,145.0778315,114.0772947,100,92.05582,93.98819,91.78744,118.292,125.0671,120.77295,129.89801,125.92593,
