Import value index (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Benin,,,,,,,,,,,,,,,,,,,,,54.01956115,88.54257061,75.72652891,51.8022941,46.99095672,54.01792996,63.04652786,56.97869023,53.26497589,33.81540228,43.25163281,39.34902749,94.29966789,93.19486765,70.32062533,121.6427406,106.734584,111.2107667,120.008646,122.2066884,100,101.66199,118.87504,146.40163,146.17423,166.14992,200.40016,261.33233,292.82219,
Bolivia,,,,,,,,,,,,,,,,,,,,,36.36661748,50.12297098,30.28365306,31.51882822,26.69836585,37.76028857,36.83663989,41.88118271,32.27305023,33.3879871,37.55806963,52.98682844,59.58900366,65.90697929,66.07640597,77.81603542,89.3589113,101.1586599,108.3784227,95.92282888,100,93.33224,96.74264,88.31557,100.79248,127.9636,153.80991,188.93753,272.54741,
Botswana,,,,,,,,,,,,,,,,,,,,,28.05603714,33.55354192,29.23604135,30.38862244,28.88545481,27.21329272,34.7405133,44.80500016,58.8592469,78.18788684,78.88581937,78.61482874,76.47809391,71.52410966,66.44738974,77.41258628,69.79244305,91.46683301,96.70598529,89.70276094,100,73.29669,74.73509,99.1607,130.89691,127.44094,124.22227,163.99349,204.85515,
Brazil,,,,,,,,,,,,,,,,,,,,,42.57340463,41.06906815,35.93522143,28.65573379,25.9421291,24.444615,26.53397123,28.28050247,27.38335849,33.89959151,38.41754718,39.14242587,39.34488022,47.31325846,61.39586052,91.6563956,96.15139777,107.1534023,103.5032235,87.89583108,100,99.33311,84.18182,86.14337,112.47393,131.42641,162.25349,214.27701,308.82273,
Brunei,,,,,,,,,,,,,,,,,,,,,46.52032,48.30892748,59.43089431,58.86178862,50.89430894,50,53.33333333,52.11382114,60.48780488,69.83739837,81.38211382,98.21138211,120.4878049,148.1300813,150.7317073,188.8888889,225.2935863,199.0063234,140.1987353,121.2285456,100,104.69738,140.56007,119.87353,128.45528,134.68835,150.09937,189.76513,227.64228,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,58.68625205,55.24664484,56.79934534,47.59394435,41.38379705,54.33600655,66.25548282,71.04320786,74.27577741,64.0314239,87.66432079,87.17135843,76.27495908,83.24091653,57.099018,74.43126023,105.8883797,96.15204583,119.7310966,110.9656301,100,107.36498,120.94926,151.35352,208.15041,206.21931,215.7725,265.13912,310.80196,
Burundi,,,,,,,,,,,,,,,,,,,,,113.5759149,109.0082416,143.9249809,122.7822512,126.3919031,125.821282,136.2520198,143.0582318,138.0788187,126.2370782,155.9736054,172.5790858,149.6974491,132.4895713,151.8014455,158.34601,85.90957954,82.08695887,106.5621429,79.84098331,100,94.2059,87.50651,105.87861,119.14488,180.63201,291.13374,215.74346,272.00644,
Cambodia,,,,,,,,,,,,,,,,,,,,,9.281651721,9.281651721,9.281651721,9.281651721,9.281651721,6.187767814,7.21906245,7.21906245,6.548720937,6.961238791,8.456616013,12.63335929,22.84317618,24.28698867,38.36416045,61.31020339,55.36929221,54.96634345,60.22482474,82.23667557,100,108.17728,121.94624,137.83431,168.90269,202.91053,245.34413,280.1837,332.17443,
Cameroon,,,,,,,,,,,,,,,,,,,,,107.6308452,95.85128038,81.30902236,82.21917292,74.69145533,77.33525799,114.4385027,117.7338523,85.54071869,84.69505112,94.03232266,78.80157436,78.1077105,73.99960657,72.77039954,72.69554503,81.17482381,100.8644307,100.7748256,88.68382051,100,124.58307,125.91007,145.81809,162.19025,184.35573,212.3488,253.43253,293.87389,
Canada,,,,,,,,,,,,,,,,,,,,,19.34112,22.10095,18.71846,20.68951,24.89855,26.96416,28.4847,31.29714,37.85063,41.59845,43.05691,44.26465,46.7589,50.48663,56.32519,62.68278,66.19318,77.85338,77.08713,85.01262,100,90.37653,91.39115,98.71267,114.0528,132.0974,150.0501,165.7085,178.4948,
Cape Verde,,,,,,,,,,,,,,,,,,,,,29.49043949,30.81012075,38.18124087,41.26261396,42.37068516,37.43906152,46.54116501,43.70302387,46.18362447,48.59115109,58.9794001,63.76661563,78.23221867,66.99187487,90.89489526,109.7658153,101.9342856,102.4005672,99.23707287,107.0947004,100,101.79162,120.05011,152.67242,187.60744,190.30726,236.1851,324.64591,360.01983,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,69.36572523,81.03569719,105.4939137,57.84338029,74.37341859,96.44053888,142.7742255,174.55464,120.5446899,128.6047665,132.0223278,79.34674827,124.2349381,107.3463038,119.0145661,148.8008547,120.7982906,120.134188,125.1367521,112.0111111,100,92.06838,102.5641,97.86325,129.31624,149.31624,173.07692,192.22222,256.41026,
Chile,,,,,,,,,,,,,,,,,,,,,31.32240425,38.80306043,21.55139621,16.67075517,19.30940391,16.59678395,18.56736838,23.7550791,28.59319616,39.08424829,41.83452926,44.34598427,55.02074868,60.16253134,63.86757586,85.91467105,103.735303,112.504863,107.4295409,86.3836777,100,94.172,92.35054,104.40477,133.96678,176.87765,207.51978,254.84028,334.48063,
China,,,,,,,,,,,,,,,,,,,,,8.859098865,9.780358428,8.567531787,9.502696651,12.17713489,18.77082463,19.0604814,19.19909016,24.55329773,26.27346797,23.69898798,28.33971585,35.80059886,46.18470506,51.36254187,58.67948502,61.67778795,63.24913147,62.30152736,73.61324602,100,108.20057,131.13188,183.37228,249.33095,293.18996,351.67752,424.6226,503.38348,
Colombia,,,,,,,,,,,,,,,,,,,,,41.06666204,45.07227788,47.49020695,43.01487156,38.97719,35.88674732,33.46535168,37.45536798,43.3476618,43.36759455,48.4409124,42.51828613,56.4738101,85.20383402,102.9821125,120.0580665,118.5908047,133.2729558,126.8336439,92.37422542,100,111.22416,110.1625,120.3666,145.12892,183.77085,225.73125,287.42124,343.79547,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7604167,131.1134259,127.3821944,124.6767546,127.5823773,100,116.89815,121.61806,160.96528,198.15741,228.44444,266.73148,277.77778,376.85185,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,146.763285,137.294686,125.3140097,117.1980676,113.6231884,120.4830918,123.9613527,171.4009662,155.5555556,185.9903382,168.0193237,125.9903382,90.33816425,59.3236715,64.44444444,150.071736,156.241033,110.4734577,158.1061693,81.49210904,100,115.78192,155.07891,228.73745,285.00287,325.68149,393.11334,423.24247,588.23529,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,78.54643357,63.3634965,107.2121678,90.64237762,86.40657343,83.64811189,83.45706294,136.9923077,155.6405594,144.0153846,86.82573427,83.13272727,63.13188811,81.39272727,88.26979021,139.7864078,323.7874517,193.4001462,142.0200438,176.4582942,100,146.66667,145.16129,178.70968,188.94415,313.42938,398.70968,623.65591,572.08477,
Costa Rica,,,,,,,,,,,,,,,,,,,,,24.11207639,18.91680363,13.91562965,15.46215857,17.11982469,17.19026376,17.9619629,21.64044768,22.06777804,26.88267982,31.14502622,29.37465759,38.20458637,55.02230571,59.30187055,64.02128825,67.72481803,77.78977851,97.65516162,99.469359,100,102.81913,112.51311,119.95304,129.42052,153.58785,180.32559,202.82382,240.64334,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,124.5348222,99.21516215,90.77555303,76.57519246,62.32445238,72.82795605,85.55148911,93.29494498,86.59363719,87.89642639,87.33517364,87.57499677,97.94609809,88.07629373,79.83653722,105.2397435,104.197037,99.84919535,107.3915822,116.768759,100,86.82111,88.18481,116.01438,154.07208,210.90707,208.8472,239.59472,282.83374,
Cuba,,,,,,,,,,,,,,,,,,,,,134.317507,135.1434731,137.0431273,148.8953089,168.6351025,164.835794,187.9035928,156.5971082,156.4938413,167.7423746,139.2731778,76.1924427,45.11666323,40.96634318,48.58558745,58.32871169,66.17469769,82.32091098,86.65685061,90.6674255,100,108.41594,86.23458,96.25692,115.82247,166.91997,210.05752,208.18704,299.38631,
Denmark,,,,,,,,,,,,,,,,,,,,,45.34501,39.66692,38.47716,37.97289,38.76146,41.68705,49.18514,58.5131,59.6548,60.31626,69.77224,72.09747,77.03798,64.85705,75.85191,103.9398,102.5326,101.0022,104.5624,100.8811,100,99.81753,109.6563,126.2436,149.2925,168.3431,192.3136,225.7567,242.2638,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.34023575,83.17873913,85.0244372,94.45679758,93.71980676,100,94.68599,95.16908,115.08841,126.26039,133.96957,162.18213,198.06763,280.39411,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,20.71948518,20.58233991,17.86053381,17.92383163,17.35415128,18.8521996,21.1942188,19.30815487,27.74554278,33.9276295,31.71220593,32.21858846,40.71104547,49.09800612,51.72486549,54.54161831,60.41776559,69.72254457,80.14558498,84.82962338,100,92.61525,93.23768,80.46207,83.21553,104.11858,128.43021,143.4434,169.80061,
Ecuador,,,,,,,,,,,,,,,,,,,,,60.55467469,60.36118352,58.28652818,39.97205128,43.43608073,47.47520894,48.64690548,60.5063019,46.04821155,49.8454758,50.12227567,64.47018355,65.33014431,68.85598345,97.33680901,111.5954336,115.1188352,133.1545341,149.8401019,81.08472718,100,144.11951,172.82619,180.12695,221.06946,276.44634,325.5364,364.54885,502.31382,
Egypt,,,,,,,,,,,,,,,,,,,,,34.68942725,62.68551565,64.79735324,73.34470649,76.84587711,79.25993604,82.10084513,115.8162974,166.3002513,134.0045397,119.7942839,57.47680162,59.4208971,58.6326519,72.94069781,83.94101188,93.06761078,94.30033691,115.39373,114.3651496,100,91.31347,89.49438,77.90661,91.89572,141.91506,148.40937,193.82153,349.31318,
El Salvador,,,,,,,,,,,,,,,,,,,,,25.45972014,25.9730677,22.57780589,23.49276623,25.75803094,25.33428202,24.6369937,26.19601022,26.5364851,30.60320974,33.27008723,37.04904209,44.75979656,50.39212586,59.25896645,67.2881839,65.11883612,75.68159723,80.20502994,82.76184066,100,101.60058,104.7878,116.30497,127.91997,135.21789,154.88411,176.08644,197.14729,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,5.825863282,6.035816298,6.773492655,4.222496932,3.888613933,4.373347952,11.47160197,12.77555224,13.58384915,12.15616865,13.52013085,14.92397526,12.42957364,13.32429307,8.200263218,26.73414634,64.75388027,79.37915743,70.28824834,94.23503326,100,180.36851,112.48877,274.05765,347.45011,467.62749,581.15299,687.36142,718.73614,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.20892293,117.2751766,111.4411184,107.827821,108.2283556,100,89.71224,114.12091,91.82578,101.83083,105.01305,105.01305,108.19526,112.43821,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.40146466,81.88360426,90.75851356,111.0389044,88.22849969,120.192422,121.8685856,100,143.34171,128.56214,167.93099,244.68264,327.06509,380.80218,460.34265,687.92655,
Fiji,,,,,,,,,,,,,,,,,,,,,68.12882365,76.51673437,61.70036649,58.69646891,54.51760212,53.50830417,52.680675,45.91360371,55.94610776,70.13166442,91.3649761,79.00701467,76.37784683,87.27288372,100.4183593,104.1574383,115.3264506,112.7409889,84.29647126,109.0232415,100,103.4951,105.77719,141.28632,168.86979,187.74823,210.46871,210.34722,262.39405,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43241,74.30569,69.30034,66.26146,73.67765,87.94816,89.719,87.85391,93.73212,94.91396,100,103.4565,106.688,126.9954,153.2874,165.1436,183.0737,210.1048,236.3142,
French Polynesia,,,,,,,,,,,,,,,,,,,,,51.08008629,50.96205723,48.48195404,49.78493892,50.31387707,51.22368055,68.82736549,77.31584779,75.36710864,73.72757765,86.63230631,85.31336651,83.53126761,78.7075644,81.30140469,94.0677641,94.72245536,87.24045549,103.3222713,86.49298172,100,99.43411,118.27053,146.28821,138.05729,160.89274,154.76269,173.0502,201.4145,
Gabon,,,,,,,,,,,,,,,,,,,,,70.77364025,88.55008467,91.13016513,71.99459464,76.03561742,89.80981119,91.02372565,76.91634373,83.1492003,80.56523211,96.48103451,87.67702873,73.51805571,88.79742775,79.48581177,92.66455385,100.5028288,115.9885653,115.9108109,88.40045997,100,105.21301,98.98462,109.55701,127.72948,154.66088,181.23607,231.16176,267.93749,
Gambia,,,,,,,,,,,,,,,,,,,,,88.31673652,67.28034813,55.12027124,61.63173773,53.5152308,49.83559815,55.72256187,67.9077342,73.44154631,86.05601089,100.2594976,107.6957578,116.5971647,139.0276851,113.2594709,97.51818182,138.0812834,148.4818182,121.9930481,102.6673797,100,71.65775,85.35401,83.39626,122.44759,126.73797,138.65668,163.1016,176.15101,
Ghana,,,,,,,,,,,,,,,,,,,,,37.96934814,37.19867866,23.71855594,84.53985212,20.44168007,29.12044107,35.17226532,38.89980288,30.45759131,42.92336363,40.33316065,35.4955361,72.96669066,132.5894629,70.94364122,64.10228824,70.88261598,78.21399033,86.17138592,116.985617,100,106.04033,91.45256,107.92848,136.96955,179.7814,227.06483,271.18957,344.9841,
Greece,,,,,,,,,,,,,,,,,,,,,17.55287,17.72107,18.77538,18.87599,18.38175,21.0146,25.35503,35.422,28.9777,38.33736,49.7042,55.8547,69.31901,70.92748,77.2467,93.72115,100.3646,91.68077,108.9689,118.6897,100,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,20.44162368,22.12067302,22.98299537,23.29222965,22.78200937,28.19507489,32.92999076,36.26219778,37.52873119,40.3181091,43.25819597,50.32995575,43.39416786,48.18860197,48.33963662,50.26140974,61.90044476,70.49810143,81.36957565,86.80226365,100,88.84572,83.26157,106.05103,104.89881,139.88977,125.17907,152.91027,152.14768,
Guatemala,,,,,,,,,,,,,,,,,,,,,33.35970277,35.23909913,28.97200943,23.50497819,26.68600889,24.52148866,20.00667933,30.20726795,32.49848671,34.52002755,34.41524557,38.64096516,52.8403849,54.25431547,58.05589764,63.66747883,60.83845767,74.48466566,89.93502727,88.17728275,100,108.41165,148.09916,157.15087,183.26952,203.01466,230.39216,262.51581,281.25866,
Guinea,,,,,,,,,,,,,,,,,,,,,44.09016707,60.30620392,48.90954892,41.71501344,50.6574791,60.79331862,55.92788704,73.30561815,97.79035759,101.6931539,114.0759589,112.8381683,120.8397172,121.8194986,109.4089331,133.7432261,105.8271477,101.2585725,87.67647059,90.83823529,100,98.20261,108.98693,104.57516,112.7451,133.98693,147.05882,194.44444,261.43791,
Guyana,,,,,,,,,,,,,,,,,,,,,60.63621163,65.44383141,42.97108591,37.66091255,32.22892656,34.5103117,36.89285029,40.62695808,32.9934691,39.5104444,47.57379728,46.91071424,67.72383928,74.11349285,77.46211572,80.73693537,91.45858296,97.86001656,97.97989572,94.89034176,100,89.26183,88.17867,88.16184,99.66838,120.63193,136.10977,162.11782,198.97071,
Haiti,,,,,,,,,,,,,,,,,,,,,36.22606547,44.45838481,37.37646695,42.51466955,43.38519148,42.61504015,34.74173873,38.52493823,33.22459852,28.08446572,32.06261581,38.61276251,26.85975139,34.28910593,24.27906887,63.01825973,64.22174182,62.53860408,76.93792464,98.95479463,100,97.76096,109.08161,114.63577,126.04231,140.30073,158.46973,178.71082,207.3203,
Honduras,,,,,,,,,,,,,,,,,,,,,35.33386578,33.24540939,24.53813657,28.11464442,31.29531936,31.10966323,30.65252878,28.98337502,32.93119514,33.92953474,32.745539,33.45663703,36.311538,39.58328955,36.98760658,57.54289357,64.45070304,75.26429727,88.79197405,93.74233731,100,103.01108,103.42959,115.70381,141.36949,162.85549,191.11509,242.45503,296.06817,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,10.54834238,11.65235779,11.07821715,11.28577806,13.42459059,13.95784873,16.61920538,22.77432391,30.02551632,33.90648716,38.76318696,47.10415639,57.99064872,65.15354432,76.05131458,90.57634924,93.3013792,98.03059139,86.70754916,84.35892014,100,94.48838,97.57478,108.97112,127.38141,140.75468,157.27121,172.76239,182.56385,
Hungary,,,,,,,,,,,,,,,,,,,,,31.4108,31.21368,29.01435,27.17528,26.06124,27.8935,32.86058,33.46983,32.40227,31.37193,30.45131,39.63689,38.54192,43.40863,50.82358,53.68124,56.32817,66.0113,80.00529,87.21927,100,105.0146,115.8937,146.936,185.7678,203.0541,237.7782,291.8103,332.2009,
Iceland,,,,,,,,,,,,,,,,,,,,,36.92704,38.2756,34.33315,30.13362,31.25862,34.0366,41.96338,60.24574,60.78547,53.54493,63.09717,69.24086,65.10447,52.12125,57.21642,68.5509,79.7869,79.94725,96.18447,97.7761,100,86.30526,86.86279,112.9661,146.2202,194.6788,226.75,254.0968,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3620856,73.64142935,80.41453412,83.41902339,91.18120292,100,97.80564,109.69258,140.82612,193.65253,277.23983,340.12449,417.75793,568.09885,
Indonesia,,,,,,,,,,,,,,,,,,,,,32.32582426,39.60017902,50.30284947,48.79009399,41.42025959,30.61017455,31.97971058,36.90884679,39.5285693,48.8139639,65.15590034,77.18633448,81.39638968,84.52334775,95.42891243,100.654032,106.3520377,103.2577728,67.72451381,59.46488294,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,88.29486421,105.3199185,94.33155784,118.5440915,96.85671073,78.95048333,69.60610245,78.94390741,69.75734859,88.43295851,120.536595,165.6473992,153.0479384,126.8297495,82.96836983,84.00078911,98.56644966,92.87170382,93.94357862,88.33431972,100,119.64227,146.4786,174.90629,232.7152,269.40882,328.92747,372.07865,442.20425,
Ireland,,,,,,,,,,,,,,,,,,,,,21.7564,20.59367,18.8493,17.81406,18.81632,19.4341,22.61857,26.53064,30.32231,33.90871,40.06166,40.21502,43.53017,42.5458,50.58758,64.41201,69.63613,76.15691,86.42577,91.66162,100,99.4057,98.40333,99.98669,116.9948,135.3676,146.2946,161.9003,161.725,
Israel,,,,,,,,,,,,,,,,,,,,,22.40311,22.09708,22.41153,23.46493,23.33247,23.26332,26.97417,33.31877,36.17536,36.89766,42.77037,47.18848,52.5104,57.26183,66.35709,79.03481,83.65784,80.96022,76.75337,85.384,100,91.27824,91.92332,95.81924,114.8772,126.2678,134.1555,157.8347,183.2167,
Italy,,,,,,,,,,,,,,,,,,,,,42.48017,39.69742,36.79097,33.62719,35.88837,36.94262,41.89666,52.83489,58.30836,64.50437,76.59938,76.69394,79.36448,62.38112,71.16605,86.89901,87.41387,88.22278,91.63721,92.48181,100,99.18754,103.2007,124.1784,148.3174,161.3234,185.4201,215.2145,232.3303,
Jamaica,,,,,,,,,,,,,,,,,,,,,35.47945454,44.605417,41.83270432,45.25210059,34.71312692,33.66359126,29.42967657,37.48765698,44.05596312,56.09397055,58.39355921,55.22072053,50.75057702,64.59142319,67.36625614,85.34920914,89.80965997,94.83955583,91.92963113,87.82387186,100,101.77952,107.01387,110.21245,114.25854,135.10114,160.92698,194.311,234.11824,
Japan,,,,,,,,,,,,,,,,,,,,,33.16809,33.89277,32.19934,31.52125,33.64899,33.01539,32.80252,38.2692,48.55648,52.32409,57.27625,58.78249,58.4691,61.39801,71.74067,87.5416,87.19486,85.65971,71.30663,81.50941,100,89.66496,87.02679,99.99265,119.3466,136.0541,153.6786,157.6445,194.8828,
Jordan,,,,,,,,,,,,,,,,,,,,,52.25268534,68.83828782,70.47690106,66.03831044,60.56212722,59.4477484,52.90047377,58.89936874,59.42208049,46.23443067,56.56141374,54.55170344,70.79557468,76.97327492,73.56640375,80.42974171,93.37920203,89.2218708,83.27909719,80.84912925,100,105.96453,110.424,124.93115,176.80817,228.53358,248.99612,293.89539,364.66051,
Kenya,,,,,,,,,,,,,,,,,,,,,68.41798504,62.44819625,52.95108309,42.94293617,47.30491681,46.24324176,51.94640425,55.96511961,64.00255034,70.00937056,71.57724918,62.31842523,59.2886101,57.12565248,67.31702448,96.30909331,94.95664102,105.5756456,102.9621925,91.20326392,100,102.78476,104.48789,119.9593,146.6039,198.00159,235.43457,289.46955,356.60947,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,13.89074096,16.28292446,15.11144621,16.32093519,19.08699472,19.40167372,19.68145762,25.56065827,32.28481876,38.30048417,43.521663,50.80034397,50.9563749,52.21808189,63.77577408,84.19625999,93.68024875,90.1140945,58.12638256,74.62067161,100,87.92193,94.79378,111.43188,139.86889,162.78438,192.78482,222.36028,271.23149,
