Male 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.49360493,28.68726715,28.79486665,28.82833787,28.92252604,28.4186181,27.9673898,27.5250941,27.07631014,27.00511945,26.9523541,27.1939499,27.75567051,28.47876361,29.25960271,29.90288759,30.33540657,30.9420265,31.68937583,32.51014789,33.24260665
Albania,26.60098522,27.1942446,27.44128554,27.7719113,27.03703704,27.57201646,30.04354136,31.7616241,33.31357439,31.70577045,27.78505898,27.38481506,29.21994885,31.67082294,33.1097561,31.15246098,28.34032355,26.08173077,25,25.49019608,25.2173913
Algeria,28.36021505,27.74507814,26.36614535,25.14610119,21.70484975,22.89583597,24.54709185,26.77703797,29.01908427,30.73362323,33.51091476,36.02870236,37.09524076,36.57026943,33.66336634,30.60101711,28.70452529,27.93435298,28.51343433,28.36028659,27.23940712
Angola,29.03543307,28.56500225,27.7981278,26.89885143,25.97184987,25.88164973,25.95084088,26.19203135,26.48514851,26.40012949,26.79738562,27.23388672,28.15803524,29.22745978,29.89238411,30.80449571,31.25625459,31.84442419,32.53711352,32.79661454,32.93761415
Argentina,32.43090168,31.43418468,30.27899866,29.28393302,28.87535458,29.07894737,29.02668873,28.98131972,28.65548322,28.75885902,30.01434245,30.80284285,31.51007721,31.72998611,30.79116835,30.021771,29.37494604,28.72932838,28.11517458,27.58845324,26.80993199
Armenia,26.01246106,28.95442359,33.25917686,30.18691589,26.74796748,28.06381436,29.68853545,33.47639485,33.8372093,30.43193717,27.80082988,27.48251748,30.7425399,32.92349727,32.12121212,30.20763563,27.8710544,27.19298246,28.15468114,27.72820865,26.29009763
Aruba,25,26.31578947,26.08695652,25.92592593,29.62962963,30,32.25806452,36.66666667,34.375,37.5,31.81818182,28.57142857,26,25,26.41509434,27.45098039,26.41509434,25.49019608,22.64150943,22.64150943,24
Australia,31.56370656,29.64791756,28.28554936,27.05821564,28.39987523,29.94589852,31.88879804,32.98668358,32.40990727,31.75765646,29.8002103,28.70114489,27.97568957,27.27919594,26.8868325,26.12693247,25.55842934,25.06259959,24.89865114,24.89772483,24.72869845
Austria,25.97079838,25.24783147,27.30323368,28.19758894,28.23429059,28.98631667,30.21300448,31.66991915,33.4422658,33.76012542,31.37103021,29.11772057,27.18161819,26.52027027,25.94272076,24.6986528,23.50035286,22.36594544,22.06229353,22.11150652,22.35743259
Azerbaijan,26.11885547,29.56852792,32.58185722,28.82352941,24.8706725,24.72072072,26.95130087,31.99015687,32.36044205,33.2807571,31.66540308,30.55623026,32.50228728,33.70762254,32.95478009,31.03586456,29.31237721,28.65168539,29.30571538,29.21519954,27.53539992
Bahamas,27.77777778,26.82926829,26.92307692,27.53623188,28.57142857,28.26086957,28.84615385,31.89655172,35.48387097,35.97122302,33.77483444,33.125,31.73652695,31.07344633,30.81081081,29.74358974,28.71287129,27.40384615,26.1682243,25.92592593,25.68807339
Bahrain,33.87096774,32.3943662,32.53012048,25.26315789,28.57142857,30.6122449,43.78109453,47.32510288,47.03832753,45.37313433,42.4,42.10526316,41.37931034,37.84860558,35.43599258,33.56401384,31.85550082,30.29827316,29.17293233,28.08823529,27.52161383
Bangladesh,30.06750983,29.31649101,28.7459852,27.14071576,25.88981525,26.16350051,26.36306978,27.18737553,28.44662335,29.83140973,31.74645477,33.67620867,35.03903384,35.37458768,34.80043565,33.57609293,31.89771461,30.47817639,29.18669148,28.0068447,27.23220316
