"Energe use, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,1717818,1941633,1751543,1825619,1988411,2190349,2321677,2593840,2262329,3071557,2696615,2691515,2844307,2957473,2717177,2913409,2842487,2915399,2893413,2672707,1870638,1358210,1331065,1417311,1331135,1420690,1212817,1309356,1762062,1780183,1801011,2005974,2004925,2203616,2206282,2091818,2050135,2085887,2085420,2077308,
Algeria,,,,,,,,,,,,3467088,4023298,4825133,5189237,5523503,6303561,7055381,8686419,11003456,11208612,12185743,15872317,17152852,17000866,17748074,20047638,19797464,20899840,20723526,22191936,23477941,24126807,24125614,23255036,24105376,23493468,24067033,24910633,26598783,27020827,27093432,28803880,30722714,30999083,32365242,34685279,36823318,37444586,40745988,40371308,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,3850748,4145619,4130688,4219849,4120914,4072554,4015100,4416958,4478234,4563057,4593167,4530724,4656722,4704760,4990212,5047687,5169583,5379489,5499372,5883156,6024041,6057633,6273668,6359436,6398917,6630110,6820913,6855517,7247348,7499003,7883388,8304163,9002900,9765785,9375148,10196619,10968137,11862094,12600201,13672066,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98827.512,,,,,,,,,,,,,,135000,137000,143000,146000,,,,
Argentina,,,,,,,,,,,,33654963,34199156,35601624,36303336,35948219,37186387,38204614,38900253,41111993,41819769,40836332,41072833,41797670,43329179,41340906,43877643,46271233,47861397,46507351,46073714,47487982,49956211,49934367,53436200,54036996,55599117,58532488,60078965,60415907,60953890,57835495,55386173,59047312,67302736,66973091,73127425,73672983,76655452,74533608,74634536,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7696645,8112279,4116913,2179209,1365563,1631915,1768560,1849491,1884132,1821379,2003353,1997793,1867566,1970280,2083173,2505049,2546149,2845324,2996571,2601206,2445350,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,31482545,32662796,34084096,35960358,37402908,39439099,41320714,43571441,45196573,46512759,50821086,51613840,53171914,57055949,58928780,60377192,61825230,66293609,66472062,67981445,69603086,70077435,73119856,70104557,72303215,72824350,74012245,77496590,78870865,84039167,86226020,85155422,86731877,91174201,91261344,92558819,98946369,101289616,103935110,106191638,108109901,105750700,109461303,110894213,111000726,114215674,116022010,119755172,124235904,125977791,124727715,119797344
Austria,10897338,11012356,11948751,13088645,13400766,13464549,13932108,14165401,15170640,16233646,18056983,18815116,19821049,21475888,20748697,20120841,21690178,21172092,21877917,23697012,23154201,21926624,21436496,21501577,22334118,23085286,23175597,24047382,24307620,23917695,24841985,26443777,25406733,25696450,25630794,26770582,28445158,28242217,28723398,28653351,28557850,30176647,30448445,32215284,32694238,33761286,33784507,33389497,33546130,31761634,33840830,32623687
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26148489,24342241,20676962,17453043,15923014,12754842,11780245,11254372,11959708,10988754,11431337,11364793,11415488,11979244,12726472,13845527,13476337,12116460,13280769,11678132,11838175,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645317.343,,,,,,,,,,,,,,664000,696000,706000,709000,,,,
Bahrain,,,,,,,,,,,,1408834,1368393,2034862,2269482,2132516,2719571,2482628,2537426,3021458,2805253,3103349,3500962,3371004,3595281,4159247,3554037,3515834,4077183,4165559,4350016,4041524,4323798,4656188,4948050,4929959,4964949,5414264,5814687,5654006,5864682,6068790,6433173,6751816,6969621,7500349,8270903,8754281,9244666,9469200,9783858,
Bangladesh,,,,,,,,,,,,5685868,5872825,6352944,6561746,6727043,7155203,7324728,7576223,7875863,8402371,8573607,9056775,9274207,9409032,9949674,10653274,10487247,11525010,12098309,12735601,12556296,13253018,13989482,14611203,15896880,15990833,16705043,17404365,17645158,18608189,20222594,20767330,21711230,22536671,23835730,25299283,26373378,27794069,29421650,31053241,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321988.32,,,,,,,,,,,,,,375000,390000,398000,401000,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45548433,44328228,36989354,31502301,26751137,24747635,25413677,25349183,24824079,24172531,24684265,24774099,25251623,25999037,26878122,26873140,28629331,28057753,28145342,26763980,27730055,
Belgium,23059094,23607632,25907345,28270820,28337951,29488938,29072228,30495561,34531375,37398094,39927624,39659532,43446844,45988557,45124131,42318792,45382134,45116668,47496777,49012300,46768054,43530976,41474361,40963171,42731104,44100882,45698435,46671434,47243575,47687959,48283836,50581685,51159455,49961423,52858189,53766171,56742986,56806366,57745885,58177811,58508333,58364999,56362553,59238418,58889484,58684739,58112328,57025137,58579071,57101707,60859317,55947893
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106218,,,,,,,,,,,,,,155000,161000,172000,178000,,,,
Benin,,,,,,,,,,,,1104978,1157402,1182330,1208143,1243558,1205771,1248472,1297451,1319561,1352550,1350273,1396960,1436042,1471250,1542664,1557314,1578903,1619718,1629129,1661315,1686666,1728290,1768917,1807371,1847030,2150787,2231479,2201195,2296194,1982670,2108546,2272398,2397852,2491551,2500245,2950066,3207252,3279634,3439813,3653360,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55974.948,,,,,,,,,,,,,,180000,204000,211000,244000,,,,
Bolivia,,,,,,,,,,,,1020636,1128191,1193249,1277934,1480678,1621859,1734402,1880155,2070215,2444497,2566025,2698069,2559434,2552383,2520035,2382196,2207066,2306258,2456753,2610591,2691175,2850459,2998922,3307087,3718093,4124540,4521263,4715349,4477008,3737193,2902624,3527022,3687293,3622249,5174016,6411952,5370954,5942912,6204326,7321899,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7017596,6316620,4448889,3706461,1435062,1494188,1745232,2694397,3348791,3313855,4346230,4200651,4407248,4400442,4810925,5042078,5301412,5304575,5954003,6034075,6404918,
Botswana,,,,,,,,,,,,,,,,,,,,,,775951,813911,821896,836992,885290,970270,965571,1136487,1214829,1261176,1282860,1477793,1482557,1461158,1495315,1451952,1523483,1726139,1781677,1836367,1867560,1916384,1906828,1857207,1928035,1955688,2032669,2151618,2022056,2263452,
Brazil,,,,,,,,,,,,69766278,74813328,81970892,87249276,91126598,95577717,98850716,105143119,111794267,113853443,109223759,111048213,113812031,121136063,129355566,135404915,140661864,142566062,145436459,140231402,142888815,144377367,147984210,155784689,161117136,169681018,178311683,182612339,186652539,187398038,190660032,195704664,198910607,209949310,215238038,222718379,235355716,248343704,240265453,265624109,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,177259,176411,344449,593836,740361,976189,1055382,986384,1027109,1350646,1299525,1398088,1476627,1700366,1782241,1630538,1673048,1365635,1581726,1762414,1998809,2147678,2072124,1941648,2312296,2319554,2393714,2383862,2429494,2453638,2279759,2224597,2578867,2381143,2301383,3253298,3320372,3629024,3123459,3314404,
