,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Morocco,7221,,6887,,6013,6674,6623,,6593,6614,6615,6614,6587,,6331,,,,
Namibia,,,,,,,1082,1151,,,,,,,,,,,
Nepal,,,,,,27,,,29,31,,,,,,,,,
Netherlands,38236,44337,51834,57676,62990,69331,76127,81602,88750,94379,99059,102572,107005,112237,117453,120748,120181,122082,125038
Nicaragua,818,835,819,,,,,,87,89,,179,,,,205,343,,
Norway,12309,12779,12890,13167,13645,14523,15309,16046,16600,16537,15959,15585,15254,,,,,,
Pakistan,,,,,,,,,,,6200,,26440,,,,,,
Panama,1184,1252,1364,1349,1403,1438,1473,1519,1548,1578,703,80,389,,,,414,,
Paraguay,,,,,3249,836,780,,811,,,,,,,,,,
Peru,4583,4132,3655,3688,2873,,1118,892,1149,,,,,,,1007,1183,,
Philippines,12806,13244,,,,,17698,17044,,,,,,,,,,,
Poland,22858,22103,21201,,22289,23846,,,,18733,16293,14792,14479,13704,13589,13614,13851,14361,14319
Portugal,3955,4690,8152,9486,9295,9823,10385,3731,6205,8629,10316,9476,9175,14235,,22219,22573,23270,29118
Romania,,108,22511,23626,26755,28030,26254,23820,22898,22626,21610,23175,22691,20380,20100,18425,15574,13195,11551
Russia,,,,,,,,,22779,44321,60321,76186,109467,155247,173081,191129,144325,149684,102568
Rwanda,96,113,114,116,122,123,81,82,69,,55,,,,,47,,,
Saint Lucia,73,,,,,,45,,,,,,25,,,,,69,
Samoa,,17,,,,,,,,,,,41,,,,,,
Saudi Arabia,,,,,,,,,,,,,5,6,8,22,28,38,63
Serbia and Montenegro,,,,,,,,,5143,4418,4545,4114,3290,2687,2059,2238,2242,2203,1288
Seychelles,48,50,50,,50,50,,,,,,,,,,,,,
Sierra Leone,213,,,,,,,,,,,206,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,36927
Slovak Republic,,,,,,,,,,12894,2594,2248,2019,2252,2436,,,3567,3666
Slovenia,,,,,,,,,,412,905,1492,1614,2518,2905,3218,3407,3673,4371
Solomon Islands,,97,101,107,109,101,,,,,,,,,,,,,
Somalia,231,,,,,,,,,,,,,,,,,,
South Africa,,25235,,18925,17728,,,,,,,,,,,,,,
Spain,,,75086,,,,,,106536,17359,18455,95739,153832,197806,,178782,142188,101339,157526
Sri Lanka,734,716,716,656,675,743,666,770,828,954,1499,1508,1713,1873,,,,,
Swaziland,311,341,,,,,,,,,,,,,,,,,
Sweden,55437,61194,66959,71059,75992,37511,84929,53327,88240,89757,91678,93383,95161,96809,97435,97980,97345,,98833
Switzerland,79136,82260,86824,88929,92159,95916,99287,101275,102360,103794,105394,99202,,94636,87527,87033,87008,84329,83972
Tajikistan,,,,,,,,,,,27,70,115,181,177,222,281,,1359
Thailand,42,86,141,175,237,393,,,655,,,,,,,,352,,
"Macedonia, FYR",,,,,,,,,,,236,257,352,431,360,378,434,377,349
Trinidad and Tobago,,,,,555,,,,873,964,1174,1142,1261,,,,,,
