General government expenditure on health as percentage of total government expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cameroon,6.10420167,5.92806337,6.57346869,4.85509402,5.02898371,6.08776267,6.78618977,7.94243133,8.20485266,7.07308043,7.66839369,7.40600879,6.76807564,5.57404755,7.33615431,8.53335928
Canada,13.27764288,13.40407686,13.91475883,14.2359112,14.59435742,15.1358008,15.52950837,16.1864389,16.66463177,17.20189853,17.57752664,17.63191381,17.9108792,18.0542139,18.14499129,18.06446207
Cape Verde,7.89383307,7.95407829,8.7881442,10.24243768,9.00760108,9.5674367,11.55794074,10.97760346,10.65947575,12.72925346,10.02795557,10.96253166,10.77731013,10.11776213,9.72745204,10.11141121
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,7,10,9,5.82598039,6.68917882,10.05078486,11.46086957,10.23930131,12.49882904,10.96359743,7.78978571,9.41024172,10.40481569,8.45176411,8.45176411,8.45176411
Chad,11.0803503,11.0803503,11.0803503,11.0803503,11.87064115,13.13403748,13.76799899,11.9595709,13.08118623,10.25971528,13.42313299,7.28945871,4.62688471,3.26849753,3.26849753,3.26849753
Channel Islands,,,,,,,,,,,,,,,,
Chile,12.69116533,12.74922654,13.00340884,13.55577653,13.36440384,14.12142912,14.84780342,15.01218648,12.44971523,12.91482212,13.04030404,14.0302108,15.93206816,15.61489259,16.18605472,16.34103473
China,15.21840071,14.56481135,13.93464631,12.94526679,11.74015465,10.86172646,9.33916627,9.40812401,9.67605086,10.11798761,9.8942007,9.89962825,10.91103395,11.59934727,12.06977516,12.06977516
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,19.91524041,22.88266541,24.56997048,24.88909853,23.1523847,21.41156269,18.54929295,18.97610343,20.51041313,19.7951321,18.98441049,18.81407217,18.81407216,18.81407217,19.31480731,20.14523991
Comoros,8.17902244,8.13780008,8.84923122,8.59467993,10.5302858,9.32021687,4.98115975,6.79407552,8.28115158,10.16567945,11.24700908,11.88425187,12.48696686,11.7333506,7.32344649,13.08866794
"Congo, Dem. Rep.",2.16385337,1.62055202,2.4461839,2.02361285,2.6017618,1.78483249,2.79408927,2.44139981,10.73577088,5.96924021,7.4098181,7.06710281,8.4736562,12.66209367,12.48224728,9.11115861
"Congo, Rep.",5.70138488,5.77263321,4.61776213,4.9963474,5.34426919,4.77753078,4.21625387,3.62473147,4.3490831,5.10996282,6.16829723,5.44483987,5.2938823,5.2938823,5.2938823,5.2938823
Cook Is,9.92359747,8.87272945,8.37763815,9.22410152,9.05068773,9.90681047,13.03225588,9.86014405,11.72771092,11.23876719,13.20662994,11.29996362,12.44192439,12.49934698,11.5678995,11.92621336
Costa Rica,20.85702467,21.70893728,20.26886604,21.37405053,20.95210436,21.66568993,21.35778654,22.21905494,22.77824184,23.13194009,20.99452644,22.05601438,24.63364987,26.08992525,30.60737344,28.9922897
Cote d'Ivoire,4.74013307,5.89438348,6.63265306,6.51027353,6.50788644,7.24644394,5.62430832,5.21357722,4.8366509,5.26260645,4.4976799,4.93878079,6.59753263,6.54096004,5.07501615,5.06412661
Croatia,14.26005597,14.53855646,11.76258639,12.8755603,13.46557461,14.45788988,13.78354587,11.9742102,13.95644011,14.13967005,15.94258124,16.35784705,17.57851309,17.65963877,17.65963877,17.65963877
Cuba,8.02375263,9.28708003,9.99004944,10.29728136,11.06842754,10.80359778,11.39178682,11.1846544,10.89011083,10.32043238,11.66870425,11.20669737,14.48242925,13.17875649,14.93340098,13.8676483
Cyprus,5.08119822,5.01615201,5.34497079,6.37641749,6.51166706,6.48267796,6.45222253,6.88569557,6.91818078,6.63321974,6.17486568,6.25680805,6.23771093,5.93974841,5.50692729,5.34330101
Czech Republic,11.47697152,13.94921855,13.57456703,13.51058309,13.60524051,13.69261734,13.13185446,13.48702878,12.80949608,14.22047471,14.07687302,13.83319448,13.53960035,13.67951156,14.93937225,14.93937225
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,11.31097743,11.48807908,11.83157532,11.88440245,13.54537598,13.59251121,14.13653364,14.4507266,14.60026059,14.94499477,15.63456979,16.28283846,16.56470708,16.7086441,16.80239427,16.80239427
Djibouti,6.24405752,6.72811863,7.81936479,10.4898627,13.32892833,11.97203168,11.84849578,10.74951999,11.48577777,9.29900406,13.6762061,12.57427148,14.14584957,14.14584957,14.14584957,14.14584957
Dominica,11.94824311,10.68797142,10.7606679,8.95338067,8.44832442,6.64010624,8.50099178,9.09366475,7.89473684,8.21627526,7.93976854,10.66995056,8.24249618,8.68098868,8.302949,10.50294927
Dominican Republic,10.68450888,10.9730291,11.81549446,13.82182243,14.0925084,15.86195807,11.88449669,12.18754014,12.98381637,8.30202775,9.16199241,10.41002278,9.63679748,9.42223036,12.44622033,13.95889713
East Germany,,,,,,,,,,,,,,,,
Ecuador,9.62004569,11.06838831,10.42084117,9.28667153,9.81938126,6.39855957,8.48281328,9.72840577,6.73907386,5.57628572,5.62561675,5.07020691,5.44680851,4.62728952,7.74608935,7.3238374
Egypt,5.33700026,5.45532654,6.28012831,8.07228847,7.20152933,7.33763103,7.69523399,7.6053337,7.29844878,7.00698316,6.72585297,6.44069369,6.19760671,5.94401854,5.55696207,5.74198095
El Salvador,13.46727058,13.91360972,13.86158237,14.12850193,13.70734345,14.34014757,13.44784133,11.23644823,14.63593121,14.84127821,15.29840959,15.78186624,15.48278653,11.80780781,12.25279263,13.30040572
Equatorial Guinea,13.68159204,9.90853659,10.41620968,8.28128872,7.39071361,7.83138687,9.75381464,26.89808271,7.47088317,6.95721762,6.95721762,6.95721762,6.95721762,6.95721762,6.95721762,6.95721762
Eritrea,2.98507463,2.20426157,3.42184906,2.40851688,2.05079173,3.69430526,4.58081408,3.93965523,3.9825365,4.24730501,2.45814306,3.55612493,3.5952381,3.5952381,3.5952381,3.5952381
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,13.74489432,14.72689172,14.75448673,12.23769075,11.82151587,11.33985836,10.9746477,10.44820112,11.04348399,11.41696543,11.46589125,10.93664022,11.47685066,11.8875668,11.6831158,11.6831158
Ethiopia,6.33175451,6.35838301,7.19959183,7.83091412,6.99195051,8.51066578,9.78217456,10.15973132,10.52430061,9.9520713,10.2904436,9.97063201,12.68196953,11.46720507,13.33065859,13.46005383
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,9.48205732,8.99873378,8.70224146,7.32216625,8.38920091,11.334515,8.35202512,9.11980353,8.96638067,10.32305894,10.73184759,10.20226986,10.1229481,10.88171441,10.28669451,9.39911935
Finland,9.14593302,9.56221347,9.82119888,10.048324,10.17358915,10.62557189,11.13336387,11.53603062,12.07306158,12.25092375,12.61181727,12.6844673,12.61198516,12.54184555,12.09851519,12.14985151
France,15.17199551,15.1464746,15.06682173,15.29192103,15.33659694,15.48847692,15.69061859,15.91056798,16.16079833,16.33240216,16.41349585,16.48978809,16.48735345,16.32040541,16.3369193,16.3369193
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,4.6891145,5.76616064,3.20234238,2.92758271,3.92282232,4.80675105,4.05274121,4.51573997,6.52464942,6.59616146,4.73111006,5.05154075,5.61161514,5.13168898,6.63369427,6.63369427
Gambia,5.86215737,5.14513243,5.71853151,8.84693508,8.85340156,8.82802966,7.00113047,8.66303012,12.87075052,11.65616319,11.28282986,11.28282986,11.28282986,11.28282986,11.28282986,11.28282986
Georgia,2.47680704,4.51678263,6.51806727,5.89208995,5.4778089,6.91480174,7.77650445,7.77349921,7.06300184,5.59784136,6.15010483,5.87598714,4.25590968,4.77994782,6.07107715,6.86991309
Germany,15.00872738,17.41139763,17.16948197,17.1338365,17.15273602,18.33434413,17.49875097,17.68069019,17.68304635,17.39831656,17.65527816,17.92392951,18.38988985,18.58405455,18.73276187,18.73276187
Ghana,9.91042859,9.9148021,10.01965835,10.12219713,10.09849095,8.3296258,9.76123561,9.04505607,8.66970673,11.56812752,15.24723483,14.86152997,15.4368102,12.21898399,12.42550586,12.06913728
Gibraltar,,,,,,,,,,,,,,,,
Greece,9.77127932,10.27621507,9.93818063,9.83022427,10.36853194,10.12777594,11.80976507,11.70306172,11.93627419,11.27553864,13.02252111,13.35931213,12.45639507,12.01196109,12.11629182,12.11629182
Greenland,,,,,,,,,,,,,,,,
Grenada,11.74240838,9.26283288,9.24280128,9.52068286,11.77199504,13.23489199,15.07845934,9.70554926,10.3462192,8.54806448,8.95683984,9.89845634,10.17724217,8.83728478,9.45133585,8.20650027
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,12.58890071,12.48659496,12.71626517,15.25433305,16.41064205,16.59613578,15.83097753,15.16057553,14.76539552,15.32246744,14.92026574,15.34827836,15.93266348,16.62857612,17.18548727,15.7823107
Guernsey,,,,,,,,,,,,,,,,
