General government expenditure on health as percentage of total government expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Niue,7.935527,5.53139093,6.50251912,5.79573659,7.05645161,6.51741294,30.57294174,9.68443961,13.05947272,12.41297247,11.29326047,14.87680149,14.62307335,14.96539403,15.82337357,15.80511927
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,14.40062966,14.51105598,14.58339455,15.49243724,16.14862535,16.42198343,16.67207538,17.36921669,17.39664406,17.75192164,18.03519563,17.9036693,18.15576271,17.91349154,17.43794504,17.43794504
Oman,6.88981951,7.69294937,7.26264465,7.27718761,7.61649735,7.07261416,6.61312594,6.99464249,6.85889155,6.09191945,6.05091799,5.40536063,5.41638667,4.91359136,5.76224205,6.19045095
Pakistan,2.62167557,2.80772117,2.70363085,2.35387853,2.36651487,2.34979016,2.32506307,2.86194076,2.64446764,2.8542485,2.90880446,3.28549291,3.10797179,3.09395919,3.33166989,3.62506323
Palau,13.93568147,14.51398136,14.37908497,14.15944272,13.2260749,12.04846336,13.00500626,12.56625,12.65393795,13.81146637,15.87581699,14.4863388,14.26328205,14.26328205,14.26328205,14.26328205
Panama,16.14007782,14.52861953,20.99957283,19.65019011,18.85869565,21.32291667,10.63985248,10.91469088,10.36904062,11.48724668,12.69215609,12.64082251,11.58415171,13.54090141,14.70120404,15.10949674
Papua New Guinea,10.6667796,11.50369974,9.35366692,11.58378252,10.26749397,9.88771755,11.01517973,11.39278017,10.91005431,10.02827258,8.02381124,7.33551884,6.70169063,7.04991407,8.51996151,8.14727652
Paraguay,11.83581213,14.93499841,13.79513786,16.1647743,16.92674461,17.69688285,16.05412389,14.10788586,13.55629211,13.64538673,11.76066354,11.75882608,11.16548035,12.61438141,10.36944168,11.49279093
Peru,13.72476747,13.92599906,12.79232039,14.05970186,14.56674591,14.92861239,15.28171112,16.0072864,15.43034889,15.37661253,15.56906487,15.8020513,18.48116952,20.77776448,15.86319664,14.28086689
Philippines,7.42279818,7.79919494,8.04017828,7.91177492,7.85188423,8.42390604,7.20849149,5.94065491,7.07562842,7.35964924,8.08291612,7.33159372,7.09131063,6.58499987,7.14085387,7.55252352
Pitcairn,,,,,,,,,,,,,,,,
Poland,8.36518443,8.45504458,8.68546072,8.70811817,9.54854273,9.41179933,9.61713044,10.18839875,9.76830246,9.98206715,9.91244302,9.88106982,10.79728239,11.71000955,11.94368619,11.94368619
Portugal,11.34940777,12.10676438,12.4424337,12.68338325,13.11042103,14.95855468,14.45050683,14.94990816,15.15924887,15.14754838,15.22513381,14.95030163,14.81156449,14.59885437,14.59885437,14.59885437
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,5.10662704,5.01626096,5.01626096,5.01626096,5.01626096,5.01626096,5.98419821,6.11862022,10.99054695,9.71691319,8.22327575,7.2179189,6.65491569,6.65196286,6.41763037,5.54566421
Reunion,,,,,,,,,,,,,,,,
Romania,7.03277533,7.14372783,9.62202425,7.96797333,8.57459769,9.14560489,9.79124669,10.77689112,13.52240157,12.22100406,13.23191417,11.45526531,11.28378935,11.3609612,10.83850855,10.83850855
Russia,9.02993783,8.74931681,12.97843961,13.61490047,11.79459315,12.67364822,12.3655244,11.22308077,11.01532083,11.28091911,11.74975595,10.76932252,10.20825553,9.1710497,8.53328971,8.03603488
Rwanda,7.9290031,8.27717301,9.33481766,13.45194291,9.11254287,8.17201748,9.83185329,9.08360711,17.61866478,14.6220725,15.57124104,22.44640432,22.00551318,21.90192187,20.07735206,20.07735206
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,9.95024876,9.05172414,10.18518519,10.12494614,9.57854406,9.58881579,9.52219587,7.99116348,6.27767084,5.57366219,5.47086613,6.87181209,6.50098103,5.73185732,5.44244441,8.20329277
St. Lucia,11.3015445,13.01129536,11.57263951,10.66841696,11.07523992,11.72061098,12.1675757,11.44058022,9.72960656,9.7043107,9.54483749,10.8658373,11.10002494,11.4690856,14.77054314,12.82496243
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,13.08950914,12.07260447,9.16913947,8.52941176,8.49315068,10.76,10.07647059,10.74666667,11.00263852,9.8156682,8.41954807,9.38697527,9.32490884,11.51171571,11.51171571,7.77437021
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,12.38738739,15.69767442,17.45249824,16.8902439,19.53999272,21.36249936,19.64682542,19.49564365,18.82349615,18.26856998,16.06072371,16.97621386,20.32520063,18.61805852,18.29844678,23.4445345
San Marino,17.83701912,18.40954382,18.45141774,19.41790403,20.62179988,20.43658261,20.22432527,18.13223884,14.95426388,14.7134679,14.39873743,13.79103281,13.64329837,13.64329837,13.64329837,13.64329837
Sao Tome and Principe,7.858,8.14473684,8.34022825,8.21850746,8.65437393,8.9906466,7.0505201,9.1381642,13.30640037,10.03409025,13.20746058,13.20746058,13.20746058,13.20746058,13.20746058,13.20746058
Saudi Arabia,4.73315971,4.82240292,4.89442858,5.59665369,9.20414924,9.16446401,8.75950459,9.35717345,9.06848249,8.71563815,8.80383521,9.47900194,8.38309226,7.08156033,6.39601364,7.01900972
Senegal,7.10476797,7.72423403,8.03087762,7.80626216,8.38323219,8.52753444,8.07860789,9.687938,9.68088587,9.07673978,12.41152594,12.10459518,11.78818712,11.87659668,11.56617648,11.56268525
Serbia,13.45675951,13.45675951,13.45675951,13.45675951,13.45675951,13.45675951,13.45675951,13.45675951,13.65019415,13.44532901,14.22887816,12.94636751,13.82788568,14.08357998,13.91657892,14.07897214
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,8.37866699,7.81622008,8.48710031,7.501197,7.76902887,7.29280617,8.33236894,6.77179963,12.16763657,10.22165594,8.95212547,7.78830884,7.71731466,7.70927702,9.032,9.11480642
Sierra Leone,8.27203003,8.9048917,8.84987989,8.88236552,8.77564503,7.4260855,7.23058959,7.53364654,8.44210723,5.96136319,7.55116925,6.76680223,5.26249144,6.35227838,6.35227838,6.35227838
Singapore,9.43170592,6.89630035,8.41857137,8.68631732,8.23493563,6.21294466,5.59130722,5.62662824,7.94473508,6.52399232,6.96248984,6.63433742,6.86315119,6.90820555,8.32361921,8.01570133
Slovak Republic,11.04074614,10.62100796,10.83855001,11.31219227,10.72335138,9.42720573,11.05379499,11.12686842,12.80470222,14.12046479,13.79903044,13.74585688,15.15423293,15.56625035,14.47615122,14.47615122
Slovenia,11.07345884,13.17932773,13.07508132,12.99662365,12.77988967,13.14921605,13.27490559,13.68913648,13.38324849,13.33248535,13.39319366,13.41413572,13.2466555,13.87762255,13.83133465,13.83133465
Solomon Islands,14.80641667,14.35294118,17.62191781,15.1755102,17.2651357,20.74978204,34.41215324,19.91099243,20.61159628,23.93396846,29.82095474,25.20176765,20.14278599,15.48678313,23.69253606,23.08513874
Somalia,4.16666667,4.16666667,4.35483871,4.375,4.2,4.21568627,4.19047619,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,9.54593341,9.46712957,9.28465078,9.82476245,10.7330308,10.92333272,11.1566871,11.52721692,11.16782014,10.29730799,10.41408965,10.71197854,11.06184138,11.53880819,11.42144685,11.87204622
South Ossetia,,,,,,,,,,,,,,,,
Spain,12.09207971,12.49826613,12.76650697,12.86861456,13.20488336,13.18408603,13.33638361,13.28496058,14.94670451,14.85599976,15.2058373,15.51798367,15.46318712,15.69264396,15.22403606,15.22403606
Sri Lanka,5.26222633,5.62167324,5.7040585,7.02667631,6.80615706,6.77916641,6.27784476,6.7011921,7.17955716,8.58429124,7.96962292,8.13805705,7.82280027,7.05352536,5.944787,5.76743568
Sudan,11.54927369,11.80065489,11.863206,11.96598946,8.86683513,8.28952014,8.03767265,7.69027833,7.1732701,7.20193647,5.73655813,6.62167637,7.70804404,9.84658868,9.88826713,9.75990552
Suriname,10.96364699,10.96364699,11.85333333,8.84336735,10.68606322,9.6860958,11.08744202,11.22754491,12.02860858,11.59594571,11.64862272,13.79053138,11.89178476,11.89178476,11.89178476,11.89178476
Svalbard,,,,,,,,,,,,,,,,
Swaziland,12.62751453,11.98641866,12.17643841,11.33182844,10.4913188,10.54937647,10.14554156,9.87711916,12.11865887,8.77783292,10.00889081,12.18651266,10.45430988,10.24729012,10.0630479,10.11511147
Sweden,10.62570567,11.3298166,11.35522132,11.8448836,12.09307603,12.60433852,13.18351253,13.51521642,13.71410139,13.64994035,13.65605861,13.77174677,14.23813431,14.5550215,14.80600696,14.80600696
Switzerland,14.64584922,15.35605217,15.39578908,15.39306564,16.40110572,16.03149194,17.333332,17.42348297,18.04773155,18.35591879,18.91924684,18.99617671,19.47144584,19.71039561,19.91157441,19.90091242
Syria,7.71414466,7.17894177,6.63114269,6.53181627,6.46298472,6.53594771,6.52173913,6.48925752,6.31285714,6.05517241,6.79720239,6.39483354,6.39483354,6.39483354,6.00323873,5.58046125
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,7.4177862,7.24992297,8.48384492,8.20724342,6.98611431,6.45856016,6.4122004,5.63566933,5.60956118,5.33443224,5.87653786,5.92534293,4.3406106,5.03544923,5.40511803,6.10672825
Tanzania,10.21488291,10.21488291,10.21488291,10.21488291,10.21488291,10.21488291,11.17283794,10.91115495,11.28843287,8.47637719,9.27324159,14.40070183,13.66630296,13.6921928,12.92724522,13.79304061
Thailand,9.74893586,9.9972089,9.74669905,8.25203941,7.29427219,9.94928036,9.03268241,9.31891614,11.98759029,11.6615092,11.55462207,12.9862839,13.10888646,14.2712378,13.32137694,12.70156749
Timor-Leste,10.82377739,6.98407663,10.82377739,6.7085777,8.65573797,12.6971831,42.37816764,41.19201521,35.46423358,35.51232166,38.28681424,23.46523517,19.30766572,9.90099821,7.76502732,4.70746505
Togo,8.4823436,8.4823436,8.4823436,8.4823436,8.4823436,8.4823436,8.4823436,6.9022832,9.52814952,10.13618418,9.8369395,10.15580739,10.57281947,13.49782866,15.38202953,15.38202953
Tokelau,,,,,,,,,,,,,,,,
Tonga,12.38677633,12.05682284,13.09118951,14.43215318,17.15823766,13.33349736,15.64770249,11.82744805,17.86617418,14.15728971,16.92770895,17.79148062,22.94963333,23.54992555,11.65543792,12.93021843
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,7.91113083,6.82406429,5.28694025,4.32739858,6.40101841,5.78783547,6.55773168,8.83642931,8.272459,8.34525513,10.92028986,8.25499412,8.26672874,8.8024628,9.58127263,9.28173161
Tunisia,8.19547834,7.67205152,7.6070024,7.77065617,7.88938235,8.10990269,8.40679459,8.06899221,9.07007258,8.70762317,9.21348504,9.73572005,9.75636123,10.4627592,10.69473762,10.69473762
Turkey,10.66059157,10.0494543,10.77844475,11.52913462,10.34038076,9.76340789,9.54492495,9.07152001,9.728846,10.75277234,11.28222414,11.94999651,12.13292163,12.78657499,12.78657499,12.78657499
Turkmenistan,9.21491583,13.8610769,13.89390289,14.2441463,12.30077121,13.71507924,13.71441305,13.47051329,13.9949081,12.80389054,10.56989157,10.29068806,10.42308385,9.86098018,9.86098018,9.86098018
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,4.00457569,4.60134462,4.4274624,6.32956404,6.5190774,7.14557203,10.3227883,12.69590092,19.23953291,19.45838434,18.39467376,25.32450311,23.39457473,16.93503734,11.95776062,14.37090308
Uganda,9.84766966,9.84766966,9.84766966,9.84766966,11.33717566,7.25626318,9.69293992,9.69123647,9.95071315,9.40970167,11.20942681,10.1808634,9.77548433,10.58018867,13.6204532,12.11128189
Ukraine,9.30470872,9.30470872,9.30470872,9.30470872,8.62426966,8.39894252,8.92166344,9.35146665,10.40925961,9.34314638,8.74579654,8.69510132,9.08503429,8.40976696,8.88064213,9.4137578
United Arab Emirates,8.08588825,7.12947285,8.75743505,7.99770541,8.0078947,7.64416333,7.72859171,7.98061949,8.3485062,8.21055557,8.69494998,8.95195728,8.92498978,8.85090542,8.75834699,8.7897004
United Kingdom,13.04890816,13.42889738,13.10281174,13.5481609,14.28882064,15.10508635,14.39321514,14.68143416,14.75551395,15.13748316,15.30009095,15.58877599,15.58606482,15.23736538,16.02563523,16.02563523
United States,16.401193,16.58734728,16.82312462,16.80155321,16.82820908,17.09712241,17.77216852,18.21412786,18.83366898,19.19788679,19.13340053,19.75296497,19.66403118,19.41386116,19.64374842,22.35339582
Uruguay,22.2410596,19.40103627,11.61067769,12.64619697,20.98482089,20.47101449,17.52519305,16.05667285,12.46691075,12.28575274,12.88508116,11.64932657,11.65412987,13.90872279,20.24179548,20.35091666
USSR,,,,,,,,,,,,,,,,
Uzbekistan,7.16230799,6.951489,7.51467053,6.19758254,6.37116516,6.04929011,6.6252103,6.26021256,7.3625873,7.53895915,7.43013596,8.22030415,7.62173606,7.61935906,8.01353417,8.54115978
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,7.80576948,7.01628766,10.33802577,10.51754774,10.68240478,10.48535469,11.97466304,12.63777706,13.91294307,13.66752403,12.88749775,12.42149092,14.75588063,14.78872158,16.3726887,18.19090142
Venezuela,7.79764523,6.55589425,5.44559029,6.18988762,8.52880627,7.98281846,7.67827728,7.56135258,7.20205473,8.90213883,9.06805457,9.12637342,7.07416106,8.41372465,8.55955329,7.52338722
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,7.37072869,7.06046825,6.48283477,7.62337216,7.15546618,6.62178578,6.51750441,5.66388656,5.6744816,5.06397869,5.03542488,6.424241,8.67719363,7.84999726,7.79009752,7.79009752
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,6.91512248,5.17451998,6.12580239,7.83179366,8.4865902,8.29692326,8.37170546,7.70737842,7.62264131,6.2371129,4.79626631,4.87135801,4.30348309,4.29934871,4.31006841,4.32473277
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,10.37481987,13.26721236,15.54354718,13.28164379,9.75631803,9.37665712,10.50694541,13.6056426,13.24783379,14.22965152,14.73548517,16.38480679,13.39064803,15.28970473,15.68317873,15.64245197
Zimbabwe,12.05119288,12.05119288,12.05119288,12.05119288,10.03460584,10.70886527,9.25940428,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
