Estimated new births,1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2030
Afghanistan,446767,491878,548116,615496,691210,775542,659100,721504,949627,1181591,1347011,1526034,2023592
Albania,51638,63200,69711,70702,72131,72544,75927,79770,76626,66127,52882,53175,46251
Algeria,486117,532634,568153,643221,729491,803022,853028,830776,774614,638043,657806,701919,571627
Angola,231936,251988,267050,284619,312114,328856,381686,423669,466918,491899,532955,545255,594192
Argentina,463482,486516,503187,524176,586255,697065,681656,703851,723994,716532,692414,706647,619970
Armenia,49060,61526,69529,59338,60283,67997,77110,79629,61700,41200,42525,45188,34290
Aruba,2329,2181,1956,1510,1340,1326,1394,1360,1214,1088,945,859,846
Australia,203821,224283,240382,239008,261587,227550,238338,248117,259546,251971,250616,262476,267305
Austria,103121,118247,132659,126040,103202,87912,90937,86638,91821,82515,78990,74982,72387
Azerbaijan,128254,146676,173395,161956,143382,150439,168292,184928,195565,145802,133945,153502,121152
Bahamas,3068,3660,4847,5101,5332,5541,6107,5856,6341,6049,5381,5185,4294
Bahrain,5568,6543,8418,9019,8603,11098,12891,14648,14044,12982,13089,13038,11840
Bangladesh,2271928,2477853,2750601,3008094,3414100,3839665,4075678,3936273,3731270,3610844,3517692,3314924,3246549
Barbados,7259,7250,6714,5709,5073,4428,4413,4254,3866,3416,3221,3168,2774
Belarus,175471,193738,179326,148662,147599,150021,164119,161277,125445,98227,95800,102571,79507
Belgium,144975,154231,158982,147088,132647,120945,118976,117936,120602,114635,112017,117492,109572
Belize,3575,3825,4232,4709,5241,5846,6236,6764,7311,7428,7446,7500,7037
Benin,70014,82697,98211,114480,131424,151569,174752,201856,233654,267981,296885,328471,356194
Bhutan,35940,40147,43627,47471,51489,55476,57913,62456,61102,56722,54995,51151,51676
Bolivia,138287,153729,168609,187798,211542,213374,220312,231459,252474,255734,259697,252919,212583
Bosnia and Herzegovina,106189,108597,105845,91110,82357,81046,76657,74507,51158,47132,41660,42084,33702
Botswana,21065,22773,24285,25901,29207,36933,42778,44411,44907,45435,42442,40429,28644
Brazil,2565176,2906224,3294153,3344626,3488989,3815231,4066354,3834069,3583195,3689405,3610253,3148261,2391056
Brunei,2627,3490,4053,4297,5100,5347,6261,6612,7927,8073,7727,7895,8211
Bulgaria,154709,144505,134340,133244,139746,139180,123497,116856,85685,67338,65898,69417,48626
Burkina Faso,213242,226794,234748,246070,259804,292541,329747,375876,433325,490846,571925,705872,863388
Burundi,120536,126575,136163,151164,155621,175513,221545,252004,249307,249201,261733,300544,359580
Cambodia,218101,247014,280617,313558,300667,225703,391724,396994,436054,384055,339875,358108,362569
Cameroon,220377,233729,258911,288001,324384,370842,426783,476208,523678,550593,616294,670073,653055
Canada,421490,483698,476027,389456,351477,365544,377899,382901,398700,354622,341138,357842,407731
Cape Verde,8122,9510,10521,10808,10756,10225,12525,13531,13238,12393,11454,10338,7538
Central African Rep.,54633,61304,68005,76637,83967,93947,107899,122515,135904,151686,158612,157983,145881
Chad,126305,135247,145925,163079,188225,216963,244348,270471,315794,371985,433614,483207,647534
Channel Islands,1529,1605,1999,1903,1606,1452,1508,1728,1854,1720,1624,1482,1414
Chile,234350,280359,306845,282808,270366,246927,272759,298594,301163,266341,246358,247145,227889
China,25446278,23558920,25895296,28598007,25208491,20590057,22025251,26135070,22311405,19744283,17996371,17960325,15145958
Colombia,600673,674738,769831,828047,798034,840024,860199,887851,919106,918970,916024,924305,847799
Comoros,7344,8537,9428,10457,12033,15041,17364,16054,16448,18098,20963,23947,26894
"Congo, Dem. Rep.",678555,750667,853298,977105,1127803,1313348,1545850,1838720,2181903,2442355,2760450,3001057,3751400
"Congo, Rep.",36763,40632,45903,52190,59127,67216,74458,82504,93517,103484,124248,135617,162311
Costa Rica,42788,52052,61757,59387,57488,65966,74706,83029,80072,76805,74462,69767,67428
Cote d'Ivoire,155357,177616,211973,264083,330457,389871,437115,475729,523873,559669,615429,645390,640691
Croatia,88325,78639,72093,66619,63351,67631,65135,59002,47866,46275,41344,42921,38483
Cuba,193682,192010,262761,261300,238122,167391,163132,181714,164485,144526,135757,120203,100419
Cyprus,14111,15233,14674,12690,11410,11389,13258,12928,12598,10489,9236,9126,9317
Czech Rep.,178757,149154,141556,141363,173085,178552,140885,131233,120375,89387,91870,107974,85745
Denmark,78210,75945,80417,79191,73520,62833,52728,58117,67190,67069,64811,63327,63938
Djibouti,3241,3754,4935,6886,9013,11202,13925,14097,15814,14606,14353,14522,15159
Dominican Rep.,135621,159444,177904,186919,189462,191904,203208,210755,215138,209783,213585,214845,198462
Ecuador,165920,186617,212465,239487,263207,285902,298727,302815,302144,310637,303123,292327,268117
Egypt,1086167,1210421,1278600,1352305,1398248,1598377,1835215,2036066,1769159,1816681,1923187,2027018,1866125
El Salvador,98296,116476,134814,148758,162551,175068,162920,161480,163050,161690,141417,143803,155095
Equatorial Guinea,8990,9567,10047,10705,9978,6403,12972,17397,18565,19112,19829,21384,23507
Eritrea,70507,76961,82113,88415,107796,114336,114129,122516,148960,159276,172244,187477,182552
Estonia,19672,19831,19798,19628,21741,21953,23271,24504,16685,12809,13201,15385,10713
Ethiopia,1048086,1114194,1232871,1356271,1472578,1625515,1849159,2141236,2542011,2710415,2824324,3017321,2977752
Fiji,14470,17127,18331,18082,18087,20256,21454,21460,20837,20656,20103,19665,19512
Finland,94461,86847,81691,74116,60939,64967,65116,62278,65539,59175,57051,58358,54069
France,806170,819322,874743,842287,838528,737507,775044,764125,734048,744835,773801,748228,667867
French Guiana,991,998,1094,1383,1573,1606,2257,3159,4338,4864,5251,5221,5043
French Polynesia,2892,3497,3860,4705,4602,4552,5037,5697,5519,5134,5024,5109,4690
Gabon,12926,13199,14455,16119,19849,27209,29922,34283,38535,38548,39758,40789,44534
Gambia,12906,15345,18624,22139,25800,29847,33696,38814,46543,54041,59640,64200,77809
Georgia,89973,98352,101177,90435,89375,89589,92408,93264,81417,61649,56187,56107,41699
