"Residential electricity consumption, per person (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Iraq,,,,,,,,,,,,150.3527969,150.6009836,176.8254951,173.7352864,195.8472968,220.8506999,198.4718599,235.7303114,294.2955518,343.2987857,350.3486765,384.7356956,482.8124411,561.0306331,584.1003988,599.590653,622.1806678,,,,,,,,,,,,,,,,,,,,,
Ireland,343.9884605,362.3403399,407.8472509,423.2340632,459.9291411,490.0047357,519.1641678,545.9414986,615.0463107,650.9238173,721.1222874,769.3692308,811.2159569,842.92145,868.2184751,824.1183521,881.8738088,932.0421834,990.8240616,1084.453821,1057.232314,1033.757513,1036.680822,1055.269823,1064.232332,1117.997814,1149.197074,1195.72919,1192.13431,1232.716441,1180.874967,1232.530566,1294.867497,1309.778191,1343.571957,1372.72933,1435.556231,1452.309821,1486.691898,1602.628173,1681.61097,1754.672014,1696.293193,1775.538492,1850.916974,1871.005569,1990.149497,1962.59006,2051.802338
Israel,,,,,,,,,,,,559.6754066,633.5338398,682.5499631,661.7618628,696.5569211,733.2708656,759.0216761,796.8311549,796.9180015,798.8117372,762.5003722,833.3923903,884.0640119,829.5501287,857.8304599,870.3227664,953.5046732,1133.053267,1190.810531,1178.607472,1179.91606,1394.747166,1388.003898,1484.771719,1530.495303,1594.179225,1713.441074,1799.762485,1774.914353,1980.175122,1989.043557,2111.158411,2160.926574,2180.902664,2186.03237,2253.670129,2342.06638,2342.435248
Italy,127.7183331,139.7629366,158.8108762,184.1994211,208.1180433,233.8308488,254.366303,275.4397094,299.4314664,329.897884,361.5000643,425.7740082,447.6064922,479.7307564,494.9985796,498.4891366,536.5361248,564.968363,608.1448847,645.6453466,670.3627022,687.7749,726.6636834,724.691723,765.5932439,784.5594384,805.4845193,848.632402,868.383033,898.6499225,929.4467574,963.7231392,980.7917363,989.3981003,997.4607021,999.6468399,1011.163336,1017.676891,1030.153639,1054.237812,1058.969201,1064.295279,1087.029077,1121.199129,1147.207733,1152.642975,1163.652005,1156.229076,1176.385457
Jamaica,,,,,,,,,,,,112.8818533,141.6943697,144.4000399,143.9075951,155.8564839,162.2125371,160.9144136,161.0794603,149.5345555,142.703164,139.5063603,143.1744905,158.2730703,159.1044722,146.6633199,158.0014222,179.263296,174.263389,200.2484859,223.6422249,226.0180706,225.3814946,235.9754812,253.6500735,305.39365,312.6715776,320.0498872,331.2517853,339.6025087,341.1094692,400.7858382,414.0111511,411.7963288,398.6183888,404.7491007,397.8057042,410.8458016,368.4346061
Japan,173.2665553,202.2623757,239.0034652,277.9083035,321.0349629,363.1223892,409.9332172,466.2368452,507.1495213,613.6499991,678.6406855,591.023103,657.1117715,728.6412359,716.1542269,788.9162214,841.6778219,891.0780499,967.6285299,999.4081753,994.0464974,1030.92048,1077.987494,1150.916096,1184.387424,1222.511535,1239.367251,1307.969582,1359.121715,1434.955563,1490.893836,1548.368834,1596.749738,1637.11377,1765.039295,1833.843016,1853.900625,1877.501846,1937.691798,1990.114177,2035.523705,2027.172816,2092.685594,2056.69235,2151.620568,2222.077213,2193.914991,2283.329493,2257.572233
Jordan,,,,,,,,,,,,,,,,51.03638461,62.05463355,67.10358723,74.75529521,108.3286881,138.7335994,155.336467,191.7661079,220.9863234,238.5414002,249.3075445,257.3675851,267.0653629,281.5519877,278.2888317,267.9775749,255.3733357,277.755293,299.2327667,322.6871598,338.5103465,358.0311646,359.745581,379.9276389,378.9788039,396.3851578,409.5138761,471.1190077,490.5406679,524.0462204,553.0766536,618.2166162,663.7361571,719.4765302
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0997749,490.1960258,427.2586244,386.2166051,350.8005596,354.819889,362.4209819,317.0445259,350.1767908,354.2403562,375.7068388,386.5007768,410.2584762,440.5632707,455.3670233,484.098988
Kenya,,,,,,,,,,,,15.2180352,15.94337798,16.10601749,16.38082963,17.4223857,16.84717616,17.10605029,17.90810023,28.68539197,28.04918206,29.26029857,28.9949071,29.32479761,30.02871793,30.2635741,29.01041174,35.4341105,33.53914909,32.20800044,33.39869023,34.12005237,35.05751255,35.91763581,36.97090694,30.01263482,30.61525073,32.09626425,33.20504547,30.15833989,26.68406243,29.33423754,31.26076144,32.64650709,33.96391662,35.27133317,38.44206393,41.98993731,41.18000321
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,29.41258583,34.5980785,45.41069058,49.1267935,57.43501261,66.6600725,79.8529921,105.7215036,132.7035861,139.4910571,153.2956718,167.8326761,194.046448,216.7642494,236.0862069,249.9357941,275.4087497,314.372201,357.5521567,413.7766755,449.8243978,497.6532208,540.0120431,593.0606094,625.3977384,670.1804366,704.3137327,706.5721934,736.3242571,783.6922834,822.2204998,881.5167673,924.8533007,1004.076826,1046.103112,1075.739494,1105.188847,1142.309009
Kuwait,,,,,,,,,,,,2130.687471,2197.717398,2283.480203,2362.556839,2453.534838,2352.158977,2543.52102,2748.553293,3240.966261,3070.413259,3456.872282,3940.624804,3928.35648,4184.434385,4412.667472,4693.117099,4494.627772,4562.060221,4619.703916,4389.189411,6715.593577,8117.983492,7945.367425,7777.4665,7615.474122,7454.854642,7305.836026,7176.118784,7061.251502,6935.375705,7140.010931,7316.75782,7275.624006,7577.278961,8215.901317,8258.622325,8159.727781,8362.567977
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.026955,215.8328514,375.3370441,567.1132782,418.2472043,421.5026048,369.9945935,339.9358291,340.0264572,405.1537076,484.7241816,370.1703191,346.6933983,481.2437763,490.1078417,573.1383148,624.7890273,532.6319375,428.3123071
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.8939439,490.0350393,452.7035261,336.4199433,376.5242525,466.7223658,444.3388854,444.2567408,460.4725728,479.2693606,500.4734578,525.4881708,562.872509,611.8341173,636.1966105,686.5153956,759.7856629,794.0149482,904.6694454
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.605112,598.7633053,765.4164096,1085.604442,889.2722922,837.970476,821.4462731,836.6429907,840.8872769,898.2577914,917.0835874,893.1459979,896.131968,854.8149817,871.8114961,913.8456602
Libya,,,,,,,,,,,,98.21824692,104.4202764,198.9659955,226.0362939,284.5306168,342.8768416,418.1835363,483.1481646,569.3212774,543.9156707,520.3692615,498.5834823,478.4862181,459.9549949,453.6350003,600.9939998,731.2140469,781.0643562,759.0430131,738.3283303,739.2530678,759.2153926,763.1500606,727.5000943,707.0077426,677.837958,876.8992682,1177.73529,1135.700064,1166.285214,1280.236752,670.3158542,679.3275195,716.9787298,1228.548671,1363.969496,1173.658449,846.0149226
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.9676273,496.0191846,485.4563036,422.1411145,418.8668064,420.3744525,437.8818728,469.4691478,476.1632736,515.6110969,483.6154627,498.7529963,498.5439906,523.5612943,572.7355117,595.3887723,655.4614092,689.2701903,758.8587192
Luxembourg,156.0944552,157.8342723,174.6222292,185.1613699,198.3575896,250.4221418,287.5672891,340.3475696,387.1276428,468.2324148,495.4101435,537.4799065,565.5951529,622.1693252,704.2529221,794.1253656,887.2005544,982.3319961,1088.293068,1182.030909,1276.299945,1395.981938,1435.790691,1448.803313,1515.54009,1579.938393,1637.066709,1676.564979,1664.197442,1673.93699,1501.709029,1552.641288,1566.953423,1623.065182,1607.695787,1613.650294,1590.888042,1506.159225,1545.43106,1523.878556,1493.054331,1490.896243,1482.12287,1499.950303,1567.205905,1553.939616,1574.860849,1559.976053,1566.106139
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.4243097,486.0769185,482.0001471,520.2995555,565.5782976,595.8085134,628.530285,652.1318907,677.3192362,722.5159303,748.7260966,767.9703238
Malta,,,,,,,,,,,,,,,,,,,,,,,,461.0510635,563.5955478,576.4078389,585.7527299,601.7464697,687.7194837,709.3415287,729.718886,744.7993403,765.3804213,764.9860003,1022.651563,1061.500214,1139.792769,1206.631519,1296.886994,1395.303701,1433.786181,1378.245503,1448.744266,1591.9743,1549.978959,1563.510616,1646.91545,1637.599383,1598.673959
Mexico,,,,,,,,,,,,126.8082084,136.1341022,150.3120638,93.19565354,99.8234218,107.7983118,115.4850679,126.6615059,137.8456681,146.8935941,160.2563397,174.6663049,176.9469252,178.6546261,186.1155109,192.2647503,196.1350398,205.7673615,225.7058951,240.1812889,254.2659042,273.0569589,284.3435872,304.2658381,306.5462516,301.8491202,309.3205391,325.5143179,338.2990379,361.4502338,376.4444768,376.1413413,385.5277996,389.2960327,434.510767,450.2645029,458.9288772,431.6253788
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.4494945,415.4268448,395.2975788,414.6741828,377.1509058,417.1533065,438.2280438,397.8851852,377.9005989,275.7691627,275.1782062,323.1942088,285.0860573,335.0077689,353.8286433,379.3814771,394.7690625,289.0783965,304.9401148
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,226.4913422,231.580297,227.8175287,229.4297692,221.4225459,213.0020484,199.3018461,154.3860045,172.8609035,199.3553379,230.1436673,171.676017,177.2001878,186.1626532,194.1418836,198.818095,203.2925494,206.4514025,220.5155522,237.3838609,254.4101041,285.3395212,291.9672721,303.8054487
Morocco,,,,,,,,,,,,29.73552832,34.03837061,34.06820463,35.13708264,35.62503562,37.5283073,40.82935201,44.57500081,47.16952285,51.22213309,52.71473496,60.55925991,64.23435651,63.35680087,67.95257535,69.36516385,75.92482524,80.37970858,82.38650783,86.94765284,96.11912919,104.4057596,106.8090719,116.2626771,120.654821,122.4963916,126.4532899,132.3793799,133.5858317,137.5970308,128.3951365,135.0675991,146.8269258,155.6362023,169.9879963,184.4425748,194.0381214,209.0945173
Mozambique,,,,,,,,,,,,18.03437425,17.63896699,20.02756367,23.62945614,19.7493435,21.73163861,20.04338477,21.19601451,12.853144,12.8920922,12.78230174,17.16334731,13.31184718,10.29357646,11.48524232,13.39447929,14.04229398,14.46182534,16.27625176,17.54461615,19.97233014,19.15131918,20.86135296,17.6421662,17.33048595,15.93628068,18.31287138,19.82280543,21.7948027,22.06553782,24.38467951,22.41417403,21.91777972,23.44543975,27.46968097,29.31469349,28.8749806,31.3868377
Myanmar,,,,,,,,,,,,4.15561228,4.391933786,4.483016309,4.900299865,4.875636016,5.916340928,6.788820394,7.364062424,7.930588915,8.15169101,7.791065703,9.228763578,9.644093502,10.37340418,11.13412863,11.68750956,12.6506592,12.95443928,14.59419456,15.83928381,16.38941147,18.89527239,21.54896538,23.5747594,24.33229024,24.6719241,27.91391446,25.87894782,25.00754398,28.99705234,27.57816832,31.38854857,35.02668142,35.73289707,31.13554273,35.94790817,32.43749149,38.00563737
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,3.867529525,4.915248571,3.07511121,3.931985804,3.690952655,5.22187197,5.455580262,5.883379217,6.489840992,5.261834717,5.974088031,7.598076361,8.08805055,9.512130569,8.39462695,9.445253601,10.60625612,10.72359658,12.5266265,13.76688384,14.1305363,13.0397016,13.43444451,14.36678156,15.29447568,16.12757449,16.74133334,17.74488802,19.69071169,21.66195945,23.49691666,24.23726025,25.58114414,28.56003395,29.6333065,28.49863509,30.90330184,31.54456397
Netherlands,243.2093627,265.9707392,301.0107703,337.2670706,365.775081,408.4692158,458.0584771,494.8964064,547.8530383,601.9882421,664.9276219,707.0514809,751.0800027,815.6454159,830.3942843,911.1433208,981.3738097,984.2246868,1030.410987,1066.050576,1071.113723,1063.222927,1047.95798,1065.753284,1099.363995,1104.303386,1111.930757,1132.129101,1050.229251,1077.71434,1103.766108,1135.193698,1153.477564,1172.06481,1202.905463,1274.6282,1288.372388,1307.681722,1325.396614,1351.659001,1371.142004,1380.680875,1415.328866,1438.256952,1442.269185,1477.15222,1506.080628,1466.353292,1490.056909
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,1033.180197,1095.800407,1148.666669,1264.9098,1326.267351,1433.752954,1508.336418,1522.551011,2129.052968,2192.253957,2270.524071,2370.26624,2521.364624,2486.495011,2469.709443,2695.654801,2663.509898,2627.412089,2584.646086,2499.699363,2535.036607,2595.076897,2720.499569,2767.458432,2744.706957,2753.637574,2849.10568,2841.189178,2855.336672,2940.410051,3055.671895,3083.896479,2945.544668,2951.846336,2950.553763,2987.926926,3001.479084,3000.387369,2990.973073,2973.962496,2967.73467,2995.004251,2991.554077,3051.438397,3083.320082,3016.555179,3105.211769,3024.765095,2993.09266
Nicaragua,,,,,,,,,,,,104.7303467,112.7139944,90.33920047,112.1083703,121.5358617,133.0552561,144.8629491,147.2032845,120.5106949,134.4116627,133.4110195,135.2854361,141.7298957,142.6038754,119.1417196,115.2586232,149.2335947,142.7195826,88.10104476,100.1878034,103.8530449,107.7860913,106.2860508,94.09699913,93.569573,93.60193217,99.59332884,95.41104585,95.36147828,90.84397517,89.70371947,91.33446335,98.04560794,100.955543,110.3563594,115.4579616,121.4239283,126.8265778
Nigeria,,,,,,,,,,,,11.07690872,11.87409436,13.73940627,15.8899538,17.70589688,22.5487063,25.72430918,34.55242569,29.31811285,31.07767884,38.47319735,41.32761539,42.2974271,37.8874786,42.01951902,52.62745408,50.34533875,46.39604521,53.26290977,44.62428,44.26633662,46.49297219,54.43573551,51.20423462,49.03809282,43.82490596,41.92535506,40.24409913,39.5929319,38.77110948,39.36651005,64.35618607,62.46723265,76.01703019,80.02013672,59.40714197,74.7443485,74.0642409
Norway,2271.41052,2341.825409,2618.831318,2821.150611,2967.505954,3170.195847,3406.651192,3453.060531,3806.672169,3721.543707,3859.737808,3763.898808,3900.52002,4029.646992,4189.692341,4404.491603,4702.109369,5040.473506,5160.499429,5487.766435,5513.74189,5824.154326,6096.187822,6244.171957,6817.254053,6963.700913,7182.934496,7218.675871,6961.548943,6831.099267,7143.896972,7654.132842,7618.562103,7605.096346,7845.045563,7945.040241,8055.72253,7713.719051,7908.08453,7853.315613,7712.411045,7947.044963,7640.291301,7030.944404,7085.016461,7405.142057,7298.497074,7552.906127,7432.130852
Oman,,,,,,,,,,,,7.477105485,12.06416983,24.51667651,47.49864031,77.75533377,128.6232988,187.1853289,204.996732,249.2571055,322.6505183,391.0408944,468.1684457,548.0784103,654.1298513,779.0347243,956.1471473,983.9387357,1056.599379,1061.744839,1175.0736,1188.32945,1304.531748,1443.88312,1496.951781,1466.757065,1379.694328,1421.673901,1553.546885,1546.89404,1565.773705,1611.915149,1626.996995,1650.740149,1709.476781,1585.782109,1866.413479,1920.532148,2124.608816
Pakistan,,,,,,,,,,,,9.410304005,9.161281824,8.930042336,10.15107847,11.40591331,12.33609197,14.43588311,16.19253254,20.71407027,27.66309184,30.49733502,35.24498741,39.85961235,47.00821139,51.2507131,57.28802532,64.71553311,72.90209791,77.87780406,81.70543861,88.48738026,109.7103249,114.971184,124.1657333,133.0953809,134.3976398,138.335101,139.54249,150.6293182,155.5872453,154.4165636,154.0267896,165.5740344,173.4083137,189.1733765,201.0873609,199.1489564,186.925515
Panama,,,,,,,,,,,,162.0940434,186.2516456,203.1512674,201.051692,206.5845588,219.6119769,219.0871201,220.5900817,232.4356491,233.6279105,238.0398963,245.0958083,254.181344,246.2451821,258.7865557,274.82846,294.2438163,285.0023927,261.9672847,266.5284454,276.1490904,288.1809837,296.2705071,305.9145315,322.5769871,322.0231427,342.7164146,360.508085,367.1624088,386.9898061,394.8123245,421.6916387,441.2343984,465.5265929,476.4836738,480.7655142,492.3510497,500.2885055
Paraguay,,,,,,,,,,,,33.41116078,35.96525616,43.09623403,47.6156636,54.03686967,60.29543557,69.70610093,78.67810484,88.49649396,108.6931887,120.2984574,129.8341244,142.6876416,152.6811542,154.8683256,170.849954,182.458621,202.0334305,203.6044721,232.097248,257.0132723,286.1834701,334.597494,398.7044711,448.014607,463.3088055,480.4785761,484.2494342,508.2117347,514.6089926,507.054897,476.2526377,431.0935016,430.353925,494.8996201,522.9587622,502.8542733,528.648051
Peru,,,,,,,,,,,,110.4979857,127.4352039,126.3615632,138.7076804,161.032078,155.2946983,170.8239317,163.6053382,168.3518995,174.0670672,182.0117345,191.7572835,196.5041008,192.2397533,192.861949,200.4716959,213.0020978,206.8727717,194.2544261,198.3487523,221.1869145,193.2988635,198.9877417,202.9030518,206.9029465,221.9293625,229.2707762,186.2170279,184.8907246,193.8013856,200.1419258,209.6424437,217.205718,232.8304947,250.8541874,278.4343977,223.023718,239.389457
Philippines,,,,,,,,,,,,,,,,34.22149597,34.96016378,37.91426268,52.8205086,49.70879783,57.66623802,65.61163195,67.15044234,72.97805723,75.02628646,78.25031184,60.30188244,78.35754227,83.17896651,82.17738782,87.22284824,95.00282388,90.10970478,92.82986895,103.8813209,114.6789468,124.7055282,139.6942868,155.8989877,152.010008,161.7299877,166.5168972,165.2804886,181.5146417,184.6307083,182.4988249,176.9652791,179.8357002,179.6151806
Poland,67.73813527,73.53148771,79.60649553,78.54751344,78.17256272,83.91792263,91.76453355,100.3472106,108.6201508,117.4901775,127.4287007,138.2281306,151.5124043,164.470464,182.1514995,204.545361,230.8908837,246.1647917,262.7797229,281.1607281,301.2514492,338.8447038,348.6112579,326.5705853,383.4135888,400.9769979,417.2542005,452.2986467,470.8660364,495.1358102,530.4289846,528.3120224,493.8771495,473.3648049,472.3756682,468.3407468,497.7359296,511.5659236,525.4282429,538.0435535,544.2566581,553.2565547,560.8375726,643.902495,660.4533898,655.0535822,686.9204673,684.7079652,704.3997516
Portugal,51.02338022,56.03807689,61.87503492,68.06193182,74.11583228,82.06234301,86.19590945,93.72223882,102.4863407,115.8806798,134.5855974,157.4175597,171.0366949,185.9747904,202.3819153,216.5920037,243.7569541,268.1955561,290.0886854,312.8725166,335.0027102,357.8280255,380.0007384,372.8293965,412.4000082,449.9055247,473.1653567,495.2839801,515.181958,571.4941641,596.7198609,665.4079878,684.7746362,714.0249635,738.0895776,781.4198916,835.8007659,829.4773441,859.2399911,926.2239861,973.1232826,1023.121711,1091.067076,1129.502016,1181.496241,1253.465628,1264.244525,1302.800808,1259.392457
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,4333.121111,4000.581313,3730.771335,3514.45858,4343.599304,5101.88873,5804.454117,5970.107235,6837.75716,5647.037248,4968.748316,5660.44754,5515.456082,6242.544926,5524.373688,4716.873293,3963.519096,3260.219099,2598.833538,2556.720466,3568.218124,4014.913408,4395.491833,4759.453844
Romania,,,,,,,,,,,,122.7891712,139.745867,152.8541168,154.9104042,174.989458,198.4438044,221.7070746,246.3355923,244.4831226,220.9612321,230.6253004,225.9234648,222.9141019,213.0981694,213.7926749,220.9278628,211.9274722,196.8829127,188.0251248,234.1894778,295.6429001,333.2613187,308.5074738,292.3299101,313.6356673,359.0073893,352.2413329,351.6826682,350.7221579,340.8785092,344.4522545,346.9149201,368.3817324,359.841175,413.599267,448.3949382,466.4591443,467.5658077
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.8712036,783.6821256,780.2867387,816.6780934,849.2885372,849.0971331,890.235729,898.1105887,910.5123113,950.787766,959.2218938,976.3364325,982.4553872,984.0469877,995.6015528,759.547971,787.6301116,814.4362354,825.9411107
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,1242.748859,1341.804144,1462.221296,1508.383698,1647.315615,1666.470838,1697.910418,1803.414709,1832.5642,2005.806913,2130.955188,2121.867565,2111.563677,2097.621415,2136.065756,2334.213152,2386.075157,2421.840512,2574.221873,2672.150792,2797.897299,2844.564354,2964.618197,3184.468603,3257.818874,3433.932449
Senegal,,,,,,,,,,,,13.7098951,10.02643888,10.79065393,10.05877784,10.42445554,11.37348326,12.1675127,13.63832224,15.00645429,15.06500679,15.44148404,14.64205877,16.24306542,15.89996321,16.15876793,15.52778499,16.45733221,15.69718543,16.41660147,17.46827943,17.21250874,18.41947684,19.55718328,20.73605441,21.05510992,21.66194589,24.33498886,33.80171906,32.51968156,38.4604505,44.27298206,47.38647164,51.95128259,50.33276662,58.9522332,53.90087244,63.83871097,55.79474354
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.987412,1259.13883,1221.420221,1554.325662,1595.699755,1581.287429,1601.6056,1690.319308,1656.078084,1530.520947,1611.294944,1612.821612,1612.306668,1612.622445,1346.798833,1401.190406,1386.992091,1372.920603,1387.978521
Singapore,,,,,,,,,,,,218.6961806,242.09895,262.7011765,250.7402547,284.2374878,309.6532508,335.0708382,395.6354436,396.5471366,420.1427234,431.1787244,440.1461988,488.3257383,487.0928959,531.7519747,569.1790642,618.8151876,649.7604335,658.050533,785.1499984,845.4171373,892.6577098,938.8274461,1011.273371,1082.087197,1133.830973,1246.046195,1364.815168,1347.100467,1418.722097,1452.850983,1512.501534,1521.74278,1498.928545,1525.450096,1506.00882,1498.399801,1464.837281
Slovak Republic,,,,,,,,,,,,296.3251107,311.152295,332.8042935,345.4200167,342.5767879,359.1701398,376.2222444,382.3480353,419.7760351,480.356318,485.7574618,509.0016904,522.9839831,542.3261154,573.3220219,591.9375981,618.2692653,634.7799691,685.2008271,699.0177585,719.9858301,698.0472113,777.248955,839.9600132,932.3532591,1014.663762,1023.217728,1037.989231,1051.389061,1003.639677,966.3734011,953.3971688,930.4891509,888.3207417,865.6843927,841.5971363,844.9429408,830.701647
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.630536,1214.034079,1202.691423,1245.270175,1292.063361,1274.92766,1309.871094,1334.493491,1338.012151,1187.483352,1293.904217,1330.30501,1344.514419,1495.593288,1497.679641,1467.64219,1519.911687,1503.82048,1585.174739
South Africa,,,,,,,,,,,,346.6204521,350.5003524,377.4718613,387.9334257,387.0905535,395.7959227,416.6628342,421.4489041,432.6211676,462.3487094,488.607832,469.5124478,450.8656743,473.1184789,478.7151007,502.8983287,519.8331523,532.7518281,572.5932839,584.6939329,588.897511,485.3721786,530.1723461,536.7134811,583.3863782,698.5567695,717.3462443,696.1741253,674.7258625,650.9561603,781.7686193,684.6949195,766.1797885,815.2703924,833.856693,897.9466537,935.9646376,920.1375998
Spain,64.14091269,74.98786593,77.2972824,92.31745163,92.10607261,102.5601481,127.4111705,164.2899878,192.126462,225.3870758,262.0578626,266.4607363,291.8252721,311.5664909,323.7538967,348.8188826,392.0778464,395.5540487,433.706692,476.6178545,522.0159506,539.7678232,534.3834679,571.4653309,611.7954519,603.5363763,643.0392939,683.1353014,693.4489778,752.9433363,767.8487249,782.9815077,794.2629491,816.8003053,876.2259548,905.5279476,942.6669153,1006.442706,1045.137583,1137.608704,1090.232985,1239.649123,1261.318549,1348.787957,1441.294043,1551.63601,1751.25028,1763.758459,1779.50351
Sri Lanka,,,,,,,,,,,,21.45022678,17.4422307,18.72654762,18.88868707,19.76889924,21.17415024,21.89269749,24.42875734,28.26713892,32.01879628,34.72168319,39.78613448,41.24116908,47.32028123,50.13167902,50.88243984,53.66129051,33.05102638,30.94072576,38.27850991,39.16529229,40.03663603,46.34635839,45.98225227,71.14375511,69.43533033,79.43177196,88.02399456,96.42619253,107.1477997,109.7647207,110.2013676,121.384763,130.5926286,142.863089,151.4941639,156.420467,161.0934685
Sudan,,,,,,,,,,,,4.09031309,4.453765526,6.61784371,8.992555825,9.406236944,8.933372295,9.063316392,9.430082341,9.301960223,11.69955065,11.57474488,14.24124541,13.0133487,23.16027544,24.17914159,30.49640621,29.04353319,21.83405114,20.94203869,27.34521469,24.23395586,24.83833121,24.31071736,25.09603923,25.5220679,24.72708937,20.65001449,17.52133125,28.11106131,21.69729235,29.30097923,37.29409076,37.47313439,32.24230961,38.30239642,41.69399698,45.02744939,50.89210138
Sweden,475.9963612,489.4499174,518.5029388,528.7414746,615.0150456,739.4799513,837.0064078,949.975939,1088.892092,1092.689161,1414.686855,1630.877003,1827.891695,1935.267456,1877.292375,2116.323543,2442.940602,2596.797188,2724.222107,2916.465033,3095.206403,3272.032772,3507.308471,3786.23717,4041.064224,4754.25414,4761.313887,4828.568123,4559.617911,4456.792009,4430.028678,4753.101337,4612.667884,4771.601704,4814.888343,4775.417339,4872.656048,4785.849282,4774.251145,4508.54951,4709.725851,4719.014935,4632.527859,4682.734306,4605.008402,4740.252237,4602.343079,4389.85146,4304.514402
Switzerland,645.9573555,664.6696916,713.6829756,718.7335982,767.931646,780.8909978,790.6693129,818.2241135,863.9845825,921.2862138,962.3560555,1097.892426,1020.585459,1134.637758,1119.396502,1171.445303,1240.964159,1310.312528,1385.627306,1498.339199,1578.144417,1583.364739,1542.146078,1608.023992,1745.268365,1822.451548,1864.131054,1908.330003,1889.926696,1956.247788,1989.936024,2062.1979,2089.735063,2076.112088,2067.409524,2128.757341,2126.959718,2065.911645,2098.325812,2151.418687,2164.580161,2213.293348,2204.354273,2251.658175,2297.193111,2353.759061,2353.314973,2313.160704,2361.033336
Syria,,,,,,,,,,,,48.47537948,50.29876266,50.36033912,59.98843129,72.15869953,84.88905003,95.32124728,112.0455333,139.8217676,152.4167279,173.0660866,205.127106,239.2464172,257.4102662,265.6803709,249.2858573,242.9537269,281.5969736,331.6332774,327.4942019,332.463251,372.4081149,368.2815533,376.853491,369.9566482,397.6754353,412.1153721,435.332259,460.4666699,480.1038008,518.0022103,562.5927747,588.5439196,668.1051497,688.0836471,779.7451465,795.9600392,815.0310909
Taiwan,,,,,,,,,,,,183.4965576,202.5842125,226.3767736,237.4021504,271.9102978,308.4435178,338.454338,382.3255704,403.0493378,401.0622994,400.7338188,426.2068482,478.1913368,493.3984603,524.0023461,551.2973621,602.8071973,691.5007807,733.7195713,808.5697366,889.87872,932.3027693,1043.21379,1104.435306,1190.328561,1286.088892,1287.4622,1509.961694,1478.523714,1559.696993,1598.946277,1656.600091,1730.170243,1740.457485,1848.209372,1843.700431,1861.146758,1831.731848
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8332541,200.7277809,212.3333323,243.9526092,303.6434924,343.997331,332.0552736,391.125281,466.0111179,513.6711318,504.8471478,437.2483907,491.9357006,439.0517519,438.3553579,441.623046,437.1884824,428.8428804,405.7753854
Tanzania,,,,,,,,,,,,9.062613284,9.589262448,10.06668472,10.14133456,10.28184844,10.52776029,10.56842833,10.37166902,11.11653168,11.1158978,11.41644075,10.83625078,10.32583094,10.54782077,11.07361522,12.407824,12.54531755,13.80699643,13.82787419,17.74533644,17.33159832,20.78893843,19.8260892,20.48909847,22.39939975,30.84866267,33.34271323,33.65981995,34.92585205,36.05653833,30.98276858,32.38159092,29.93056369,32.24795048,24.48330751,23.26472587,37.23830639,38.63450298
Thailand,,,,,,,,,,,,20.81422859,26.07649278,37.1262202,31.09093039,35.25426287,39.94145904,45.44595741,53.87485134,59.52756661,63.91264372,66.09931838,74.37773526,84.29052177,93.65719222,100.618381,111.1855239,115.9906409,116.5187483,129.0508878,146.5568162,163.6623854,181.0723952,207.9269216,221.8579203,248.4824343,269.4774167,293.4266844,310.1499394,297.1801852,314.8493928,338.0765845,352.1274523,371.4691094,388.1671791,399.1183296,417.9049101,431.0257447,439.5897318
