GINI index,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,29.12,,,,,28.15,,31.09,33.03,,,34.51,,
Algeria,,,,,,,,,,,40.19,,,,,,,35.33,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,58.64,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,42.79,45.28,,,,46.61,45.48,44.89,45.96,48.91,49.52,49.11,50.74,49.81,51.11,53.36,53.79,54.72,50.18,49.28,47.72,47.37,46.26,46.13,44.49
Armenia,,,,,,,,,,,,,,,,,,,44.42,,,36.01,,36.22,35.66,33.8,37.79,36.16,32.84,30.23,30.86,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,35.19,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,29.15,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,34.96,,,,,,36.5,,,,,,,33.71,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,25.88,,26.92,,,28.85,,,27.6,,,,33.46,,,,33.46,,,,,33.22,,,,,32.12
