External debt stocks (% of GNI),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,6.154826348,10.08437493,8.667890075,19.79854449,24.31353831,21.27445258,19.07327904,21.59292338,20.93682126,26.83592078,30.25825181,27.42882788,29.6940169,36.65249397,39.97528951,39.11853084,38.92885866,39.9432646,41.08337191,41.31773144,41.43441033,44.45605102,40.22291314,36.20278974,32.6180753,34.0545707,34.65596332,31.79628204,30.56983671,33.30071345,33.43596335,32.89430234,29.01331456,30.37786728,28.96806413,26.41790731,24.41565286,22.80978987,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.951274563,8.700479444,12.16947351,13.30816794,14.83549437,15.78572856,18.7020522,16.86258166,18.98060124,19.89402215,18.10454316,17.39075731,15.64995562,14.383822,22.70384723,20.05995016,35.3285603,46.78374217,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,7.932499796,7.61880079,8.031683288,6.501140477,5.707936836,4.562334059,10.3547012,18.44712182,25.64710425,48.96177474,32.6530083,31.49319372,39.99827932,54.80817439,48.9578373,59.24385349,54.50782998,50.9018401,43.21699346,39.12477007,35.13427831,37.28146413,36.10120342,36.03102543,35.54206471,42.62353119,45.59515313,71.342105,51.0873112,57.25709989,79.32130701,89.86717869,100.1232462,118.6205727,102.9090817,102.0432695,96.15331314,94.82514133,87.179772,86.63616505,80.25973129,
Benin,,,,,,,,,,,13.11013305,15.47601634,11.59836968,17.92436311,19.51926372,17.64597564,20.22247488,28.32095579,30.55255217,38.21809381,33.86567619,42.17824273,60.09847467,73.79045481,74.65319868,88.13536425,79.27598366,81.13843071,73.34706278,73.09586758,61.99723239,62.73307625,75.95021249,61.48735729,94.55383002,71.07037706,63.71913769,66.35629898,61.77596844,62.21465103,61.8822391,62.0177433,57.37584835,41.87168016,39.88760575,36.10702149,13.85770701,14.07913336,13.7408888,16.23634626,18.41219498,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.28044275,0.9458261503,1.369286587,1.997107557,6.271863678,12.20271481,18.41349726,27.24656193,25.43280841,28.06428686,34.53025409,37.31874051,40.86115597,37.87307557,36.2761996,35.75035312,32.08822887,47.8176194,49.03128924,48.67204038,58.23745499,75.07830311,82.3584066,86.45730423,80.48321002,79.26401279,66.59336716,55.66915452,61.15256145,63.26822312,
Bolivia,,,,,,,,,,,55.63523083,56.3867937,58.12416465,60.5097035,40.40176808,40.29911102,45.1336242,51.81348065,55.6859751,56.52922145,59.5015229,51.10433521,63.85392291,77.55631851,75.20553156,97.0950846,152.7590931,143.5790074,113.0809654,92.51344396,92.40211661,79.62051551,77.64650166,77.88156203,84.17461314,81.18533818,71.79532469,67.7270342,67.35180568,68.58872153,70.78977807,59.16892811,65.00193035,74.5622585,74.16630484,75.30742653,52.44851458,39.52384174,34.25213658,34.45913613,27.8272153,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.89920139,45.49199664,42.2835527,43.85919823,50.0794761,53.19931998,55.47161491,56.95105356,56.11535444,43.40110307,54.59359049,48.83831514,
Botswana,,,,,,,,,,,17.23349731,25.44977246,45.2315477,47.01129662,43.29432483,37.45098852,43.86441416,39.86330313,21.6102299,15.80257495,13.18977041,14.12164032,19.46979047,20.27856639,23.34636226,35.1595525,32.21457267,31.56289225,22.98392739,19.32767929,15.00187485,15.29518979,14.23916887,14.90612357,17.01842339,15.12574296,13.77880828,11.41519278,10.02184374,8.996497412,8.574541811,6.781887822,9.060139863,6.970922675,5.611408455,4.750683373,3.645781205,3.549421982,3.378042462,14.04687835,11.56736952,
Brazil,,,,,,,,,,,13.74230275,15.2854407,19.83293866,18.71656773,21.12612822,22.39971446,22.17493267,24.26503648,27.82943538,28.01291259,31.46808643,32.23888316,35.15046911,51.46337639,52.68286958,49.08940063,42.56236487,42.35376905,37.01708363,25.49700073,26.62643332,30.33586479,33.66955153,33.69015498,28.37281464,21.1732876,21.90751401,23.21062631,29.25072616,42.97149782,38.53891354,42.87172439,47.48513621,43.96333617,34.14061445,21.88461481,18.2165203,17.76021264,16.24727756,17.72322558,16.93260114,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,3.89157889,6.683778516,10.3007423,14.8732754,22.01156054,29.14108198,29.4031537,39.62187032,48.00430496,57.06561447,119.4160217,116.0437203,114.4592653,103.3247277,82.12988044,122.0670171,114.4700581,89.25878913,84.48402987,89.1265609,75.55130484,70.324615,63.54467841,61.22413428,54.17689499,64.86651415,84.79583231,98.67263478,114.0702064,104.8101381,
Burkina Faso,,,,,,,,,,,4.556083768,4.928967335,3.470253688,4.601779798,6.318204193,6.739411499,8.822576333,14.78641739,17.93721404,16.96294913,17.16923978,18.5815853,20.17252111,25.01079934,28.17779099,33.14674499,31.4938191,35.043817,32.46860659,27.54355212,26.89207327,30.85612784,46.422528,48.07506885,60.14270922,53.62476344,50.05869956,53.21345395,52.05423041,52.60676894,54.5732192,53.18917304,46.86118448,40.5103787,38.99519986,36.85702179,19.50426658,21.46953281,21.05201205,22.71667598,23.30657738,
Burundi,,,,,,,,,,,6.362539041,5.590587728,2.928971604,2.628533287,2.806648037,4.699986758,5.115862424,8.790612822,12.5351322,17.63324284,17.97760935,18.48715171,22.61764641,28.66303047,35.72512754,40.2170685,48.29737124,69.76829683,75.57491619,81.07750187,81.17861199,83.33408628,95.99808341,114.7317704,123.3950465,117.6046068,132.2498288,111.3038478,126.6932791,142.4409974,153.1763331,165.5913904,197.5390257,230.1306281,215.0954766,170.2948689,155.1387664,149.4739397,123.4930934,38.50837805,33.80037386,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.097391265,3.022801525,156.0988973,165.5157644,113.4144765,92.44680165,,,67.5511844,68.79347822,70.00664458,80.382019,73.58208855,74.36249703,70.17334326,70.80085665,71.25831999,67.12071277,58.53297428,50.60533578,45.51559855,42.87479013,43.80844851,43.38330312,
Cameroon,,,,,,,,,,,14.23951805,16.12959177,16.84910069,17.59786641,16.49675523,18.03177677,22.46898269,42.70644902,37.91758083,39.67038605,45.7961135,38.51391715,40.76637428,41.65543186,38.46289118,40.04962831,39.46394503,37.78589651,38.66227194,49.11500768,61.48303745,58.06739221,69.93697125,59.95436271,106.7894561,133.4464431,120.8008358,115.4517684,121.2879192,105.4197923,109.0738744,103.7248272,96.54152322,83.15238814,66.98693503,45.10244472,18.31512687,14.5759608,11.77223366,13.35349855,13.45501155,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,54.03793856,50.3477156,42.67220529,42.43171834,39.28846106,38.16610954,35.95508807,41.04738718,43.19495325,44.12097093,40.90534236,41.44453985,46.20992288,56.98245939,61.32915426,63.48924466,64.02160352,56.39996383,51.0732494,49.3532143,49.22675706,44.59091618,41.58311829,45.79119596,54.3005897,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,12.94896681,14.37608788,16.15704231,20.94671599,24.58007995,21.01221487,20.99561684,26.04693165,23.26992973,22.69650767,24.34444766,33.44594194,34.20447308,39.80060765,41.96721262,40.05883521,41.69320006,52.0214509,53.27647683,55.79362342,47.67728446,57.20892341,57.39190874,68.36241749,106.711541,85.92716218,88.91817047,89.41468013,89.33837536,87.36714988,90.83065693,85.82971079,103.8466676,92.54283327,85.08219074,75.6376517,68.54115723,56.93696706,48.65583159,19.95817734,19.15466001,
Chad,,,,,,,,,,,7.484692644,9.372433892,6.211046061,7.366059247,11.58124858,16.39846658,17.83073248,21.95055099,25.08873666,30.78015321,27.38148804,29.31105793,26.12902113,26.052088,21.05708392,20.90487042,24.69026717,30.00198312,26.76807235,27.99158889,29.88068086,32.88966845,34.04710531,47.68968306,68.06350636,58.42984715,59.26502672,62.61815865,59.05914098,71.40676021,79.58358342,64.36701977,65.64080287,67.01481727,44.06945592,37.03375142,34.90765848,30.89170618,26.17025184,28.51073659,25.74072798,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,34.97324393,29.6484525,31.84593637,24.3391349,34.32291212,79.56396758,58.95631254,42.81464277,49.515052,46.73101264,45.51571647,50.44932752,77.63119393,99.7382275,115.0198071,141.5285071,133.9557526,112.2168476,86.40449158,68.32228934,64.51792676,52.07463798,44.97084028,43.47714921,42.1191705,32.10863968,37.48092253,33.7315572,43.48670086,49.16666764,51.48274287,58.4290414,63.91491996,61.52002399,49.83123863,42.16167331,39.1011085,38.58157721,41.52000765,48.98713818,45.92252996,
China,,,,,,,,,,,,,,,,,,,,,,2.988601626,4.105978204,4.185024076,4.665443777,5.429448152,7.964612742,13.08109229,13.71823541,13.05407092,15.44767097,15.8448079,17.12609466,19.56384241,17.99693772,16.48761717,15.26906095,15.57873537,14.35778223,13.91517891,12.27721104,14.07452779,12.84846574,12.62508676,12.73480674,12.47850737,11.83095453,10.59972507,8.341269669,8.584639123,9.287515179,
Colombia,,,,,,,,,,,31.97636643,32.96648016,33.4289087,31.44902095,27.51375443,29.42232601,26.31384833,26.35545131,22.25995124,21.21660256,20.91373802,24.24449419,27.28194302,30.55884087,32.78521166,42.94139531,45.75815615,49.08751576,45.21172957,45.00474174,45.09192092,43.64843437,36.59451502,35.11381666,27.33637659,27.54304462,30.38218517,30.62409003,34.21938282,40.65846874,34.61231629,37.69493821,34.79955979,40.42909676,33.58302314,26.74824157,24.25382924,21.91326707,19.81470442,23.02685838,22.84162769,
Comoros,,,,,,,,,,,4.746972332,4.243251664,4.451425205,3.990930128,7.215548939,7.908499247,35.79770005,43.7499871,40.15253782,43.40782958,35.4261149,47.89303858,64.03928013,77.28681885,98.06257417,118.4413244,103.477261,104.0373457,97.45175757,88.50444698,75.30646946,74.06388822,70.61364304,71.68516641,108.8364957,90.66832532,96.30001192,105.6684023,106.6033586,102.6864173,111.7755151,108.2861154,105.7452583,87.46763577,81.5754613,72.2343766,69.95910785,61.40774376,52.67390994,51.9191046,90.08340894,
"Congo, Dem. Rep.",,,,,,,,,,,7.038935546,7.244641368,10.87684836,13.23750164,15.99720358,19.9589101,30.66966103,30.35477383,29.35833508,30.31329206,33.84532032,41.76245182,38.40027336,49.905136,69.22566311,90.64225236,90.02024933,125.0965275,105.5556185,110.4937251,119.571413,130.1078766,146.2617648,111.959754,240.1598274,271.4297886,237.6590205,217.0184711,226.5854463,279.0666892,298.4444185,269.1474376,191.6202371,205.1776806,182.1848278,156.8205595,138.072562,128.5243319,118.1188407,117.7533613,47.08258617,
"Congo, Rep.",,,,,,,,,,,44.51870928,44.70902422,39.190362,36.24810627,45.74063492,48.40936203,53.15820304,79.55489034,94.72627238,94.46410906,97.63983048,75.98938071,93.81739598,102.3356334,97.21430257,147.2908226,184.6297064,181.9656461,211.0915649,207.7609188,210.9767582,209.3771951,184.2695206,302.1203818,350.034698,479.2975727,351.6025899,297.927684,337.7910388,299.1053335,210.1797672,225.2359771,230.0924708,210.2706449,207.8398464,152.1414848,128.4915714,98.26217013,67.96712693,71.2793598,43.86317879,
Costa Rica,,,,,,,,,,,29.62332979,31.08275806,32.99455402,31.48798572,36.5264768,42.18851531,42.13400108,44.00855625,49.40302022,54.42615169,59.45604734,141.2506244,165.4785038,114.8145367,92.97062052,97.27946614,87.76764295,84.98350712,78.8747869,70.76647172,52.27406392,57.32205252,46.78094408,40.81094281,37.19494665,32.75189465,29.52484058,27.20447516,28.61609909,29.66961762,31.54147367,30.72115482,30.89546989,33.35849526,32.08056803,33.84143404,32.10865496,33.0042397,31.78057755,27.73524953,26.81270461,
Cote d'Ivoire,,,,,,,,,,,26.43670101,34.11896611,32.42590753,35.85945644,35.82760496,39.02551103,40.58758875,42.37859351,50.52488757,54.96176718,77.09458184,102.9139811,127.5405515,144.038322,134.5905568,153.4230488,135.2077671,147.633633,143.4266909,177.0152218,187.322518,199.242892,189.1095735,197.0446309,230.7206407,188.7468459,173.9556848,141.8611779,123.5507742,112.1558878,124.9403078,116.8886292,109.0021241,93.53308738,89.40899955,76.1526803,76.94281248,73.31129557,56.02208745,53.00180807,52.60105941,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.41906637,44.16892634,47.53757463,50.68688899,52.89721799,56.42530017,51.01510414,53.15857477,48.81174439,45.51253171,44.30266255,54.07949886,57.98693905,57.42497887,52.38581341,54.9493315,72.15398662,65.1272894,67.43062778,,
Dominica,,,,,,,,,,,,,,,,,,,,,,21.6341738,28.40065664,42.97466544,53.22681809,58.18053565,52.34815316,58.9503027,52.50860513,53.02445389,54.50006034,55.34048177,51.80802695,49.67014917,48.01625422,49.04085594,52.78498629,45.76592318,46.444407,47.70015223,71.09955556,89.01097235,100.351691,121.3267757,120.8807798,101.2817266,84.23858975,89.04214044,85.15652092,71.24337513,73.16698171,
Dominican Rep.,,,,,,,,,,,24.38138358,24.25404027,21.72535836,20.02292766,19.77794224,18.71252175,20.61746905,24.94338307,28.02236128,28.92718558,31.17640386,32.884585,32.69335408,35.19093174,31.20225165,74.11481913,62.737843,70.96872364,78.56565536,63.36412119,64.68739073,47.95478747,42.52693636,39.57606914,30.91149304,28.52870275,24.88017334,22.51642602,21.71457753,22.5986859,19.78227187,21.60506181,24.68488166,33.59239221,35.24635934,22.02905992,25.08184672,25.84964855,23.16497588,24.63957429,26.20082583,
Ecuador,,,,,,,,,,,22.1386408,24.68720706,25.99246675,21.12709065,17.09845344,19.77313302,19.90755986,35.01668691,52.49585634,48.92163,52.25698764,57.2738344,62.08718119,72.34842836,78.90813248,80.72251112,100.2681409,129.8493211,134.4550155,135.6725733,132.3865989,121.780136,110.4285995,99.00501215,84.80546601,71.97111522,70.73097737,67.35887618,69.82031904,104.0307785,91.21839385,70.34429279,68.29296855,61.10398013,56.76392348,49.12903307,43.4433693,40.68565329,32.736427,25.19188188,23.07812663,
Egypt,,,,,,,,,,,23.64810203,25.01120449,22.45342135,20.98051862,24.83648212,43.19648831,48.83319114,82.56653413,90.63161594,87.26564924,89.17600058,101.5511747,114.7629109,115.0552425,112.6089253,114.9903482,124.3261606,110.3439735,132.3959306,116.6584159,78.50514559,89.12048212,75.05144541,66.62368836,62.7687485,55.51440515,46.22774337,37.71895733,37.5281383,33.67464973,28.78820863,28.48806141,33.46935751,36.68423577,39.4691387,33.75120801,28.28892567,25.82452734,20.32245186,17.61034162,16.24062219,
El Salvador,,,,,,,,,,,16.24612737,17.53147631,20.14116173,17.13189926,22.09144671,22.35741326,20.7709328,24.82340238,29.58783049,25.89524383,26.10384758,33.86215963,43.98195249,51.68708059,51.9028076,50.24333682,50.95532162,51.77418738,49.0953333,48.93058638,45.6463512,42.18560649,38.71864213,28.20187452,26.2742333,26.67811911,27.56239787,28.77301226,27.58789899,30.27871385,34.6759214,38.98512451,40.80837141,55.01734867,55.51958228,56.18050014,56.10380352,49.52647634,49.14551152,49.43107253,53.17744639,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.462989008,6.265565879,6.457375081,11.04241905,19.48898388,36.33826727,47.3042919,57.75325802,73.22357184,70.6006992,64.52134927,66.53327716,65.2755502,65.56390455,70.26178579,55.39199976,48.15288184,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,25.36225019,42.92477498,45.29411385,52.67680721,55.59422032,63.06700364,70.9409295,71.70954707,69.47829696,71.94988582,68.73574318,66.76971267,112.118048,148.2945923,136.8026017,119.5791763,114.7446243,129.4545043,71.47273505,67.6755812,70.68604192,84.44417338,85.86903789,66.69042926,50.59249371,15.05314728,13.39080826,10.79810376,15.75639058,24.12536089,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,5.542620806,6.27785114,6.782941055,11.233284,9.797334805,8.872573804,9.353348574,16.98168623,12.52710911,14.07747021,18.25918489,22.56563586,26.11860205,30.36341056,27.3576755,29.68551899,26.49296767,31.25470514,33.88203828,26.83386437,23.91408842,20.29022534,16.90525755,15.18317891,10.98227373,9.230458766,7.653048454,7.488227312,8.54988515,10.2061672,10.05007047,9.685221949,9.111352066,7.932495497,9.015924371,6.089101866,11.8770211,11.17404605,10.73966929,15.25778849,15.15764138,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,33.95847439,40.94686357,57.17473724,59.50114518,37.20647041,44.03378011,43.60833834,55.54474548,69.94867743,64.54588777,39.26748677,32.12997879,30.2787321,29.54818524,27.5494246,38.95333843,61.56230816,86.18061004,79.98516142,84.78065864,74.63654042,87.0851718,79.1464656,103.0935966,112.9648844,101.5686882,87.43211974,92.83852052,111.5920848,97.3281854,90.96890519,83.72879465,78.81907508,70.1827499,67.82822805,50.30363182,51.14992748,28.21927917,17.13419733,21.57583644,20.32960158,
Gambia,,,,,,,,,,,9.706132517,10.06319964,12.79385855,11.98821778,12.91012906,11.68783465,13.62426369,27.20725516,29.09594014,39.72496919,57.72569804,81.8450212,98.81539922,106.0552427,129.0919576,112.4871944,172.2824214,144.1692092,119.5870728,126.3896272,126.6560241,126.4404451,117.8773212,117.7451628,118.2028263,112.9740689,117.2475148,105.8264119,115.8778196,113.1168047,120.743198,123.608449,166.0305218,189.2908324,183.9039522,157.9091845,154.4780293,115.964962,47.0450544,66.57452404,63.28589411,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.163226859,21.04964597,58.72456197,48.18496236,45.02015518,40.29037234,43.31299164,56.13930397,51.59276337,53.15454188,53.96154677,48.30829326,39.66247689,29.4863564,29.04188957,25.56367327,58.15293046,77.44480099,80.43609949,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,26.33599065,22.89627347,28.81941768,30.87487517,26.37924079,26.36332982,25.96444349,33.5617432,34.99249989,32.01280151,31.66824975,36.55613018,36.87073872,41.42938077,44.89426062,50.69625994,49.03544616,66.5303356,60.3569456,64.20437939,64.67928812,64.16436266,67.20900343,78.16279032,95.71397534,86.88279836,85.33890079,84.62181936,86.18689142,85.07545841,126.6051751,121.946059,115.4452469,101.4679821,81.43374389,64.02408888,16.38671401,19.82060333,19.03850207,24.47067581,27.19132567,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,23.47899376,25.49069289,26.02566205,,,,,,,44.89618791,47.93881273,49.3998479,43.66317888,53.02379587,52.35177732,47.35271775,61.41861655,50.99380925,48.31791026,49.95245017,40.16718228,53.93229942,38.42731476,50.88634869,62.90384922,93.93671735,87.59650103,106.8757036,77.23242602,93.19345116,94.69269831,87.54568629,96.64300852,98.73960174,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,8.536767363,9.171702246,9.035170642,8.714777935,8.289160365,9.003994766,8.850160897,12.05315873,13.56292704,15.21095668,15.06192507,15.00062167,18.08026143,20.40679797,25.66272923,28.02302032,40.02702348,40.41790834,34.01996195,31.60911839,37.96602002,30.16127769,26.74531143,25.5620234,24.18961198,22.63527896,21.50731739,19.62723749,18.90929347,20.87080016,20.2113447,23.07543188,21.67193061,23.53788299,41.24950846,41.08819251,41.64968906,43.79154965,38.6692186,37.64002875,35.85809341,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,99.613931,108.050012,100.4928435,96.26611187,98.43397055,92.12132987,84.32665367,89.22888576,94.0170456,90.00448745,85.91803829,96.12049292,102.6177243,94.39262211,101.0432727,104.6397716,102.6834469,99.32965568,92.49319894,109.0288998,122.0585896,82.29214303,93.16662834,78.96396663,69.08956181,
Guinea-Bissau,,,,,,,,,,,0,0,0,0,0,7.092801699,15.40148565,23.67499519,44.29645479,59.49268928,131.092838,97.62654739,104.3125418,121.8489179,183.5313615,200.2096753,288.2094301,291.4149406,366.538721,296.4998544,297.6612246,311.2845918,357.8864751,355.0865743,383.6221272,379.3622032,371.6135718,362.845386,504.476661,446.6963446,466.5005603,492.5758369,499.6254117,229.2764112,215.5608171,180.602516,182.0489812,158.7877416,130.2765947,135.5513165,124.7798314,
Guyana,,,,,,,,,,,33.5437031,59.27589472,57.59334023,61.08769588,53.66357527,67.01415783,97.53766681,122.8170176,125.4716948,135.7956435,148.6977837,179.1545117,237.6164276,296.8791747,358.8253695,395.0639962,397.9134272,671.213139,592.2701229,646.5070851,712.4570972,824.5388984,678.8566266,525.6276316,425.6508514,373.0585553,246.7907594,236.012317,228.2728156,221.3836439,206.5622684,205.5509567,205.5895613,207.2410346,201.6581746,151.1560204,75.95787003,36.28032168,36.81383916,44.59010731,52.84527394,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.07747531,31.38691875,35.52095687,25.79346852,30.34480297,20.41456018,7.306372259,
Honduras,,,,,,,,,,,15.78612222,19.79292286,21.30612596,22.43217819,27.65719882,34.77881279,28.28410993,47.09253452,50.45089228,55.16468752,60.63541201,63.50309125,68.01021683,72.46596331,72.21696682,78.52168681,82.13007519,84.23109977,87.74502786,99.65542707,132.9370684,121.1367141,125.807283,132.7582188,145.5149777,132.9451089,125.7588533,109.7234295,100.9346738,102.9598418,77.7255983,68.76884416,71.47313817,69.67999243,72.03542268,56.18567604,40.50558757,27.55967755,25.87883603,26.5703997,28.15737259,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
