External debt stocks (% of GNI),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31615944,19.38067133,19.62472983,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77183462,92.94160206,64.63716229,44.3626385,18.59163708,16.07066875,23.24617007,22.81742439,20.54579683,28.21910805,26.05736312,24.61648863,25.65505876,20.35392862,24.05404772,25.9166498,25.93288237,29.71839918,39.31670854,40.54086756,
Algeria,,,,,,,,,,,19.81373258,25.03342404,22.99578118,34.62512705,25.62025367,30.12096639,35.10756499,51.42580702,61.01950506,57.55388492,47.05823182,42.62641396,40.18600117,34.40242446,30.42900673,32.39135607,36.37496878,37.43876749,45.69029672,50.67688618,46.94678863,65.49509813,59.65742807,54.51578536,74.10826973,83.51918029,75.8286359,67.24106685,66.44571096,60.42277729,48.74856975,42.19660994,41.64944381,36.04306807,27.24990081,17.346858,5.077601403,4.408577774,3.497329568,3.886024488,3.392045756,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.64982919,104.6001091,91.34876802,286.779858,326.7325099,581.2071611,311.8603973,179.2815339,155.1230818,206.1823807,218.3070104,126.2882745,114.3559532,89.26194131,71.09713223,54.13326777,44.48534732,23.87415734,22.24053569,21.43109727,24.1968091,24.58044081,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,19.11336433,18.58610765,19.80463737,13.69965626,10.49566942,14.53011985,18.12724722,20.31493054,23.00221592,30.52744964,35.59865462,46.37762569,55.03797127,46.82231363,65.14516055,60.8872864,49.51730496,55.17890881,48.73769324,92.93233192,46.04709622,35.57419865,30.43775037,27.57086305,29.47019398,38.85814447,41.65104813,44.13184249,47.94757038,50.84343867,50.9346491,56.94244363,153.2348632,131.779059,112.5975381,70.75720427,55.46777876,45.91489811,37.21405089,40.41232799,36.14496314,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1463562,16.30351709,25.2755507,31.708304,36.73481289,41.15532059,47.4542451,46.64901755,59.16894215,64.60174315,64.22492641,53.46610093,36.6040697,30.36436414,30.55395157,28.06992796,56.10599793,64.76235407,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8948885931,3.407032143,10.56251571,14.07298456,12.85170051,15.93912941,23.76997596,27.75695652,24.60441976,25.30187966,25.0757653,23.13792992,16.73324404,13.61577408,12.5901279,10.39841214,11.25701644,14.87845474,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
