Hourly compensation (US$),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Australia,8.43999958,9.760000229,9.93999958,9.270000458,9.800000191,8.180000305,8.550000191,9.520000458,11.43999958,12.5,13.09000015,13.67000008,13.22999954,12.61999989,14.13000011,15.35999966,17.02000046,16.70999908,15.10999966,15.93999958,14.40999985,13.32999992,15.39999962,19.79000092,23.37999916,25.11000061,26.13999939
Austria,8.869999886,7.769999981,7.760000229,7.789999962,7.349999905,7.570000172,10.72000027,13.64999962,14.48999977,14.14999962,17.71999931,18.04000092,20.23999977,20.11000061,21.48999977,25.26000023,24.75,21.85000038,22.02000046,21.62999916,19.12000084,19.06999969,20.65999985,25.42000008,28.38999939,29.36000061,30.45999908
Belgium,11.73999977,10.27999973,8.930000305,8.529999733,7.980000019,8.210000038,11.25,13.96000004,14.72000027,14.36999989,17.85000038,18.39999962,20.5,20.14999962,21.93000031,25.68000031,25.25,22.28000069,22.62000084,22.13999939,20.12999916,19.84000015,21.77000046,26.54999924,30.01000023,30.79000092,31.85000038
Brazil,,,,,,,,,,,,,,,,,5.760000229,5.769999981,5.489999771,3.390000105,3.5,2.970000029,2.569999933,2.74000001,3.140000105,4.159999847,4.909999847
Canada,8.869999886,9.789999962,10.69999981,11.40999985,11.40999985,11.19999981,11.32999992,12.30000019,13.77000046,15.06000042,16.32999992,17.69000053,17.56999969,16.96999931,16.29000092,16.5,17.04000092,16.82999992,15.93000031,16.10000038,16.47999954,16.27000046,16.79999924,19.60000038,21.85000038,23.97999954,25.73999977
Czech Rep.,,,,,,,,,,,,,,,,2.529999971,2.940000057,2.789999962,2.99000001,3.119999886,3.00999999,3.130000114,3.829999924,4.71999979,5.449999809,6.039999962,6.769999981
Denmark,10.82999992,9.359999657,8.840000153,8.579999924,7.980000019,8.029999733,10.94999981,14.09000015,15.07999992,14.47000027,18.29000092,18.54999924,20.40999985,19.61000061,20.93000031,25.02000046,25.13999939,23.14999962,23.68000031,24.02000046,21.43000031,21.67000008,23.87999916,29.62999916,33.68000031,34.45000076,35.45000076
Finland,8.609999657,8.329999924,8.260000229,7.710000038,7.920000076,8.300000191,10.77000046,13.44999981,15.64999962,16.78000069,20.84000015,20.72999954,19.15999985,15.81000042,18.15999985,22.60000038,22.20999908,20.01000023,19.39999962,19.65999985,17.84000015,18.06999969,19.75,24.35000038,27.79999924,28.37999916,29.89999962
France,8.899999619,7.980000019,7.739999771,7.659999847,7.25,7.46999979,10.21000004,12.18999958,12.84000015,12.53999996,15.35000038,15.52000046,17.31999969,16.52000046,17.10000038,19.23999977,18.96999931,17.06999969,17.28000069,16.97999954,15.43000031,15.52999973,16.89999962,20.73999977,23.29000092,24,24.89999962
Germany,,,,,,,,,,,,,,23.88999939,25.32999992,30.10000038,29.57999992,25.95999908,25.17000008,24.56999969,22.67000008,22.51000023,24.32999992,29.93000031,33.09000015,33.34000015,34.20999908
