"20-39 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Comoros,48000,51000,53000,55000,58000,67000,82000,99000,119000,141000,167000,200000,226000,246000,264000,279000,309000,338000,360000,370000,371000
"Congo, Dem. Rep.",3333000,3758000,4276000,4872000,5615000,6396000,7301000,8277000,9576000,11451000,13008000,15383000,18360000,21902000,25914000,30308000,34565000,38840000,42994000,46584000,49651000
"Congo, Rep.",233000,256000,283000,314000,352000,401000,465000,552000,657000,768000,850000,1009000,1151000,1362000,1546000,1685000,1810000,1920000,2031000,2110000,2165000
Costa Rica,268000,292000,321000,370000,438000,549000,701000,885000,1039000,1145000,1274000,1399000,1536000,1663000,1723000,1721000,1658000,1626000,1602000,1587000,1587000
Cote d'Ivoire,722000,855000,1016000,1243000,1495000,1837000,2278000,2801000,3378000,4126000,4912000,5496000,6326000,7356000,8389000,9511000,10615000,11637000,12539000,13238000,13796000
Croatia,1105000,1188000,1297000,1262000,1260000,1287000,1307000,1357000,1336000,1323000,1238000,1217000,1194000,1157000,1090000,994000,929000,887000,853000,846000,824000
Cuba,1760000,1891000,2086000,2240000,2373000,2609000,2794000,3253000,3694000,3958000,3742000,3553000,3233000,2954000,2894000,2830000,2558000,2346000,2172000,2029000,1925000
Cyprus,143000,147000,153000,156000,166000,188000,199000,211000,208000,217000,229000,244000,264000,284000,285000,275000,265000,257000,261000,272000,280000
Czech Rep.,2580000,2472000,2581000,2555000,2733000,2949000,3092000,3055000,2877000,2896000,3062000,3097000,3201000,3002000,2619000,2408000,2287000,2261000,2353000,2385000,2309000
Denmark,1234000,1199000,1180000,1245000,1372000,1467000,1532000,1550000,1537000,1555000,1532000,1421000,1332000,1315000,1338000,1392000,1410000,1365000,1326000,1310000,1311000
Djibouti,17000,19000,23000,33000,45000,62000,95000,113000,158000,181000,218000,248000,284000,321000,351000,377000,395000,406000,422000,438000,451000
Dominican Rep.,641000,757000,881000,1012000,1158000,1356000,1624000,1943000,2275000,2561000,2782000,2978000,3175000,3381000,3538000,3660000,3742000,3766000,3772000,3722000,3633000
Ecuador,911000,1014000,1155000,1319000,1522000,1834000,2198000,2636000,3133000,3572000,3864000,4059000,4242000,4519000,4806000,4998000,5064000,5037000,4932000,4819000,4713000
Egypt,6395000,6990000,7546000,8073000,9265000,10439000,11889000,14053000,15978000,17906000,20549000,23893000,27932000,30422000,32011000,32929000,33345000,35061000,36254000,36624000,36319000
El Salvador,599000,662000,730000,826000,945000,1092000,1215000,1306000,1441000,1636000,1713000,1750000,1829000,1991000,2172000,2246000,2269000,2217000,2151000,2177000,2172000
Equatorial Guinea,66000,69000,72000,76000,80000,45000,41000,102000,133000,150000,149000,156000,181000,214000,257000,292000,324000,362000,403000,443000,475000
Eritrea,306000,348000,398000,457000,516000,579000,629000,690000,773000,748000,1027000,1453000,1763000,1978000,2086000,2315000,2623000,2950000,3229000,3375000,3424000
Estonia,304000,333000,382000,405000,414000,426000,432000,451000,458000,399000,375000,379000,395000,377000,345000,309000,279000,288000,306000,315000,302000
Ethiopia,5113000,5668000,6335000,7148000,8107000,9085000,9632000,11138000,13005000,15254000,17474000,20125000,23713000,28274000,33190000,38068000,42909000,47272000,51309000,54853000,57339000
Fiji,80000,90000,103000,123000,145000,171000,196000,229000,233000,244000,245000,252000,262000,277000,285000,287000,289000,282000,269000,258000,247000
Finland,1186000,1183000,1219000,1242000,1335000,1486000,1551000,1614000,1519000,1424000,1365000,1324000,1313000,1354000,1336000,1295000,1276000,1249000,1255000,1268000,1264000
France,11374000,11571000,12633000,12578000,13556000,14576000,15732000,17119000,17136000,17062000,16503000,16328000,15982000,15487000,15498000,15564000,15664000,15774000,15771000,15480000,15199000
French Guiana,8000,8000,8000,11000,13000,16000,22000,30000,40000,45000,50000,61000,67000,77000,89000,101000,111000,118000,124000,128000,133000
French Polynesia,16000,19000,21000,24000,28000,36000,45000,54000,63000,73000,78000,82000,87000,91000,96000,97000,93000,94000,93000,93000,91000
Gabon,140000,140000,140000,140000,144000,164000,192000,223000,261000,302000,350000,405000,466000,539000,600000,646000,679000,697000,718000,741000,756000
Gambia,75000,83000,98000,117000,132000,151000,169000,195000,240000,297000,365000,428000,492000,570000,665000,771000,881000,985000,1075000,1151000,1219000
Georgia,1017000,1147000,1379000,1409000,1325000,1357000,1380000,1589000,1676000,1514000,1372000,1267000,1204000,1182000,1093000,1004000,898000,814000,808000,787000,730000
Germany,18084000,17914000,20620000,21590000,21499000,22329000,21907000,23019000,25075000,25242000,23636000,21598000,19880000,19229000,18654000,17592000,16183000,15248000,14614000,14231000,14022000
Ghana,1375000,1614000,1889000,2166000,2395000,2660000,2910000,3474000,4093000,4914000,5757000,6630000,7539000,8482000,9362000,10198000,11040000,11885000,12694000,13419000,13976000
Greece,2321000,2509000,2678000,2626000,2396000,2388000,2569000,2738000,2896000,3184000,3351000,3346000,3155000,2921000,2653000,2467000,2418000,2397000,2370000,2325000,2254000
Grenada,16000,19000,20000,19000,17000,19000,21000,30000,25000,28000,29000,31000,36000,37000,38000,35000,30000,28000,27000,27000,24000
Guadeloupe,61000,66000,69000,69000,75000,73000,92000,108000,131000,133000,135000,121000,120000,117000,123000,119000,115000,113000,110000,104000,98000
Guam,27000,26000,25000,25000,28000,33000,36000,44000,50000,50000,50000,49000,50000,54000,59000,63000,65000,65000,64000,64000,64000
Guatemala,871000,1011000,1152000,1288000,1469000,1675000,1846000,2062000,2289000,2576000,2968000,3486000,4090000,4841000,5612000,6385000,7135000,7759000,8257000,8580000,8742000
Guinea,745000,787000,837000,931000,1029000,1096000,1266000,1426000,1659000,2016000,2279000,2549000,2916000,3424000,3981000,4597000,5275000,5978000,6662000,7264000,7742000
Guinea-Bissau,157000,160000,164000,166000,171000,202000,238000,260000,272000,323000,368000,411000,470000,512000,581000,670000,770000,870000,966000,1060000,1144000
Guyana,121000,129000,137000,154000,162000,188000,217000,235000,242000,261000,265000,240000,223000,213000,221000,219000,213000,195000,166000,145000,134000
Haiti,939000,997000,1084000,1182000,1275000,1410000,1564000,1747000,1968000,2153000,2418000,2812000,3225000,3638000,3974000,4140000,4287000,4407000,4494000,4570000,4593000
Honduras,401000,460000,533000,606000,662000,770000,931000,1130000,1358000,1561000,1772000,2046000,2382000,2766000,3088000,3320000,3488000,3585000,3647000,3676000,3639000
"Hong Kong, China",789000,902000,935000,907000,1009000,1237000,1687000,2063000,2172000,2292000,2273000,2113000,2032000,2083000,2064000,1899000,1781000,1671000,1647000,1748000,1792000
Hungary,2812000,2804000,2907000,2882000,2915000,3116000,3176000,3064000,2909000,2827000,2907000,2971000,2949000,2807000,2502000,2323000,2195000,2098000,2076000,2056000,2002000
Iceland,43000,45000,47000,49000,53000,61000,69000,78000,83000,83000,83000,85000,98000,103000,102000,98000,95000,93000,95000,96000,94000
India,113861000,121218000,130011000,139123000,151284000,174222000,200741000,231525000,263898000,291202000,322161000,355560000,390297000,424856000,450853000,469421000,478646000,479290000,475142000,464469000,448957000
Indonesia,22317000,24773000,27888000,30650000,32758000,36045000,40977000,47558000,55704000,63408000,69824000,75159000,78448000,79922000,80241000,80222000,79992000,78977000,76863000,73987000,71620000
Iran,4591000,5039000,5552000,6242000,7377000,8134000,10039000,13189000,15497000,17967000,21885000,25915000,30076000,31837000,30270000,27010000,24512000,24053000,25220000,25075000,23899000
Iraq,1697000,1758000,1883000,2112000,2373000,3043000,3586000,4200000,4935000,5845000,7238000,8511000,9435000,11114000,12957000,14746000,16184000,17289000,18032000,18790000,19471000
Ireland,796000,714000,629000,635000,683000,782000,913000,1010000,984000,1052000,1169000,1365000,1471000,1431000,1357000,1333000,1387000,1471000,1524000,1520000,1478000
Israel,420000,498000,576000,639000,767000,948000,1112000,1232000,1332000,1549000,1770000,1948000,2103000,2197000,2311000,2460000,2615000,2735000,2779000,2777000,2761000
Italy,13949000,14157000,15020000,14687000,14831000,14901000,15183000,16338000,16933000,17514000,17120000,16512000,15344000,13925000,12838000,12483000,12494000,12339000,12075000,11619000,11134000
Jamaica,433000,449000,421000,410000,390000,409000,546000,649000,726000,791000,804000,794000,786000,821000,871000,877000,860000,811000,767000,741000,703000
Japan,24021000,27111000,29942000,33029000,36559000,37589000,36927000,35939000,33623000,34619000,35167000,34574000,32466000,28773000,26337000,24565000,23267000,22019000,20515000,19067000,17984000
Jordan,110000,166000,242000,305000,452000,521000,508000,661000,829000,1362000,1577000,1872000,2271000,2370000,2512000,2617000,2775000,2905000,2963000,2976000,2915000
Kazakhstan,1915000,2204000,3184000,3568000,3635000,4116000,4364000,5111000,5372000,5040000,4692000,4823000,5244000,5383000,5182000,4964000,4867000,4935000,5179000,5195000,4860000
Kenya,1678000,1886000,2081000,2254000,2595000,3142000,3924000,4966000,6137000,7611000,9028000,10700000,12601000,14337000,15965000,17804000,20120000,22718000,25033000,26762000,27886000
"Korea, Dem. Rep.",2835000,3204000,3970000,4614000,5069000,4949000,5245000,5557000,6481000,7675000,7536000,7661000,7272000,7191000,7562000,7340000,7021000,6531000,6274000,6247000,6222000
"Korea, Rep.",5239000,5751000,7165000,7894000,8774000,10043000,11878000,14012000,15881000,16859000,16468000,15819000,14690000,13919000,13373000,12071000,11195000,9949000,8921000,8562000,8287000
Kuwait,56000,75000,117000,187000,261000,327000,486000,654000,821000,792000,995000,1248000,1309000,1286000,1252000,1255000,1305000,1364000,1409000,1434000,1440000
Kyrgyzstan,493000,552000,670000,706000,713000,799000,949000,1205000,1340000,1411000,1531000,1649000,1853000,1998000,2068000,2041000,2016000,2006000,2010000,1996000,1878000
Laos,508000,549000,594000,649000,729000,847000,832000,967000,1165000,1362000,1529000,1713000,1993000,2307000,2631000,2797000,2901000,2968000,3022000,3166000,3243000
Latvia,532000,571000,662000,725000,719000,728000,730000,751000,774000,703000,660000,648000,675000,642000,576000,503000,429000,417000,439000,447000,426000
Lebanon,402000,446000,522000,569000,625000,722000,752000,846000,936000,1136000,1190000,1346000,1414000,1470000,1501000,1449000,1389000,1325000,1266000,1263000,1262000
Lesotho,201000,204000,213000,228000,256000,284000,322000,369000,393000,425000,492000,560000,648000,728000,782000,804000,817000,827000,832000,836000,832000
Liberia,236000,261000,291000,329000,369000,419000,505000,607000,607000,541000,784000,926000,1157000,1367000,1584000,1815000,2056000,2295000,2511000,2696000,2843000
Libya,277000,306000,370000,449000,550000,688000,831000,1014000,1236000,1527000,1848000,2221000,2409000,2449000,2446000,2416000,2550000,2731000,2815000,2756000,2603000
Lithuania,693000,758000,881000,931000,930000,940000,981000,1056000,1122000,1103000,1014000,970000,930000,897000,848000,758000,657000,596000,583000,594000,586000
Luxembourg,89000,90000,91000,94000,92000,106000,111000,119000,124000,129000,132000,132000,133000,140000,149000,156000,160000,163000,167000,174000,184000
"Macao, China",70000,55000,42000,45000,56000,76000,94000,129000,156000,155000,142000,157000,185000,178000,166000,149000,127000,115000,114000,117000,116000
"Macedonia, FYR",335000,391000,424000,441000,475000,521000,575000,590000,615000,603000,613000,625000,629000,623000,594000,547000,498000,455000,432000,419000,409000
Madagascar,1164000,1273000,1396000,1498000,1626000,1872000,2196000,2622000,3126000,3674000,4308000,4898000,5714000,6700000,7824000,9089000,10222000,11224000,12085000,12865000,13527000
Malawi,783000,872000,963000,1086000,1234000,1398000,1621000,1866000,2605000,2751000,3227000,3642000,4226000,5137000,6141000,7233000,8381000,9454000,10477000,11463000,12343000
Malaysia,1702000,1874000,2140000,2401000,2804000,3430000,4086000,4878000,5845000,6623000,7480000,8188000,8968000,9716000,10307000,10651000,10855000,10919000,10929000,10766000,10498000
Maldives,24000,26000,26000,28000,30000,36000,42000,50000,56000,68000,82000,102000,120000,136000,141000,133000,123000,115000,114000,118000,119000
Mali,1257000,1352000,1456000,1573000,1679000,1800000,1942000,2091000,2311000,2590000,2866000,3362000,3873000,4431000,5030000,5675000,6428000,7243000,8054000,8762000,9282000
Malta,85000,75000,78000,74000,89000,97000,109000,114000,109000,106000,107000,114000,121000,121000,117000,108000,98000,92000,86000,87000,88000
Martinique,64000,65000,74000,71000,79000,72000,90000,103000,117000,119000,116000,103000,100000,100000,104000,104000,99000,92000,87000,83000,80000
Mauritania,190000,217000,243000,273000,309000,348000,404000,473000,547000,647000,773000,918000,1054000,1172000,1293000,1424000,1562000,1692000,1791000,1857000,1898000
Mauritius,134000,155000,176000,200000,229000,264000,310000,343000,371000,401000,419000,422000,407000,406000,404000,399000,391000,373000,362000,357000,357000
Mayotte,4000,4000,5000,7000,9000,11000,14000,18000,24000,34000,42000,52000,63000,75000,88000,98000,105000,108000,108000,110000,114000
Mexico,7661000,8673000,9860000,11203000,12733000,15098000,18182000,20956000,24691000,29005000,32936000,35123000,36159000,36396000,36501000,36739000,36479000,35103000,33207000,31325000,29699000
"Micronesia, Fed. Sts.",9000,10000,12000,14000,15000,14000,18000,22000,27000,29000,30000,32000,33000,37000,41000,42000,43000,42000,41000,39000,38000
Moldova,741000,806000,962000,992000,989000,1103000,1197000,1333000,1351000,1286000,1159000,1063000,1111000,1121000,1043000,904000,759000,687000,689000,691000,636000
Mongolia,213000,237000,267000,303000,348000,402000,466000,545000,663000,739000,823000,916000,1030000,1080000,1070000,1014000,937000,905000,912000,934000,915000
Montenegro,99000,117000,141000,149000,150000,165000,174000,184000,177000,191000,202000,180000,186000,181000,178000,171000,160000,156000,151000,148000,147000
Morocco,2464000,2786000,3189000,3553000,3665000,4083000,5271000,6412000,7459000,8375000,9067000,10023000,10970000,11599000,11848000,11592000,11437000,11457000,11589000,11652000,11387000
Mozambique,1855000,1997000,2166000,2369000,2602000,2888000,3332000,3545000,3284000,4391000,5154000,5832000,6562000,7426000,8531000,9929000,11267000,12458000,13450000,14169000,14825000
Myanmar,5580000,5854000,5971000,6115000,6496000,7673000,9217000,10963000,12744000,14326000,15898000,16827000,17490000,17767000,17682000,17396000,17289000,17316000,17392000,17147000,16663000
Namibia,143000,154000,165000,184000,206000,236000,251000,285000,397000,472000,551000,617000,710000,811000,895000,959000,1010000,1046000,1087000,1128000,1152000
Nepal,2419000,2638000,2872000,3145000,3399000,3753000,4168000,4646000,5301000,6095000,7036000,8126000,9352000,10704000,12026000,13015000,13536000,13772000,13901000,14109000,14391000
Netherlands,2968000,3005000,3098000,3251000,3690000,4075000,4482000,4828000,4937000,4954000,4740000,4420000,4152000,4069000,4138000,4232000,4203000,4114000,4047000,4000000,4028000
Netherlands Antilles,34000,32000,35000,36000,43000,49000,57000,61000,66000,62000,51000,49000,52000,50000,47000,43000,40000,38000,40000,40000,38000
New Caledonia,18000,20000,22000,27000,31000,38000,42000,47000,54000,64000,71000,74000,79000,82000,87000,90000,90000,88000,89000,89000,90000
New Zealand,556000,584000,610000,661000,725000,864000,933000,1050000,1083000,1166000,1137000,1136000,1154000,1207000,1252000,1270000,1270000,1263000,1275000,1286000,1283000
Nicaragua,374000,422000,474000,532000,585000,703000,851000,985000,1138000,1315000,1493000,1687000,1876000,2106000,2258000,2309000,2345000,2328000,2313000,2297000,2238000
Niger,672000,783000,893000,1057000,1221000,1364000,1548000,1662000,1991000,2317000,2824000,3265000,3906000,4693000,5682000,6958000,8753000,10795000,13058000,15575000,18140000
Nigeria,10371000,11455000,12665000,14035000,15470000,17411000,20254000,22576000,25717000,29536000,34432000,40139000,46386000,52875000,59461000,66535000,74270000,81547000,87364000,91287000,93598000
Norway,998000,958000,887000,883000,971000,1074000,1183000,1252000,1285000,1310000,1288000,1258000,1267000,1292000,1336000,1367000,1381000,1364000,1361000,1382000,1401000
Oman,128000,134000,144000,160000,189000,253000,361000,468000,567000,718000,863000,921000,1075000,1189000,1260000,1259000,1259000,1295000,1315000,1342000,1354000
Pakistan,10622000,11526000,12853000,14585000,16452000,18731000,21593000,26181000,31448000,35740000,42010000,49025000,57703000,65969000,73292000,79550000,84415000,90031000,95163000,98824000,100649000
Panama,242000,261000,291000,335000,390000,463000,554000,655000,766000,885000,976000,1045000,1102000,1148000,1213000,1275000,1320000,1354000,1367000,1369000,1366000
Papua New Guinea,536000,563000,600000,619000,716000,815000,875000,1066000,1267000,1485000,1675000,1862000,2073000,2319000,2663000,3005000,3329000,3603000,3788000,3948000,4077000
Paraguay,393000,422000,465000,520000,602000,737000,884000,1062000,1248000,1386000,1544000,1764000,2023000,2292000,2504000,2628000,2714000,2778000,2815000,2825000,2808000
Peru,2080000,2360000,2700000,3074000,3526000,4113000,4830000,5716000,6626000,7504000,8386000,9023000,9590000,10158000,10580000,10960000,11129000,11087000,10951000,10751000,10495000
Philippines,5339000,6019000,6970000,8191000,9687000,11591000,13736000,16306000,18972000,21259000,23844000,26620000,29684000,32812000,35371000,37341000,38935000,40044000,40981000,41702000,41822000
Poland,7598000,8128000,8899000,8774000,9235000,10254000,11313000,12096000,11656000,11152000,10889000,11468000,11911000,11569000,10481000,8999000,7994000,7417000,7196000,7018000,6614000
Portugal,2540000,2639000,2616000,2542000,2271000,2394000,2613000,2875000,2886000,3000000,3102000,3138000,3021000,2778000,2523000,2372000,2304000,2247000,2171000,2063000,1982000
Puerto Rico,616000,582000,563000,684000,719000,874000,932000,998000,1051000,1077000,1102000,1110000,1114000,1122000,1103000,1056000,1019000,983000,954000,948000,934000
Qatar,7000,11000,15000,26000,44000,69000,99000,178000,208000,237000,247000,448000,820000,785000,818000,774000,736000,737000,761000,777000,788000
Reunion,74000,81000,86000,95000,112000,124000,140000,177000,204000,226000,241000,242000,244000,254000,267000,278000,283000,288000,292000,291000,287000
Romania,5028000,5363000,6031000,5961000,5911000,6109000,6275000,6367000,6796000,6617000,6693000,6879000,6686000,6121000,5397000,4921000,4326000,4167000,4011000,3823000,3591000
Russia,33127000,34597000,40350000,39945000,37992000,40446000,41721000,46782000,46126000,44486000,42641000,42868000,44894000,42493000,38092000,33149000,28921000,28660000,29518000,29062000,27470000
Rwanda,587000,675000,777000,850000,985000,1135000,1346000,1655000,1941000,1436000,2073000,2570000,3231000,3701000,4124000,4466000,4890000,5625000,6324000,6834000,7153000
Saint Lucia,25000,25000,22000,20000,20000,24000,28000,34000,40000,45000,50000,54000,58000,63000,64000,61000,60000,56000,55000,56000,55000
Saint Vincent and the Grenadines,15000,15000,17000,17000,19000,20000,23000,28000,32000,36000,35000,34000,34000,35000,34000,33000,32000,32000,32000,32000,31000
Samoa,23000,26000,29000,33000,38000,43000,48000,52000,44000,52000,52000,46000,47000,52000,61000,69000,67000,64000,57000,55000,57000
Sao Tome and Principe,25000,24000,26000,20000,15000,18000,21000,25000,30000,33000,40000,45000,52000,59000,67000,72000,79000,84000,86000,87000,90000
Saudi Arabia,874000,978000,1104000,1300000,1565000,2036000,2845000,4336000,5602000,6075000,7354000,8529000,9279000,10130000,10771000,11559000,12059000,12399000,12734000,12929000,13017000
Senegal,687000,787000,902000,1027000,1172000,1303000,1423000,1604000,1898000,2278000,2738000,3266000,3832000,4445000,5071000,5730000,6475000,7159000,7730000,8158000,8402000
Serbia,1971000,2270000,2547000,2483000,2486000,2577000,2656000,2789000,2826000,2871000,2861000,2849000,2887000,2823000,2665000,2513000,2363000,2274000,2237000,2171000,2115000
Sierra Leone,573000,621000,672000,730000,793000,842000,908000,990000,1113000,1124000,1235000,1517000,1734000,1926000,2165000,2476000,2836000,3228000,3577000,3860000,4112000
Singapore,319000,384000,460000,496000,586000,725000,897000,1104000,1275000,1338000,1320000,1205000,1241000,1311000,1371000,1346000,1245000,1071000,969000,963000,1002000
Slovak Republic,1016000,1057000,1188000,1187000,1228000,1396000,1522000,1627000,1611000,1601000,1647000,1704000,1760000,1706000,1531000,1346000,1212000,1133000,1113000,1101000,1054000
Slovenia,419000,443000,489000,494000,503000,529000,552000,589000,600000,598000,598000,588000,578000,544000,493000,446000,421000,421000,426000,428000,417000
Solomon Islands,25000,29000,33000,38000,43000,47000,58000,68000,83000,104000,125000,147000,170000,191000,214000,236000,259000,276000,289000,300000,307000
Somalia,654000,697000,760000,828000,922000,1073000,1694000,1739000,1847000,1857000,2146000,2335000,2578000,2914000,3334000,3954000,4608000,5341000,6068000,6806000,7560000
South Africa,4018000,4398000,4823000,5412000,6170000,7229000,8402000,9771000,11229000,13230000,14682000,16048000,17203000,17604000,17874000,18136000,18269000,18509000,18610000,18477000,18237000
Spain,8713000,9138000,9251000,9276000,9122000,9311000,10086000,10956000,11644000,12468000,13079000,13908000,13557000,12558000,11170000,10376000,10407000,10755000,11130000,11117000,10827000
Sri Lanka,2235000,2499000,2772000,3103000,3588000,4095000,4663000,5105000,5590000,5958000,6103000,6061000,6114000,6244000,6058000,5794000,5738000,5839000,5936000,5652000,5271000
Sudan,2520000,2842000,3218000,3639000,4148000,4782000,5578000,6541000,7430000,8629000,9974000,11393000,13138000,15039000,17002000,18686000,20142000,21236000,22024000,22735000,23325000
Suriname,58000,66000,72000,80000,84000,83000,96000,115000,135000,151000,157000,159000,165000,166000,176000,179000,178000,179000,172000,167000,163000
Swaziland,78000,85000,93000,99000,110000,127000,145000,172000,218000,245000,286000,314000,373000,448000,505000,531000,541000,554000,576000,597000,607000
Sweden,2071000,1983000,1900000,1985000,2204000,2310000,2411000,2378000,2376000,2421000,2368000,2351000,2373000,2436000,2419000,2426000,2407000,2361000,2459000,2534000,2546000
Switzerland,1371000,1433000,1516000,1691000,1850000,1896000,1904000,1999000,2104000,2173000,2081000,2039000,1956000,1963000,1991000,1974000,1944000,1901000,1899000,1937000,1979000
Syria,982000,1077000,1222000,1374000,1576000,1875000,2223000,2730000,3331000,4089000,5012000,6414000,8037000,8422000,8710000,9116000,9715000,10438000,10902000,10944000,10619000
