"20-39 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,2306000,2503000,2739000,3023000,3381000,3738000,3849000,3345000,3370000,4836000,5485000,6607000,8015000,9677000,11503000,13365000,15278000,17366000,19629000,22028000,24447000
Albania,323000,371000,444000,516000,576000,660000,785000,925000,1090000,997000,878000,883000,940000,1026000,1076000,1014000,920000,844000,800000,809000,788000
Algeria,2439000,2691000,2905000,3081000,3200000,3803000,4640000,5901000,7272000,8624000,10164000,11774000,13066000,13847000,13593000,13025000,12727000,12782000,13385000,13605000,13276000
Angola,1200000,1288000,1386000,1474000,1574000,1761000,2041000,2450000,2831000,3314000,3826000,4516000,5335000,6320000,7310000,8442000,9504000,10632000,11828000,12886000,13884000
Argentina,5609000,6016000,6304000,6561000,6898000,7470000,8022000,8572000,9102000,9757000,10809000,11619000,12468000,13127000,13254000,13368000,13453000,13450000,13415000,13369000,13136000
Armenia,362000,446000,608000,656000,676000,792000,917000,1114000,1198000,987000,871000,851000,944000,1009000,970000,894000,803000,768000,791000,775000,725000
Aruba,12000,13000,14000,14000,16000,19000,20000,25000,22000,28000,28000,29000,28000,28000,29000,30000,29000,27000,25000,25000,25000
Australia,2565000,2671000,2827000,3041000,3522000,4002000,4610000,5138000,5488000,5694000,5669000,5798000,5940000,6056000,6235000,6309000,6402000,6484000,6627000,6803000,6924000
Austria,1860000,1756000,1861000,1903000,1943000,2039000,2136000,2258000,2424000,2541000,2407000,2313000,2206000,2172000,2140000,2051000,1957000,1864000,1833000,1827000,1834000
Azerbaijan,776000,956000,1234000,1285000,1274000,1392000,1646000,2129000,2377000,2619000,2642000,2647000,2904000,3146000,3172000,3036000,2886000,2821000,2899000,2915000,2757000
Bahamas,23000,25000,30000,40000,48000,54000,62000,76000,88000,99000,103000,107000,110000,114000,118000,117000,118000,115000,112000,112000,111000
Bahrain,35000,40000,48000,49000,58000,78000,134000,180000,216000,243000,265000,295000,325000,333000,339000,348000,350000,349000,348000,344000,345000
Bangladesh,12777000,13839000,15138000,16393000,17956000,20731000,23954000,27979000,32868000,38303000,44871000,51731000,57623000,61763000,64133000,64860000,64093000,63169000,61934000,60483000,59448000
Barbados,63000,60000,55000,50000,53000,64000,74000,88000,95000,94000,83000,78000,76000,72000,70000,65000,59000,54000,52000,51000,50000
Belarus,2270000,2374000,2706000,2639000,2534000,2580000,2727000,3069000,3125000,3075000,2931000,2919000,3028000,2904000,2631000,2279000,1963000,1822000,1778000,1706000,1578000
Belgium,2447000,2438000,2537000,2452000,2515000,2623000,2806000,3030000,3052000,3005000,2854000,2770000,2715000,2671000,2640000,2602000,2597000,2588000,2616000,2650000,2646000
Belize,19000,21000,24000,24000,28000,30000,34000,43000,55000,68000,77000,88000,101000,114000,126000,135000,140000,142000,143000,144000,142000
Benin,540000,556000,592000,655000,722000,802000,912000,1055000,1254000,1565000,1832000,2215000,2620000,3060000,3557000,4115000,4761000,5438000,6083000,6654000,7105000
Bhutan,48000,59000,67000,76000,88000,105000,122000,131000,143000,132000,154000,212000,251000,288000,298000,293000,282000,276000,279000,278000,275000
Bolivia,754000,828000,923000,1024000,1140000,1289000,1478000,1671000,1882000,2145000,2410000,2706000,3037000,3394000,3737000,4049000,4270000,4371000,4418000,4393000,4320000
Bosnia and Herzegovina,725000,877000,1042000,1063000,1066000,1155000,1261000,1446000,1472000,1096000,1122000,1117000,1121000,1072000,1016000,906000,781000,722000,662000,630000,596000
Botswana,113000,131000,142000,151000,171000,211000,266000,319000,387000,461000,538000,610000,701000,771000,809000,814000,824000,845000,870000,896000,898000
Brazil,15659000,17738000,20268000,22745000,26011000,30743000,36202000,42978000,48518000,52991000,57582000,61880000,65107000,66753000,67484000,66681000,64543000,61848000,57723000,52948000,49552000
Brunei,14000,18000,23000,27000,34000,45000,67000,78000,101000,114000,125000,140000,153000,164000,174000,180000,183000,183000,184000,188000,190000
Bulgaria,2316000,2380000,2549000,2473000,2486000,2477000,2515000,2545000,2410000,2270000,2241000,2215000,2157000,1963000,1683000,1465000,1305000,1250000,1244000,1200000,1107000
Burkina Faso,1239000,1287000,1354000,1429000,1514000,1616000,1757000,1959000,2315000,2748000,3241000,3944000,4594000,5324000,6145000,7120000,8563000,10041000,11459000,12731000,13587000
Burundi,716000,742000,782000,832000,897000,929000,1115000,1419000,1659000,1672000,1630000,2114000,2807000,3227000,3509000,3647000,3785000,4043000,4345000,4586000,4686000
Cambodia,1252000,1394000,1556000,1743000,1948000,2020000,2003000,2351000,2794000,3174000,3407000,4154000,4951000,5859000,6587000,6550000,6502000,6466000,6670000,6974000,7079000
Cameroon,1294000,1407000,1535000,1681000,1854000,2079000,2365000,2712000,3182000,3743000,4406000,5164000,6018000,6911000,7676000,8475000,9361000,10202000,10978000,11504000,11819000
Canada,4224000,4602000,4946000,5119000,6057000,7117000,8254000,9177000,9533000,9390000,9109000,8974000,9235000,9641000,9728000,9596000,9450000,9332000,9547000,9920000,10254000
Cape Verde,44000,47000,52000,53000,54000,56000,56000,74000,91000,106000,122000,140000,160000,184000,198000,202000,198000,193000,191000,187000,185000
Central African Rep.,383000,405000,431000,465000,503000,534000,595000,704000,785000,922000,1050000,1163000,1333000,1516000,1708000,1888000,2040000,2181000,2293000,2384000,2463000
Chad,705000,759000,819000,892000,968000,1096000,1211000,1363000,1592000,1852000,2206000,2675000,3150000,3686000,4294000,5022000,5814000,6667000,7549000,8406000,9208000
Channel Islands,30000,30000,30000,32000,33000,37000,38000,44000,48000,47000,46000,41000,38000,37000,37000,36000,33000,33000,31000,29000,29000
Chile,1758000,1905000,2061000,2309000,2591000,2948000,3478000,4051000,4496000,4864000,4927000,4972000,5189000,5435000,5592000,5510000,5302000,5083000,5008000,5010000,4966000
China,162674000,173283000,181928000,191391000,213317000,253073000,288917000,341380000,400875000,432079000,441252000,436548000,433289000,419353000,418294000,403291000,368071000,353533000,348675000,343659000,332043000
Colombia,3355000,3661000,4032000,4488000,5280000,6435000,7836000,9478000,11008000,11992000,13043000,13905000,14653000,15618000,16239000,16650000,16945000,17007000,17014000,16928000,16676000
