Income share held by lowest 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Gambia,,,,,,,,,,,,,,,,,,,,,4.02,,,,,4.79,,,,
Georgia,,,,,,,,,,,,,,,,,,,6.1,,,5.96,,,5.6,,,5.36,,
Germany,,,,,,,,,,,,,,,,,,,,,,,8.520851163,,,,,,,
Ghana,,,,,,,,,,,6.97,6.99,,,6.69,,,,,,5.56,,,,,,,,5.24,
Greece,,,,,,,,,,,,,,,,,,,,,,,6.745603239,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,2.76,,2.15,,,,,,,,,3.14,,3.37,,2.88,,,,3.44,
Guinea,,,,,,,,,,,,,,3.09,,,6.4,,,,,,,,,5.75,,,,
Guinea-Bissau,,,,,,,,,,,,,,2.06,,5.15,,,,,,,,,7.23,,,,,
Guyana,,,,,,,,,,,,,,,,4.36,,,,,4.47,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,2.82,,2.96,,3.09,,,3.28,,3.32,,,,3.46,,2.4,2.45,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,5.258611664,,,,,,,,,,,
Hungary,,,,,,,,,,11.42,,10.32,,,,9.72,,,,,9.91,9.49,,,9.55,,8.57,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.149615524,,
Iran,,,,,,,,,4.51,,,,5.15,,,,5.45,,,,5.09,,,,,,,6.41,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,7.443429005,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,5.706706358,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,6.495512895,,,,,,,
Jamaica,,,,,,,,,,,5.37,,5.77,,,6.75,,,6.36,,,5.39,,,4.58,,5.16,,,
Japan,,,,,,,,,,,,,,,,10.58,,,,,,,,,,,,,,
Jordan,,,,,,,,,,7.24,,,,,5.91,,,,,7.46,,,,,,6.59,,,7.21,
Kazakhstan,,,,,,,,,,,9.48,,,,,7.49,,,6.71,,,,,8.08,7.15,7.36,,,,
Kenya,,,,,,,,,,,,,,,3.39,,5.61,,,5.97,,,,,,,,4.7,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,7.905487528,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,10.58,,,,,2.51,,,,,7.16,7.48,,,8.35,,8.11,,,
Laos,,,,,,,,,,,,,,,9.27,,,,,8.12,,,,,8.57,8.51,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,10.44,,,,,9.5,,,7.65,,7.33,,,,6.95,,6.83,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,2.87,,,,,,2.61,,1.48,,,,,,,,2.97,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,10.56,,,,,7.98,,,7.83,,8.22,,,,7.72,,6.79,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,8.432053458,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,8.48,,6.73,,6.04,6.08,,,,
Madagascar,,,4.96,,,,,,,,,,,,,5.12,,,,,,5.85,,4.94,,,,6.15,,
Malawi,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,7.01,,,
Malaysia,,,,,,,4.49,,,4.79,,5.04,,,4.57,,,4.41,,4.25,,,,,,,6.35,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,4.63,,,,,,,6.13,,,,,6.52,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,4.22,,,,,,5.16,,,6.39,,,,6.18,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,4.67,,,,,3.22,,,3.92,,3.97,,4.3,,4,,3.86,,4.25,,4.48,,4.64,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,9.96,,,,6.85,,,,,6.46,,6.78,,,6.82,,7.3,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,7.37,,,7.72,,,,7.45,,,7.22,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,6.74,,,,,,6.56,,,,,,,,6.42,,6.33,,,,,,6.52
Mozambique,,,,,,,,,,,,,,,,,,,,5.63,,,,,,5.43,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,7.58,,,,,,,,6.1,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,7.59981374,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,6.449304307,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,2.6,,,,,3.24,,,4.21,,,,3.79,,
Niger,,,,,,,,,,,,,,,7.45,,6.03,,,,,,,,,,,5.85,,
Nigeria,,,,,,,,,6.02,,,,,,,4,,,5.07,,,,,,,,5.13,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,9.591255194,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,8.35,,,,8.08,,9.54,,,,9.97,,8.73,,,9.39,,,9.07,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,3.89,,,,,,,,,,,,2.08,,,,2.3,2.34,3.43,,,2.38,,2.57,,2.75,,2.51,
Papua New Guinea,,,,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,5.81,,,,,2.25,,,1.97,2.25,,,2.22,,,3.02,,3.4
Peru,,,,,,,,,4.84,,,,5.63,,,,4.88,,4.38,,,,,,3.13,,,3.73,3.88,
Philippines,,,,,,,,6.43,,,6.51,,,5.88,,,5.95,,,5.36,,,5.37,,,5.44,,,5.6,
Poland,,,,,,,,9.84,,9.71,,9.24,,,,6.53,,,8.23,,,7.86,,,7.56,,,7.34,,
Portugal,,,,,,,,,,,,,,,,,,,,5.754920509,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,9.98,,,9.26,,8.85,,,,8.69,,8.18,,7.9,,,8.22,,
Russia,,,,,,,,,,,10.01,,,,,4.36,,,4.41,,,6.17,,,6.76,,,6.41,,
Rwanda,,,,,,,,9.7,,,,,,,,,,,,,,,5.26,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,5.23,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,3.5,,,,6.54,,,,,,6.57,,,,6.22,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,1.12,,,,,,,,,,,,,6.09,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,5.042961535,,,,,,,,,
Slovak Republic,,,,,,,,,,,11.89,,,,11.58,,,,8.81,,,,,,,,,,,
Slovenia,,,,,,,,,,10.49,,,,,,9.28,,,,,8.96,,,,8.65,,8.22,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,2.95,,3.57,,,,,3.06,,,,,,,
