Urban population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4.892477691,5.280596577,5.211826324,5.152211975,5.101754371,5.058584215,5.650061643,5.541268847,5.484699066,5.492131916,5.525337487,6.536383445,6.418401705,6.221050029,5.925926142,5.550382883,6.046049732,5.924556492,5.81109224,5.704921208,5.605339508,3.863487379,3.839153909,3.815558976,3.792672942,3.77046131,3.516572356,3.49570045,3.475407713,3.455690593,3.436512891,4.630720856,4.614146966,4.597992044,4.582239643,4.566870417,4.151539706,4.135458943,4.119778693,4.104487039,4.08956284,4.090732438,4.075196653,4.060040942,4.045245401,4.030809994,4.024619178,4.009610813,3.994961219,3.980663105,3.966695817,4.001459
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,5.631799583,3.434370524,3.387831967,3.331964483,3.269985116,3.203450784,3.123618032,3.051279071,2.979199865,2.908798445,2.840934473,3.064382958,2.998426716,2.938120603,2.884380542,2.836642205,2.841996544,2.80311921,2.765772233,2.729219201,2.695566836,2.770873138,2.683991055,2.696176621,2.834975431,3.026248783,3.301295755,3.445160509,3.251172764,2.638192726,1.768609647,1.421250599,0.5823692533,0.02185931292,-0.1184811933,0.07125817683,0.5324969036,0.7564662442,0.9866290435,1.178946343,1.336973227,2.57655397,2.742973556,2.833513096,2.818989816,2.727845068,2.800731883,2.690287522,2.596203466,2.533621804,2.493259701,2.375133763
Algeria,4.933702419,6.465133206,6.199421906,6.051852865,6.047474151,6.137731319,3.522847576,3.736478372,3.885209798,3.947773815,3.952241782,3.426928624,3.44059848,3.462769916,3.500213735,3.545376199,4.745571684,4.739707003,4.740559874,4.750523229,4.759388309,5.313095217,5.277467426,5.200518334,5.075362694,4.91919037,4.623881708,4.468628095,4.330997448,4.218305841,4.11962178,3.95600251,3.859850678,3.725814932,3.543664179,3.336035493,3.431760113,3.239893324,3.103026397,3.037323519,3.022832724,3.381063688,3.359601676,3.340827639,3.319184043,3.29436519,3.10664658,3.091983508,3.0645753,3.020375774,2.963880744,2.594086384
American Samoa,,2.903706796,3.633670287,4.101766374,4.228692479,4.125129467,3.960953557,3.851970833,3.66068474,3.404313415,3.107734279,2.801276164,2.552461257,2.337916812,2.157662951,2.04226977,1.900174557,1.823729763,1.971716704,2.406658763,3.020273112,4.039783353,4.539408227,4.863698921,4.96226781,4.907476306,4.764803652,4.681239472,4.507705151,4.248393177,3.935817737,3.893405611,3.595111591,3.338226271,3.143047608,2.994414592,2.652877241,2.523783321,2.448899863,2.435235063,2.46498372,2.299624688,2.343983335,2.363965038,2.345023737,2.300977763,2.076143807,2.049246789,2.023152238,2.006737707,1.997933944,1.87056741
Andorra,,10.95304915,10.60927225,10.25938233,9.891014058,9.533365574,8.542569238,8.251208293,8.008683732,7.824269186,7.663225283,6.922405653,6.819870528,6.610604582,6.254411072,5.858079334,4.864666865,4.517821004,4.479402318,4.826804225,5.361815372,5.629715807,6.035598889,5.945565151,5.282858487,4.330163452,2.485600612,1.63991966,1.37367347,1.886551201,2.851623447,3.903893286,4.693044938,4.679992031,3.720900378,2.260891533,0.5420721115,-0.7663206278,-1.292696019,-0.6799975224,0.7355247274,2.224979097,3.460613977,4.015413646,3.727309133,2.925737399,1.967470156,1.326776868,0.8913723959,0.7636762134,0.845813729,0.9114696913
Angola,4.89945784,5.698409952,5.574391041,5.437119155,5.278186885,5.112602041,5.545568534,5.378116939,5.26652641,5.221915116,5.226705914,7.455175168,7.306213572,7.175699476,7.052336547,6.939710733,7.814646796,7.626844291,7.517308865,7.49539045,7.516650065,8.26178984,8.211553624,8.018375212,7.650031804,7.18815684,7.184374925,6.748870406,6.481766193,6.426134942,6.504811948,6.653706294,6.71943097,6.671817151,6.476574863,6.198536585,5.078668246,4.887948113,4.819814793,4.907258874,5.085830321,5.265905724,5.394873767,5.420027842,5.316108658,5.131420172,4.744136097,4.587780018,4.462704179,4.381891928,4.330928555,4.072390266
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,3.671971118,-0.1834640605,0.1346405385,0.3526696204,0.4105465894,0.3599121635,0.429250644,0.377020745,0.285495859,0.1512516106,-0.009251175941,1.698708351,1.525865599,1.359366184,1.205505192,1.060287346,0.9374811686,0.7912976487,0.5624872917,0.2211365196,-0.1900763399,-0.609677436,-0.9757239975,-1.248835885,-1.391479857,-1.412672877,-1.420916823,-1.376741593,-1.103086417,-0.5346207309,0.2449853667,0.05300133289,0.8187509078,1.38121472,1.656473513,1.718982757,1.513927166,1.524653596,1.44005346,1.268151237,1.040036021,0.9901356727,0.7377609822,0.5383623486,0.4023469708,0.3222483511,0.7354823467,0.6565257043,0.5984101028,0.5556079521,0.5274496151,0.9868945664
Argentina,2.731216469,2.360327848,2.332772191,2.300032927,2.25937824,2.216692915,2.104239764,2.068582018,2.067240262,2.109335638,2.178159569,2.152601534,2.217173663,2.24325815,2.218029799,2.158792835,2.047617783,1.993005843,1.958310004,1.952232899,1.965371887,2.036497586,2.04207032,2.041642532,2.032241418,2.015808063,1.950137442,1.932707295,1.910745315,1.88374596,1.852975044,1.755836564,1.721796847,1.689584226,1.660488634,1.632774227,1.562966214,1.535303933,1.497445401,1.446411476,1.387741038,1.279220286,1.225567238,1.186133434,1.165743967,1.159387223,1.093413009,1.089167629,1.086154641,1.082954156,1.07925143,1.025457483
Armenia,5.285572822,5.198250959,5.105308879,4.978975782,4.818426728,4.63896981,4.411756169,4.235734753,4.092995859,3.993402574,3.921581249,3.694956265,3.624212536,3.536624581,3.4256448,3.300817754,2.767360245,2.659920087,2.566027505,2.489909935,2.426221957,1.903222661,1.796146804,1.753223223,1.793887566,1.866634888,1.801959086,1.865332903,1.630862578,1.01370311,0.1539698208,-1.330634744,-2.191428816,-2.742098954,-2.80760832,-2.480666959,-2.01660609,-1.608205984,-1.249957793,-1.023513315,-0.900398018,-0.484195143,-0.3042338752,-0.1663916488,-0.08263548312,-0.04101747292,0.09002084017,0.1043882548,0.1226568957,0.1543559042,0.1928263864,0.3398245797
