,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,1731.110272,1748.382111,2119.625287,2119.436183,2148.019818,2263.112348,2269.601225,2121.09752,2205.369552,2121.10222,2120.909569,2297.685601,2423.386061,2529.474927,2555.926996,2548.881289,2617.033486,2326.325699,2095.916977,1906.918376,1750.721558,1837.043069,1447.250461,1136.883637,1022.053057,920.7470375,939.6581614,1029.113275,1047.167369,880.5576404,478.1043497,418.2312031,525.8540384,588.0760455,580.8326473
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3902.029138,2120.134618,1435.842866,1871.238586,2347.19447,2738.005021,2657.67609,2402.997812,2669.381563,3255.670814,3796.805207,4057.618868,4134.468892,4160.329529,4498.742179
Algeria,,,,,,,,,,,3897.955794,3529.530595,2626.150108,3284.258331,3778.400908,4086.435947,3685.267871,3836.494509,4017.48365,4100.296049,4280.133793,3830.378503,4621.212479,4425.815156,4043.566014,3987.896944,4343.494712,4276.660436,4436.832187,5280.652456,5055.841732,4911.591004,5162.561699,5277.886486,5460.948571,5457.054503,5743.478855,5934.353312,5572.778971,5578.146183,5569.902461,5537.323291,5616.997126,5431.682246,5227.72889,5324.475533,5513.453437,5457.324656,5508.199529,5610.980771,5753.121996,5726.032885,5723.292232,5993.001283,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.977388,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,5167.933059,4978.537607,5249.233656,5021.922038,5169.575266,4871.256952,4414.264498,4717.353804,4737.527189,5262.948977,5383.362599,5280.88404,5618.21891,7076.01503,7170.768413,7499.254478,7878.082917,7852.206634,9696.741004,9984.802574,10793.28937,10706.19075,11148.93756,11999.62945,12623.9679,12024.50908,12438.55146,12949.81327,13666.69726,14056.15217,14064.73976,14316.29456,15270.91637,15820.54162,
Argentina,7090.650714,7312.852001,6735.983433,6753.645499,6949.687914,7395.952952,7352.56939,7561.590492,7948.906276,7353.934666,7859.448316,8068.281749,7968.002326,7544.756327,8030.675005,8738.892729,8569.290584,8701.030768,9004.630099,9646.931266,9739.774799,9947.783326,9945.670273,10179.48816,10591.22387,10363.50024,10106.84316,10503.81665,10092.56944,10715.842,10807.14338,10080.20854,9493.230044,9722.546189,9828.631444,8974.327775,9532.775097,9623.249363,9228.469507,8464.987884,8230.962401,9099.332286,10053.65962,10534.85101,10967.80506,10573.17147,10910.54597,11604.95985,11932.88231,11586.60216,11331.95804,10690.72284,9561.176372,10172.06301,10944.93226
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674.410223,2832.7364,2804.81248,3025.600025,3172.136559,3471.408967,3912.623143,4338.368761,4765.203178,
Australia,9261.067805,9214.523632,8613.407744,9389.974975,9923.785965,10125.32302,9936.08081,9932.185847,10391.25061,10783.04738,10781.02131,10688.65078,11127.39429,11649.27596,12205.33577,12287.24073,12730.90051,12981.95004,13809.46351,14311.90576,14672.85183,15080.58696,15364.97516,15898.59508,15617.89424,15834.0188,16248.43976,16365.10074,16878.19196,17086.69885,17456.14533,17935.71991,17502.4839,17982.44124,18476.02457,19142.09322,19294.0012,19924.32895,20270.63299,20771.4745,20424.85437,20375.57591,20802.63064,21301.69039,22007.78857,22648.29092,23271.22631,24010.64349,24950.27668,25658.20694,25834.53971,26528.38756,27119.4065,27871.53534,27993.62449
Austria,5011.140871,5334.943608,5303.8166,5470.471412,5930.138597,6519.452691,6735.724375,7154.46131,7420.662519,7630.919266,8495.008224,8906.259013,9070.894917,9373.588171,9869.249517,10111.56933,10610.05662,10880.34176,11304.31486,11906.06516,12689.68555,13290.62894,14057.60675,14720.43965,15217.69715,15183.42569,15891.84744,16717.67192,16446.12311,17736.67617,17829.16536,17910.47617,18242.90992,18713.72397,18791.94165,19362.81438,19650.29418,19932.31245,20621.92356,21406.83747,22219.83896,22763.02363,23089.63542,22978.42896,23265.23099,23590.13629,24023.97304,24488.42362,25338.86551,26112.96693,26999.76676,27190.53202,27346.7496,27566.94834,28157.56723
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318.537929,2295.422985,2129.26569,2256.313633,2561.292146,3148.854277,3590.967622,3783.160878,3852.010397,3670.852007,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,16856.34593,16749.69338,15789.88108,16641.68332,13588.81683,11358.3654,11701.44921,12483.27565,13965.25381,17212.27597,18051.36662,17185.68354,17659.80506,18509.31913,18528.24995,18946.64614,19018.00478,19928.10107,20056.00725,22215.93792,20641.31968,19716.71002,17947.60437,17390.04035,17737.48621,17111.22516,16741.52068,16624.03581,16705.85437,18425.05251,19088.04214,18533.11926,18377.33752,18381.13131,18712.08283
