Out-of-pocket expenditure as percentage of total health expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Chad,63.0127655,60.41953649,62.34608909,66.71096115,63.58434938,55.31536262,57.9313101,66.48193411,51.1365575,62.2531159,56.88422553,65.56741762,74.19690343,75.8452383,77.62964082,72.54599585
Channel Islands,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,
China,46.40008838,50.64362465,52.83829601,54.84569492,55.85054933,58.97951001,59.96668052,57.7222223,55.87198214,53.63892552,52.20579914,49.30806007,44.05281852,40.42448092,37.4597749,36.59161073
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,
Comoros,28.767014,30.39184749,33.11450629,36.33881828,39.39830424,47.24684131,52.48991183,42.71849159,41.83124993,39.55658613,38.98088026,36.27086005,34.72304492,32.59691193,46.78909228,32.77968943
"Congo, Dem. Rep.",67.2972645,69.81079518,67.93415413,71.60465544,68.5103975,72.36123262,68.2784096,67.0425555,56.74899886,57.6184109,51.15435216,50.40701412,47.70260851,39.16909435,35.81957555,35.91380555
"Congo, Rep.",40.36935333,39.49080852,40.18194258,41.21663563,42.51719146,42.27956367,44.99575912,47.32806555,50.08153823,46.16099427,40.52362133,36.70707449,42.40206739,51.86434247,52.507627,53.26365959
Cook Is,8.66154601,8.20394122,10.21520974,9.46664571,10.5285347,9.49727713,6.6980185,8.69651655,8.67860397,9.57472311,5.71494678,6.56189757,6.50099945,6.38229701,6.23453549,6.15458106
Costa Rica,,,,,,,,,,,,,,,,
Cote d'Ivoire,76.19326876,75.1685989,75.4042927,78.5003034,75.70520316,72.32419878,74.04341806,68.24526677,72.3856426,73.01943838,78.51524111,79.31798469,70.99363125,69.42237961,78.19527545,77.4679289
Croatia,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,
Cyprus,63.26971407,64.86436472,63.60166366,57.05375089,54.55891664,55.86018313,55.18530202,52.76921708,43.42539939,46.48938929,47.03741736,46.6260237,47.78289904,48.83361821,48.8248822,48.83869309
Czech Republic,9.11127562,9.33247151,9.71447516,9.56973238,9.51846966,9.68087582,10.23459766,9.52643707,9.96135488,10.35228493,10.69599409,11.29435355,13.18240522,15.73360876,14.43371807,14.6851327
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,16.29748554,16.23188076,16.3280654,16.35196932,14.59549011,14.67089541,14.41053783,14.10908864,13.98079536,14.22126034,14.04706864,13.83675763,13.60162017,13.25577207,13.17150816,13.11463749
Djibouti,39.30012697,40.9925422,37.8627911,33.38070786,28.753801,31.70706895,34.58419293,34.97560424,32.57004538,37.82095187,31.21139227,32.92219331,30.51798204,31.68198973,30.39323568,34.39420821
Dominica,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,
Egypt,47.95058421,54.28070603,58.3534658,57.66990671,57.75009089,57.99685475,58.31910965,58.7718213,58.69724197,58.60611095,58.39011527,54.83161168,57.63067179,56.47713901,59.12886965,61.16900218
El Salvador,,,,,,,,,,,,,,,,
Equatorial Guinea,42.97321089,47.59412699,49.47420265,50.76875952,50.61128147,48.80916082,35.18487188,19.05135422,29.93723072,38.47181976,36.03344708,28.03232566,25.61878782,41.12139353,22.06948791,22.16849017
Eritrea,52.09580838,62.73291925,57.82271487,56.87236128,57.22192324,52.36965428,47.31805323,50.73003522,52.81175588,53.786932,54.0468056,54.42547159,54.72263868,49.45384073,52.29678962,51.764777
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,10.2347411,11.49237895,10.60279176,13.18869736,12.60751821,17.44028761,16.68893683,17.5325054,18.52470096,18.8351357,20.54360156,25.29500865,22.20435571,19.93237451,21.10726347,19.58472179
Ethiopia,46.97651067,48.59562097,46.43297347,44.70715802,42.5202097,36.76826138,34.54745574,37.41217362,34.35141579,34.83312841,31.51874145,36.08071408,34.7951996,38.46554087,37.13151525,37.20890108
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,12.77478192,11.6699871,10.99474691,11.2513835,12.45190264,10.11032214,12.25049852,11.0846519,11.93377478,12.23630781,11.82018405,13.57205349,15.47648182,15.53298999,21.88831311,19.66144144
Finland,22.65014667,22.65859093,22.15037544,21.61868938,22.37059335,22.31539002,21.788859,21.27067539,19.1165857,18.82730106,18.48993383,19.07470898,19.33187987,19.08687515,19.03241176,18.77905175
France,7.60360385,7.322577,7.19169151,7.1150525,7.1635039,7.10007084,7.17148311,6.97135564,6.65405437,6.56485441,6.62063576,6.59295045,7.0214525,7.43789857,7.31192567,7.33998283
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,62.14610369,59.7261548,60.00167438,59.65301283,64.38462425,58.02913068,57.97137656,63.68689257,56.22694543,54.28271275,57.71563898,57.33240113,56.11982858,56.29647802,52.08495327,47.07289303
Gambia,38.23437643,37.85018456,37.75839353,35.52508132,34.99695459,35.61941046,33.60250672,33.56471678,25.41551039,20.35918777,21.72677132,20.76211995,25.01448698,25.1172897,22.53395145,23.76819363
Georgia,94.78465883,88.32973618,81.28027804,81.64807019,81.73887964,82.50978649,72.27094391,71.18585654,77.06336687,77.398272,76.82580161,72.22067382,70.79521373,64.23507265,66.549337,68.34361652
Germany,9.97279079,9.74687689,10.55423748,11.30001734,11.19866895,11.40872783,11.57062208,11.68926539,12.04640577,13.43878914,13.438819,13.66564124,13.60173974,13.29459445,13.08879269,12.96653807
Ghana,27.0258297,27.02281665,29.1846041,28.36542612,32.07180975,33.04561225,27.64100885,32.33606776,31.22572989,24.38957566,21.4434317,28.19066842,25.29234976,28.36133132,28.81939339,26.90040558
Gibraltar,,,,,,,,,,,,,,,,
Greece,45.93083723,45.00415825,45.13495864,45.94349142,44.66010487,37.79102254,36.94825847,39.67719298,38.01701188,38.73655413,37.90478233,36.00649031,37.48275705,37.86383867,36.24222947,38.3798069
Greenland,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,
Guinea,79.11187114,80.74112755,79.34010506,82.77694772,81.1961856,80.93563068,78.11615309,78.2846514,75.34140298,82.58558016,88.13720894,86.66127396,91.40852158,85.59199647,91.29006935,88.1484926
Guinea-Bissau,44.15621658,40.90646219,36.7621307,40.42447223,39.90491096,51.47240552,49.75859338,35.14235245,42.16866308,48.31855255,48.39540822,49.65563209,48.56750784,49.70361317,66.0305963,66.43130426
Guyana,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,16.03908484,18.39613137,18.71630728,22.304092,24.85232239,26.27133168,27.69272547,26.27908176,23.66617392,23.39575428,23.80510607,22.98285707,24.27243314,23.84262979,23.72817462,23.99088748
Iceland,15.63659161,16.4440333,15.07387084,19.10873552,16.90885155,18.49605398,18.61713202,17.67431203,16.67423519,17.20677921,16.95035806,16.33865185,15.6634117,15.06045051,16.43869129,17.93866667
India,67.56848825,67.63495692,68.82951045,68.34014179,65.56222634,67.96530403,70.35631982,70.61310862,70.73645741,69.13089935,68.36418495,66.83704519,65.08993081,62.92280484,60.21080229,61.16242117
Indonesia,46.56182585,46.1135245,47.15672048,48.15918997,47.90878179,46.54562126,41.78102624,44.67519016,44.41270673,44.70949959,45.61551478,43.13544903,40.64133461,40.29527958,40.50467028,38.25351663
Iran,53.59432548,51.12840179,49.6743484,49.88181361,55.41628054,56.16365989,53.70951244,53.47286131,51.39683742,54.14177865,53.19649897,51.78928116,53.49087677,51.84995401,56.86035117,57.8134642
Iraq,,99.59125928,99.60536547,96.73571143,96.82073609,98.86329251,98.25931517,97.14168958,54.6330249,27.82469615,32.64847272,36.19370683,30.51515927,25.37027811,21.93089217,18.81810713
Ireland,15.35606522,15.54058067,15.25864213,14.39914002,15.00482467,15.1536443,14.96340038,14.53957243,16.04054335,15.65683337,15.30538823,14.36424643,13.90498541,14.3991787,12.33259965,15.15866544
Isle of Man,,,,,,,,,,,,,,,,
Israel,27.1918153,22.50474866,21.35746601,25.02323643,27.24020663,24.65255399,26.73374454,29.09619555,27.48416031,26.40962993,26.67452231,28.48746082,29.15040587,30.77370427,29.16167309,29.16167309
Italy,26.60741301,26.52785654,26.36456491,26.69623165,26.10745976,24.50020825,22.14789316,22.39219209,22.38483212,21.18982569,20.46793693,19.87546105,20.10756212,19.65247807,19.65374519,19.60330735
Jamaica,,,,,,,,,,,,,,,,
Japan,13.98211832,14.10057422,15.16785979,15.70267177,15.36944297,15.37014101,15.14520314,15.55037919,16.41131639,16.24704571,15.40129552,16.99192589,16.12470961,15.77764019,14.51754058,14.3444374
Jersey,,,,,,,,,,,,,,,,
Jordan,24.36991339,26.93126716,28.52064954,29.76388506,33.79993121,38.96140432,38.39488352,39.22279838,41.24744666,39.62180276,40.76397287,39.96835266,35.90233483,31.85853454,22.86861408,25.10978247
Kazakhstan,35.44754074,35.86333334,35.16145845,35.40776538,46.87492927,48.43195289,42.64978965,45.84634599,44.83628584,41.32896343,37.47615892,40.94878548,47.20019168,40.98512894,40.28582246,40.10450181
Kenya,41.99478691,47.38207064,48.4335261,44.68590598,48.38048338,43.20081535,44.48146922,44.75941178,44.79686952,45.4996596,44.69585225,43.13888909,44.10953322,46.15760164,43.46712619,42.69788113
Kiribati,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,
South Korea,51.94685275,48.94424791,45.8701785,41.08302713,40.4996803,41.53347559,36.25503546,37.38362941,37.99726752,38.28314245,37.90427841,35.71921284,34.72881059,34.1747361,32.43174373,31.35147554
United Korea (former),,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,17.00981229,19.27784232,18.86798589,19.70165442,19.21353231,22.38583653,17.35196539,18.82176199,17.90646126,18.37049163,18.29170501,17.15944099,19.30693076,19.69387007,13.18790318,17.7790746
Kyrgyz Republic,39.233422,46.85248252,44.74963919,46.90493861,45.90080301,49.75628905,53.31033117,55.03955464,57.73071164,55.8194131,55.99056689,50.48136354,47.13725322,44.98628422,41.54015989,37.81269067
Lao,35.84052128,38.20765436,38.14648491,51.2565702,63.37190659,59.60830227,50.30181609,50.84961427,55.80984667,62.36362019,65.74649678,65.29594687,66.38730421,56.812863,50.7178867,51.15340625
Latvia,,,,,,,,,,,,,,,,
Lebanon,55.3057696,55.29652192,56.30693472,59.61258838,56.81945526,52.42224942,47.11764818,40.78990958,43.65862498,42.443408,39.39673894,42.80523923,44.25793214,41.03749956,42.68527075,44.68951299
Lesotho,41.10386946,38.42859195,39.90025864,37.51544803,37.64615768,36.08125926,30.13808882,30.7375612,28.70396066,29.40908581,32.19425423,27.57247145,23.1864806,20.63603399,17.73921898,16.39451115
Liberia,,,,35.67123556,35.0509113,36.35699711,34.90397442,38.80718251,38.39672001,36.68447926,34.17489849,36.65434828,40.06481282,35,34.20371312,35.2411589
Libya,50.40837462,51.22619875,54.90810509,47.97546867,49.79723934,42.78876336,35.41106519,35.23885774,36.45915639,36.94776221,38.2164348,38.94894934,34.11943642,29.67668507,33.87902582,31.22269001
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,
Luxembourg,6.18289478,7.16894057,7.40337507,7.59986219,7.33580737,11.79974054,12.45922855,11.82368732,12.22503926,11.64275613,11.59444218,11.54316561,12.23945785,12.39397954,11.62704955,11.34656555
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",41.29624579,41.11816908,39.6697384,35.8200028,40.05715812,42.15633426,40.82121861,40.81855373,41.15634847,40.16694648,38.02280452,34.82880382,35.46475879,31.55992045,33.21693902,35.92843323
Madagascar,24.65530803,21.68505607,20.53994689,20.98760599,20.54651592,17.69887879,16.10721502,17.40115215,19.00843737,19.89601267,20.644411,21.46741381,22.93990679,21.27691603,24.19953196,27.11641296
Malawi,28.84783597,33.75391066,30.23350549,26.5496123,24.99307902,21.97532873,23.93790204,16.53138491,11.79512462,9.42084343,8.81034016,8.80419285,9.85990744,10.35903555,9.49365249,11.12450228
Malaysia,27.95766773,26.98256026,28.61140512,28.62008737,29.05596993,29.64024025,27.62481119,28.74793515,27.6897707,31.87352705,36.20812243,33.58570364,34.34357102,34.33193575,34.01790201,34.16939714
Maldives,14.26574267,20.8916945,21.11278534,22.3417239,21.04481224,23.0105737,23.15270861,23.63273168,34.42111101,32.41583258,26.22309198,25.50390786,24.95070529,21.93569993,28.17412805,28.30168467
Mali,47.7192025,60.40716012,63.86697974,65.5290991,69.68965895,66.50207822,55.03854041,59.58849964,55.10277554,50.49307278,53.23196379,51.53705984,51.71838612,53.23476838,52.49904178,53.15492283
Malta,,,,,,,,,,,,,,,,
Marshall Islands,12.94517891,10.80596091,10.22767019,11.00791775,10.93431701,9.05688314,10.54324576,11.22180578,12.65944892,12.43255527,12.9643187,12.35305326,12.39597678,13.46038864,12.05567683,12.60840078
Martinique,,,,,,,,,,,,,,,,
Mauritania,38.68630944,48.29309354,46.36762242,38.2068469,30.52697604,31.6471583,37.87126421,31.53683881,34.43334455,32.94210798,35.18425088,35.58272877,39.73574751,45.77865208,44.61291004,44.30982327
Mauritius,33.64223607,34.00006836,33.85262943,33.35430751,33.60049213,35.77841904,35.63809077,36.30158494,36.4236764,36.57954093,43.97541042,49.83878261,56.52288194,58.66296871,55.81783722,51.74409103
Mayotte,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",4.82580681,5.45609959,6.17386493,6.93866949,6.38665283,6.14618992,5.58896768,6.06224125,5.10156284,4.6666282,6.38044914,7.23282949,6.70467503,9.39637053,9.0761353,8.62530916
Moldova,27.35845786,27.43214738,28.19338195,36.36841012,43.70093867,42.87918257,47.15401107,39.64342418,41.87631276,40.35519932,44.6550254,46.09868628,45.6629538,45.07587059,43.66699882,44.8772933
Monaco,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Mongolia,14.48496274,13.40672486,12.0731428,12.76024192,12.06391149,12.11929711,10.50138786,16.94362577,15.22044849,8.66097891,15.76560555,23.21370696,30.27032311,40.00535069,41.59766822,41.37156757
Montenegro,28.98757226,29.1520316,28.86462868,28.98190331,29.52103843,28.18212652,26.87663943,28.5978488,24.62149834,25.57215759,28.03444441,29.07623404,28.00134924,26.92101681,26.12680285,29.87132389
Montserrat,,,,,,,,,,,,,,,,
Morocco,52.72977988,52.78062858,55.55272581,54.34869487,54.57244667,54.05049258,51.82818961,60.50884872,59.96970835,59.07127389,59.7952011,57.99854391,54.97452697,54.48597131,52.8665806,53.55178333
Mozambique,13.76465422,16.38450643,14.62085958,14.90620299,13.80434846,12.6144229,12.70614981,11.74781585,13.26444957,15.18467252,12.10163327,12.42656176,10.06340424,8.43059615,11.95021611,13.65080031
Myanmar,80.67061471,83.3528382,85.29795594,89.19565928,88.82641315,85.87087828,87.49932269,83.37789445,86.08053607,84.94864209,90.28468437,81.27911047,84.01292358,84.80964994,81.9018625,81.12101215
Namibia,6.33045251,6.03203245,6.27088258,6.02251016,5.66834784,5.64213773,2.97708098,3.929882,5.08880876,3.74749738,3.71971389,3.24143858,8.51671808,8.13483527,8.0660803,7.4475437
Nauru,3.41035738,2.84915734,2.62901655,2.21047315,2.67545355,2.91767072,3.0473422,3.16454506,3.95089958,2.9611073,3.82358064,3.578399,2.61927471,4.00399686,4.9645763,4.96125164
Nepal,78.26097549,77.88175407,74.48241703,71.5372869,74.30061246,71.39880881,65.05272397,63.69116214,65.71155019,55.98869266,53.3979217,49.5013786,53.50117982,48.6288081,49.21665953,48.34567773
Netherlands,9.6397587,8.12277515,7.6726756,8.44940283,8.98642592,8.98048766,8.69986541,8.02151997,7.32233571,7.16425443,7.12115635,5.63153715,5.51629703,5.74234047,5.74306053,5.20006272
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,16.15098177,16.29248966,15.63151033,16.25904838,15.91470767,15.35969616,16.98616094,16.05817272,15.59925614,14.10907304,14.0727003,13.83766321,11.4548495,11.24177679,10.62523359,10.49823855
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,
Niger,48.3459984,50.26208946,45.11321032,45.22165775,45.26181114,45.17267453,41.2837592,41.05554188,43.13655419,41.44518396,47.55884111,43.70543014,46.0271873,41.49609874,42.01565408,41.31390017
Nigeria,70.29989665,74.98320007,72.35328537,70.16698057,67.1586864,61.65204089,62.7398175,67.29754354,74.66082686,64.16937783,67.85555192,63.09765473,57.72316069,56.14691086,62.09487282,59.21442169
Niue,1.60980728,1.33355222,1.52682374,1.64713711,1.41015492,1.54544942,,1.40142913,1.08733245,0.84561482,0.95035699,0.78377611,0.75817599,0.74096186,0.70106688,0.7018709
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,17.83039741,17.83039741,17.83039741,16.98277741,16.63541064,16.7211853,15.73122588,15.75695366,15.48266613,15.62319823,15.65178576,15.39721891,15.02315067,14.93884884,15.14063409,15.33441513
Oman,10.13745805,10.11329618,10.72188089,11.88518388,11.91781245,11.74951695,11.27116392,10.15356362,10.59612079,11.17898872,10.57785902,11.60625627,12.04540068,14.35712237,13.47644158,12.31999121
Pakistan,72.58275011,71.1879526,73.2485821,65.41305141,66.60414866,63.4760365,62.00542431,56.04339618,61.48591086,61.23023887,60.57197752,57.40725418,56.62822074,52.60203024,53.33342989,50.47948902
Palau,18.71472347,17.07095497,17.61166301,22.18148941,22.32666287,24.04414974,13.34606235,10.35128188,8.31620569,8.9061529,9.41763422,8.25171704,8.69518698,9.1646756,8.89062073,9.15074769
Panama,,,,,,,,,,,,,,,,
Papua New Guinea,6.37951498,6.49953011,9.10944665,7.9052713,8.57656661,10.23591595,9.61988379,11.33130309,11.71539815,10.87783664,11.35650829,12.4976657,15.65491361,13.70647388,16.40362602,15.9016725
Paraguay,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,
Philippines,50.01414669,48.25049696,46.48219046,46.30478501,43.3181103,40.49712561,43.85349811,46.77649868,46.88237874,46.91397198,49.17483443,52.25542862,54.34673938,56.41038143,54.21409067,54.03203813
Pitcairn,,,,,,,,,,,,,,,,
Poland,27.10928192,26.61134386,28.04278593,34.61636,28.870511,29.96982822,28.10071155,25.43859324,26.43068855,28.10926538,26.11966082,25.5907052,24.23421121,22.42229731,22.29783442,22.05878982
Portugal,23.91772303,23.32911253,22.87343746,22.95951707,23.68118121,24.88375718,24.9412985,23.92296861,24.0790061,24.39095249,24.76859514,26.00795054,26.38773031,27.16416317,25.02485659,24.78416181
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,34.62881555,30.1269566,28.25471577,29.86018483,28.99869133,26.35754632,23.61975109,23.79785647,15.28888491,15.26787549,15.27034038,15.22603468,15.20640978,15.15390393,15.81697952,16.01091176
Reunion,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,
Russia,16.88725463,18.05514167,18.08232833,23.01363741,27.49439074,29.96718001,30.48275862,30.86419753,32.82937365,33.23899015,31.3238036,29.96708453,29.73668027,29.02453743,30.08827039,31.39527981
Rwanda,26.29940989,24.68886043,24.85908294,21.34006927,22.42835267,24.77577596,23.61015005,24.68543319,17.39608113,17.3537947,16.44525238,20.72254831,23.49965964,23.33537419,22.79209059,22.15847182
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,24.64127014,21.55345757,23.317979,21.15400482,20.27776239,18.98652214,21.06249251,17.44359891,18.76987911,12.21106959,12.77325699,9.47876948,8.99350499,8.91137493,9.23232032,7.76861264
San Marino,,,,,,,,,,,,,,,,
Sao Tome and Principe,52.16430689,57.35536709,48.76617001,52.56731264,45.38052193,49.95379494,40.55114151,37.17490638,30.26841929,33.12054671,34.64727119,39.16302624,42.00092432,46.1218126,45.08537808,53.55363858
Saudi Arabia,34.93172594,32.72500585,30.54205449,30.35842888,22.34440415,18.92336034,18.48724304,18.91139773,18.39957036,18.17457021,16.47261132,15.39739193,16.82662673,18.81212193,19.65948632,18.62671886
Senegal,64.18866582,59.6438466,60.64234433,59.94826305,58.25522045,57.86908319,57.22381378,55.59101944,54.9687932,55.26250414,34.07252328,33.07344938,34.47913791,36.00354472,35.75304313,34.95041711
Serbia,24.65394441,24.65363919,23.87908906,25.3605504,25.40504342,25.25736641,26.63289729,23.11503635,24.99495297,27.31560884,29.9340138,32.92166016,34.82403783,35.14494038,35.16925872,36.43155928
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
