Dependency ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,82.32401072,82.78700759,83.35755276,83.37036665,85.83157566,88.10353404,90.04947076,91.83754406,93.61181039,95.97424687,97.10293572,96.19297311,92.7757991,90.9564657,91.09637322,93.78603556,95.06962647,95.304812,95.57327181,96.652693,98.33833701
Africa,81.22712382,83.2862872,86.03443138,88.5755787,90.5810707,91.36504543,91.39303851,91.66088226,90.82036104,87.96749888,83.94178261,80.21308456,77.59157545,77.34808356,78.24233112,79.96050538,80.58988247,80.96420359,81.87220481,83.56737875,85.61954927
Albania,83.14562977,81.84073612,84.82403259,89.62970836,86.63159943,78.76526296,68.39722064,64.80547876,60.19747683,61.6641337,60.80936352,54.22627775,48.46016046,47.37184112,52.80695302,60.27581047,62.57308051,61.12862684,59.12342514,60.31074512,65.67442711
Algeria,79.56649743,82.5932002,90.31797455,98.81902374,108.966638,106.1189453,98.1789358,93.61599241,86.3690412,76.45697397,61.98845172,51.96298202,46.2883631,47.8888911,50.84392405,52.40228094,51.53226744,50.315751,51.25839492,55.30822287,61.08359783
Angola,78.92511092,81.75166286,86.25743754,92.01263054,94.4805907,95.40830265,96.5898084,98.10890392,100.0579177,100.8568725,98.15143999,94.87682221,89.186311,87.63194171,87.33436319,90.28388979,91.3320719,91.32002276,91.30115957,92.05501959,93.33419058
Argentina,52.48663581,54.35047443,55.92787303,56.14150701,55.92672107,56.84493833,60.66739111,62.68466031,62.79504512,62.63135398,60.58745557,57.61047425,55.17304775,55.44592145,57.48563567,59.51926875,59.22638186,58.21054781,58.35594461,61.10204138,63.53706386
Armenia,69.17262223,64.74986752,79.11307911,87.1083931,78.90208784,65.34025593,55.59647873,53.37946636,54.45331862,60.91466428,55.88312507,51.38227999,45.46896219,48.65598969,54.34696637,60.83226735,62.56839431,59.74263491,58.39312204,60.78385302,66.16637455
Aruba,80.65698643,84.49661591,85.1208203,81.933782,71.00214508,58.46843926,48.46324618,44.88463114,45.57811988,43.4634338,43.14790545,42.13006598,40.19374886,41.30337079,47.16607627,57.73167847,68.13068028,74.1099946,74.13600406,71.39244103,69.19355511
Asia,66.64452148,72.18235538,76.76868513,79.65453666,78.48772389,77.34609491,72.00979782,65.62703713,62.01550547,60.986005,57.40185004,52.50183956,48.98104277,49.05820375,51.45909359,53.83080843,54.54226847,55.63487077,58.09794656,60.11384192,62.6529683
Australia,51.24720774,57.78196434,60.8648113,59.46064622,56.94721339,54.5280973,50.97352077,48.34480516,46.35197872,50.52060184,49.74509427,48.51795563,48.77092871,52.93782662,58.32606939,64.21498059,67.88280735,69.15919678,69.99712691,70.2651869,71.56667958
Australia/New Zealand,52.76167226,59.11867834,62.23884402,60.69458285,58.31478899,55.64123506,51.82307631,48.70330032,46.69536056,50.91272179,50.23987111,48.8772663,48.9232242,52.96001812,58.21154904,64.10892709,67.87827689,69.18843808,69.81320909,69.9923195,71.26850146
Austria,47.88386427,48.63277593,49.4197844,54.34399437,59.12862154,57.89314674,51.70283271,43.485499,42.65407268,48.88807087,47.95459507,47.46963378,47.71088823,50.12000685,54.07948977,61.25497728,68.88879806,74.48016854,75.96352889,76.40333811,78.86303567
Azerbaijan,63.25334918,60.54411,79.00363109,96.31701775,95.97332431,81.62480915,64.62821009,58.66860535,61.74061079,63.64118945,58.28634131,50.07150358,43.89902826,45.01246573,49.8313811,53.8004199,55.13437077,54.37079979,54.74029478,56.72679402,60.1464373
Bahamas,76.607977,79.41350168,85.35104429,89.93141551,87.75932686,80.69640055,73.04846421,65.69605163,57.79628236,56.43706996,52.80711869,50.26059339,47.11231198,46.37428269,48.88814959,53.21425436,56.85800669,58.91646462,61.10632466,62.68813531,65.43380018
Bahrain,81.94383086,83.09122364,83.99631284,112.0423452,93.31784822,82.21325021,57.6669871,50.64072817,50.36804973,49.1820297,44.66571708,43.07553444,39.34310476,37.41943651,37.01504066,39.39335445,42.4920569,46.91769698,51.62455883,55.18094429,57.66862502
Bangladesh,72.89206445,78.27703603,83.46231234,88.83291198,90.36772267,91.86305029,92.45581583,90.68407484,84.87012623,76.38195326,67.19220355,59.89886469,53.4482698,49.8550719,48.97321788,50.37038081,50.13479296,49.49197407,49.90801182,52.59047472,56.14981298
Barbados,62.05426357,68.95252449,79.46582875,83.9846713,80.65559447,68.3874549,63.99139012,56.01738369,48.26894012,48.97732916,45.05671862,40.40872222,37.86447418,41.09191222,47.87944514,57.42381372,65.31404994,69.9235402,74.55133676,76.68609384,79.82901469
Belarus,51.88814579,49.53204835,57.06593933,61.1344628,58.70972565,52.37234358,47.82396754,45.72288119,47.37748213,51.98799022,47.44879649,42.91726778,39.01121637,41.17159375,45.83758647,51.80774063,54.52837902,54.50077611,56.6911156,61.31838022,68.40970334
Belgium,44.82599502,47.3773243,52.13185235,54.16377374,55.21750486,53.23469349,48.94075937,44.07748233,43.99652496,51.02538988,52.40409904,52.23890829,51.86631842,56.21136558,61.98996932,68.66587055,73.8075208,76.10902126,76.48578223,76.5015276,76.986666
Belize,72.38972711,88.83253543,98.02190266,104.9359864,104.5732884,105.2872355,101.5490924,94.59703586,88.68376,88.10940983,80.37061473,72.09944583,62.92393398,58.18975513,57.01640357,58.68216104,59.90665103,60.31013725,60.85360987,61.62531546,63.84859314
Benin,73.93421602,74.58175792,75.93369871,81.35959249,87.56683258,92.40503497,94.93511706,95.78610927,95.74560755,92.57110845,91.83156188,88.23620891,85.75661247,85.12894175,85.50126032,86.56559025,87.05240303,87.3862994,87.81233869,88.52073056,89.29572377
Bhutan,86.13590556,79.40207845,78.91780296,79.32966786,80.42496083,78.42312247,79.70831664,83.41516765,84.71994383,90.93867531,81.04872273,63.00050417,53.2450397,50.47862268,50.44809533,52.86567496,52.39854658,52.13719237,52.29039016,55.10103814,59.90989764
Bolivia,80.9366984,82.17261713,84.84118302,85.56945624,85.97001114,86.30353519,84.89382211,82.82007072,80.06218301,80.6000583,78.23322332,74.29869074,68.22464765,65.64933145,64.99932095,66.57636655,66.93489186,66.81863291,67.16959523,67.79478493,68.94547033
Bosnia and Herzegovina,70.97378277,67.14212358,71.80482048,71.64459329,63.87039013,56.34907322,48.99714939,43.03013334,42.15677427,43.37218553,44.51975146,42.97380604,41.01662658,41.90040334,47.60613357,54.83094558,59.93982041,62.56796875,64.72724702,68.62673724,75.07653584
Botswana,81.89330831,86.589262,97.47637055,106.7582172,103.6571975,99.42598824,96.22812697,95.68326096,90.39437957,79.9395125,69.79674316,62.99314278,58.20109037,57.85307373,60.72186777,61.87680507,59.40846174,56.99053939,55.42988205,55.92999545,57.99219066
Brazil,79.78336029,81.77056972,86.43543092,88.64408966,84.5245789,78.4085874,72.09701551,68.86961895,64.77634179,59.92201551,54.05115856,50.86406667,47.85297963,45.91977185,45.72969888,48.45086729,51.07597046,53.0022829,55.21114433,59.33999797,64.28157124
Brunei,69.12892233,77.74647887,89.53488372,99.4140625,86.43578644,76.71081678,70.02432875,67.37000754,58.33627529,55.34944962,51.9687013,47.19628027,42.41953486,41.43105135,44.09444435,48.24515208,49.93616671,51.60450598,52.38919116,54.3977196,56.85426281
Bulgaria,49.37411325,50.1412038,49.09996173,46.74329266,45.88889439,47.03276296,49.13105382,45.66555855,47.0002604,49.22838649,47.66672624,44.71573721,45.12246582,51.21676784,56.99441964,61.22691937,62.36524589,63.9531776,68.82733364,76.88874046,83.22722333
Burkina Faso,74.37673978,74.63699239,75.73409767,80.47126696,86.45134815,90.76619718,95.8973617,99.26110729,99.38746488,98.49642275,96.06394595,91.91877282,93.87830146,95.75545499,97.31444063,95.67439769,95.75331965,97.49143819,99.61469557,100.7617639,100.9397986
Burundi,78.50637523,84.2916328,88.35738768,92.29773521,91.245975,95.30169203,92.41588785,89.69532961,93.20355121,98.06021214,96.57389323,79.35919953,68.67751046,69.2972864,73.28481633,76.19049139,74.35736874,71.37276959,70.07607945,71.66723501,75.37932428
Cambodia,81.15730102,81.26642144,82.08960236,83.35427512,84.87235633,81.59139485,78.2214038,85.25181488,89.63314904,96.45544627,81.29938741,67.17459457,56.57481387,54.36897194,56.91688887,58.95737419,58.10014847,55.93825958,54.35987059,54.06400676,58.31128787
Cameroon,75.31393894,76.74963946,78.46931126,81.58174323,84.71922097,88.80495209,92.09570077,94.75624097,94.88454551,92.78561603,86.80995927,82.62957832,79.60442187,79.87897278,80.04991258,80.28219934,79.63898806,79.13942435,79.43377211,80.51954034,81.94056936
Canada,57.88984429,64.38833721,67.65792215,67.29989129,58.78567882,50.47891022,44.73578272,43.10763449,43.56321648,47.84388619,46.39870339,44.36508043,43.75528164,47.85780705,54.56328524,63.02047752,69.00433258,70.29837639,70.17418182,71.16535055,73.21337579
Cape Verde,61.39884021,75.00233536,90.26092559,99.3548274,109.1316266,108.1446328,107.3309614,101.8996042,105.0859632,101.7367074,90.98898804,78.18840039,65.48195163,58.39011377,56.49558345,57.82043628,58.34149692,58.62875019,57.82670861,59.09161052,62.07994119
Caribbean,76.37234102,77.31103825,79.22475627,82.72112922,84.29853082,81.38400606,72.26500105,65.48727509,61.60945228,62.3363609,59.27088694,56.3385789,53.83880975,54.10079325,56.03444168,58.95658347,61.32733058,62.93403042,64.84115101,65.92834021,67.97098997
Central African Rep.,69.5976509,70.80187939,73.44807894,77.26796238,80.2231144,83.91184492,85.54462243,85.39749891,88.03417811,86.49442532,84.60305233,83.17147132,79.26410907,76.31461373,75.8661976,78.00905187,78.69809205,78.4822053,78.3476172,78.83179531,79.91434659
Central America,83.99464633,90.530357,95.74289934,99.79735504,99.02897058,97.15161171,92.57100073,85.63937093,76.70988931,71.76232896,66.46123133,61.70440014,56.74796661,54.35224883,54.48225556,56.06071394,56.84798465,58.82393674,62.05216189,64.95583107,67.27582336
Chad,72.34584933,75.69106274,78.76161922,82.98574873,84.3039192,87.15152484,90.95529866,94.77795225,96.89646909,97.33710708,96.60798011,95.81992746,93.86842841,92.81677575,93.12294008,95.08567243,95.90856507,96.07166764,96.39763451,97.28300011,98.43875074
Channel Islands,47.60740173,48.73751865,49.7550559,50.6175645,51.44483586,49.0750554,45.86802361,41.17066719,39.46008335,46.36566004,45.94051527,45.12960703,44.63074314,48.86619539,53.08215781,60.44606468,69.06677479,76.1398277,78.4111691,78.07112906,77.3909032
Chile,68.62123503,73.47316708,78.39603781,82.13327743,79.70170979,71.91497829,61.38514771,56.44810778,54.58735792,56.92162239,53.9669135,49.20339679,45.97948108,47.18867428,51.15324416,57.0671112,61.58182244,63.82612394,64.97327803,65.51800046,67.47239387
China,60.87919732,71.04827852,77.10277177,79.65984242,77.84419866,77.23844936,66.64144435,54.7996057,50.24935009,50.61237858,48.17195813,41.9835497,39.12894727,41.14128194,46.93003713,51.27898569,54.360389,58.71739732,62.99203183,64.83158868,67.26712167
"Hong Kong, China",48.49490758,60.53278159,77.15853306,77.20842956,69.00494305,54.5837612,45.84944631,43.0729418,41.03881964,41.06185955,38.64952641,36.26936891,32.30971132,35.59975798,45.06484778,57.18465316,66.32108974,70.13948523,72.60766258,75.60892985,79.68285979
"Macao, China",46.02283664,65.17611951,85.3387402,89.37490899,74.76209262,53.20183537,44.51435975,45.77623482,45.751142,49.56467097,42.39649643,30.23901797,24.79000023,28.87038769,38.40476912,50.6876751,59.90452456,66.47038668,72.49768985,76.69426645,84.44048166
Colombia,84.64824616,91.53782014,97.63979005,99.42408219,96.34127327,88.41790168,79.84072557,71.90412389,67.94432917,64.79467613,60.19813414,55.90461701,52.39791843,52.10750352,53.90820823,56.59523101,58.22360836,59.21918893,59.74011445,61.43453624,63.11171849
Comoros,70.71198475,75.57463752,83.58443938,93.10388922,94.94303106,95.55468535,97.85432845,101.559683,96.39647748,86.94451495,74.80263345,70.79849278,69.94778787,70.00140014,69.85990104,69.12554203,68.21296507,68.34120032,69.67402912,71.69766626,73.95010716
"Congo, Rep.",76.71995981,78.29661079,81.16365545,85.20602989,89.23767008,92.55613845,94.51920448,93.75947221,90.4483629,87.86549885,86.3548462,81.95584261,78.57869776,75.21082561,73.47855199,74.85658789,74.78783477,73.89068072,73.80465627,75.05252297,76.83370472
Costa Rica,75.44778749,86.19145143,96.92198704,103.463591,96.35297221,83.95099308,72.56018063,67.74282325,67.47910649,65.67144063,59.12640566,51.95333934,46.62923479,46.09152096,48.21059473,53.06586389,55.91679724,57.67931652,58.34071845,60.65134687,63.97233307
Croatia,51.22193523,50.30451603,51.50039781,49.95773147,46.35140492,46.40113996,46.53669453,43.44107085,43.75406002,47.11121404,48.37540038,49.05185009,47.65514867,50.55944379,56.91142296,63.5883956,66.85957879,67.89678475,69.19037667,73.00368633,77.59403421
Cuba,67.71780312,67.34384771,65.00346439,71.58301804,75.480806,77.57518596,63.22854054,49.67013827,43.02421777,45.8493162,44.30708576,42.8994442,42.05818929,44.43354121,48.12115441,53.08543183,61.06092481,70.24176514,76.66338585,77.51307025,77.68684927
Cyprus,67.03078755,68.12484019,73.02049754,67.9558011,66.85448059,52.75858721,50.43741925,53.11790864,54.3521536,56.13856462,51.44153111,46.97728879,44.2008104,46.63734419,51.92634123,58.68550474,61.79312421,62.09469737,61.40379301,63.55583019,67.9936028
Czech Rep.,46.90307046,52.10374676,51.98358135,49.05920545,47.88942325,51.78511628,55.42628956,51.10476588,47.75864991,46.95324939,43.4712118,40.64405585,41.52943019,49.69003856,57.45455883,61.02708443,61.05341659,61.0575514,65.77197441,73.64242379,78.36508921
Cote d'Ivoire,82.80485933,80.52951054,81.55295173,84.27542718,87.46230471,90.08739975,92.37663799,92.3479287,89.85177998,84.38602768,80.80231064,81.5257475,79.62841105,78.50885508,78.28921216,79.70394491,79.61149854,78.78604424,78.4326066,79.08577594,80.08393918
"Korea, Dem. Rep.",101.7965886,72.62717241,62.7789576,58.7056217,69.66657039,66.24276774,58.38593203,49.11957482,44.16495867,48.3609258,48.26125652,47.85785937,44.8787176,43.82985289,43.45870674,48.56299685,51.40325695,55.32600853,57.45906366,56.14667485,58.49026933
"Congo, Dem. Rep.",89.03032869,87.67249645,87.1985734,87.55201083,88.98507117,90.76566232,92.77170262,95.70789753,99.09667884,103.0353576,103.0485618,101.2697385,96.19724003,93.64207295,92.89967777,95.29016187,96.03459012,96.00576614,96.27263543,97.21706319,98.54055423
Denmark,53.02865433,54.77369165,53.29931973,51.37674117,52.0116041,52.4710308,50.00869819,45.54085535,42.93408325,48.41021128,49.95254422,51.28368823,53.16823353,57.22458956,60.89073802,65.83882248,70.96542692,74.25255497,74.46961813,72.52104705,69.75701386
Djibouti,94.98693201,92.13520107,90.12315216,88.33503047,91.43826677,92.11770166,90.12097452,87.76590521,86.19077743,84.21770716,78.22904732,70.68495358,63.58065585,61.64490936,62.32672726,64.96671177,65.90907955,65.50097007,64.69457776,64.60602894,65.87052032
