Poverty headcount ratio at $1.25 a day (PPP) (% of population),1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0.73,,0.53,0.44,,,0.2,,,,0.46,
Algeria,,,,,,,,,,,,,,,7.1,,,,,,,6.38,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,54.31,,,,,,,,,43.37,,,,
Argentina,,,,,,,,,,,,,0,0,,,,0.97,1.77,2.05,1.93,3.87,4.27,3.77,3.99,4.2,5.06,8.25,12.58,9,6.29,4.62,3.76,3.01,2.74,2.68,1.73,1.41,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,17.5,,,16.76,,18.83,14.5,10.68,7.6,4.22,3.17,3.37,1.41,1.56,2.5,2.45,1.75,
Australia,,,,,,,,0.67,,,,0.67,,,,0.68,,,,,,1.34,,,,,,1.35,,1.36,,,,,,,,,,
Austria,,,,,,,,,,,,,,0,,,,,,,0.4,1,,0.34,,,0.4,,,,0.34,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,25.23,,,,,,6.27,0.02,0.04,0,0,,,0.31,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,69.55,,64.35,,,71.61,,,70.22,,,,60.91,,,,58.59,,,,,50.47,,,,,43.25,,,
Belarus,,,,,,,,,,,,,,,0.08,,,,,0.02,,0.36,,,0.84,0.38,0.26,0.12,0.47,0.5,0.06,0.06,0.05,0,0,0.01,0,0,,
Belgium,,,,,,,,,,,,0.36,,,0.67,,,,0.83,,,0.35,,0.35,,,0.5,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,9.09,8.93,14.03,9.66,12.45,11.31,12.21,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.33,,,,,,,,,51.61,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96,,,,10.22,,,,,2.38,
Bolivia,,,,,,,,,,,,,,,,,,5.24,,8.51,,,,16.98,,23.32,26.87,21.33,21.98,,11.69,18.31,15.86,12.19,10.48,10.67,,6.97,7.98,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,0.1,,,0.04,,,,,,
Botswana,,,,,,,,,,,,,35.61,,,,,,,,31.23,,,,,,,,,24.36,,,,,,13.41,,,,
Brazil,,,,,,,,13.64,13.66,16.65,15.5,13.52,9.7,13.64,14.68,13.71,16.23,,16.7,15.87,,9.93,11.21,10.9,9.58,9.87,,10.2,8.87,9.62,8.14,7.18,5.93,5.84,4.87,4.72,,4.53,3.75,
Bulgaria,,,,,,,,,,,,,,,,0.04,,,0,,0.22,0.82,,0.32,,,,2.12,,0.62,,,,0.26,0.73,,1.64,1.9,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,71.17,,,,70.03,,,,,48.9,,,,,,44.46,,,,
Burundi,,,,,,,,,,,,,,,,,,,84.24,,,,,,86.43,,,,,,,,81.32,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,32.77,,,30.82,20.89,12.93,11.25,10.05,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,47.43,,,,,24.86,,,,,,27.61,,,,,,
Canada,,,,,,,,0.68,,,,,,0.37,,,,0.33,,,0.33,,,0.36,0.68,,0.34,,,,0.34,,,0.34,,,0.34,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.02,,,,,,13.72,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,83.15,,,,,,,,,,,62.43,,,,,62.83,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.94,,,,,,,,36.52,,
Chile,,,,,,,,,,,,,,5.8,,,4.91,,2.74,,3.05,,2.2,,2.32,,2.16,,,1.73,,,1.07,,,1.28,,0.83,,
China,,,,,,,,84.27,,,69.43,,,53.95,,,60.73,,,54.85,,,37.39,,,36,,,28.06,,,15.77,,,12.34,,9.19,6.26,,
Colombia,,,,,,,15.45,,,,,,,,10.69,8.08,,8.18,6.29,,,,13,,,16.18,17.85,17.86,11.14,10.34,9.01,7.87,11.04,8.84,8.5,7.26,6.17,4.95,5.63,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.11,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.72,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,32.82,,
Costa Rica,,,,,,,,11.4,,,,,5.68,,,10.59,8.45,9.69,8.12,6.89,5.75,6.01,7.02,5.3,4.22,5.43,5.56,5.51,5.5,5.4,4.85,3.57,3.72,2.06,2.28,2.86,1.27,1.36,1.35,
Cote d'Ivoire,,,,,,,,,,,,8.08,4.11,8.68,13.76,,,,,26.47,,21.09,,,30.06,,,,29.66,,,,,,35.04,,,,,
Croatia,,,,,,,,,,,,,,,0.04,,,,,,,,,,0,0.19,0.07,0.06,,,0,,,,0,,,,,
Czech Rep.,,,,,,,,,,,,,,,0,,,,,0,,,0.13,,,,,,,,,0,0.07,,0.04,0.03,0.04,0.03,,
Denmark,,,,,,,,,,,,,,1.02,,,,,0.67,,,0.33,,,,,0.34,,,,0.33,,,0.39,,,0.67,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.83,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,16.37,,,12.16,,,4.66,,,,4.69,4.95,,,5.24,3.68,5.27,6.43,7.83,5.38,4.23,3.72,3.35,2.99,2.24,2.54,2.25,
Ecuador,,,,,,,,,,,,,,12.86,,,,,,,14.59,9.48,,,10.16,16.19,20.32,,,12,10.45,9.16,6.12,6.94,6.26,6.03,4.58,4.04,3.95,
Egypt,,,,,,,,,,,,,,,,,,4.46,,,,,2.46,,,,1.81,,,,,2.26,,,1.68,,,,,
El Salvador,,,,,,,,,,,,,,,,15.24,,17.07,,,,9.96,11.54,,17.38,13.73,13.67,14.4,14.68,13.4,8.02,7.11,4.27,2.85,4.82,4.24,5.17,2.82,2.53,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,0.05,,,,,0.79,,0.25,,,0.05,,0.6,0.57,0.57,0.37,,0.72,0.73,0.47,0.45,0.59,0.81,0.98,,
