"Total GDP, PPP",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2080832045,2098014783,2115339607,2132806789,2150419169,2168176392,2186080032,2204132326,2222332929,2240684096,2259186793,2277842652,2296651996,2315616470,2334738397,2354017458,2373455995,2393055032,2412816272,2432740083,2452828858,2473083659,2493505551,2514095606,2534856272,2555787960,2576892454,2598171556,2619626389,2641258079,2663069159,2685059379,2707231998,2729586776,2752127004,2774853165,2797766451,2820869492,2844162789,2867649002,2891329370,2915204416,2939276839,2963548637,2988020359,3012694755,3037572391,3062655308,3087945564,3113444490,3139154172,3172069381,3205329897,3238938904,3272901125,3307219048,3341895938,3376937373,3412345923,3448125709,3484280885,3520814870,3557732657,3595036951,3632732032,3670823004,3709313439,3748206941,3787508719,3827221648,3867351807,3907902935,3948878797,3990284794,4032124765,4074402572,4117124545,4160294627,4203916792,4247996681,4292539162,4337548320,4383029094,4428987297,4475427125,4522353640,4569771945,4617688029,4666107084,4715032655,4764471702,4814429549,4864910703,4915921423,4985947238,5056969676,5129004651,5202065648,5276167176,5351324787,5427552443,5504866037,5583280749,5662812831,5743477815,5825291408,5908270403,5992431785,6077791812,6164367848,6252177454,6341237457,6431565807,6523181598,6616102256,6710346348,6805932649,6902881104,7001209964,7100939612,7202090665,7304682027,7408733785,7514269207,7621306890,7729870597,7839979379,7951657502,8064925489,8179808133,8296326453,8528850499,8806560146,9332357234,9516245304,9690682218,10109280881,10090893565,10637435901,10919506088,11287930973,11360782409,11529706701,11714062044,11913229893,12151893940,12242404040,12545474281,12959681170,13144688849,13399572214,12761335829,12524071047,13946388413,14672077686,15363191901,16025777992,14794179428,15761282686,15493861904,15450409723,16855096790,17971138073,18108887889,17284886709,16321280823,17140652590,13956656073,12580095520,12537263313,12426356914,13339059329,13501861284,12807841747,12478589308,16007402200,17177216125,18186345368,19097954491,20043689671,20393278862,18934373514,24064972777,27094690376,28868264695,32435754691,33914241277,38529215926,39493107688,47457698535,51274585248,54852215624,62965367436,65779308535
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,325538934,326899652,328266820,329639657,331017381,332401597,333791524,335187176,336589365,337996506,339409414,340828902,342254185,343685277,345122192,346564942,348014350,349469623,350930776,352397822,353871587,356220145,358584417,360964474,363360387,365772230,368200075,370643172,373103238,375579526,378072936,380581889,383108117,385650866,388210212,390787065,393380668,395991937,398620112,401265269,403929173,406609374,409308488,412024902,414759546,417512504,420283860,423072840,425881242,428707433,431553220,436541263,441586722,446689901,451852843,457074994,462358413,467701674,473107725,478576019,484106883,489702416,495362074,501087082,506878675,512737204,518663024,524658278,530721542,536855869,543060734,556205600,569668237,583456809,597579690,612044501,626859025,642032211,657572223,673488428,689790430,706487022,723587184,741101178,759039527,777411897,796229301,815501874,835241141,855458917,876164901,896839940,918002771,939665316,961838505,984534782,1007766890,1031547877,1055889753,1080806140,1106309599,1130777402,1155786105,1181348297,1207475402,1234180537,1261475629,1289375863,1317892212,1347038920,1376830559,1407114901,1438065506,1469695964,1489881679,1510345564,1531089544,1552118915,1573435665,1595046927,1616954792,1639231315,1661767419,1684565887,1707629532,1729152459,1754563749,1778440091,1802593151,1827025889,1843199876,1861352798,1877724217,1894191604,1910755446,1929328352,1946093680,1984146883,2010854933,2076548057,2119326707,2150663715,2192016420,2204101162,2218222474,2258215132,2298474379,2348997378,2391837815,2434964200,2456145438,2614810369,2680954993,2862392731,3029435545,3287540960,3422743469,3756656533,4050797071,4352060978,4717547339,4906161077,5225397571,5567801092,5929838560,6324918556,6748225051,7195745207,7656049578,8123435039,8637998163,9206430169,9798449297,10529499656,10813002696,11096541886,11389012403,11689452000,11996541356,12311028179,12657485589,12981344878,13304496215,13642762129,14007865333,14404521467,14868588949,15369663350,15858343563,16283032003,16598155392,11800979436,10763650122,11557594881,12242658307,13614638107,14657495805,13024170263,14561113629,15923685508,17000926748,18171605690,18767246733,19898735433,21087049052,22253070244,23536639621,24913423339,26715940065,27591795083,28518324407,29334492905,30108852245,30729461925
Algeria,3804956377,3818507537,3832105146,3845753760,3859448814,3873193346,3886987351,3900829307,3914722249,3928663133,3942654996,3956694795,3970785565,3984927302,3999118483,4013360624,4027653721,4041997771,4056392769,4070838711,4085335595,4155165360,4226189000,4298427161,4371899253,4446628176,4522634026,4599938828,4678564981,4758533596,4839871144,4922597829,5006739260,5092319785,5179362408,5267892249,5357934847,5449517976,5542666271,5637406576,5733764326,5831770974,5931452894,6032838770,6135957767,6240837578,6347512243,6456008473,6566361402,6678598685,6792754523,6908863733,7026955452,7147065572,7269230632,7393481323,7519857501,7648393148,7779127228,7912094885,8047334070,8184885665,8324788955,8467083872,8611811007,8759011619,8908727646,9061004164,9215882105,9373408007,9533626712,9726731434,9923746128,10124753764,10329831102,10539061637,10752530520,10970324591,11192529646,11419235902,11650532532,11886513256,12127276535,12372916993,12623531042,12879219905,13140089818,13406243061,13677786931,13954833960,14237489462,14525870253,14820092272,15120273720,15426538416,15739002620,16057798236,16383049625,16714890404,17053449861,17398870335,17751282758,18110838545,18477673978,18851938907,19233789921,19623371646,20020842803,20426365272,20840104139,21262219828,21692887779,22132278884,22580571416,22965142548,23356263557,23754045442,24158600499,24570046536,24988502762,25414081325,25846912664,26287111717,26734807593,27190130938,27653209626,28124173019,28603156352,29090296452,29585736158,30089615590,30602072065,31123257860,31653318115,32192408655,32740678126,33298290504,33865393508,34442159412,35028744188,35625319443,36232058823,36849128725,37476706815,38114977552,38764113446,39424307928,40095747233,40778619775,41473120962,42179453324,42582325333,44408071651,45072988318,48283878335,49576105550,54423313746,60639275648,62906126743,74511721742,79628759310,69933488889,56722757373,71287809626,74317663624,78712957988,74498001383,80981484345,90388516733,99167422620,109171290663,100021407873,121144543209,125248997315,133065689182,142641208930,152265688957,166258870640,187858927711,205203185339,209350007169,214954952256,229024848032,241096490054,254529933114,267718302577,265223625071,263704840968,258228639785,267071429229,263202378504,260347084063,264639832817,258723847461,256139556913,265595241443,275485720247,278288696194,292273395992,301441441373,308839061926,316914044699,329823253443,353054254375,372153082311,392164760084,398915185024,412563822422,420884582171,428031100992,443305299777,453558093404,465256919459,479185856687
American Samoa,5510287,5509612,5508264,5507589,5506240,5505566,5504891,5503542,5502868,5501519,5500845,5500170,5498821,5498147,5496798,5496123,5495449,5494100,5493426,5492077,5491402,5508559,5525090,5542351,5558983,5576350,5593771,5610557,5628085,5644973,5662608,5680298,5697342,5715140,5732288,5750195,5768158,5785465,5803538,5820950,5839133,5857374,5874946,5893298,5910978,5929443,5947964,5965808,5984443,6002395,6021144,5998189,5975769,5953140,5930302,5908008,5886264,5863557,5841403,5819808,5797244,5775242,5753809,5732176,5710341,5689085,5667631,5645977,5624123,5603648,5582188,5561326,5540269,5519016,5498371,5477533,5456502,5436088,5415483,5394688,5374520,5354164,5334443,5313711,5293618,5274171,5253706,5233891,5214733,5194552,5175030,5155328,5136294,5116228,5096835,5078122,5059233,5039303,5020927,5001507,4982782,5103328,5226364,5352793,5481759,5614172,5750061,5888562,6030593,6176185,6325368,6478173,6634629,6743708,7130935,7541146,7975699,8433867,8919145,9431949,9975045,10633769,11337802,12087344,12885218,13737466,14646067,15612939,16645139,17745106,18919010,20274331,21726588,23282312,24950693,26737065,28651738,30703390,32901251,35257923,37784209,40952768,44389963,48112738,52149195,56522870,61266422,66403757,71976377,78012805,84556446,87408447,89811706,91781786,93378468,94689767,95872954,97124847,98684404,100840541,103821366,107788987,112732690,118461076,124643577,131018114,137527255,144207665,150928910,157564439,164010202,170241520,176275918,182138617,185455551,188620769,191570128,194422663,197615663,201742459,207229014,214217345,222569119,232016711,242123403,252551970,263239727,274168703,285074848,295666097,305713064,319664434,333294289,346651814,359880354,373098110,386280998,399439999,412764793,426502960,440857130,455957274,489480569,525590128,564274190,605557292,723424061,864012040,,,,,,
Andorra,3344367,3349917,3355476,3361044,3366622,3372209,3377805,3383410,3389025,3394649,3400282,3405925,3411577,3417239,3422909,3428590,3434279,3439978,3445687,3451405,3457133,3520121,3585445,3650468,3717889,3786390,3855987,3926696,3998534,4071517,4147127,4222470,4300508,4379797,4460355,4542200,4625353,4709832,4797264,4884473,4974714,5066401,5159555,5254198,5350352,5448039,5549047,5649890,5754143,5860064,5967680,6077014,6188094,6300943,6417527,6535979,6654345,6776596,6902829,7029039,7157261,7289627,7421987,7558602,7697401,7838418,7983913,8129490,8279665,8432245,8584932,8744767,8904781,9067346,9234948,9402760,9575744,9751493,9930049,10114046,10298371,10488285,10681238,10877276,11076445,11278791,11487176,11698898,11914009,12132557,12354596,12580175,12812366,13048275,13287957,13531468,13778865,14033406,14288786,14551504,14818421,15092952,15368494,15651858,15939756,16232257,16529429,16831341,17141701,17457029,17777397,18102882,18433559,18773361,19615581,20494711,21412340,22374604,23379091,24422798,25522095,26664488,27856861,29106967,30411871,31779969,33201878,34692482,36248447,37872587,39567839,41344813,43191884,45135925,47156922,49266361,51477150,53784844,56193617,58718000,61353122,64103757,66974878,69971672,73111815,76389608,79810978,83395829,87137924,91044039,95121239,106626602,119862004,134877151,151734449,170511537,191342541,214368756,239718267,267631218,298257306,331821319,368468235,408320830,451422897,497911925,547842431,601459145,659173729,721563227,789073247,825903448,893060982,962770889,1016727634,1022411808,1056028577,1085981466,1102032078,1102372764,1126703074,1125181145,1139191755,1159330066,1180039288,1207435675,1246564653,1315618344,1382379861,1449192499,1504620674,1544899372,1562078436,1547936717,1583608520,1621600794,1685404697,1821070179,1861986452,1928826011,1956208834,2210322305,2380981239,2593912868,2817999335,3037819697,3188956445,3194102212,3059189054,2904446578,2804948887,2725462957,,
Angola,1018568200,1022900199,1027250623,1031619548,1036007055,1040413222,1044838129,1049281855,1053744480,1058226085,1062726750,1067246557,1071785587,1076343921,1080921642,1085518832,1090135574,1094771952,1099428047,1104103946,1108799731,1121611958,1134572339,1147682157,1160943419,1174358157,1187927697,1201654835,1215539470,1229585165,1243793313,1258165318,1272703339,1287409557,1302285428,1317333168,1332555021,1347952492,1363528623,1379284195,1395221526,1411343731,1427651634,1444148398,1460834871,1477715050,1494789822,1512062452,1529534653,1547208148,1565086281,1583170821,1601464363,1619969525,1638688137,1657622861,1676777213,1696152267,1715750757,1735576281,1755630804,1775917145,1796438154,1817195858,1838194006,1859433822,1880919970,1902653717,1924638935,1946878669,1969374245,1992130504,2015149701,2038434993,2061988681,2085815760,2109916803,2134296875,2158959293,2183905590,2209140953,2234666966,2260488897,2286609307,2313030775,2339757763,2366793848,2394141700,2421805901,2449790132,2478098111,2506731682,2535697492,2564997453,2594636386,2624617222,2654944866,2685622316,2716654561,2748045657,2779799699,2811919823,2844412196,2877279031,2910525580,2944157153,2978177081,3012589740,3047400577,3082613036,3118232656,3154263998,3190711664,3227580300,3347234316,3471324740,3600015859,3733476847,3871886670,4015427340,4164288773,4318669216,4478772973,4644811881,4817007038,4995584832,5180784483,5372849536,5572034019,5778602993,5992829702,6214999234,6445405499,6684351357,6932158421,7189150650,7455669776,7732070281,8018717697,8315991019,8624285502,8972236284,9334224820,9710819295,10102605660,10510198465,10934237057,11375383747,11834330249,12311790160,12808514627,13332072877,13890502520,14464766306,14129860013,15314231524,15070349812,16545607956,17448155069,17540238193,18258508092,20715616328,20178888096,21246057153,23654584458,25446654821,26926788227,28488025253,28050316344,28880107385,30758202822,32605674424,32660658706,35310900709,36421583050,34585108283,32770627251,33012558052,31264058138,31363029847,32219933012,30802255567,30802255567,32095950741,34021708480,35212468103,36330874655,38874172485,41040581669,41199603458,41016413159,41423033183,39004640218,29649994535,30047115728,34554183088,41465019705,43745595789,43745595789,45162865457,46523205368,47984034016,54956114159,56769665926,63127868510,76069081554,90217930723,111139105821,126493591956,129516788804,133985118018,139174804790,146073976353,151616522767
Anguilla,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1570729,1592820,1614349,1636883,1659645,1682636,1705859,1729315,1753006,1776935,1801933,1826349,1851848,1877605,1903621,1929900,1956442,1983251,2011202,2038557,2067070,2094980,2124066,2153444,2183118,2214005,2244284,2274867,2306688,2338831,2370352,2403140,2437214,2470671,2504463,2539570,2574049,2609862,2646037,2682575,2719481,2756757,2795430,2833464,2872915,2912764,2953014,2993669,3034732,3077278,3119176,3162578,3206418,3250699,3295425,3340600,3387351,3434573,3481135,3529306,3577962,3628266,3677911,3729229,3779882,3832232,3885109,3939723,3993675,4049390,4104438,4161274,4218681,4276666,4336496,4395659,4456693,4518343,4580612,4644812,4708347,4773841,4839995,4906815,4974307,5042477,5112696,5183624,5255266,5327628,5400717,5475952,5551945,5628703,5807708,5992107,6183594,6379292,6582483,6793458,7009124,7233018,7461897,7699473,7946080,8198237,8459942,8729550,9007291,9293404,9590290,9896146,10211234,10535823,10870188,11217052,11574390,11942505,12324333,12715018,13120202,13537609,13970484,14413487,14872844,15346059,15836719,16342212,16859629,17399436,17952071,19024152,20009216,20918048,21762856,22541548,23280478,23992251,24699400,25418082,26183951,26999545,27881577,28819441,29801289,30818995,31868684,32951314,34078710,35230468,36412522,35337701,39241289,40727907,40556724,41891510,42593543,42764031,46040340,50417205,52690612,54216571,53018479,52392355,54135152,59787176,68198235,76319493,87913512,97326205,102775340,101507810,109597471,118475034,128695844,126367759,130044546,144400738,160040421,167469346,172126499,180273371,182196658,191985800,239141817,264406602,318206496,360365414,355830374,290708240,279830105,291006132,,
Antigua and Barbuda,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28559513,28748229,28938193,29129411,29321893,29515647,29710682,29907005,30104625,30303551,30503792,30705355,30908251,31112487,31318073,31525018,31733329,31943018,32154092,32366560,32580433,32795719,33012427,33230567,33450149,33671182,33893675,34117639,34343082,34570015,34798448,35028390,35259852,35492843,35727373,35963453,36201094,36440304,36681095,36923478,37167462,37413058,37451618,37490080,37528445,37567757,37605950,37645111,37683148,37722176,37761146,37800065,38049841,38301268,38554356,38809117,39065561,39323699,39583543,39845104,40108394,40373423,40866628,41365756,41870873,42383228,42900526,43425210,43954954,44492236,45035922,45586083,45633068,45679931,45726678,45774578,45821114,45868830,45915176,45962729,46010213,46057634,45948691,45838964,45731149,45622610,45513360,45406150,45298292,45191187,45083481,44976596,44982343,44989051,45794016,46614404,47450560,48301272,49166789,50047364,50943258,51856460,53846373,55915377,58060889,60289406,62603990,65007807,67504134,70094266,72785857,75580490,78481925,81494048,84623252,87871445,91245422,94749826,98386849,102163945,106086253,110159092,114387965,118778568,123339811,128074920,132990208,139610417,146561658,153858299,161518751,172678831,182732772,191754068,199854912,207206054,214043139,220661088,227415583,234706970,242903556,252276100,262909076,274657236,287170957,300183246,313645447,327618805,341986211,356595815,371331126,394890927,418898531,449454647,461572279,436140877,400103032,435379176,458602396,516250868,557003808,587296426,589222268,627204642,671717960,723781740,787781954,862670663,936702124,999675620,1032130459,1057308496,1068173867,1125852386,1196702383,1146548295,1222620892,1284427608,1341629188,1397310168,1418289451,1449480837,1486010676,1563617814,1676276891,1754024821,1975961221,2114429766,2145789513,1915878736,1770607671,1735586448,1801953293,1828269029
