"Roads, paved (% of total roads)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Gabon,8.199999809,8.199999809,8.199999809,8.199999809,8.199999809,8.199999809,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,,,,10.21000004,,,11.974,,,,
Gambia,,,,,,,,,,,,,,19.31999969,19.31999969,,,,,,,
Georgia,93.80000305,93.80000305,93.80000305,93.59999847,93.5,93.5,93.5,93.69999695,93.40000153,,,,,,,,94.06758817,94.06758817,,,,
Germany,99,99,99,99,99,99,99.09999847,,,,,,,100,,,,,,,,
Ghana,19.60000038,23,23.5,23.89999962,24.39999962,24.89999962,24.10000038,,,29.60000038,29.60000038,18.39999962,,17.92000008,,14.93029308,,,16.15,12.59,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,91.69999695,91.69999695,91.69999695,91.69999695,91.69999695,91.69999695,91.80000305,91.80000305,91.80000305,91.80000305,91.80000305,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,
Grenada,55.40000153,56.5,57.70000076,58.79999924,60,61.20000076,61.29999924,61.29999924,61.29999924,60.95999908,60.95999908,60.95999908,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Guatemala,24.89999962,25.39999962,25.89999962,26.39999962,26.89999962,26,25.79999924,26.39999962,31,34.5,34.5,34.5,,,,,,,,,,
Guinea,15.19999981,15.19999981,15.5,15.80000019,16.10000038,16.39999962,16.5,16.5,16.5,16.5,16.5,,,9.789999962,,,,,,,,
Guinea-Bissau,8.300000191,8.699999809,9.100000381,9.399999619,9.800000191,10.19999981,10.30000019,10.30000019,10.30000019,,,,27.94000053,,,,,,,,,
Guyana,6.599999905,6.800000191,6.900000095,7,7.199999809,7.300000191,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,,,,,,,,,,
Haiti,21.89999962,22.39999962,22.79999924,23.29999924,23.79999924,24.20000076,24.29999924,24.29999924,24.29999924,24.29999924,24.29999924,24.29999924,,,,,,,,,,
Honduras,21.10000038,21.5,19,19.39999962,19.79999924,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,,,,,,,,,,
"Hong Kong, China",100,100,100,100,100,100,100,,,100,,,,100,100,100,100,100,100,100,,
Hungary,,,44.09999847,44.09999847,44.09999847,44.09999847,43.09999847,43.40000153,43.40000153,,,43.70000076,43.90000153,43.90000153,,,38.04082026,37.71631778,37.65,37.968,,
Iceland,19.89999962,20.79999924,22.10000038,23.70000076,24.70000076,24.79999924,25.89999962,25.70000076,27.10000038,28.10000038,29.5,30.60000038,31.5,,34.40000153,35.38999939,35.86000061,36.6416309,37.343,38.413,,
India,,47.29999924,51.90000153,54.40000153,54.90000153,55.40000153,54.70000076,56.5,57,46.66999817,47.45999908,47.74000168,47.40000153,,48.62,46.99,47.72,48.24,49.544,,,
Indonesia,45.09999847,45.29999924,53.59999847,53.79999924,53.79999924,52.40000153,46.29999924,56.40000153,47.29999924,46.29999924,57.09999847,58.90000153,58,58.32649602,55.322,55.4242997,53.00537845,60.86042677,59.10649467,56.94078,,
Iran,,,,,47.20000076,49.90000153,52.09999847,56.79999924,56.29999924,,,64.80000305,66.30000305,67.36000061,,71.02431595,73.29734195,,,,,
Iraq,77.90000153,79.40000153,81,82.59999847,84.30000305,86,86,,84.30000305,84.30000305,84.30000305,84.30000305,,,,,,,,,,
Ireland,94,94,94,94,94,94,94.09999847,94.09999847,100,100,100,100,100,100,,,,100,100,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,,
Italy,100,100,100,100,100,100,100,100,100,100,100,,,100,,,,,,,,
Jamaica,64,65.19999695,66.5,67.90000153,69.19999695,70.59999847,70.69999695,,70.09999847,70.09999847,70.09999847,,,73.25,73.27999878,73.27999878,,,,,,
Japan,69.19999695,70.09999847,71.09999847,72.09999847,73,73.59999847,74.30000305,74.90000153,76,76.09999847,76.59999847,77.09999847,77.69999695,78.2198,,79,79.28661346,79.60033306,79.86,80.11,,
Jordan,100,100,100,100,100,100,100,,,100,,,,100,100,100,100,100,100,100,,
Kazakhstan,55.09999847,68.69999695,70.59999847,70.40000153,73.5,76.30000305,80.5,82.80000305,86.5,,,,,93.97000122,93.43000031,91.16000366,91.43431299,90.25804581,89.88,88.49,,
Kenya,12.80000019,13.30000019,13.80000019,14.30000019,13.60000038,13.80000019,12.10000038,12.10000038,12.10000038,12.10000038,12.10000038,,,,14.11999989,,,,14.59,14.33,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",5.699999809,5.800000191,6,6.099999905,6.199999809,6.300000191,6.400000095,6.400000095,6.400000095,6.400000095,6.400000095,,,,,,2.833215952,,,,,
"Korea, Rep.",71.5,76.40000153,80.80000305,84.69999695,77.80000305,76,72.69999695,74,74.5,74.5,74.5,76.69999695,76.69999695,76.88999939,86.76000214,76.81999969,77.5,78.3,78.51,79.25,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,72.90000153,74.40000153,75.90000153,77.40000153,78.90000153,80.5,80.59999847,80.59999847,80.59999847,80.59999847,80.59999847,,,84.40000153,85,,,,,,,
Kyrgyzstan,90,90,91,91,91,91,91.09999847,91.09999847,91.09999847,91.09999847,91.09999847,91.09999847,,,,,,,,,,
Laos,24,16,16,16,16,13.80000019,,,,,,,14.06999969,14.40999985,,13.4,12.9,13.06,13.54,13.68,,
Latvia,,,,,,,,,,,,,100,100,,,,,20.42,20.91,,
Lebanon,95,95,95,95,95,95,95,,,84.90000153,,,,,,,,,,,,
Lesotho,18,17,16,15,15,17.89999962,17.89999962,16.79999924,17.29999924,18.29999924,18.29999924,18.29999924,,,,,,,,,,
Liberia,5.5,5.599999905,5.699999809,5.900000095,6,6.099999905,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,,,,,,,,,,
Libya,51.70000076,52.70000076,53.79999924,54.90000153,56,57.09999847,,,,57.20000076,57.20000076,57.20000076,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,28.29999924,28.38942789,28.60558756,29.22,29.43,,
Luxembourg,99.09999847,99.09999847,99.09999847,97.80000305,99.09999847,99,100,99,100,100,100,100,100,100,100,,,,,,,
"Macao, China",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
"Macedonia, FYR",58.90000153,59.20000076,59.70000076,60,61.59999847,63.29999924,63.79999924,63.79999924,63.79999924,63.79999924,,,,51.74,52.87,55.62,54.34,56.16,56.54,57.56,,
Madagascar,15.39999962,15.39999962,15.39999962,11.5,,11.5,11.60000038,,,11.60000038,11.60000038,11.60000038,,,,,,,,,,
Malawi,,,,,,,,,,,,,,45.02000046,,,,,,,,
Malaysia,69.97869779,71.31222355,73.28973231,74.12737191,73.94824154,73.91980869,73.99108889,74.45538972,75.58288303,75.31768853,76.18481451,77.88592754,,80.84999847,81.31999969,,,,,,,
Maldives,,,,,,,,,,,,,,,,100,,,,,,
Mali,10.89999962,11.10000038,11.30000019,11.5,11.80000019,12,12.10000038,12.10000038,12.10000038,12.10000038,12.10000038,,,,18,19.03553299,,,25.05,24.57,,
Malta,,,,,95,95,95,95,95,,88,88,90,87.52999878,87.52999878,,,,87.53,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,32.61802575,30.29999924,26.848,26.848,,,,
Mauritius,93,93,93,93,93,93,95,95,96,96,97,98,98,100,100,100,98.02078179,98.02761341,98,98,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,35.09999847,,35.5,36,31,31.29999924,31.79999924,29.70000076,34.29999924,32.79999924,32.79999924,,33.5,35.75999832,36.31000137,36.97999954,33.47,34.96,35.28,,,
"Micronesia, Fed. Sts.",15.89999962,16.29999924,16.60000038,16.89999962,17.29999924,17.60000038,17.70000076,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,
Moldova,87.09999847,86.09999847,85.09999847,86.40000153,86.59999847,87.30000305,86.90000153,86.90000153,87,87,86.09999847,,86,86.19999695,86.19999695,86.25,85.5,85.6997256,85.8,85.8,,
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,,,,,100,100,100,100,,
Mongolia,,,,,2.599999905,3.299999952,3.299999952,3.400000095,3.400000095,3.5,3.5,3.5,3.5,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Morocco,49.09999847,49.5,49.5,49.59999847,50.20000076,50.20000076,50.20000076,52.29999924,52.29999924,56.29999924,56.41999817,56.41999817,56.41999817,56.90000153,56.90000153,61.88999939,61.88999939,61.98,62.04,70.32,,
Mozambique,16.79999924,17.20000076,17.5,17.79999924,18.20000076,18.60000038,18.70000076,18.70000076,18.70000076,18.70000076,18.70000076,18.70000076,,,,,,,20.78,20.78,,
Myanmar,10.89999962,11.19999981,11.39999962,11.60000038,11.89999962,12.10000038,12.19999981,,,11.43999958,11.43999958,,,,,11.85000038,,,,,,
Namibia,10.80000019,10.89999962,10.89999962,7.300000191,7.900000095,7.900000095,11.39999962,13.19999981,13.5,13.60000038,,,12.80000019,,,,,,,14.72,,
Nepal,37.5,38.20000076,39,39.70000076,40.5,41.40000153,41.5,,,,,,,53.90000153,55.66,56.07,55.85,55.13,53.94,,,
Netherlands,88,88,88,88,89,90,90,90,90,90,90,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
New Zealand,57,58,58,58,58,60.40000153,60.79999924,61.29999924,61.29999924,61.90000153,62.79999924,63,64,64.33000183,64.5,64.88999939,64.95736993,65.40662201,65.89,66.2,,
Nicaragua,10.5,10.5,10.5,10.60000038,10.69999981,10,,,,,11.06000042,11.35999966,11.35999966,,,,,12,11.67,11.62,,
Niger,29,,,,,,,,,,,25.65999985,25.65999985,24.95000076,20.45000076,20.61000061,20.5,20.65,20.65,,,
Nigeria,,,,,,,,,,,,,,,15,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Norway,69,69.80000305,70.19999695,71,72.5,73.5,72,74,74.5,75.5,76,77,77.5,,,,79.59104606,80.45,,80.7,,
Oman,21,21.60000038,21.20000076,21.5,19.70000076,20.39999962,30,30,30,30,30,27.65999985,,33.21513955,36.70749557,39.65624456,42.11221598,41.25097189,43.46,46,,
Pakistan,54,53,53,54,54,45,44,44,53,55,56,59,,60,64.69999695,,65.36018372,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,
Panama,32,32.20000076,32.40000153,32.70000076,33.40000153,33.5,33.59999847,29.39999962,28.10000038,34.59999847,34.59999847,34.59999847,,,,,34.12263447,36.65,38.14,41.96,,
Papua New Guinea,3.200000048,3.200000048,3.299999952,3.299999952,3.299999952,3.400000095,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,,
Paraguay,,,,,,,,,,,50.79999924,50.79999924,,,,,,,,,,
Peru,9.899999619,10,10.30000019,10.5,10.89999962,11.39999962,11.60000038,11.80000019,12.97000027,13.03999996,13.35000038,13.35999966,14.39999962,13.10999966,14.39999962,,13.88094093,,,,,
Philippines,,,,,16.60000038,16.70000076,17.39999962,17.70000076,19.79999924,20,,,9.5,9.899999619,,,,,,,,
Poland,61.59999847,63.40000153,64.09999847,64.5,64.90000153,65.30000305,65.40000153,65.69999695,65.59999847,65.59999847,68.30000305,68.30000305,,69.66000366,,66.52847932,66.78834673,67.59107288,68.15129247,69.87,,
Portugal,,,,,86,,,,,86,86,,,,86,,,,,,,
Puerto Rico,,,,,,,,,,,94,94,,,95,,,,,,,
Qatar,85.59999847,86.5,87.30000305,88.19999695,89.09999847,90,90,90,90,90,90,,,,,,,,,,,
Romania,,51,51,51,51,51,52.29999924,52.79999924,53.09999847,53,49.5,50.5,50.40000153,30.20000076,30.20000076,,,,,,,
Russia,74.19999695,75.80000305,,,,,,,67.19999695,67.40000153,,,,,,84.40000153,80.91999817,80.06,,,,
Rwanda,9,9.199999809,9.399999619,9.600000382,9.699999809,9.899999619,,,,,,,,,19,,,,,,,
Saint Kitts and Nevis,38.5,39.29999924,40,40.79999924,41.70000076,42.5,42.5,42.5,42.5,42.5,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,63,65,68,70,70,70,,,,,,,,
Samoa,,,,,,,,,,,,14.21000004,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,61.59999847,62.79999924,64.09999847,65.40000153,66.69999695,68,68.09999847,68.09999847,68.09999847,68.09999847,68.09999847,68.09999847,,,,,,,,,,
Saudi Arabia,40.59999847,39.5,40,40.90000153,41.79999924,30.10000038,29.79999924,30.10000038,,,29.89999962,,,,,21.46999931,,,,,,
Senegal,27.20000076,27.79999924,28.29999924,28.29999924,28.39999962,28.5,29.29999924,29.29999924,29.29999924,29.29999924,29.29999924,,,29.26000023,,,,,,32,,
Serbia,,,,,,,,,,,62.70000076,,,,,,,,47.74,63.16,,
Seychelles,56.90000153,58,59.09999847,60.29999924,61.5,62.79999924,80.30000305,84.5,,,,,,96,,95.98393574,96.01593625,96.45669291,96.45669291,96.46,,
Sierra Leone,10.60000038,10.80000019,11,11,11,8,8,8,8,7.900000095,7.900000095,,8,,,,,,,,,
Singapore,97.09999847,97.09999847,97.09999847,97.19999695,97.19999695,97.30000305,97.30000305,97.30000305,100,100,100,100,100,100,100,100,100,100,100,100,,
Slovak Republic,,,,,,85.80000305,85.80000305,86.59999847,86.69999695,,87,87,87.30000305,87.30999756,87.30999756,87.01999664,87.02999878,,87.05,87.06,,
Slovenia,72,74,75,77,79,80.19999695,81.19999695,81.69999695,100,,100,100,100,100,100,100,100,100,100,100,,
Solomon Islands,2.099999905,2.200000048,2.200000048,2.299999952,2.299999952,2.400000095,2.5,2.5,2.5,2.440000057,2.440000057,2.440000057,,,,,,,,,,
Somalia,11.10000038,11.30000019,11.5,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,,,,,,,,,,
South Africa,,,,,,,19.70000076,19.70000076,19.70000076,20.29999924,20.29999924,17.29999924,,,,,,,,,,
Spain,,99,99,99,99,99,99,99,99,99,99,99,,99,,,,,,,,
Sri Lanka,,,,,,,,,,,,,85.83999634,81,,,,,,,,
Sudan,33.79999924,33.70000076,33.70000076,34.5,35.40000153,36.20000076,36.29999924,36.29999924,36.29999924,36.29999924,36.29999924,36.29999924,,,,,,,,,,
Suriname,24,24.5,26,26,26,26,26,,,26,26,26,26,26.25,,,,,,,,
Swaziland,,,,,28.20000076,,,,,,,,29.98999977,,,,,,,,,
Sweden,,,,,,,,,,,,,,31.15999985,30.51000023,31.47999954,31.65467288,31.66270534,23.58,24.36,,
Switzerland,,,,,,,,,,,,,,100,100,100,100,100,100,100,,
Syria,,,,,,,,,,,,,,93.6,94.58,95.15,95.75,92.98,91.28,90.25,,
Tajikistan,71.59999847,74.09999847,76.69999695,78.69999695,80.69999695,82.69999695,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,8.630000114,,,,,7.38,6.67,,
Thailand,,88.40000153,89.69999695,92.80000305,94.69999695,97.40000153,97.5,97.5,97.5,97.5,98.5,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
Togo,21.20000076,21.60000038,31,31.60000038,31.60000038,31.60000038,31.60000038,31.60000038,31.60000038,31.60000038,31.60000038,31.60000038,,,,,,21,,,,
Tonga,,,,,,27,27,27,27,27,27,27,,,,,,,,,,
Trinidad and Tobago,46.20000076,47.09999847,48.09999847,49,50,51,51.09999847,51.09999847,51.09999847,51.09999847,51.09999847,51.09999847,,,,,,,,,,
Tunisia,76.09999847,75.5,74.59999847,76,77.40000153,78.80000305,78.90000153,78.90000153,63.70000076,63.79999924,68.40000153,65.40000153,,,65.80000305,,,,75.18,75.18,,
Turkey,,,,,,23,25,25,28,34,,,,,,,,,88.45,88.74,,
Turkmenistan,73.5,75,76.5,78,,,,,,81.19999695,81.19999695,81.19999695,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,23,,,,,,,,
Ukraine,93.69999695,94.19999695,94.59999847,94.90000153,94.40000153,94.80000305,95,95,96.5,96.59999847,96.69999695,96.69999695,96.80000305,96.40000153,97.19999695,97.41999817,97.66475069,97.75117753,97.82,97.82,,
United Arab Emirates,94.19999695,96.09999847,98,100,100,100,100,100,100,100,100,,,,,,,,,,,
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
United States,,,,,,,,,,,,,,66.19999695,64.5,65.33999634,,65.12,67.37,,,
Uruguay,,,,,,,,,,,,,,,9.960000038,,,,,,,
Uzbekistan,79,80.5,,83.80000305,85.5,87.19999695,87.30000305,,87.30000305,87.30000305,87.30000305,87.30000305,,,,,,,,,,
Vanuatu,21.60000038,22,22.5,22.89999962,23.39999962,23.79999924,23.89999962,23.89999962,23.89999962,23.89999962,23.89999962,23.89999962,,,,,,,,,,
Venezuela,35.59999847,36.29999924,37,37.79999924,35.40000153,35.40000153,35.40000153,33.59999847,33.59999847,33.59999847,33.59999847,33.59999847,,,,,,,,,,
Vietnam,23.5,23.89999962,24.39999962,24.89999962,25.39999962,25.89999962,25.10000038,25.10000038,25.10000038,,,,,,43.89301029,,46.96238261,47.62413408,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,100,100,100,100,100,,,91.73,,
"Yemen, Rep.",9.100000381,9.100000381,9.399999619,9.5,8.100000381,7.900000095,8.100000381,,,,,,,,,8.699999809,,,,,,
Zambia,16.60000038,16.89999962,17.29999924,17.60000038,18,,,,,,,22,,,,,,,,,,
Zimbabwe,14,15,16,17,54.90000153,48,47.40000153,47.40000153,47.40000153,,,,19,,,,,,,,,
