"Roads, paved (% of total roads)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,23.65999985,27.45942879,29.3,,,,,
Albania,,,,,,39,39,39,39,39,39,39,39,,,,,,,,,
Algeria,67,70,66,66.69999695,68,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,,,,70.19999695,,,,73.46,74.028686,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,10.39999962,10.39999962,10.39999962,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,32.95999908,,,,,,,,,
Argentina,28.5,28.5,28.5,28.60000038,28.70000076,29.10000038,29.10000038,29.5,29.5,29.39999962,29.39999962,,,30,,,,,,,,
Armenia,99.19999695,96.59999847,96.69999695,96.69999695,97,96.69999695,96.69999695,96.80000305,96.80000305,,,,,91.26999664,90.12000275,89.97000122,88.97899628,89.04,90.52,93.562622,,
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,35,35.70000076,36.40000153,37.09999847,37.90000153,38.59999847,38.70000076,,38.70000076,,,,,,41.57,,,42.55,42.7,43.45,,
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,,
Azerbaijan,,,,,,,,,,,,,,,49.38999939,,50.60254618,,,,,
Bahamas,52,53,54.09999847,55.09999847,56.29999924,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,,,,,,,,,,
Bahrain,75.40000153,75.30000305,78.80000305,,,,75.80000305,76.5,76.90000153,77.40000153,77.59999847,75.30000305,78.90000153,79.12999725,79.7391063,80.31283711,80.80462793,81.04388471,81.48148148,82.121,,
Bangladesh,,7.199999809,6.599999905,6.900000095,9.300000191,7.900000095,8.399999619,9.5,9.529999733,9.529999733,9.529999733,,,9.5,,,,,,,,
Barbados,86.80000305,88.5,90.30000305,92.09999847,93.90000153,95.80000305,95.90000153,,98.59999847,98.59999847,98.59999847,98.59999847,98.59999847,100,100,,,,,,,
Belarus,,95.80000305,96.30000305,98,98.40000153,98.59999847,98.80000305,98.19999695,95.59999847,,,,,86.40000153,87,88.63999939,,,,,,
Belgium,,81.19999695,81.19999695,81.19999695,80.59999847,80.69999695,80.69999695,80.69999695,78.19999695,78.19999695,78.19999695,78.30000305,78.19999695,78,78,78.21199799,78.20800018,78.2,78.2,78.22,,
Belize,,,,,,,19,16,17,17,17,17,,,,,,,,,,
Benin,20,20,20,20,20,20,20,20,20,,,,,,9.5,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bhutan,77.09999847,79.09999847,77.09999847,74.5,65.19999695,63.70000076,60.70000076,60.70000076,,,,,,62,,,,,,,,
Bolivia,4.300000191,4.400000095,4.199999809,4,4.699999809,5.5,5.5,5.699999809,6,6.400000095,6.599999905,6.699999809,6.699999809,7,7.342,6.913,6.928,6.812,7.885,7.8851,,
Bosnia and Herzegovina,54,54.20000076,53,52.59999847,52.5,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,,,,,,52.29999924,,,,,,
Botswana,32,34,19.89999962,21.10000038,22.20000076,,,,,,,,35.29999924,35.13999939,33.20000076,32.59999847,,,,,,
Brazil,9.699999809,8.600000381,8.600000381,12.30000019,8.100000381,8.899999619,9.300000191,9.100000381,9.600000381,5.599999905,5.5,,,,,,,,,,,
Brunei,31.39999962,32,32.59999847,33.29999924,33.90000153,34.59999847,,34.70000076,34.70000076,34.70000076,34.70000076,,,,79.098,78.411,78.025,80.055,81.118,,,
Bulgaria,91.59999847,91.80000305,91.80000305,91.90000153,91.90000153,92,92,92,92.09999847,,,,,,,98.40000153,,,,,,
Burkina Faso,16.60000038,17.10000038,17.60000038,18.20000076,18.70000076,16,16,16,16,16,,,,,4.170000076,,,,,,,
Burundi,,,,,,,,,,7.099999905,7.099999905,,,,10.43999958,,,,,,,
Cambodia,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,6.289999962,,,,,,,
Cameroon,10.5,10.89999962,11.30000019,11.69999981,12.10000038,12.5,12.5,12.5,12.5,12.5,8.100000381,,,,8.369999886,,17.36,,17.04,,,
Canada,35,37,35.20000076,,,35.29999924,,,,,,,,,39.86999893,,,,,,,
Cape Verde,78,78,78,78,78,78,78,78,78,78,69.04000092,69.04000092,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,2.099999905,2.099999905,2.099999905,2.400000095,2.700000048,,,,,,,,,,,,,
Chad,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,0.8000000119,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,13.80000019,13.80000019,13.80000019,13.80000019,13.80000019,15.89999962,16.70000076,17.20000076,18.29999924,18.89999962,18.39999962,20.20000076,,,26.274,21.038,21.321,21.429,21.826,22.453,,
China,,,,,,,,,,,,,,,,40.79999924,44.09999847,49.6,53.5,,,
Colombia,11.89999962,11.89999962,11.89999962,11.89999962,11.89999962,9.199999809,11.89999962,12,14.30000019,14.39999962,,,,,,,,,,,,
Comoros,69.30000305,70.69999695,72.09999847,73.5,75,76.5,,,76.5,76.5,76.5,76.5,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,1.820000052,,,,,,,
"Congo, Rep.",9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,,,,5,,7.129411765,,,,,
Costa Rica,15.30000019,15.80000019,15.80000019,16.29999924,16.29999924,16.70000076,17,17,21,22,22,22,22,24.60000038,24.39999962,,25.20000076,25.53336607,25.28,25.95,,
Cote d'Ivoire,8.699999809,8.899999619,9.100000381,9.199999809,9.399999619,9.600000381,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,,,,8.119999886,,,7.929655105,,,,
Croatia,,,,,,,81.5,81.5,84.40000153,84.59999847,85.4,84.92774536,,,,,,89.13148288,86.88,90.51,,
Cuba,50.5,51.5,52.59999847,53.59999847,54.70000076,55.79999924,55.90000153,49,49,49,49,49,,,,,,,,,,
Cyprus,59.59999847,59.09999847,58.40000153,57.40000153,57.20000076,57,57.20000076,57.29999924,59.20000076,59.59999847,60.59999847,61.20000076,62.20000076,62.95000076,63,64.58999634,65.05000305,64.03723665,64.61,64.94,,
Czech Rep.,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,,,,,,,
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Djibouti,,,,,,,,,,,45,45,,,,,,,,,,
Dominica,45.59999847,46.5,47.40000153,48.40000153,49.29999924,50.29999924,50.40000153,50.40000153,50.40000153,50.40000153,50.40000153,50.40000153,,,,,,,,,,
Dominican Rep.,44.70000076,45.5,46.5,47.40000153,48.29999924,49.29999924,49.40000153,,,49.40000153,49.40000153,49.40000153,,,,,,,,,,
Ecuador,13.39999962,13.60000038,14,14.19999981,,12.69999981,13.30000019,18.89999962,18.89999962,18.89999962,18.89999962,16.87000084,16.87000084,14.93999958,14.97000027,,14.81566334,14.81566293,,,,
Egypt,72,72,73,72,75,78,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,,,,81,,,,86.89,89.356,,
El Salvador,14.39999962,14.19999981,14.19999981,19.89999962,20,20,19.89999962,19.79999924,19.79999924,19.79999924,19.79999924,19.79999924,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,
Eritrea,19.39999962,19.79999924,20.20000076,20.60000038,21,21.39999962,21.79999924,21.79999924,21.79999924,21.79999924,21.79999924,21.79999924,,,,,,,,,,
Estonia,51.79999924,52.40000153,54.40000153,54.5,50.29999924,54,53.20000076,50.79999924,22.10000038,21.29999924,20.10000038,19.70000076,24.79999924,23.39999962,22.13999939,22.67000008,,28.60244941,,,,
Ethiopia,15,15,15,15,15,15.5,15.30000019,15.30000019,14,13.30000019,12,12,12,12.89999962,19.13999939,11.04791126,11.63154756,13.67478978,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
Fiji,44.5,45.40000153,46.29999924,47.20000076,48.20000076,49.09999847,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,,,,,,,,,,
Finland,61,61,62,62,63,63,64,64,64,64.5,62,64,64,64.59999847,64.69999695,65.04000092,65.27533221,65.36272484,65.47,,,
France,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
