Stomach Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,7.05,7.62,,,6.4,6.07,4.01,5.69,8.02,6.41,7.35,7.62,7.24,6.82,6.65
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
Argentina,,,,,,,,,,,,,,,,,12.1,13.43,13.13,12.58,11.57,,,,,,,8.69,8.18,7.49,7.12,6.8,6.62,6.1,6.35,5.98,5.52,5.77,5.8,5.33,4.69,4.89,4.69,4.32,4.45,4.17,4.27,4.16,3.98,3.95,3.65,3.63,3.45
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,9.98,,,10.59,8.55,10.34,8.17,9.33,10.73,10.01,10.49,8.15,7.48,7.17,7.66,7.3,8.2,6.62,6.63,7.97,5.76
Australia,14.03,14.07,14.24,13.67,12.62,12.03,11.58,11.39,10,10.49,9.32,10.14,8.78,9.15,8,7.7,7.88,7.34,7.84,8.22,7.02,6.96,7.14,6.46,6.48,6.25,6.02,5.88,5.34,4.89,4.45,4.49,4.37,4.59,4.47,3.86,3.93,3.71,3.62,3.56,3.31,3.24,3.11,2.79,2.77,2.67,2.8,2.78,2.39,2.4,2.18,2.34,2.27
Austria,,,,,,27.57,28.26,29.08,27.44,25.82,25.69,25.68,24.99,23.92,25.41,21.84,22.38,22.4,21.85,19.2,20.24,18.52,16.92,16.85,16.51,14.94,14.84,14.28,13.65,12.58,12.03,11.59,11.63,10.61,10.27,9.95,9.7,9.28,8.31,8.52,8.02,8.22,7.57,7.47,7.63,6.92,6.71,6.31,5.6,5.34,5.3,4.81,4.48
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76,15.58,,,13.88,13.58,13.33,13.75,13.13,12.64,11.49,11.32,11.1,11.02,11.67,9.42,10.25,9.77,10.44,9.11,9.8,11.04
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Barbados,,,,,,,,,,,19.34,14.14,13.23,17.05,16.61,,12.56,16.21,14.38,13.37,9.75,10.23,14.42,14.53,12.68,13.91,9.15,14.86,14.41,9.07,7.93,7.97,5.67,9.33,7.16,7.17,11.86,11.03,9.14,6.83,8.3,10.08,9.93,4.62,7.94,2.26,,,,,6.57,7.76,5.4
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.48,18.02,,,17.11,16.43,16.01,16.12,15.98,16.24,16.33,15.66,14.68,15.04,14.19,,12.66,13.11,12.99,12.35,11.88,11.22
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49,7.41,7.28,7.27,7.02,6.85,6.34,6.45,6.5,6.32,6.03,5.77,5.88,5.86,5.62,5.4,5.28,5.36,5.23,4.89,4.82,4.77,4.66,4.52
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
Bulgaria,,,,,,,,,,,,,,,27.2,26.98,24.42,23.15,22.74,20.21,19.37,19.09,18.29,17.82,17.51,15.58,14.8,15.45,15.52,15.35,13.1,13.67,13.32,12.45,12.88,12.38,11.43,11.22,10.9,10.53,11.68,10.01,10.58,9.64,8.69,8.68,8.22,8.17,8.05,7.48,7.12,6.55,7.34
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
