Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Caribbean,20.445,20.248,19.993,19.77,19.53,20.081,21.372,22.545,23.832,25.136,26.851,28.033,29.578,31.147,32.553,33.876,35.155,36.514,37.839,39.064,40.169
Central African Rep.,22.525,22.074,21.432,20.794,20.035,19.284,18.915,18.852,18.432,18.667,18.8,18.917,19.502,20.236,21.226,22.299,23.396,24.527,25.768,27.058,28.353
Central America,18.679,17.925,17.171,16.688,16.68,16.879,17.444,18.3,19.423,20.905,22.48,24.251,26.082,27.917,29.866,31.794,33.77,35.693,37.576,39.342,40.995
Chad,21.545,20.811,20.116,19.515,18.924,18.523,17.965,17.399,17.009,16.872,16.858,16.872,17.052,17.407,17.944,18.641,19.479,20.537,21.788,23.114,24.488
Channel Islands,35.725,36.181,36.711,36.171,35.343,34.551,34.986,35.837,36.036,36.947,38.089,40.05,42.152,44.206,45.838,46.925,47.569,48.111,48.719,49.117,49.322
Chile,22.196,21.737,20.634,20.007,20.206,21.042,22.618,24.15,25.707,27.108,28.759,30.558,32.057,33.553,35.176,37.002,38.775,40.482,41.714,42.56,43.143
China,23.935,22.488,21.807,20.365,19.676,20.567,22.105,23.648,24.98,27.218,29.633,32.062,34.21,35.584,37.091,38.908,41.077,42.832,44.118,44.862,45.159
"Hong Kong, China",23.71,24.04,23.058,19.623,21.194,23.851,25.977,28.316,31.007,33.573,36.274,39.26,41.861,43.82,45.58,47.135,48.622,50.031,51.151,52.168,52.711
"Macao, China",25.275,24.49,21.756,18.315,18.685,22.201,25.73,27.054,29.012,31.154,33.605,36.272,38.315,41.235,43.81,46.064,48.347,50.522,52.723,54.627,55.779
Colombia,18.714,17.73,16.884,16.54,16.844,17.8,18.835,20.066,21.47,22.614,23.826,25.238,26.765,28.337,29.926,31.623,33.261,34.819,36.319,37.742,39.045
Comoros,21.165,20.266,19.103,17.729,17.012,16.887,16.654,16.221,16.765,17.81,19.057,20.378,21.081,21.754,22.7,23.912,25.314,26.939,28.494,30.033,31.487
"Congo, Rep.",19.976,19.817,19.478,18.928,18.301,17.789,17.457,17.477,17.815,18.174,18.344,18.943,19.462,20.647,21.846,23.008,24.292,25.668,27.08,28.488,29.899
Costa Rica,21.595,19.682,18.008,16.89,17.396,18.681,19.994,21.452,22.516,23.551,24.53,26.113,28.181,30.197,32.406,34.524,36.481,38.24,39.762,41.016,41.92
Cote d'Ivoire,18.294,18.679,18.74,18.623,18.164,17.748,17.403,17.38,17.652,18.325,18.943,19.081,19.479,20.194,21.159,22.309,23.565,24.879,26.334,27.806,29.29
Croatia,27.898,28.304,29.403,30.594,32.454,33.106,33.553,34.365,35.787,37.436,39.069,40.33,41.555,42.609,43.682,44.907,46.169,47.162,47.849,48.226,48.171
Cuba,22.345,22.383,22.898,22.303,21.874,22.268,23.929,26.109,28.242,30.653,34.207,35.488,38.3,40.989,43.022,44.528,45.889,47.664,49.451,50.846,51.881
Cyprus,23.704,24.381,23.041,23.328,25.914,27.11,28.691,29.261,30.878,31.914,33.533,35.321,36.491,37.717,38.998,40.379,41.74,43.035,44.086,44.48,44.409
Czech Rep.,32.653,32.244,33.069,33.665,33.567,32.778,32.954,34.068,35.247,36.159,37.583,38.828,39.59,41.187,42.906,44.661,45.856,46.905,47.513,47.132,46.208
"Korea, Dem. Rep.",15.857,18.458,19.961,21.493,21.846,21.185,22.926,24.547,26.18,28.075,30.194,32.253,33.958,34.616,35.838,36.996,38.375,39.963,41.169,41.784,41.897
"Congo, Dem. Rep.",18.112,18.004,17.971,17.917,17.763,17.518,17.245,16.859,16.415,15.974,15.914,16.079,16.629,17.311,18.138,19.122,20.234,21.615,23.087,24.633,26.313
Denmark,31.766,32.397,32.988,32.76,32.522,33.018,34.263,35.998,37.145,37.706,38.408,39.537,40.802,41.968,42.743,42.763,42.431,42.595,43.027,43.397,43.639
Djibouti,16.529,16.858,17.061,17.237,17.091,16.983,17.199,17.498,17.778,18.192,19.036,20.077,21.499,22.953,24.356,25.6,26.849,28.096,29.33,30.574,31.845
Dominican Rep.,16.556,16.453,16.066,15.76,16.08,16.955,18.082,19.203,20.344,21.456,22.628,23.781,25.013,26.469,28,29.573,31.127,32.731,34.343,35.973,37.534
Eastern Africa,18.398,18.123,17.734,17.342,17.086,16.875,16.785,16.786,16.8,17.032,17.221,17.486,17.878,18.418,19.149,20.098,21.25,22.518,23.856,25.249,26.676
Eastern Asia,23.461,22.482,22.163,21.114,20.679,21.582,23.192,24.818,26.224,28.422,30.747,33.102,35.198,36.617,38.155,39.961,42.044,43.743,44.981,45.709,46.011
Eastern Europe,26.351,27.398,28.26,29.25,30.794,31.196,31.634,32.451,33.587,35.07,36.487,37.58,38.499,39.57,40.903,42.646,44.439,46.151,46.869,46.471,45.989
Ecuador,20.575,19.393,18.533,17.84,17.658,17.924,18.361,19.078,20.112,21.45,22.676,23.98,25.448,27.07,28.712,30.433,32.307,34.16,35.951,37.615,39.124
Egypt,20.406,19.725,18.609,18.034,18.225,18.513,18.625,18.775,18.899,19.635,20.921,22.382,23.915,25.631,26.999,28.352,29.728,31.215,32.758,34.348,36
El Salvador,18.5,18.345,17.588,16.949,16.807,17.209,17.557,18.037,19.158,20.592,21.642,22.689,23.944,25.401,27.286,29.139,31.157,32.925,34.495,36.026,37.587
Equatorial Guinea,23.839,23.091,22.429,21.737,20.936,17.349,17.287,20.952,21.243,20.217,18.458,18.583,19.258,19.681,20.051,20.581,21.405,22.451,23.589,24.791,26.063
Eritrea,17.279,17.451,17.505,17.549,17.4,17.281,16.784,16.139,16.54,16.147,17.203,18.583,19.097,19.619,20.292,21.669,23.263,24.901,26.517,27.991,29.394
Estonia,29.927,30.186,31.981,32.888,33.716,34.059,33.853,33.938,34.398,36.336,37.852,38.978,39.581,40.113,40.713,41.767,43.212,44.709,44.677,43.485,42.981
Ethiopia,17.892,17.951,18.076,18.079,17.96,17.742,17.643,17.601,17.399,17.088,17.031,17.391,18.022,18.86,19.793,20.897,22.21,23.645,25.171,26.839,28.536
EUROPE,29.669,30.087,30.741,31.149,31.843,32.13,32.749,33.684,34.774,36.124,37.584,38.902,40.192,41.49,42.736,44.039,45.285,46.378,46.904,46.82,46.615
Fiji,16.583,16.111,15.975,16.474,17.788,19.027,19.754,20.496,21.304,21.999,22.617,23.651,24.997,26.259,27.685,29.176,30.817,32.453,34.111,35.778,37.474
Finland,27.712,27.942,28.243,28.453,29.639,30.748,32.791,34.72,36.431,37.803,39.343,40.89,41.984,42.609,43.043,43.644,44.208,44.594,45.045,44.997,44.811
France,34.511,32.989,33.023,32.775,32.453,31.691,32.469,33.615,34.878,36.347,37.703,38.868,40.112,41.313,42.142,42.855,43.563,44.046,44.214,44.381,44.759
French Guiana,26.601,25.639,24.409,22.288,21.08,20.846,23.196,23.961,23.392,23.468,23.524,23.307,24.03,25.046,26.545,27.947,29.322,30.79,32.161,33.456,34.689
French Polynesia,17.843,17.844,17.844,17.013,17.012,18.68,19.429,20.532,22.122,23.983,25.369,27.072,28.464,30.014,32.144,34.096,35.572,37.094,38.409,39.493,40.577
Gabon,28.351,27.871,27.436,26.746,25.707,23.563,22.137,20.718,19.591,19.035,19.323,20.299,21.554,22.931,24.392,25.768,27.097,28.389,29.679,31.061,32.478
Gambia,19.484,20.159,20.971,21.344,21.199,20.394,19.335,18.732,18.716,18.644,18.627,18.625,18.799,19.333,20.148,21.208,22.356,23.584,24.878,26.286,27.719
Georgia,27.298,27.484,27.78,28.012,28.771,28.285,29.124,29.953,31.248,32.56,34.364,35.722,37.582,38.779,39.768,40.981,42.687,44.469,45.939,46.108,45.816
Germany,35.373,34.474,34.742,34.405,34.305,35.416,36.438,37.126,37.684,38.404,39.959,42.075,44.328,46.428,47.918,48.803,49.489,50.325,51.2,51.659,51.699
Ghana,17.357,17.663,17.711,17.625,17.287,16.954,16.963,17.241,17.703,18.291,19.012,19.756,20.606,21.496,22.413,23.369,24.401,25.545,26.753,27.922,29.055
Greece,25.957,27.464,29.1,30.711,33.405,33.902,34.18,35.052,36.074,37.082,38.171,39.942,41.638,43.326,44.978,46.688,48.167,49.296,49.758,49.756,49.507
Grenada,16.328,17.042,15.557,15.14,15.326,17.747,18.822,20.031,20.397,20.888,21.859,23.322,24.98,27.172,29.341,31.432,33.622,35.689,37.462,39.084,41.017
Guadeloupe,20.882,20.263,19.124,17.584,18.181,18.532,22.414,24.675,27.654,29.878,32.348,35.119,36.562,37.412,38.398,40.077,41.728,43.141,44.262,45.143,46.243
Guam,22.845,22.203,20.948,20.618,20.361,21.221,22.261,23.652,24.935,26.278,27.384,28.39,29.186,29.996,31.131,32.462,33.89,35.353,36.694,37.88,38.915
Guatemala,17.511,17.305,17.163,17.241,17.484,17.496,17.213,17.022,17.123,17.304,17.652,18.154,18.834,19.799,21.056,22.517,24.121,25.912,27.85,29.86,31.987
Guinea,21.175,19.987,19.245,18.99,18.645,18.429,18.192,17.916,17.676,17.62,17.794,18.095,18.457,18.938,19.584,20.51,21.715,23.027,24.409,25.892,27.419
Guinea-Bissau,20.945,19.511,19.442,19.55,20.191,19.874,19.261,18.892,18.561,19.269,19.227,18.845,18.66,18.808,19.23,19.809,20.633,21.594,22.625,23.71,24.834
Guyana,19.778,17.821,15.872,16.398,16.046,17.44,18.526,19.491,20.849,22.406,24.029,26.068,27.418,28.734,29.713,31.244,33.202,35.526,37.843,40.2,41.918
Haiti,20.192,19.973,19.822,19.435,18.997,19.129,19.131,18.762,18.524,18.548,19.127,20.296,21.556,22.805,24.062,25.381,26.734,28.156,29.64,31.226,32.877
Honduras,18.835,17.954,17.09,16.476,16.078,16.152,16.378,16.705,17.092,17.57,18.368,19.511,20.945,22.575,24.284,26.109,27.999,29.94,32.038,34.09,36.081
Hungary,29.861,30.815,32.101,33.43,34.115,34.222,34.351,35.044,36.419,37.517,38.488,39.051,39.807,41.062,42.594,44.103,45.141,46.01,46.677,46.804,46.553
Iceland,26.458,25.834,25.416,24.286,24.602,25.405,26.942,28.032,29.973,31.464,32.779,34.222,35.098,36.443,38.008,39.699,41.365,42.906,44.155,44.838,45.145
India,21.255,20.618,20.043,19.44,19.244,19.721,20.186,20.647,21.141,21.719,22.599,23.682,24.96,26.478,28.115,29.86,31.686,33.517,35.263,36.896,38.441
Indonesia,20.021,20.172,20.029,19.535,18.893,18.904,19.444,20.332,21.669,23.19,24.795,26.479,28.235,30.097,31.975,33.776,35.444,36.983,38.45,39.885,41.15
Iran,21.08,19.566,18.37,17.721,17.56,17.635,17.531,17.623,17.406,19.114,22.006,24.075,26.799,29.483,32.191,35.038,37.314,39.146,39.808,40.727,41.942
Iraq,22.045,19.675,18.811,17.725,17.177,16.98,16.604,16.813,16.952,17.621,18.28,18.85,19.327,20.679,22.252,23.798,25.259,26.794,28.314,29.812,31.345
Ireland,29.56,29.927,29.797,28.255,27.551,26.447,26.44,26.939,29.074,30.901,32.478,33.346,34.582,36.339,38.077,39.768,40.982,41.702,42.09,42.552,43.271
