Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Norway,32.711,33.557,34.361,34.058,32.956,32.453,33.323,34.619,35.385,36.088,36.824,37.965,38.901,39.959,40.592,41.057,41.623,42.311,42.958,43.411,43.675
West Bank and Gaza,17.187,17.28,17.585,17.405,17.496,17.001,16.065,16.567,16.442,16.929,16.627,16.911,17.564,18.537,19.798,21.233,22.68,24.146,25.679,27.276,28.874
OCEANIA,27.963,27.601,26.946,25.633,25.277,25.621,26.607,27.749,28.935,30.135,31.315,32.158,33.046,33.891,34.65,35.505,36.364,37.216,37.944,38.536,39.094
Oman,18.767,17.714,16.855,16.179,15.996,16.387,17.301,17.634,18.307,20.172,21.373,22.855,24.309,26.203,27.832,29.361,30.977,32.421,34.08,35.64,37.152
Pakistan,24.239,22.9,21.818,20.996,19.849,18.864,18.257,18.252,18.188,18.283,19.021,19.958,21.293,22.49,23.703,24.964,26.407,27.913,29.444,31.081,32.69
Panama,20.229,19.333,18.58,18.126,18,18.388,19.31,20.539,21.935,23.427,24.82,26.057,27.337,28.692,30.107,31.501,32.931,34.393,35.886,37.308,38.599
Papua New Guinea,20.255,19.314,18.647,17.052,17.932,17.926,17.23,17.938,18.588,19.094,19.202,19.518,20.037,20.928,22.122,23.372,24.634,25.986,27.366,28.748,30.12
Paraguay,16.481,16.2,16.056,16.178,16.728,17.642,18.386,18.852,19.322,19.689,20.414,21.666,23.061,24.521,26.085,27.691,29.304,30.931,32.532,34.076,35.579
Peru,19.129,18.849,18.448,17.979,17.915,18.207,18.709,19.55,20.484,21.598,22.898,24.233,25.591,27.224,28.939,30.751,32.547,34.293,35.997,37.633,39.157
Philippines,18.169,17.469,17.045,16.862,17.106,17.603,18.098,18.746,19.332,19.911,20.853,21.993,23.2,24.533,26.014,27.496,28.967,30.421,31.964,33.496,35.012
Poland,25.797,26.082,26.543,27.574,28.163,28.553,29.546,30.812,32.278,33.786,35.318,36.761,38.208,39.803,41.738,43.81,46.024,47.968,49.613,50.673,51.008
Polynesia,16.926,16.604,16.317,15.837,16.288,17.301,18.451,19.603,20.461,21.701,22.332,23.166,24.158,25.526,27.335,29.081,30.587,32.037,33.399,34.705,36.089
Portugal,26.176,27.049,27.883,28.585,29.562,29.331,30.604,31.589,34.206,36.053,37.826,39.324,40.958,42.792,44.71,46.606,48.246,49.506,50.095,50.308,50.404
Puerto Rico,18.403,18.456,18.44,21.084,21.577,22.642,24.622,26.282,28.49,30.338,32.144,34.23,36.009,37.701,39.298,40.783,42.069,43.259,44.346,45.226,45.547
Qatar,18.884,20.146,20.758,22.244,22.454,23.443,24.342,27.487,29.583,29.026,30.392,29.951,30.106,33.555,33.615,35.209,36.32,37.112,37.674,38.109,38.505
"Korea, Rep.",19.015,19.295,19.792,18.744,19.006,19.956,22.198,24.424,26.954,29.511,32.053,34.969,37.896,40.718,43.22,45.476,47.636,49.619,50.977,52.445,53.744
Moldova,26.618,26.585,26.077,26.174,26.289,26.21,27.696,28.652,29.865,30.793,32.247,34.049,35.219,36.255,37.64,39.431,41.79,43.951,45.539,45.538,44.7
Reunion,20.291,18.781,17.771,17.071,17.076,18.503,19.938,22.81,24.408,26.476,28.302,29.476,30.195,31.283,32.529,33.8,34.989,36.031,37.171,38.292,39.29
Romania,26.067,27.288,28.409,30.192,30.898,30.759,30.74,31.757,32.596,34.023,34.747,36.678,38.499,40.207,42.18,44.073,45.673,47.464,48.929,49.316,49.494
Russia,25.025,26.544,27.376,28.512,30.572,30.813,31.279,32.093,33.309,34.994,36.496,37.323,38.054,38.912,40.011,41.733,43.549,45.314,45.539,44.488,43.96
Rwanda,16.738,16.698,16.479,16.176,15.869,15.718,16.536,16.002,15.42,15.31,16.644,17.865,18.709,18.78,19.143,20.016,21.397,22.853,24.269,25.644,26.951
Saint Lucia,20.68,20.107,17.71,16.363,14.951,16.519,17.488,18.926,21.438,23.073,24.264,25.749,27.47,29.381,31.477,33.538,35.567,37.312,38.771,39.848,41.026
Saint Vincent and the Grenadines,15.356,14.85,15.219,14.83,15.096,16.024,17.431,19.054,20.384,22.3,24.18,26.307,27.829,29.463,31.177,32.979,34.731,36.3,37.414,38.362,39.322
Samoa,16.556,15.879,15.591,15.127,15.919,16.915,18.176,19.165,18.502,19.874,19.72,18.976,19.565,21.123,22.849,24.485,25.974,27.135,28.312,29.653,31.428
Sao Tome and Principe,24.535,24.535,24.553,20.235,16.508,16.341,16.595,16.585,16.653,17.105,17.951,18.716,19.265,20.308,21.851,23.454,25.115,26.839,28.529,30.186,31.851
Saudi Arabia,19.031,18.719,18.368,18.014,17.765,17.861,17.998,19.019,19.36,19.397,21.308,23.288,24.56,25.986,27.524,29.097,30.652,32.25,33.821,35.24,36.611
Senegal,19.161,19.502,19.408,19.104,18.461,17.64,16.774,16.416,16.462,16.612,16.986,17.475,17.96,18.681,19.637,20.889,22.381,23.898,25.425,26.945,28.437
Serbia,25.832,26.619,27.956,29.165,30.604,30.41,31.469,32.471,33.598,34.687,35.679,36.591,37.574,38.649,39.832,41.13,42.366,43.389,44.038,44.327,44.731
Sierra Leone,20.405,20.901,21.123,21.22,21.108,20.381,19.588,19.063,18.711,18.666,18.668,18.447,18.225,18.237,18.752,19.606,20.653,21.788,22.925,24.071,25.262
Singapore,19.977,19.431,18.803,18.127,19.718,21.929,24.498,27.309,29.321,31.82,34.548,37.501,40.629,43.384,45.71,47.266,48.429,49.517,50.769,52.284,53.524
Slovak Republic,27.319,26.949,26.76,26.89,28.346,28.106,28.978,29.868,31.278,32.443,33.906,35.443,37.199,39.049,41.154,43.228,45.264,47.038,48.49,49.443,49.489
Slovenia,27.703,28.221,29.317,30.298,31.044,31.44,31.666,32.736,34.084,36.06,38.021,40.072,41.689,43.116,44.555,46.161,47.62,48.834,49.591,49.43,48.744
Solomon Islands,18.315,18.647,18.365,18.025,17.488,16.038,16.157,16.249,16.991,17.79,18.577,19.423,20.327,21.563,22.918,24.328,25.818,27.354,28.87,30.36,31.835
Somalia,19.546,18.772,18.129,17.456,17.151,17.011,16.835,17.298,17.56,17.976,18.009,17.645,17.553,17.682,18.118,18.685,19.329,20.118,21.135,22.304,23.57
South Africa,20.939,20.345,19.707,19.232,18.816,18.85,19.048,19.468,20.127,21.73,22.951,23.925,24.876,25.746,26.543,27.273,28.068,28.922,29.811,30.852,31.885
South America,20.442,20.133,19.732,19.348,19.559,20.177,20.869,21.721,22.737,23.853,25.033,26.487,28.183,30.047,31.91,33.789,35.61,37.346,39.058,40.643,42.119
South-Central Asia,21.439,20.74,20.092,19.421,19.085,19.337,19.636,20,20.403,21,21.981,23.132,24.505,26.041,27.655,29.345,31.076,32.78,34.371,35.898,37.357
South-Eastern Asia,20.603,20.317,19.738,18.801,18.315,18.588,19.122,20.117,21.347,22.644,24.341,25.974,27.775,29.414,31.133,32.804,34.418,35.896,37.253,38.515,39.661
Southern Africa,20.793,20.189,19.529,19.033,18.637,18.639,18.769,19.128,19.76,21.238,22.422,23.391,24.36,25.248,26.062,26.805,27.603,28.463,29.368,30.417,31.471
Southern Europe,27.378,28.577,29.677,30.414,31.185,31.487,32.177,33.361,34.893,36.597,38.248,39.616,41.148,42.844,44.626,46.432,47.951,48.968,49.374,49.352,49.093
Spain,27.684,28.796,29.564,30.148,30.201,30.301,30.79,31.981,33.681,35.603,37.61,38.652,40.174,41.903,43.794,45.911,47.638,48.836,49.136,48.814,48.245
Sri Lanka,21.577,20.263,19.4,19.392,20.031,20.934,21.917,22.938,24.306,25.777,27.663,29.33,30.565,32.406,34.35,36.127,37.506,38.37,39.031,40.252,41.643
Sub- Saharan Africa,19.031,18.783,18.465,18.131,17.805,17.538,17.346,17.201,17.201,17.48,17.808,18.156,18.579,19.143,19.885,20.853,21.976,23.206,24.497,25.836,27.212
Sudan,18.066,17.973,17.884,17.857,17.769,17.611,17.525,17.579,17.83,18.191,18.652,19.345,20.255,21.479,22.803,24.153,25.507,26.905,28.29,29.656,31.046
Suriname,20.139,18.864,16.458,15.961,15.769,16.018,18.821,21.272,22.964,24.496,25.702,26.143,27.568,29.128,30.702,32.029,33.495,35.214,36.938,38.45,39.666
Swaziland,18.432,17.875,17.383,16.75,16.301,15.931,15.565,15.523,15.876,16.125,17.254,18.095,19.3,20.568,21.57,22.319,23.075,23.942,24.907,25.99,27.097
Sweden,34.259,35.056,36.241,36.168,35.389,35.339,36.249,38.128,38.332,38.463,39.375,40.103,40.887,41.606,41.961,42.105,42.532,43.212,43.642,43.312,43.235
Switzerland,33.205,32.896,32.63,31.564,31.952,33.069,34.766,36.11,36.851,37.415,38.78,40.349,41.915,43.169,43.919,44.254,44.611,44.96,45.328,45.317,44.877
Syria,19.4,18.184,17.128,16.221,15.982,15.745,15.399,15.272,15.725,17.096,18.681,20.566,22.503,23.62,24.778,26.435,28.285,30.191,32.336,34.4,36.428
Tajikistan,22.331,22.585,21.692,18.288,16.854,17.153,18.001,18.499,18.338,18.163,18.45,19.156,20.734,22.336,23.847,25.384,27.017,28.756,30.564,32.529,34.423
"Macedonia, FYR",22.295,22.191,22.352,22.416,23.729,24.839,26.443,28.086,29.487,30.913,32.462,34.209,36.011,37.81,39.537,41.294,42.974,44.605,46.084,47.119,47.636
Thailand,18.621,18.685,18.408,17.757,17.711,18.399,19.54,22.086,24.55,26.858,29.983,31.473,33.174,34.715,36.188,37.542,38.77,39.842,40.491,40.952,41.369
Timor-Leste,19.638,19.387,19.234,18.982,18.936,18.875,19.01,19.538,19.414,19.6,15.306,16.731,17.371,17.97,18.212,18.439,19.241,20.49,22.022,23.517,24.987
Togo,19.441,19.012,18.622,18.23,17.788,17.281,16.836,16.681,16.9,17.442,18.159,18.937,19.82,20.826,21.968,23.207,24.519,25.922,27.395,28.878,30.366
Tonga,15.535,15.586,15.623,15.793,16.274,16.152,17.301,18.285,19.687,19.673,19.709,21.182,21.327,21.336,22.42,23.74,25.202,26.804,28.294,29.706,31.043
Trinidad and Tobago,20.7,19.336,18.609,18.575,18.507,20.049,21.616,22.631,23.528,25.001,26.931,28.86,30.806,33.101,35.551,37.922,40.236,41.628,42.332,42.521,42.764
Tunisia,20.929,19.972,18.923,17.199,16.774,17.744,18.51,19.468,20.749,22.796,24.622,26.889,29.077,31.285,33.496,35.729,37.805,39.74,40.993,41.837,42.522
Turkey,19.416,19.798,19.493,18.797,19.024,19.031,19.547,20.246,21.474,22.908,24.534,26.458,28.344,30.222,31.914,33.625,35.364,37.02,38.46,39.651,40.745
Turkmenistan,23.535,23.194,21.898,18.783,17.642,17.926,18.727,19.457,19.659,20.192,21.63,23.109,24.708,26.689,28.689,30.803,32.593,34.144,35.638,37.037,38.382
Uganda,18.194,17.684,17.048,16.703,16.497,16.28,16.133,16.061,15.9,15.492,15.256,15.301,15.569,15.967,16.567,17.428,18.503,19.723,21.155,22.649,24.189
Ukraine,27.637,28.508,29.809,30.244,32.164,33.616,33.838,34.206,35.054,36.216,37.69,38.913,39.521,40.228,41.202,42.624,44.284,45.888,46.637,46.027,44.726
United Arab Emirates,18.885,18.55,18.182,20.669,22.862,25.428,26.084,26.95,27.353,27.419,28.569,29.472,31.673,33.072,34.381,34.981,35.418,36.53,37.405,37.991,38.554
United Kingdom,34.631,35.011,35.442,34.792,34.19,33.934,34.362,35.366,35.778,36.55,37.706,38.859,39.858,40.309,40.45,40.788,41.375,41.968,42.327,42.397,42.465
Tanzania,16.94,17.039,17.003,16.979,16.852,16.74,16.667,16.737,16.901,17.178,17.406,17.486,17.492,17.558,17.971,18.732,19.744,20.985,22.228,23.481,24.765
United States,29.989,30.184,29.567,28.403,28.166,28.815,30.083,31.52,32.786,33.954,35.105,35.959,36.59,37.173,37.868,38.691,39.546,40.334,40.838,41.25,41.715
Virgin Islands (U.S.),21.979,21.075,20.556,20.032,23,20.002,21.991,23.8,28.067,30.668,33.506,36.71,38.497,39.807,39.49,40.277,41.45,43.018,44.867,46.167,47.584
Uruguay,27.847,28.394,28.887,29.275,29.649,30.019,30.148,30.364,30.742,31.126,31.577,32.659,33.737,34.847,35.641,36.706,37.96,39.274,40.499,41.566,42.518
Uzbekistan,24.121,23.929,22.426,19.217,17.617,17.912,18.802,19.532,19.439,19.782,20.945,22.675,24.538,26.665,28.753,30.926,32.917,34.788,36.273,37.548,38.735
Vanuatu,16.783,16.609,16.545,16.561,17.185,17.136,17.235,17.67,18.128,18.432,18.689,19.445,20.489,21.662,22.899,24.2,25.596,27.113,28.627,30.15,31.696
Venezuela,18.333,17.745,17.245,16.789,17.072,18.096,19.068,20.079,21.048,22.071,23.281,24.626,26.106,27.686,29.297,30.875,32.419,33.921,35.419,36.924,38.32
Vietnam,24.625,23.74,22.169,19.396,18.027,18.209,18.184,19.037,20.024,21.088,23.196,25.572,28.522,30.193,32.298,34.415,36.705,38.742,40.329,41.53,42.446
Western Africa,19.17,19.034,18.834,18.573,18.196,17.843,17.522,17.162,17.115,17.379,17.779,18.152,18.479,18.997,19.749,20.82,22.026,23.277,24.565,25.878,27.204
Western Asia,20.677,20.398,19.915,19.05,18.894,18.856,19.162,19.702,20.301,21.24,22.432,23.755,25.04,26.364,27.688,29.092,30.547,32.011,33.42,34.719,36.018
Western Europe,34.543,33.597,33.766,33.405,33.203,33.533,34.483,35.402,36.309,37.362,38.838,40.486,42.223,43.821,44.92,45.613,46.208,46.779,47.237,47.469,47.557
Western Sahara,18.665,19.999,20.799,21.072,20.237,16.811,21.313,21.222,20.653,20.745,22.126,24.221,26.466,28.347,30.05,31.775,33.359,34.691,35.667,36.607,37.585
WORLD,23.978,23.513,23.159,22.456,22.145,22.397,22.99,23.685,24.4,25.434,26.648,27.879,29.115,30.247,31.452,32.771,34.165,35.454,36.563,37.506,38.357
"Yemen, Rep.",18.865,17.802,16.912,16.282,15.673,14.873,14.706,14.473,14.338,15.129,15.763,16.802,17.797,18.782,19.776,20.898,22.304,23.845,25.508,27.293,29.108
Zambia,17.474,17.558,17.478,17.279,16.814,16.482,16.281,16.61,16.992,17.265,17.213,16.814,16.754,17.097,17.805,18.682,19.717,20.912,22.148,23.397,24.676
Zimbabwe,18.968,18.16,17.381,16.265,15.883,15.735,15.494,15.981,16.795,17.411,18.049,18.388,19.02,20.703,22.144,23.287,24.444,25.798,27.324,28.924,30.655
