,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,0.8649783,,,,0.9435883,0.9795031,0.7462223,0.7314249,0.7179717,0.7034015,5.8740926,6.4219651,6.2674769,5.7023354,5.5627619,5.4244472,,1.5449008,1.6308955,0.3293092,0.3194047,0.584955,0.5658924,0.5696534,,
Albania,3.3587861,,,,,,,4.9059663,4.8946109,4.9058235,6.5492721,5.1345443,5.194189,5.1869283,5.1714475,5.1567908,3.0745906,2.0299063,1.6371222,1.5800581,1.6339422,0.8274131,1.0327527,1.0247361,,
Algeria,3.1103036,,,,1.8849922,1.7926053,1.7083265,1.624967,1.5459907,1.4740494,1.8175276,1.7552108,2.7500297,2.6214413,2.8433937,2.7492599,2.6393646,2.6520205,2.4958849,2.4855361,2.4170292,2.4468455,2.372242,2.306817,,
Angola,1.2203591,,,,2.4024026,2.5108975,3.1785354,2.6165233,2.5123732,2.2796912,2.2498212,1.9084439,2.1923061,2.1926939,2.106729,1.8840215,2.2570063,1.6545358,1.8899192,1.6599386,1.6107774,1.4577976,1.5059098,1.4613288,,
Argentina,0.8669152,,,,0.7157668,0.627697,0.5139624,0.4742848,0.4680693,0.4905449,0.684719,0.7030399,0.689766,0.6725813,0.6404709,0.6286124,0.6078936,0.5927775,0.5879677,0.5713871,0.5585452,0.5727333,0.566814,0.560987,,
Armenia,,,,,,,,1.3072384,1.4267964,3.0906502,4.2202061,4.0618229,4.2535957,3.7727488,3.7528517,2.8940432,2.9091997,3.0364811,2.995556,3.1808714,3.1410848,2.98308,2.6423664,2.6184384,,
Australia,0.959853,,,,0.8470493,0.8007262,0.7963793,0.7893724,0.7846015,0.7377877,0.6324823,0.6428116,0.6341907,0.6273476,0.5965208,0.5365839,0.5283637,0.5126495,0.529422,0.5080623,0.501921,0.4725973,0.4964004,0.4862799,,
Austria,1.6260761,,,,1.3814597,1.213093,1.2209204,1.2071978,1.2088118,1.1806539,1.4447491,1.4538024,1.1909085,1.1807024,1.0441995,1.0441791,0.8942943,0.8727581,0.8686141,0.9884259,0.9800409,0.9599625,0.8230711,0.8155798,,
Azerbaijan,,,,,,,,1.3447935,1.4127071,1.5889262,4.05443,3.4819303,3.2689876,2.5849531,2.4519242,2.4591831,2.4060113,2.3562617,2.1619303,2.1058716,2.0923071,2.0516657,2.0139442,1.9767462,,
Bahamas,0.4764812,,,,,,,,,,1.4966356,2.2298451,2.1556955,2.1138446,2.0947797,2.0491748,2.0067915,0.5524698,0.5410629,0.5063493,0.4964186,0.4871573,0.4779657,0.5452863,,
Bahrain,1.5535739,,,,2.3687067,3.6429458,3.5008008,2.9523833,2.8505541,3.1426582,7.5978967,7.4757681,7.4492832,7.2354637,7.1288768,6.9524309,6.7557056,6.5210458,6.5430987,6.2823823,6.1626631,5.4575476,5.3478294,5.2311429,,
Bangladesh,0.2170108,,,,0.2152022,0.2079973,0.2085134,0.203871,0.1993258,0.2058195,0.3032678,0.2908678,0.2905154,0.2839536,0.3127132,0.2182021,0.309766,0.301171,0.2761995,0.3581977,0.350835,0.2912307,0.2941697,0.2878915,,
Barbados,0.8145947,,,,,,,,,,0.4243642,0.4278105,0.4278378,0.4360901,0.4360212,0.4279541,0.4248422,0.4226725,0.4187479,0.4180727,0.4141872,0.4111294,0.40768,0.6639555,,
Belarus,,,,,,,,1.9792618,2.2531548,1.2893814,2.1365143,1.8994789,1.846276,1.8936902,2.1850671,1.9059642,4.009628,3.923937,3.76473,3.7325385,3.7436369,3.7370718,3.7241926,3.7119299,,
Belgium,2.3033448,,,,2.7952022,2.6869376,2.5015442,1.9398569,1.7082487,1.2736687,1.1269383,1.1025122,1.0529495,1.0278153,0.9560139,0.8915136,0.9143888,0.8994415,0.9276852,0.8032268,0.7986911,0.8602422,0.8226157,0.8156477,,
Belize,1.1054607,,,,1.6392694,1.5839374,1.5403236,1.5028509,1.4550824,1.4059809,1.4937315,1.4431426,1.3129571,1.2510197,1.2102288,1.2167635,1.1632958,1.1115247,1.0588925,0.9178075,0.8746491,0.8342496,0.7949593,0.7583556,,
Benin,0.2766598,,,,0.27335,0.3168163,0.3557507,0.3410563,0.3739586,0.3593811,0.3165206,0.3065238,0.2979688,0.289893,0.2817,0.2734532,0.2647639,0.2488745,0.2389729,0.194215,0.2489132,,0.2315419,0.2233986,,
Bhutan,1.8872072,,,,,,,2.9707929,3.0984983,3.2150848,2.620359,3.2603314,3.8293915,4.2959716,4.0696788,3.2802779,,,,,,,,,,
Bolivia,1.1436695,,,,1.1153953,1.0875455,1.167046,1.1012974,1.0750672,0.9170311,2.0464185,1.9918204,2.1381819,2.0838456,2.0048364,1.9591889,1.876414,1.8284604,1.7790551,1.717912,1.724732,1.9912016,1.9331212,1.8821978,,
Bosnia and Herzegovina,,,,,,,,3.4989187,,4.6198773,5.9893123,13.9043648,5.1267089,4.9464258,4.7759934,4.1088642,1.2732581,1.0392492,0.9798282,1.2456026,0.619868,0.46334,0.4627644,0.4628471,,
Botswana,0.890744,,,,1.1551275,1.1100613,1.2418544,1.1903024,1.1394389,1.09298,1.2727849,1.2235864,1.1776627,1.2690921,1.2912937,1.2517565,1.2171216,1.247524,1.2181636,1.1347876,1.2188377,1.1893052,1.1616514,1.1319097,,
Brazil,0.509772,,,,0.5233489,0.4710526,0.4474333,0.4261298,0.4166265,0.4055353,0.9089522,0.909862,0.9045391,0.88162,0.8257363,0.8073968,0.7931178,0.7684745,0.7529796,0.7470526,0.7121137,0.7770263,0.7366233,0.7213964,,
Brunei,4.7882737,,,,3.8214017,3.6494047,3.498374,3.3748001,3.2597223,3.9444698,6.8650426,6.7134529,6.4504109,6.2344373,5.8371565,5.6873667,6.0851088,6.527855,6.3503027,5.7748763,6.1823253,4.9238724,4.8014481,4.683989,,
Bulgaria,3.2553853,,,,3.5591756,3.1476088,2.6602974,2.503601,1.3332311,2.0720618,3.5567008,3.6359704,3.6224721,3.6689352,3.1455621,3.1964973,3.2178738,2.983405,2.5229687,2.481347,2.5207673,2.1420487,2.0907928,2.0433877,,
Burkina Faso,0.11705,,,,0.2110794,0.2569963,0.2499642,0.2184784,0.2123779,0.2061698,0.2295627,0.2233638,0.2107364,0.2097427,0.2045607,0.216584,0.2627092,0.2564301,0.2569784,0.1692771,0.1791763,,0.1678529,0.1629041,,
Burundi,0.2118739,,,,0.3995129,0.427327,0.4198532,0.4485709,0.4429809,0.5733173,0.4881093,0.7314099,0.7288855,1.4342709,1.4810758,1.4497413,1.5729311,1.5138362,1.5883232,2.1946801,2.1224875,,1.2069137,1.1577498,,
Cambodia,0.940125,,,,2.357387,2.5842932,2.5196233,2.9630479,2.1810356,1.4611853,6.2585806,6.052978,6.8439282,6.5671248,6.3170328,6.0994766,3.3773133,3.0189023,2.9132817,2.8125269,2.7379577,2.6723322,2.609076,2.5364458,,
Cameroon,0.1967781,,,,0.4996772,0.5283041,0.5330894,0.2577855,0.2493255,0.2411229,0.4599384,0.4170551,0.4044521,0.3923203,0.3801659,0.3686344,0.5041445,0.5052614,0.4908674,0.3423355,0.3322994,,0.3142563,0.305758,,
Canada,0.6244389,,,,0.6063467,0.5909305,0.5802628,0.5546852,0.5106105,0.5001564,0.5029745,0.5249402,0.4703234,0.4450007,0.4370059,0.4213231,0.4004028,0.3629344,0.354325,0.4034887,0.3999007,0.3554849,0.3486426,0.3429763,,
Cape Verde,7.3325008,,,,2.684239,0.8752595,0.853898,0.8301802,0.8051541,0.7801187,0.8691946,0.8409389,0.8136022,0.7883707,0.7956612,0.7693242,0.803117,0.7751765,0.7472566,0.5535875,0.5344191,,0.4993536,0.4833248,,
Central African Rep.,0.1948443,,,,0.3931416,0.3072642,0.29953,0.2901343,0.2813511,0.273544,0.3323701,0.3230151,0.3145874,0.3040487,0.2998766,0.3171191,0.2412961,0.20006,0.1986185,0.1081209,0.1589448,,0.1521382,0.1486587,,
Chad,0.5881678,,,,1.425239,2.0926581,2.0365143,1.5082095,1.1440415,1.4853458,1.2541617,1.2149273,1.1781563,1.1433911,1.104006,1.0557763,1.0317401,0.9974935,0.963166,0.9201895,0.9189676,,0.861205,0.8358123,,
Chile,2.3106551,,,,1.9317694,1.8987745,1.7687778,1.7365138,1.665865,1.8134932,2.3100461,2.1126697,2.1447686,2.0685312,2.005202,1.9155685,1.9748494,1.8734884,1.7781601,1.7295784,1.7132886,1.4779531,1.4165716,1.3411144,,
China,0.6768092,,,,0.6176419,0.5435479,0.4888695,0.4765177,0.4514854,0.4313846,0.6007089,0.5947626,0.5175458,0.5374214,0.5315983,0.5385985,0.519043,0.508282,0.5010532,0.4976744,0.4936717,0.470341,0.3741511,0.3713568,,
Colombia,0.6996166,,,,0.84017,0.9855133,0.952816,1.1686225,1.1323236,1.1568334,1.7990506,1.7432199,1.6962464,1.6449271,1.571539,1.6336776,1.6862958,1.6378825,1.8491911,1.989456,1.9408398,2.2472135,2.2729265,2.2156207,,
"Congo, Dem. Rep.",0.4144377,,,,0.3932963,0.4091513,0.4294377,0.3088542,0.2629286,0.2531773,0.3994332,0.388838,0.4478532,0.4941097,0.5146685,0.499321,0.4244487,0.4114596,0.4785278,0.3034056,0.298194,,0.6147047,0.628381,,
"Congo, Rep.",1.0511072,,,,1.5821274,0.9182477,0.8881974,0.9561112,0.924917,0.8970977,1.4619376,1.2879214,1.2651149,1.2438476,1.2192199,1.1944875,0.9312465,0.9035529,0.8744248,0.8483789,0.8274808,,0.7879406,0.7716936,,
Costa Rica,1.3843646,,,,0.7112233,0.686886,0.6730748,0.663676,0.6371764,0.6121899,1.1858858,1.1861586,1.0443791,0.9907687,0.9714032,0.9629052,1.2759312,1.4686801,0.9408488,0,0,0.5050132,0.486434,0.4736536,,
