One-year-olds immunized with three doses of Hepatitis B (HepB3) (%),1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,63,64,63,66,66
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,99,88,96,97,94,96,96,96,96,97,99,98,98,98,99,98,99,99
Algeria,,,,,,,,,,,,,,,,81,83,80,90,91,94,95,95
American Samoa,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,75,80,75,84,84,84,81,77,79,84,91,94,96,96,99
Angola,,,,,,,,,,,,,,,,,,,83,81,73,91,86
Anguilla,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,96,99,99,97,99,99,97,98,98,98,99
Argentina,,,,,,,,,,,,,,85,88,89,85,90,92,89,92,94,93
Armenia,,,,,,,,,,,,55,69,91,93,91,91,78,85,89,93,94,95
Aruba,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,94,94,95,95,95,95,94,94,92,92,92
Austria,,,,,,,,,,,,33,44,81,83,83,86,83,85,83,83,83,83
Azerbaijan,,,,,,,,,,,,,,49,50,49,48,45,49,49,49,49,48
Bahamas,,,,,,,,,,,,,21,89,88,93,93,96,93,90,95,98,95
Bahrain,,,,57,90,93,95,96,95,95,97,97,99,98,98,98,98,98,97,98,98,99,99
Bangladesh,,,,,,,,,,,,,,,5,11,45,94,95,95,96,95,96
Barbados,,,,,,,,,,,,,18,66,91,93,92,84,93,85,93,86,91
Belarus,,,,,,,,,,,,70,93,99,56,99,99,98,91,98,98,96,98
Belgium,,,,,,,,,2,31,46,60,60,60,65,65,77,94,94,98,97,97,97
Belize,,,,,,,,,,,,76,96,97,96,97,96,98,96,94,97,96,95
Benin,,,,,,,,,,,,,,15,73,75,70,74,82,78,83,83,85
Bermuda,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,16,84,81,90,98,89,83,95,89,95,95,95,96,93,91,95
Bolivia,,,,,,,,,,,,77,77,77,80,84,85,83,82,83,85,80,82
Bosnia and Herzegovina,,,,,,,,,,,,,,,,36,93,90,94,88,90,89,88
Botswana,,,,,,,73,62,60,77,85,86,87,88,90,91,92,93,93,93,93,93,93
Brazil,,,,,,4,10,15,6,13,84,94,91,92,92,90,92,99,99,96,99,96,96
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,96,96,96,99,99,99,98,98,99,93,99,99,99,99,99,99,99,97,96,96,96,93
Bulgaria,,,,71,96,94,95,94,77,97,97,94,93,88,96,94,96,96,95,96,96,95,96
Burkina Faso,,,,,,,,,,,,,,,,,,76,89,93,92,91,91
Burundi,,,,,,,,,,,,,,,,83,87,92,99,92,94,96,96
Cambodia,,,,,,,,,,,,,,,,,,80,82,91,92,92,94
Cameroon,,,,,,,,,,,,,,,,,66,68,69,71,67,68,66
Canada,,,,,,,,,,,,,,,14,14,14,14,14,28,42,56,70
Cape Verde,,,,,,,,,,,,,,40,66,91,93,95,96,98,98,98,90
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,54,54,54
Chad,,,,,,,,,,,,,,,,,,,,17,27,35,22
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,95,92,95,94,92,94
China,,,,,,,,,,,,60,65,70,75,79,84,91,92,95,99,99,99
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,71,95,85,75,77,78,80,78,92,89,93,93,93,92,92,88,85
Comoros,,,,,,,,,,,,,,,28,77,68,69,75,81,83,74,83
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,70,65,72,58,70
"Congo, Rep.",,,,,,,,,,,,,,,,,,,80,89,91,90,90
Cook Is,,71,85,98,76,79,85,65,99,88,90,98,93,93,93,99,99,99,99,99,82,99,93
Costa Rica,,,,,,,,,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84
Cote d'Ivoire,,,,,,,,,,,,,10,48,63,67,76,77,76,74,81,85,62
Croatia,,,,,,,,,,,,,,,,,,,95,97,97,97,97
Cuba,,,,,84,98,99,99,98,98,99,98,98,98,99,99,95,89,93,95,96,96,96
Cyprus,,,20,27,41,54,68,88,88,88,89,89,89,88,88,88,88,93,93,93,96,96,96
Czech Republic,,,,,,,,,,,,,,86,92,98,99,98,99,99,99,99,99
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,25,88,89,88,87
Dominica,,,,,,,,,,,,,,,,,,7,93,96,99,98,98
Dominican Republic,,,,,,,,,,62,76,68,66,62,79,82,87,84,81,88,85,84,80
East Germany,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,38,71,77,84,90,94,98,98,98,98,98,98
Egypt,,,,,,57,74,77,81,88,97,98,99,97,98,97,98,98,98,97,97,97,96
El Salvador,,,,,,,,,,,1,99,75,81,94,90,89,96,99,98,91,92,90
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,86,91,84,96,96,96,99,99,99,99
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,90,95,95,95,94,95,94,94
Ethiopia,,,,,,,,,,,,,,,,,,,42,49,44,50,51
