"Industry, value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Egypt,,,,,,26.89535807,26.95142716,26.67939356,27.10284491,27.74620992,28.17603681,28.18823275,26.76971223,24.60383917,25.06552337,26.89873418,26.19626948,27.22325497,28.63319095,35.84001212,36.77890786,37.72958183,32.44762961,29.99010191,29.28360176,28.55846421,26.8140551,27.08016561,28.84018335,27.98141154,28.67048784,33.24443725,33.33892886,33.07334428,32.75509766,32.30197372,31.61565936,31.21508493,30.86174929,30.91574459,33.13209807,33.32918351,34.39062307,35.24768611,36.47745541,35.92228007,38.42898814,36.34452004,37.52635328,37.32116705,37.52552103,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2360232,27.2911459,30.27573258,30.12742337,29.99147268,29.66299394,29.58917162,29.22578789,30.19669629,31.32448672,31.59732271,32.13249064,32.38514005,32.04679453,30.59058363,29.85204966,29.30665431,28.4067712,27.94975759,27.19683633,26.99184673,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,8.684024255,7.712657684,8.818020595,9.785975579,9.668886633,10.64377316,12.37883411,19.48941104,23.59122135,28.34093789,27.23565441,48.4858553,68.42795856,66.46970603,79.99251357,85.93541852,88.53819428,88.71120785,89.17950656,92.10008606,94.42566011,94.3762072,94.57565418,95.70767865,92.59724754,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02227672,15.69126378,14.23284555,16.7900343,20.96538887,23.40223867,21.0641559,22.85825697,22.97247253,21.87768585,23.11832501,21.43623109,21.3330488,21.91999716,19.26572627,20.07892691,26.8515625,22.44414817,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.62180113,42.40191314,40.64250412,49.66720126,40.05214815,34.71015159,31.02140064,30.17255463,32.94023574,31.13760061,30.88905697,29.02440466,26.90852658,27.53309202,28.11345372,28.34258353,28.4746907,27.90049435,28.59561894,29.31489363,30.04624194,29.1419,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,10.5860452,10.65200681,10.25467198,12.3327331,11.01270957,11.70436575,13.26466272,12.41854483,12.42921912,11.13622004,8.683156454,7.179794348,8.825086631,9.826650017,9.967797702,10.51525697,10.68036248,12.02077525,12.87027508,12.35603272,13.02248317,13.89308919,14.0577633,14.05263244,12.96358175,12.66703264,13.27134349,12.98141657,10.7517023,14.2825286,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,25.02661768,26.40562249,25.3104107,24.72426471,25.74595055,25.54012346,23.98576512,23.56423919,21.54845696,22.73318872,22.15568155,22.1680877,22.31276263,22.43253974,20.70332832,19.61119751,21.54221196,22.0088759,21.24357978,21.32007005,19.71940877,19.50801338,19.49781018,20.08500023,21.22157757,21.68056263,24.10030612,23.96892583,24.26493822,25.16524456,25.88428203,25.59901928,24.31024696,24.06531182,24.97867721,24.45383823,22.10779684,22.29726672,23.54027698,22.90036788,22.00822206,23.24691207,19.160293,18.93817356,18.1167048,17.6734735,17.83158474,19.7008757,
Finland,,,,,,35.14456331,35.30394787,35.21118383,35.21543682,36.97408553,38.38920537,37.29894631,38.53970915,39.36683092,41.30629511,39.21652509,37.74552126,37.5622386,37.91698728,38.56676512,38.3506266,37.95382499,36.99020339,36.83117751,36.44071444,35.23561872,34.44662495,34.98889214,35.12441511,35.34948652,33.55989146,30.25678491,29.77573254,30.42699517,31.88588183,33.29119962,32.52011781,32.90982236,34.43264449,34.04850306,34.63278652,34.09245551,33.132727,32.8892972,32.50371331,32.44578965,33.54592813,33.75073209,32.05045378,27.96628802,29.04309612,
France,,,,,,,,,,,34.94038948,34.70092843,34.76824595,33.94095605,33.11560118,33.42881882,33.1451758,32.736568,32.25231455,31.89939607,31.82222846,30.86777144,30.0724406,29.69948378,29.14665776,28.96926724,28.73637763,28.30488363,28.0541934,27.23077214,27.09353155,26.90180589,26.26720219,25.03627987,24.3430336,24.53672785,23.80459021,23.55916148,23.43269963,23.0791851,22.9309438,22.46003853,21.8918137,21.33795288,20.97444933,20.79057447,20.54775349,20.61656199,20.46569399,19.02707342,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,33.91758086,31.56536308,30.60173206,38.13336186,30.75438894,33.87387387,34.93379717,37.8742515,45.54182564,45.58652322,47.59775473,45.57563273,51.24424885,47.85840472,63.35754641,62.28373702,62.35572243,58.2584758,57.8264095,61.75923053,60.4291086,58.40876608,60.63588191,56.83664784,59.69669708,66.52782406,47.50063629,48.8482206,35.94956655,41.72968925,42.99642108,44.61222634,43.31982219,45.24836038,52.6190343,52.36344538,55.36597089,53.6521823,43.14177694,48.81574364,56.2551965,51.34165051,51.69905737,52.01045722,55.2991746,61.35553173,61.17399579,60.25263159,64.28160096,53.49023074,59.70340518,
Gambia,,,,,,,9.053213545,9.213917526,9.225806452,9.246171967,9.274611399,9.215686275,9.137529138,9.114470842,9.057609058,9.656428943,10.69757076,10.92649512,12.23933269,13.50830368,14.85965878,14.02399632,11.79628341,12.55358072,18.53051879,16.15705958,13.56137531,12.41741242,10.78496809,12.30858362,13.13343205,13.69665681,14.26422537,14.2839159,13.55892132,13.38695693,13.95459718,13.56203986,13.83036841,13.15838007,13.07079127,12.9077152,14.51950437,14.02330982,13.19481644,13.28854246,14.25000482,14.79331123,15.06369429,15.46971575,15.72921366,
Georgia,,,,,,,,,,,,,,,,,,,,,35.5513308,35.91979076,38.15028902,36.40065147,36.00305111,39.6499239,37.03125,37.95454545,37.39002933,38.72180451,33.45095272,37.17660292,23.94308943,21.99113519,10.2897596,15.77953808,23.72810226,23.61894955,22.8938094,22.52915557,22.3550144,21.97141902,24.35505816,25.64886177,26.42122404,26.84599384,24.85595303,24.3088283,21.87831613,21.86344018,23.22824882,
Germany,,,,,,,,,,,48.08720177,46.73012583,45.6786785,45.11490365,44.30483185,42.07757506,42.32901499,41.97107263,41.99870767,41.69997291,41.05774352,40.0476729,39.51546533,39.2429398,38.81140119,39.04884423,39.13361299,38.41107035,38.10494108,37.69317392,37.3389936,36.60399024,35.4378737,33.14474704,32.82479825,32.14390382,31.26156493,31.06149831,31.02426971,30.45832592,30.49449356,29.85079357,29.31125063,29.099429,29.48314629,29.4010048,30.03240217,30.48199578,29.74785747,26.75785586,28.16524646,
Ghana,,,,,,21.31404042,20.33688297,22.90224054,22.9645381,21.7811647,21.1157823,20.78388487,19.85829692,20.22423117,19.92927924,23.3999041,21.42454635,17.1744647,12.88435352,12.9821486,12.30636688,9.538540828,6.467148044,,11.15387745,17.991384,17.24348119,16.35233087,16.60063478,16.87805416,16.85508456,16.98252178,17.44674381,27.79947352,27.65803065,26.7427159,26.55838673,28.73141135,28.22642631,28.36165371,28.38729325,28.13759427,28.19744743,27.75747348,27.05795184,27.46157019,20.79928075,20.74716011,20.4244815,18.99926938,18.64120486,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,27.68909424,28.04886983,28.18537893,30.6385587,32.01883055,32.84929133,33.69132897,33.85841975,34.10671694,31.9299159,30.92173505,30.90148057,31.50153671,30.675869,31.81582197,30.79810517,30.50845494,28.72065077,29.30384385,28.51452231,28.53504325,29.0941143,28.02129578,27.46415908,26.70548834,26.34935229,24.76578163,23.93911337,23.81632186,22.73615332,21.534402,21.47052585,20.11272587,20.81152244,20.73504647,21.20742256,21.65126043,19.72360248,19.25898225,18.94336913,19.37702727,19.61163055,19.2255648,18.54284677,18.12881985,18.12848672,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,14.15914548,13.47831835,14.18930512,13.13754181,14.632572,17.80515118,16.81860631,16.71481466,17.47341565,17.72617956,18.8729777,19.43012958,17.99774051,18.00791082,20.04765146,19.82692123,18.92026176,19.61150353,20.01903855,20.02713295,21.63954189,21.94162404,22.74143465,20.92326303,19.1277546,19.23899325,19.88763861,19.36529812,26.47408289,22.61171148,21.87342537,20.1795702,15.00515508,14.1570016,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.10675041,29.10982366,29.32662291,29.78732624,29.31957779,30.08677833,29.72551834,19.82460578,19.85789319,19.49900518,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,34.57931661,32.340855,33.68577168,33.89530132,33.33183858,31.55728177,27.71680749,29.40169783,26.0039651,29.20098059,30.75930294,30.10541509,32.23639636,30.15974095,32.50217382,34.48931811,33.66895379,31.45907211,33.68193672,38.91421874,43.35176067,43.3915832,46.70178163,52.14416588,47.38324155,
Guinea-Bissau,,,,,,,,,,,21.24554804,22.07792208,22.4622068,24.39387529,25.49185749,25.36172476,15.5265407,22.63912551,19.98735339,19.86271449,19.65528301,17.21346573,14.41066878,11.45833333,14.37125749,15.6406132,19.80864158,13.22683133,14.50088851,16.86577387,18.60099016,9.758802789,10.71989024,10.1083056,11.55919927,12.19889793,11.57991641,15.29624916,12.67502272,12.88663683,12.99598232,12.8225219,13.14280222,,,,,,,,,
Guyana,30.98323171,31.12191733,34.82961992,32.69864518,35.17654897,35.00461396,36.01286174,36.88983729,39.09180652,39.71226307,40.27659574,38.2423756,36.98888261,33.27550312,33.08806622,34.34168465,35.14398428,35.70727879,34.42810698,33.96658376,35.77844311,30.51851852,28.96,22.75,24.35897436,24.63325183,27.10941847,30.11325911,29.61111111,29.44677141,24.8787544,32.0117778,29.01636625,35.74255466,36.6616514,32.64436423,33.8021822,33.73596016,30.78666237,29.97573696,29.03521137,28.92138591,28.58392351,27.19189381,26.96896357,19.96832155,26.85940353,29.96141143,30.64004761,30.8951795,32.74926357,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,18.88595913,18.33487797,19.54250212,19.65903037,19.55320682,19.14686825,18.75621891,20.65376187,21.47577093,21.99704628,22.18821621,22.6686873,22.61168285,23.98791448,25.34759358,24.91366473,23.23651576,23.15825375,24.29362165,24.38233131,24.31961782,22.92740947,24.43127479,25.35669164,25.84231806,23.96707004,23.52336152,22.97242242,24.04478069,24.70829851,26.3624951,27.29874822,29.59518978,30.11541421,28.79689787,30.69944216,30.75315841,29.87252631,30.67190517,32.34874473,32.46055155,30.68802074,30.1011539,30.07048859,29.13489001,28.72612351,29.96981658,28.56415143,28.00100447,26.77532792,26.54348682,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56074824,11.27796677,11.11532243,10.83679842,9.982105725,9.065253137,8.189892229,7.491450168,7.572303796,7.37814271,,
Hungary,58.97648296,60.89467622,62.25033747,61.49730209,62.16487346,58.349578,56.48378129,57.25944157,48.14893202,47.69389032,48.13679378,47.62433329,48.23132418,48.38589973,49.22921036,50.2912738,49.78549533,49.65193886,49.93815875,50.77691521,47.05716508,47.15446114,47.27059137,47.22735398,47.03898882,46.95484036,45.378999,45.7809732,43.26541342,43.6896863,39.05715715,32.59200994,31.15021466,29.66573424,28.99632758,29.43435727,29.42991002,31.90011427,32.29047811,31.83951392,32.41645236,30.97696044,29.95407245,29.71292239,30.55188115,30.01033213,30.17112608,30.19111812,29.54469313,29.9746316,31.03276616,
Iceland,,,,,,,,,,,,,,39.93300245,35.50713057,35.50228306,37.67716942,36.54396582,34.39310496,35.40792228,36.09249492,35.78495588,37.04835201,35.52013899,37.15873112,34.86647528,35.50021882,35.32264302,33.82535614,32.46714937,30.83935552,30.5814867,30.11805463,29.53626495,29.00797504,28.85335832,28.44783004,29.44802057,28.30934831,26.19843167,26.14299266,27.16005735,24.52822504,23.37589724,24.21442226,24.38307392,26.54682043,25.80986596,27.18822069,25.14625113,,
India,19.55766795,20.20729779,20.88080359,20.87237307,19.93735403,20.7778247,20.37642932,19.05281286,19.62929697,20.40589036,20.78825528,21.55649341,21.6245229,20.50641535,21.88077061,22.57139521,23.82521576,23.56163804,24.66074258,25.46736768,24.68759433,25.55781848,25.61772732,25.65573366,25.9984892,26.10493383,26.28445331,26.30904664,26.18385054,26.93685625,26.88357228,25.75870797,26.13111632,25.86656568,26.80193982,27.83116971,27.01882273,26.77643883,26.06600408,25.31394747,26.18871739,25.33848558,26.4645808,26.23591012,27.92505647,28.14096325,28.84937938,29.03631231,28.21695822,26.96572605,26.28648725,
Indonesia,15.04854466,16.33064516,11.85237703,12.69935073,17.54782232,12.58992818,11.9391029,12.7326094,15.91072605,17.93118872,18.68664263,20.79141198,25.23509639,26.53591501,34.18124646,33.47317237,34.06827752,34.25449683,35.73669377,37.68762007,41.71588675,41.21151044,37.90299426,39.82695753,39.11827371,35.8488092,33.74281477,36.2540657,37.26602819,38.34520225,39.11815216,40.40187312,39.64412931,39.68046069,40.64204232,41.80084435,43.45561655,44.32895511,45.22821773,43.36007462,45.92539384,46.45484298,44.462924,43.74956696,44.62761454,46.54105787,46.94355874,46.79914152,48.06074477,47.68050904,47.0460808,
Iran,,,,,,29.98476398,31.23566186,32.76135257,33.82159856,36.16208185,38.30764931,40.82444132,41.0664764,51.61367165,60.54529771,54.73941062,54.88880225,51.12102685,42.52813053,41.60306264,30.75176464,29.76194194,36.08800262,34.11372338,30.27654352,26.67137216,20.40061951,20.52445543,20.41944314,22.01559456,28.70327804,28.72781899,29.160419,38.20910389,38.56373286,34.24041807,36.89004672,34.00344574,27.57288542,33.26916902,36.74115005,35.39074893,41.38812641,40.95036603,42.73576547,44.70737393,43.64138711,44.47493555,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.67295735,69.61731036,78.93342736,84.37613115,78.64960083,73.36686701,70.1484431,,,,,,,,
Ireland,,,,,,,,,,,34.53027325,34.52979647,34.40662815,34.44049375,35.60112238,34.01599006,33.12063127,33.37672951,34.17387033,35.01305017,35.69631951,34.51767996,34.99766694,35.05866914,34.91583059,36.17444313,35.36822281,34.53064253,34.22895766,34.16431177,34.62212308,34.51009845,35.33751302,34.32355516,35.86061611,37.78964429,36.57269441,38.28908072,41.30973904,42.42931556,41.51348337,40.50864057,40.88991509,37.52027738,35.48207987,34.50549505,34.40087135,33.54288125,31.41675531,31.86979085,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,39.29246189,38.30322416,37.41591303,38.63924608,40.23837812,38.59222116,39.67373836,39.02020095,37.97470518,37.83286504,38.07154398,37.10669637,36.20054561,35.03076748,34.82452401,34.27777438,33.29032893,33.06566914,32.71036385,33.01256111,32.08755398,31.12022676,30.48737752,29.98870883,29.96293093,30.12338398,29.57943344,29.33132378,29.20111166,28.51244747,28.24432241,27.94332021,27.63796455,26.94895553,26.87680328,26.71899498,27.01601802,27.34723431,26.83410175,25.07607996,25.17150226,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10921406,36.64357045,36.76352993,34.14488011,33.07925247,25.87365796,25.9697044,25.53182425,25.37515292,24.19815468,24.67033795,25.68088645,25.33467456,24.66301263,25.33838073,23.36009858,22.0730357,22.43685474,
Japan,,,,,,,,,,,45.31208128,44.82091924,44.23316308,45.00654525,43.29539991,41.08554818,41.16338465,40.12434736,40.37774051,40.2865843,40.68279135,40.59605598,39.99561546,39.15913273,39.56588966,39.36704576,38.79580635,38.76141948,38.95794727,38.91456728,39.13818874,38.93205424,37.844932,36.42508981,35.04304273,34.34134968,34.26963427,34.04021816,33.29521209,32.79700549,32.40499999,31.01443593,30.42063606,30.35649777,30.48444147,30.45215026,30.0107918,29.43807148,28.34364568,26.67523922,,
Jordan,,,,,,19.30718288,20.21475257,16.40438722,23.54223433,20.4535543,18.97775674,17.61565836,19.92337165,24.22752809,18.04316547,23.67870225,23.51469669,24.46551724,23.97824169,27.66609881,28.02929427,29.81437629,30.27030565,28.39467794,29.92291123,25.79523142,24.37939367,23.90841321,22.75249152,26.70648464,28.11787481,26.19332695,27.46828897,27.44362349,29.13452507,28.92329041,26.13476879,25.8311884,26.44434826,25.92075148,25.54511652,25.76115372,27.08975397,27.04614203,28.60071586,28.86452954,27.74403667,30.31455476,32.63956996,31.64837671,30.57108916,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59203036,39.39557354,40.00608354,31.36893256,26.92690152,26.84050862,31.17955985,34.93344442,40.46335823,38.8247452,38.58815231,37.62922624,37.61594515,40.09957483,42.10102602,40.63920925,43.28433093,40.28439965,42.41031934,
Kenya,18.24890592,18.51739512,16.67015717,15.10407716,16.71918249,18.13851781,17.76652177,18.94729294,19.27297141,19.7300191,19.83273596,20.37504824,20.41085947,20.7409753,20.70195995,20.24687855,18.60339175,17.98683794,20.07379089,19.85047954,20.84928818,20.27525006,19.93769266,19.37166595,18.91259481,19.07430305,18.57844441,18.49499755,19.60664535,19.03153729,19.03735726,19.67457767,18.37680909,16.89411794,17.24638828,16.01756778,18.32782953,17.77321595,17.49527339,16.80397618,16.92000866,17.22313929,17.41209451,17.57547505,18.22887564,19.09208515,18.4951187,18.53884748,19.76527499,19.20006846,19.81796732,
Kiribati,,,,,,,,,,,,,,,,,,,56.98924731,47.57455983,9.018737462,9.360811718,8.327645051,8.398560788,5.687948105,7.379894733,8.797344198,8.430343677,5.802894153,6.891385768,7.587720735,11.82413789,9.120398632,9.859502598,8.932759693,9.000270256,8.634398207,8.155158423,10.86739604,11.81262691,11.82490295,11.57386037,10.37618651,9.821538437,8.900945559,6.93568029,7.552960792,8.003126328,8.636846888,9.538652035,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,21.31316075,22.073497,22.96938339,24.47771535,25.4662109,26.02429728,25.03592528,26.19833653,29.21479662,28.40482781,29.27077481,31.06311387,32.36236315,34.61432413,36.03401749,36.5539177,36.36965116,37.01111802,38.49776635,39.75448664,39.07629854,40.39656915,41.48147503,41.81657192,40.99307407,41.56569574,42.62330842,41.27186646,41.64704264,41.56418739,41.85358957,41.26970512,41.13419002,40.68367947,40.24398499,38.06002699,36.6337478,36.23799497,36.6593189,38.13744891,37.70315063,37.16424803,37.12311606,36.47500022,36.77724866,39.27416894,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,
Kuwait,,,,,,70.49399199,68.03278689,63.64678899,64.45846477,64.30738119,67.20256713,72.02923825,69.55601311,69.74004453,85.34225079,78.2277033,74.91470667,71.14506049,69.98335036,76.04169599,74.85595908,68.69220276,53.69348306,56.70081072,59.11664085,56.98006571,45.97611649,51.97686996,45.34573703,54.42607353,52.3364486,19.9277903,42.19514383,51.94251675,51.55555734,54.55320434,59.31003442,56.85415739,47.33734201,52.57534472,59.1642178,54.02952995,49.14063848,51.00862129,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.02135009,35.45583319,37.78828982,32.00289849,25.45038655,19.54307256,18.2888486,22.81046174,22.76387036,24.97945738,31.38718438,28.92988457,23.34451871,22.31564091,24.13296775,22.39476229,20.05761154,19.286149,23.51808282,26.55971042,27.96909777,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42136891,14.50836317,16.8159556,17.7565994,17.74331449,18.14073709,19.24144242,21.14757065,21.0477508,22.49880394,22.6341794,22.89506426,23.69650618,24.65482371,26.44300558,27.52905304,24.07761061,27.42325047,26.57990314,27.66223591,25.47795048,30.20184763,
Latvia,,,,,,,,,,,,,,,,,,,,,50.92153765,49.97536946,47.00493305,42.39459585,40.70677701,43.18913944,44.3627451,46.04395604,43.34934224,43.91494209,46.15384615,43.94870137,34.8738023,35.01330144,31.29245946,30.35178502,28.57142857,29.51906615,27.57699379,24.75623254,23.56855645,23.06792565,22.7147455,22.32175663,22.26058241,21.57570927,21.90591417,23.25399084,23.04430529,20.64902383,21.80873741,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.86075949,24.86075949,24.86075949,24.86075949,26.88284065,24.5469377,22.75913432,23.2864976,22.5044854,21.96252426,21.97492862,21.33733709,20.18850925,21.87555642,21.74847913,23.36226044,21.45068222,
Lesotho,,,,2.530895701,3.971851312,5.463950368,7.040542313,12.44770683,10.89265951,12.28892446,11.25059628,11.05946024,11.9503943,12.87279508,14.49576045,15.03614784,21.5913567,17.59891972,26.62264367,28.44803805,26.52956266,24.63431964,29.17473064,22.87468316,24.44223933,27.20892381,26.12817543,32.4209575,31.19514087,32.57379842,34.39704962,39.8059697,42.64640906,42.0072657,40.76959566,42.59484283,43.37879807,49.91727002,41.63659221,46.1556072,31.55451543,33.61264385,34.77835438,33.8821802,32.48638637,33.09268238,35.34102011,35.91646187,37.26442779,32.86768318,31.86675591,
Liberia,,,,,37.40249355,39.73929008,39.99301643,41.3150151,40.49969395,40.36161318,41.54333716,40.52499709,42.86708307,38.28331897,38.96195026,45.15079883,39.5105903,32.65668507,29.42857121,29.99790248,28.13186945,33.00383411,31.57738643,30.38473536,28.45929398,27.72317011,27.7794698,23.25246711,23.86593397,23.6805281,16.80541103,16.75287356,15.61521253,15.0872818,14.06959153,5.267062315,1.882057716,10.23994593,7.091212465,7.197826518,11.62417553,9.558011015,8.045771583,10.62896178,13.3913041,15.74877351,17.09,18.92,16.8,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.07933935,75.11282129,68.60220016,75.46797852,78.5181203,76.41807164,78.19819462,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8623298,50.74122237,42.8599065,41.38418109,35.54010986,31.47433207,29.95531224,30.63464663,31.10650462,30.11621848,29.77946791,30.65906753,29.66898322,31.56961474,33.06123385,32.85658602,32.86156953,32.59816923,31.58657497,26.94957444,28.15776334,
Luxembourg,,,,,,,,,,,39.63894294,36.63931392,36.37078955,37.56068135,39.3547446,32.14968023,32.76460934,30.49778792,30.72988988,30.62813131,30.08145903,29.41584552,29.9104818,29.26930313,29.63016218,29.71802647,29.62412042,27.52353462,28.04282737,28.58212875,27.21785666,24.70821825,23.94410837,22.35408241,21.77435733,21.73804945,20.19562154,20.93166608,20.92365753,18.94005262,18.35308866,18.58136438,18.43080094,17.98943848,17.71008575,16.61150797,15.51689727,16.17998533,14.23146342,12.44779033,12.82370382,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57478237,19.18213745,17.17074389,16.00171927,14.72571464,14.18571815,14.29295179,15.53779125,15.6583156,14.71672925,13.00326402,12.17265385,12.8468677,12.11540012,15.23915654,19.84415092,19.22017886,17.29273436,11.03920266,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4919798,35.58986607,39.08805835,35.03811192,30.4385823,29.98056492,29.57162361,34.53885406,33.83434025,32.60554153,33.70949353,32.13696665,30.17445836,29.26508246,27.81641818,28.16187583,28.56885395,30.95528235,29.76688781,27.45314468,27.84328024,
Madagascar,,,,,,,14.14609687,14.37998266,14.72840233,15.23929615,16.30393786,16.47423304,16.98496562,17.94201619,15.86996192,15.84559245,16.06531751,16.9995906,17.21702703,17.17313286,16.05538231,14.14966065,13.40819734,13.50103075,12.96179601,13.31823468,12.86179984,13.70771346,13.16366764,14.78111363,12.82534894,13.10614434,12.50536784,11.89230048,9.717638379,9.224225956,11.36383441,13.44637224,13.62860996,13.75674028,14.23271686,14.58310178,14.41222563,15.3729588,15.94996137,15.77283658,16.14191611,16.25907445,16.17693737,16.00257329,,
Malawi,10.31111111,10.45643154,10.04746835,9.187547456,12.79761905,13.27827192,14.57063712,15.55075594,16.55492522,16.67465261,17.46453901,15.80439405,17.44147709,16.81338028,17.05515809,20.3355569,18.51979839,18.65769762,19.29966413,26.21326535,22.54370186,21.70617865,21.06041198,21.44783492,20.06817488,21.9228082,21.511404,24.89688797,23.97262531,27.91015153,28.8901606,26.90712139,31.52604537,24.1107064,21.69035563,19.64826726,19.33805989,18.0828419,18.28172374,18.23360313,17.91625017,16.6877011,17.80931217,19.37866428,17.43270882,17.02225288,16.95674239,16.32133094,16.05440985,16.11361131,,
Malaysia,19.39873817,21.27331791,24.21919858,25.01212028,27.13356049,27.47803147,27.46730222,26.58784896,25.34284567,26.41810928,27.39428536,28.63368818,29.78131446,29.38226527,33.70874641,33.97011388,35.05113678,36.09068444,37.81039557,39.11347827,41.03946237,40.3174667,37.8843677,38.52562269,38.527017,38.52781504,38.52720453,38.52747167,38.35660697,39.80405307,42.1981659,42.10682077,41.14625756,40.08467028,40.04143947,41.40206367,43.52804125,44.57353808,43.87575501,46.45901456,48.32057149,46.202695,45.1153797,46.5786627,48.5303176,49.71331729,49.68978976,47.49606338,47.92883925,43.81257754,44.40743281,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52857176,12.80983754,13.95082127,14.88438795,15.56535235,15.03656307,21.04838218,20.88290813,22.14258422,26.5020091,30.68733681,28.45763556,19.43292615,18.41543899,14.73801586,14.53572417,
Mali,,,,,,,,9.865303804,11.60705221,11.40714417,11.67693701,12.45869669,12.52589475,13.03676852,13.78569091,11.14651855,10.9158164,10.95078418,10.95108108,9.860163165,13.20687265,14.04981853,13.74272657,14.83542377,14.51102468,15.54316752,15.9866134,15.89202675,15.8591095,14.17934539,15.86352245,16.85178456,15.82284766,16.27149179,18.94600704,18.65928191,17.89337369,15.61647418,17.29300302,16.70462121,20.56671018,26.35889381,27.54880694,23.62375393,23.86921392,24.15960316,24.03150466,24.18748068,,,,
Malta,,,,,,,,,,,51.78446588,47.14743395,53.4432539,55.80914076,60.13159654,64.40544469,66.50582978,65.73828434,65.78028185,65.25199124,63.77424872,61.52075904,60.58556733,58.20127986,59.15048768,58.75412679,59.38769341,57.28693539,56.61662838,56.88123684,55.38282328,54.73304975,51.11134256,49.41439211,50.78766457,49.90008847,48.41452954,46.57536807,47.58244979,46.32956891,50.89325966,43.30304257,43.98299693,43.92333342,40.22832222,39.33965237,38.18165403,38.17346014,37.95516807,32.97870201,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,19.29970418,28.57410256,24.58544726,20.96927596,29.07576478,35.57172054,37.81423519,36.89218304,39.17984209,41.49573257,38.47596926,39.50324053,35.56009729,30.18475936,33.28885089,34.0821741,33.86921328,29.81408002,26.19632118,28.82948556,25.9857981,26.20150151,23.37433561,21.22948495,25.43872368,32.85070606,31.14432135,26.75367389,27.22564265,29.69212416,28.80891412,24.14799892,23.39777936,24.61238743,24.72154281,25.18053033,25.40163622,26.44149928,32.0977382,30.00539509,27.97629941,28.30732509,26.27390716,24.25504621,27.31068425,33.18579608,46.53130532,39.60041565,40.51260927,35.12272267,43.91027402,
