Natural Gas Proved reserves total (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
China,"632,520,000","629,460,000","773,190,000","785,790,000","800,820,000","784,800,000","778,500,000","804,600,000","829,890,000","920,520,000","899,100,000","901,620,000","1,259,010,000","1,503,630,000","1,502,730,000","1,502,730,000","1,053,360,000","1,044,270,000","1,230,210,000","1,230,210,000","1,230,210,000","1,230,930,000","1,141,192,080","1,202,503,680","1,303,341,480","1,381,113,720","1,515,155,040","2,029,590,000","2,209,860,000"
Colombia,"109,800,000","109,800,000","108,000,000","101,700,000","98,100,000","96,300,000","101,700,000","87,300,000","114,300,000","98,100,000","90,900,000","89,100,000","166,500,000","189,900,000","192,600,000","195,300,000","195,300,000","176,400,000","176,400,000","169,200,000","116,100,000","115,200,000","108,000,000","102,600,000","107,100,000","101,700,000","110,700,000","112,461,060","100,793,828"
Denmark,"73,800,000","73,800,000","73,800,000","88,200,000","92,700,000","81,900,000","63,900,000","63,000,000","71,100,000","97,200,000","89,100,000","90,900,000","116,100,000","113,400,000","111,600,000","108,000,000","102,600,000","99,900,000","93,600,000","127,800,000","129,600,000","126,900,000","116,100,000","122,400,000","118,800,000","109,800,000","108,000,000","62,100,000","49,500,000"
Egypt,"75,600,000","74,700,000","182,700,000","180,000,000","211,500,000","229,500,000","261,000,000","276,300,000","296,100,000","315,900,000","341,100,000","356,400,000","392,400,000","535,500,000","567,900,000","580,500,000","764,100,000","834,300,000","918,000,000","1,100,700,000","1,289,700,000","1,401,300,000","1,491,300,000","1,552,320,000","1,683,000,000","1,705,500,000","1,842,300,000","1,863,000,000","1,953,000,000"
Germany,"238,500,000","223,200,000","216,900,000","288,000,000","275,400,000","266,400,000","343,800,000","338,400,000","326,700,000","315,900,000","195,300,000","175,500,000","178,200,000","178,200,000","199,800,000","198,000,000","200,700,000","236,700,000","234,000,000","243,000,000","237,600,000","213,300,000","201,600,000","186,300,000","171,900,000","160,200,000","139,500,000","123,930,000","107,640,000"
India,"308,700,000","369,900,000","378,000,000","415,800,000","430,200,000","432,000,000","486,900,000","496,800,000","540,000,000","617,400,000","630,000,000","657,000,000","661,500,000","646,200,000","631,800,000","608,499,000","577,179,000","623,034,000","607,284,000","583,164,000","683,829,000","686,655,000","675,639,000","768,600,000","830,700,000","990,900,000","967,500,000","949,500,000","981,000,000"
Indonesia,"739,800,000","777,303,000","864,000,000","1,070,370,000","1,529,118,000","1,783,980,000","2,038,500,000","2,130,300,000","2,304,540,000","2,297,430,000","2,577,240,000","1,656,000,000","1,638,000,000","1,638,000,000","1,638,000,000","1,755,000,000","1,845,000,000","1,936,800,000","1,962,900,000","2,358,000,000","2,413,800,000","2,342,700,000","2,301,300,000","2,301,300,000","2,492,100,000","2,230,200,000","2,368,800,000","2,701,682,342","2,866,316,508"
Iran,"12,690,900,000","12,676,500,000","12,662,100,000","12,640,500,000","12,614,400,000","12,587,400,000","12,559,500,000","12,529,800,000","12,780,000,000","15,300,000,000","15,302,700,000","17,820,000,000","18,630,000,000","18,630,000,000","18,687,600,000","17,415,000,000","20,700,000,000","20,700,000,000","21,690,000,000","22,500,000,000","23,400,000,000","23,490,000,000","24,021,000,000","24,813,000,000","24,750,000,000","24,822,000,000","24,165,000,000","25,317,000,000","26,649,000,000"
Iraq,"699,660,000","695,835,000","734,067,000","739,080,000","736,200,000","739,080,000","739,071,000","900,000,000","2,421,000,000","2,803,500,000","2,796,300,000","2,790,000,000","2,790,000,000","2,790,000,000","2,803,500,000","3,024,000,000","3,024,000,000","2,869,200,000","2,869,200,000","2,956,500,000","2,798,100,000","2,798,100,000","2,871,000,000","2,853,000,000","2,853,000,000","2,853,000,000","2,853,000,000","2,853,000,000","2,853,000,000"
Italy,"144,000,000","161,100,000","162,000,000","212,400,000","225,000,000","234,000,000","238,500,000","270,000,000","294,300,000","296,100,000","289,800,000","331,200,000","270,900,000","262,800,000","268,200,000","267,300,000","250,200,000","246,600,000","238,500,000","187,200,000","179,100,000","164,700,000","154,800,000","121,500,000","112,500,000","105,300,000","84,600,000","115,413,120","107,188,920"
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,628,959,280","1,628,959,280","1,498,642,538","1,498,642,538","1,498,642,538","1,547,511,316","1,547,511,316","1,547,511,316","1,661,538,466","1,661,538,466","1,661,538,466","1,640,199,099"
Kuwait,"948,600,000","941,400,000","936,000,000","932,400,000","934,020,000","932,850,000","1,050,300,000","1,084,500,000","1,240,200,000","1,260,000,000","1,366,200,000","1,359,900,000","1,345,500,000","1,342,800,000","1,349,354,847","1,344,600,000","1,340,100,000","1,341,000,000","1,333,800,000","1,333,800,000","1,401,300,000","1,401,300,000","1,401,300,000","1,414,800,000","1,414,800,000","1,414,800,000","1,602,000,000","1,602,000,000","1,602,000,000"
Libya,"616,500,000","598,500,000","587,700,000","576,000,000","565,200,000","563,400,000","655,200,000","654,300,000","744,300,000","1,096,200,000","1,087,200,000","1,178,100,000","1,169,100,000","1,160,100,000","1,179,000,000","1,181,700,000","1,179,900,000","1,182,600,000","1,183,500,000","1,183,500,000","1,182,600,000","1,182,600,000","1,352,700,000","1,341,900,000","1,341,900,000","1,184,400,000","1,278,000,000","1,386,000,000","1,386,000,000"
Malaysia,"765,000,000","1,233,000,000","1,246,500,000","1,260,000,000","1,251,000,000","1,344,600,000","1,350,900,000","1,338,300,000","1,338,300,000","1,452,600,000","1,476,000,000","1,506,600,000","1,563,300,000","1,642,500,000","1,733,400,000","2,043,900,000","2,160,000,000","2,217,600,000","2,169,000,000","2,228,400,000","2,103,300,000","2,232,000,000","2,268,000,000","2,217,600,000","2,217,600,000","2,232,000,000","2,232,000,000","2,148,515,870","2,148,515,870"
Mexico,"1,644,300,000","1,920,600,000","1,920,600,000","1,962,900,000","1,954,800,000","1,950,300,000","1,931,400,000","1,907,100,000","1,870,200,000","1,854,000,000","1,822,500,000","1,808,100,000","1,784,700,000","1,775,700,000","1,743,300,000","1,724,400,000","1,629,000,000","1,617,300,000","765,900,000","774,900,000","751,500,000","717,300,000","381,600,000","378,900,000","377,100,000","367,200,000","349,166,160","460,695,328","449,787,677"
Myanmar,"83,700,000","131,400,000","131,400,000","220,500,000","234,000,000","241,200,000","241,200,000","241,200,000","240,300,000","239,400,000","238,500,000","250,200,000","250,200,000","241,200,000","241,200,000","241,200,000","253,800,000","254,700,000","256,500,000","258,300,000","258,300,000","310,500,000","400,500,000","364,500,000","436,500,000","484,200,000","484,200,000","444,970,981","444,970,981"
Netherlands,"1,420,200,000","1,395,000,000","1,363,500,000","1,746,000,000","1,710,000,000","1,669,500,000","1,633,500,000","1,593,000,000","1,557,000,000","1,552,500,000","1,773,000,000","1,755,000,000","1,737,000,000","1,687,500,000","1,660,500,000","1,633,500,000","1,588,500,000","1,608,300,000","1,593,900,000","1,542,600,000","1,489,500,000","1,454,400,000","1,410,300,000","1,342,800,000","1,304,100,000","1,248,300,000","1,184,400,000","1,251,000,000","1,251,000,000"
Nigeria,"1,045,026,000","1,032,282,000","1,246,509,000","1,233,000,000","1,219,500,000","1,206,000,000","2,160,000,000","2,166,300,000","2,228,400,000","2,548,800,000","2,556,000,000","3,060,000,000","3,344,580,000","3,314,700,000","3,105,000,000","3,126,600,000","3,127,500,000","3,134,700,000","3,160,800,000","3,160,800,000","3,695,400,000","4,169,700,000","4,497,300,000","4,549,500,000","4,706,100,000","4,636,800,000","4,693,500,000","4,693,500,000","4,693,500,000"
Norway,"1,182,600,000","1,268,100,000","1,296,000,000","1,835,100,000","2,012,400,000","2,005,200,000","2,066,400,000","2,056,500,000","2,068,200,000","2,065,500,000","2,025,900,000","2,117,700,000","2,480,400,000","2,524,500,000","2,581,200,000","2,700,000,000","2,700,000,000","3,288,600,000","3,406,500,000","3,427,200,000","3,456,900,000","3,449,700,000","3,300,300,000","2,869,200,000","2,843,100,000","2,706,300,000","2,602,800,000","2,590,200,000","2,617,200,000"
Oman,"72,900,000","70,200,000","74,700,000","148,500,000","193,500,000","196,200,000","206,100,000","244,800,000","254,700,000","251,100,000","252,000,000","83,700,000","135,000,000","180,000,000","230,400,000","407,700,000","555,300,000","487,800,000","511,200,000","747,000,000","773,100,000","851,400,000","851,400,000","891,000,000","895,500,000","895,500,000","882,000,000","882,000,000","882,000,000"
Pakistan,"405,000,000","418,500,000","432,900,000","459,000,000","468,000,000","560,700,000","571,500,000","563,400,000","585,900,000","585,000,000","577,800,000","680,400,000","573,300,000","585,900,000","532,800,000","536,400,000","530,100,000","535,500,000","550,800,000","631,800,000","609,300,000","670,500,000","684,000,000","711,000,000","718,200,000","766,800,000","762,300,000","765,000,000","766,800,000"
Papua New Guinea,-,-,-,-,-,"14,400,000","39,600,000","77,400,000","115,200,000","203,400,000","216,900,000","363,600,000","392,400,000","493,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","385,200,000","391,500,000","391,500,000","397,800,000"
