Total 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Brunei,10.20408163,9.375,8.536585366,12.62135922,12.30769231,11.80124224,10.82474227,11.11111111,10.11673152,9.491525424,9.281437126,9.214092141,8.578431373,7.482993197,7.291666667,6.849315068,6.422018349,6.401384083,6.115702479,6.003159558,5.792682927
Bulgaria,8.260929527,7.881050807,8.937198068,8.363813704,7.763901979,7.075688073,7.052584067,7.320611539,7.370450164,6.64193394,6.417779998,5.206718346,4.321152307,4.529808619,5.031356899,5.124407583,4.90105133,4.591754244,4.378698225,4.508486563,4.840504451
Burkina Faso,11.5167851,11.87800963,11.33474576,11.25659566,11.94934903,12.40686751,12.72594752,12.90573877,13.02177858,13.1121643,13.01070664,12.73454545,12.32498158,12.30275615,13.67564355,13.0571325,12.28076455,11.56696071,11.05371601,10.64010399,10.14620528
Burundi,11.44136808,11.40089419,11.42857143,12.92029888,12.74175199,13.10494834,12.76338096,11.79602703,11.61767294,13.0998703,14.53955501,13.2014096,11.53620467,10.77462544,10.90433265,11.07328436,10.66789575,9.810725552,8.981233244,8.4857042,8.305267412
Cambodia,11.89873418,11.89345447,11.86970924,11.83653533,11.96137772,12.45596731,13.14658367,11.24830226,9.494324045,14.06730516,13.51986833,13.4256255,11.21222185,9.372707263,9.239805716,9.387023665,9.273170489,8.621342676,7.814551546,7.279843444,7.060010086
Cameroon,11.12852665,11.08163265,11.05973738,11.32980483,11.28985083,11.61661342,11.88456879,12.17052051,12.46627974,12.86283438,12.81905842,12.4964929,11.68453753,11.89552508,12.0584853,11.59119236,10.84889169,10.18090714,9.71435532,9.363521579,8.988947569
Canada,8.18956104,8.719415316,9.738664284,10.38670664,10.7570455,10.16766053,8.035240853,7.124061605,6.779538645,6.815001877,6.687088575,6.608270397,5.715381665,5.24343514,5.18328841,5.248454435,5.374869058,5.409653705,5.315716338,5.204905773,5.189805016
Cape Verde,13.69863014,11.24260355,8.121827411,11.79039301,14.98127341,15.10791367,14.82758621,12.53918495,13.23943662,14.03508772,14.15525114,13.125,12.08576998,11.13138686,9.793814433,9.446254072,9.133126935,8.571428571,7.871720117,7.306590258,6.837606838
Central African Rep.,10.35525321,10.3793844,10.25299601,10.61893204,11.0442865,11.45265245,11.68430335,11.61191749,11.87308086,12.15121512,12.17623498,12.01852755,12.23357016,11.99512888,11.47725145,11.09565217,10.66666667,10.22031824,9.827760892,9.343608091,8.903208837
Chad,10.69518717,10.67961165,10.51212938,11.5744938,11.63043478,11.55512759,11.60772402,11.94944466,12.39764166,12.58240988,12.60414187,12.59606747,12.6988266,12.83067775,12.63511245,12.4504643,12.22526028,11.88689043,11.40302084,10.81524927,10.22465438
Channel Islands,6.862745098,7.476635514,7.272727273,6.956521739,6.666666667,7.936507937,7.086614173,5.970149254,5,5.555555556,6.12244898,5.369127517,5.333333333,5.263157895,4.545454545,4.605263158,4.635761589,4.635761589,4.635761589,4.761904762,4.929577465
Chile,10.17422748,10.91231702,10.86842794,11.15735923,12.30415709,12.64036856,11.28599535,10.26509208,8.840030326,9.16851749,9.494779169,9.130514819,7.756507529,6.905399375,6.706368367,6.550399668,6.319514661,6.133478778,5.891563907,5.680438899,5.562009875
China,9.62158135,9.110086974,10.45181646,12.62891456,10.57612528,11.7509743,13.03887747,11.54955574,8.412741914,8.463043293,9.761680377,8.112701,6.982323941,6.216412917,6.095561909,6.273793303,6.102424121,5.573221185,5.180140709,5.080931787,5.183395858
Colombia,11.30188365,11.39075721,12.46954457,13.16810345,13.17676839,13.57700171,13.22649016,11.64488598,11.53070136,11.05016319,10.58228994,10.20697345,9.501285125,8.919351246,8.540877616,8.03547042,7.624203266,7.23546492,6.873756393,6.545266859,6.231114221
Comoros,11.61290323,10.73446328,9.895833333,12.26415094,12.71186441,12.6394052,12.5,12.5,13.30275229,14.43089431,12.34119782,11.36363636,10.83815029,11.22715405,11.54761905,10.92715232,9.856262834,9.099616858,8.715184187,8.595744681,8.312958435
"Congo, Dem. Rep.",11.85452754,12.05475419,12.03926412,11.86082386,11.92013803,12.00870567,12.0979021,12.14890771,12.23762055,12.53951293,12.92715075,13.06047834,13.08790139,13.11598228,12.5877158,12.35833673,12.05212026,11.52497035,10.86519739,10.20176863,9.615423725
"Congo, Rep.",11.26237624,11.16071429,11.17705242,11.43847487,11.61048689,11.99226306,12.30005516,12.51771375,12.75551922,12.65731751,12.7099111,12.38653001,11.83825486,11.83992422,11.3452533,10.82089552,10.40335828,9.841107125,9.319169483,8.86481538,8.466919266
Costa Rica,10.35196687,10.28368794,11.09445277,12.57901391,13.2967033,14.03508772,12.43611584,10.38575668,10.48701299,10.80770336,10.99236641,9.884526559,8.834302952,8.049223321,7.160540849,7.136388335,6.697900399,6.417560322,6.108486724,5.882352941,5.728185813
Cote d'Ivoire,12.06070288,11.59270726,10.74332172,10.70075758,10.91360856,11.07083522,11.26158232,11.76245942,12.55153822,12.44827126,12.14769373,12.1648306,11.98423737,11.96927144,11.60210745,11.20788217,10.64516129,10.08258386,9.583256839,9.121422971,8.671293201
Croatia,8.904465213,7.360725989,9.198813056,8.9784033,8.127547351,7.362250879,6.94539639,6.817165847,7.016378929,6.852248394,6.15008881,5.808194507,5.464852608,4.761904762,4.885390137,5.008229485,4.976076555,4.857212595,4.744069913,4.674329502,4.783063251
Cuba,11.15053218,10.82568807,10.41870886,10.72686117,9.718875502,12.63113278,12.1276812,10.6505355,6.997167139,7.085242896,7.702020202,6.959085224,6.310246341,5.724986624,5.065213507,4.887892377,4.773139746,4.58919319,4.391217565,4.203583383,4.11311054
Cyprus,10.3030303,9.792843691,11.69284468,11.14922813,10.91205212,9.868421053,7.855973813,7.716049383,8.064516129,8.344733242,8.005082592,7.655502392,6.136363636,5.405405405,5.360824742,5.424063116,5.608365019,5.524861878,5.381165919,5.152838428,5.110732538
Czech Rep.,6.251400403,7.749434937,9.228029748,8.662066124,7.284970921,6.826788918,6.691305194,8.185433033,8.432799612,6.695736434,6.347809077,5.806198509,4.293948127,4.500903987,5.222327342,5.380614657,5.142585551,4.83577516,4.576989786,4.624613003,4.945588807
Denmark,7.375321939,8.650596981,9.104803493,7.795755411,7.467532468,7.765263782,7.611241218,7.119108156,6.167315175,5.203749761,5.697151424,6.461140853,6.296769483,5.993119681,5.795536357,5.439255681,5.415033844,5.61977592,5.758602246,5.698924731,5.551550108
Djibouti,12.90322581,13.04347826,13.0952381,11.96581197,12.5,12.55605381,12.94117647,12.65508685,12.34347048,12.35955056,12.73972603,12.53101737,11.37656428,10.7966457,10.21400778,9.81981982,9.4639866,9.16271722,8.744394619,8.256227758,7.839127471
Dominican Rep.,12.68533773,12.46468927,12.17547001,12.77834008,13.5276207,13.73480243,13.33333333,12.49058309,11.74555812,11.52283639,11.20797011,10.83718003,10.01466993,9.696412144,9.310856843,8.770464417,8.2461786,7.787748732,7.398367783,7.047962171,6.710810208
Ecuador,11.03570375,10.85492228,11.08357738,12.47813411,12.38270777,12.46381008,12.49215317,12.32696111,12.1704446,11.74923279,11.19324182,10.64155566,10.40516991,9.632116188,8.818938606,8.260761383,7.870758902,7.4643377,7.068405764,6.682751655,6.349029855
Egypt,10.58429787,9.869959388,12.19468326,12.27275607,12.66972142,12.52809414,12.27438448,11.7325384,12.14265938,12.60883182,13.064854,10.56949557,10.01965102,9.811719584,9.722320786,9.37973345,8.679500473,8.020394325,7.607363981,7.361671058,7.103926382
El Salvador,12.26158038,11.47203947,11.58426561,12.42293465,12.91098637,12.91312559,12.6984127,13.12262452,12.59148058,11.59217877,11.45693136,12.29170104,11.78750202,9.432779693,8.780414085,8.641438307,8.371639504,8.110661269,7.430299842,6.871213098,6.446700508
Equatorial Guinea,9.734513274,9.663865546,9.842519685,11.0701107,10.92150171,13.80753138,15.83710407,10.1910828,7.692307692,9.955752212,12.45283019,12.45901639,11.95965418,11.52368758,11.52968037,11.84346035,11.71508903,11.12068966,10.50955414,10.05173688,9.688581315
Eritrea,12.16097988,12.35154394,12.35087719,11.65228113,12.01298701,12.05673759,11.05263158,13.72059872,14.75617479,13.88022458,13.60153257,12.11985689,11.35580237,12.03395473,12.45721089,11.88386226,10.83487941,9.836065574,9.244228945,8.999704928,8.826256258
Estonia,9.281164695,7.765314927,6.919275124,7.602792863,7.478005865,7.122905028,6.730115568,7.344262295,7.129217059,7.430555556,7.944606414,5.720653789,4.633781764,4.868913858,5.847076462,6.349206349,6.225980015,5.785770133,5.158730159,4.98392283,5.352798054
Ethiopia,11.78193653,12.04118835,12.24001064,11.72175552,11.6584338,12.0568237,12.22570533,12.17295981,11.92719442,12.05468394,12.62306342,13.11009912,12.78110548,12.28010017,12.16238746,11.77756821,11.28619099,10.69782406,10.05864893,9.430242252,8.888914459
Fiji,12.5,12.79761905,12.69035533,13.39092873,14.09266409,13.51819757,12.36133122,11.00141044,12.01657459,11.83355007,10.61173533,10.74879227,10.53864169,9.839816934,9.131905299,8.61878453,8.169934641,7.77537797,7.543103448,7.166123779,6.703296703
Finland,8.154613466,8.476977568,11.10609481,9.596844873,8.729641694,8.170628183,7.341560343,6.162007754,6.516944055,6.461719209,6.127972163,6.295307135,5.611672278,5.377532228,5.477707006,5.547524395,5.555555556,5.496293618,5.382796872,5.264119905,5.271858927
France,6.745709232,6.301988525,8.884510126,8.420815222,8.183483347,8.219385917,7.838739574,7.627730637,6.574479689,6.701608593,6.492584011,6.049332131,5.964811444,6.219189659,6.106576313,5.768850639,5.606787718,5.481658217,5.449587242,5.522877749,5.568198611
French Guiana,8,7.142857143,9.375,10.25641026,10.63829787,12.5,11.76470588,10.58823529,9.482758621,10.71428571,9.696969697,10.89108911,10.30042918,10.30534351,9.278350515,8.695652174,8.474576271,8.311688312,7.99031477,7.551487414,7.142857143
French Polynesia,11.66666667,11.42857143,11.53846154,13.18681319,13.76146789,13.28125,13.24503311,12.06896552,10.82474227,11.1627907,11.81434599,8.984375,8.888888889,7.958477509,7.843137255,7.523510972,6.990881459,6.784660767,6.413994169,6,5.949008499
Gabon,8.723404255,8.577405858,8.436213992,9.4,9.245283019,9.595959596,9.838472834,10.64638783,11.31465517,11.77552898,12.14574899,12.65544989,11.52564957,10.67073171,10.12373453,9.812108559,9.481915934,9.011090573,8.531222515,8.070617907,7.686084142
Gambia,11.24031008,11.74377224,11.28526646,9.459459459,10.02331002,10.48543689,10.89430894,11.29251701,11.62011173,11.54201293,11.50306748,11.97643979,12.34285714,12.2418136,11.92825112,11.54622527,11.08266277,10.60707138,10.12580546,9.644381223,9.144072302
Georgia,11.16780045,7.213541667,7.209805335,8.999553372,10.41002762,10.31179947,8.635646688,8.262431462,7.912087912,8.006310392,8.603964572,7.816349384,5.547652916,5.386875612,6.005025126,5.965543842,5.792118487,5.381043431,5.11299435,5.134976526,5.35495716
Germany,9.058734059,7.466761465,6.232403554,6.875715809,7.297010324,8.294778586,7.785257188,5.590525842,5.155288104,5.51070164,5.770472628,5.129107412,4.823535147,4.503042596,4.204073512,4.139645209,4.256740267,4.293472557,4.256062336,4.208217818,4.21388554
Ghana,12.12851406,12.31859019,12.53313697,11.5355233,11.94918164,12.39123912,12.6825728,12.73258496,12.63361839,12.49057698,12.35023041,12.07502396,11.56912708,11.17507242,10.9987486,10.77366919,10.33168019,9.879832672,9.401688121,9.046883773,8.769601663
Greece,10.26962728,8.060263653,8.784351374,8.384984212,8.145620023,7.858090186,8.079236673,7.209021345,7.350191872,6.541705717,5.500730994,4.944409292,4.721452204,4.661694193,4.856433889,4.647862338,4.441477526,4.290694556,4.269662921,4.371832006,4.533820841
Grenada,12,10.97560976,12.5,12.90322581,17.0212766,16.48351648,13.48314607,11.88118812,10.41666667,12,13.86138614,10.78431373,9.803921569,8.411214953,8.256880734,9.090909091,8.333333333,7.476635514,6.796116505,5.940594059,6.12244898
Guadeloupe,10.47619048,10.16949153,12.40875912,13.20132013,12.92307692,14.02439024,12.88343558,10.73446328,8.571428571,8.395061728,8.391608392,7.912087912,7.264957265,7.578947368,7.010309278,6.570841889,6.313645621,6.085192698,5.918367347,5.761316872,5.660377358
Guam,7.01754386,9.677419355,10.44776119,12.32876712,11.76470588,11.70212766,10.57692308,10,9.090909091,8.843537415,9.032258065,9.580838323,9.444444444,8.90052356,7.920792079,7.582938389,7.339449541,7.04845815,6.837606838,6.751054852,6.25
Guatemala,11.75722911,11.49488809,12.58150205,12.75068609,12.29009042,12.33891753,12.44298746,12.75201613,13.09911326,13.14342829,12.69148557,12.77935159,12.51391208,12.27118644,11.77933779,11.2198304,10.56610732,9.865547658,9.153373247,8.463412777,7.812670572
Guinea,10.27894536,11.50473518,11.07909062,11.54848046,11.66059344,11.77199504,11.71638565,11.86633757,12.08719701,12.30275475,12.44333095,12.4051182,12.17787251,12.11686228,12.15001857,11.90711788,11.4353359,10.85163364,10.27270062,9.757194245,9.271771772
Guinea-Bissau,10.42471042,10.77738516,10.62394604,13.68948247,10.96345515,10.64748201,8.872901679,14.03699674,12.14495593,11.14922813,11.27300613,11.68478261,12.05112599,12.04754187,12.10653753,11.93899782,11.67192429,11.35465325,10.96837945,10.50394657,10.10129432
Guyana,10.16548463,10.69958848,12.14788732,13.50931677,14.40677966,14.18826739,13.65979381,12.85714286,12.29946524,11.85770751,9.775429326,9.829619921,10.87811271,9.801324503,8.187919463,7.660738714,7.573632539,7.580174927,7.41885626,6.78807947,6.272401434
Haiti,11.79757839,11.49359886,10.72628586,11.69864296,12.00678829,12.40279938,12.01897733,11.29032258,11.91615082,13.26803206,12.68354723,12.10414453,11.63133098,10.88702318,10.45043508,9.995190766,9.586964759,9.145329968,8.632844899,8.140696822,7.690817513
Honduras,11.43241426,11.11757858,11.58262606,12.67545725,12.85767373,13.09945285,13.23610347,12.82172373,12.99734748,13.06604618,12.87939618,12.75391759,11.89132432,10.94551091,10.3667214,9.791772473,9.168890583,8.492952656,7.821953328,7.182090546,6.580114507
"Hong Kong, China",7.995951417,5.858747994,11.25569291,12.02926036,12.83286837,12.08191126,9.132420091,8.026388125,7.433380084,6.999195495,5.99880024,6.392561383,5.135096902,3.190482628,3.622906116,4.191241059,4.142228739,4.037378699,3.802999882,3.633602056,3.733766234
Hungary,7.913900193,7.806615776,8.052078117,9.037153839,7.699748501,6.095129593,6.641756189,7.430516166,8.047086067,6.415715115,6.148423732,5.885271933,4.993983153,4.87137938,5.08856353,5.100559818,5.005783994,4.917156601,4.804870095,4.744565817,4.857302742
Iceland,8.391608392,8.860759494,10.22727273,10.41666667,11.33004926,10.59907834,9.210526316,8.67768595,8.235294118,7.835820896,7.5,7.77027027,6.666666667,6.232294618,6.469002695,6.266318538,6.153846154,5.82278481,5.472636816,5.185185185,5.15970516
India,11.19620931,10.4423843,10.50446785,12.12890165,12.00351561,11.77394721,11.49855263,11.33761415,11.39378517,11.24797907,11.02991391,10.80488724,10.1503131,9.615482687,8.974242699,8.470914724,7.92847092,7.362110955,6.779301402,6.33578672,6.195447014
