"Hydro production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.02750058984,0.03452233962,0.04223197345,0.04761439186,0.05730389002,0.06656626687,0.07542423808,0.08054375835,0.08872751756,0.09495539334,0.09623853342,0.09673905804,0.09716856374,0.081463605,0.06192860378,0.1151130589,0.09244137335,0.0790986106,0.08128741482,0.07444450113,0.09189598403,0.08490588121,0.08836014145,0.1019825603,0.1150802915,0.1581789668,0.1398266118,0.137422784,0.1478629615,0.1285909553,0.09932968212,0.09773441458,0.1352027098,0.1504039385,0.14704782,0.147937942,0.07563097347,0.1026226004,0.1402049052,0.2033766976,
Algeria,,,,,,,,,,,,0.002003043545,0.002915097105,0.004295692761,0.00275276544,0.001760680493,0.002023064532,0.001355141161,0.001219655506,0.001374394557,0.001174726946,0.001618642663,0.00204952766,0.0009732018307,0.001813319524,0.002513587323,0.0009447390645,0.001833721473,0.0006546707931,0.0007877583661,0.0004588255295,0.0009715742806,0.0006442857146,0.0011171382,0.0005143377374,0.0005865705077,0.0004032364972,0.0002205265367,0.000622998687,0.0005799146924,0.0001520662389,0.0001914947741,0.0001558788084,0.0007139901819,0.0006661959267,0.001451008229,0.0005613515749,0.0005731184868,0.0007067967979,0.000752822246,0.0004218230299,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.008601671152,0.009461562441,0.01107074562,0.01139413822,0.01230678621,0.005404932662,0.005264869661,0.006318530292,0.006448637907,0.006697823772,0.006473289749,0.006623258146,0.005852674908,0.005881272889,0.006648804616,0.006465521823,0.006303088602,0.006150726399,0.006072977298,0.006031781845,0.006230812233,0.006564354261,0.006729502959,0.006553385849,0.00639284587,0.006387010359,0.005881415224,0.00693726258,0.005689208206,0.005630890741,0.006077618622,0.006600213636,0.006920051052,0.009429628204,0.011571315,0.01347112421,0.01225100469,0.01493935205,0.01433761599,0.01592897442,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0.005446320542,0.005216231484,0.01020677921,0.01685224859,0.01714828467,0.01627014809,0.01843129841,0.02441314127,0.03307597299,0.04628871215,0.0442091634,0.05216104892,0.05378125432,0.05717013397,0.05848396987,0.0586300275,0.06005756424,0.04073875745,0.03463458372,0.04708775555,0.04214578738,0.04969358517,0.06039051532,0.06834975215,0.06619211375,0.05582993956,0.06744676451,0.06290364963,0.05033741418,0.06699353264,0.08534113687,0.08185775049,0.07650786731,0.06826593017,0.07558761564,0.08361841899,0.06632512767,0.06585515447,0.07268527998,0.07146232052,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03772001059,0.03785026818,0.07586708388,0.1095224642,0.0918237168,0.05119312529,0.0426102733,0.03812591366,0.04250688914,0.0333853058,0.03524805882,0.02714878549,0.04657276001,0.05568316199,0.05609495311,0.04972369413,0.05111717536,0.05182821725,0.0501818193,0.05627356021,0.0710774006,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.03342018013,0.03786470729,0.03952336841,0.05203847482,0.05287755388,0.06277152503,0.05228237455,0.05510974183,0.05372026197,0.05778639694,0.06004153861,0.07667065668,0.0751761559,0.07282932337,0.08290519158,0.09090168227,0.09207829032,0.07945221177,0.08300926664,0.09090670473,0.07565043489,0.08122062936,0.07737074489,0.06803486061,0.06675319986,0.0742925634,0.07761166775,0.07159247634,0.07407806672,0.07374683389,0.07115688707,0.07853992028,0.07528901419,0.08022027931,0.07846731119,0.0753854059,0.07231854687,0.0766404704,0.07060093554,0.0735283416,0.07340226615,0.07347785765,0.0696374575,0.0705987603,0.068629122,0.06429605598,0.06508020602,0.05813322436,0.0475968389,0.04312515045,0.04814633224,0.0563664403
Austria,0.1386836508,0.1360348585,0.1398068944,0.1362626457,0.1513729001,0.1856684529,0.2003702087,0.2032754527,0.2073972549,0.1886515083,0.2388616365,0.1859777319,0.1916423717,0.213519679,0.2520680681,0.2663212029,0.2270707248,0.2782474493,0.2784160086,0.3140436483,0.327191881,0.3515692419,0.3521820884,0.3487710649,0.3287379602,0.3519058893,0.3534029343,0.4084334121,0.4048288447,0.397503238,0.3532079704,0.350227914,0.3852263329,0.4025891409,0.3889341619,0.4016304586,0.3695822796,0.3894437126,0.4006263725,0.4382740394,0.4493913704,0.4327315449,0.427919603,0.3511056571,0.3861636504,0.3830878592,0.3724689779,0.3839190204,0.3953297886,0.4202430821,0.393431218,0.3445746283
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008346053319,0.0206290477,0.02017411689,0.02728918381,0.02050471003,0.01723057283,0.01685646533,0.01860136874,0.02103350147,0.01610743448,0.01626245379,0.01365639453,0.02097626208,0.02534350644,0.02793592394,0.03012696571,0.02488117904,0.02302405244,0.02145863577,0.0218977539,0.03224963688,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,0.0002217751521,0.0002197909012,0.0004128752505,0.0003003448311,0.0005311433893,0.0005895078642,0.0005083524172,0.0005719766113,0.0006442577507,0.0006217592005,0.0006483829897,0.0005280860573,0.0006508333289,0.0008586158469,0.0006885574871,0.0004080446258,0.0004562693445,0.00058003404,0.0007703983982,0.00072214695,0.0006686078363,0.0006209420323,0.0004640985074,0.000632969879,0.0002722535731,0.0005298362433,0.0005052109854,0.0005959504469,0.000563024777,0.0006276713528,0.000647109788,0.0006826688001,0.0007092168421,0.000760401353,0.0007908075344,0.0008389853461,0.0008314331213,0.0008712033794,0.0009076232589,0.0009610883636,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001676160566,0.0001504903592,0.0001419371625,0.0001585916558,0.0001587181362,0.0001673789947,0.0001342937158,0.0001769509392,0.0002370256665,0.0001616327503,0.000230823819,0.0002577007639,0.0002502715354,0.0002427489775,0.000287424801,0.0003150545226,0.0003078155652,0.0003093531831,0.000346400555,0.0003926227398,0.0004032447899,
Belgium,0.001615920018,0.001764135469,0.001511647836,0.001327097007,0.001053626467,0.002478768985,0.002711967687,0.002149725975,0.002195640075,0.002062192472,0.002197651407,0.001192661025,0.001596158599,0.001510984137,0.002113969128,0.001607650893,0.0009555391417,0.001960422457,0.00194932892,0.002043944211,0.002427437431,0.003327141834,0.002909309891,0.002937016779,0.003068603087,0.002507850566,0.002993425754,0.003736734002,0.003119393997,0.002643102383,0.002298908371,0.00197371835,0.002930762469,0.002177022121,0.002958047139,0.002883247507,0.002035047556,0.002593123993,0.003302312693,0.002889204806,0.003886999683,0.003713465302,0.0030187588,0.002061336941,0.002631757473,0.002377861109,0.002946870101,0.003173806568,0.003325136677,0.002645444845,0.002504388146,0.001591113161
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00002871849946,0.00002794105676,0.00002716955488,0.00002638448276,0.00002558554133,0.00002478659806,0.00002400134286,0.00001162269494,0.0000112637228,,,,,,
