Estimated ART Coverage (CD4 < 350),2004,2005,2006,2007,2008,2009,2010,2011
Peru,5,17,22,28,26,46,44,60
Philippines,10,8,16,25,32,29,40,51
Pitcairn,,,,,,,,
Poland,14,17,18,19,20,22,,
Portugal,,,,,,,,
Puerto Rico,,,,,,,,
Qatar,,,,,,,,
Reunion,,,,,,,,
Romania,79,77,81,74,83,74,72,74
Russia,,,,,,,,
Rwanda,9,24,44,60,76,77,84,82
St. Barthélemy,,,,,,,,
St. Helena,,,,,,,,
St. Kitts and Nevis,,,,,,,,
St. Lucia,,,,,,,,
St. Martin,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,
Samoa,,,,,,,,
San Marino,,,,,,,,
Sao Tome and Principe,,,,,,39,42,52
Saudi Arabia,,,,,,,,
Senegal,11,26,31,33,42,68,60,56
Serbia,32,51,46,42,47,60,64,65
Serbia and Montenegro,,,,,,,,
Serbia excluding Kosovo,,,,,,,,
Seychelles,,,,,,,,
Sierra Leone,9,2,10,16,11,22,30,41
Singapore,,,,,,,,
Slovak Republic,73,64,84,77,69,62,,
Slovenia,,,,,,,,
Solomon Islands,,,,,,,,
Somalia,0,1,2,3,5,4,6,7
Somaliland,,,,,,,,
South Africa,3,10,14,19,29,42,57,66
South Ossetia,,,,,,,,
Spain,,,,,,,,
Sri Lanka,5,4,9,12,15,17,19,21
Sudan,1,1,2,2,2,5,,9
Suriname,14,24,28,42,47,38,44,53
Svalbard,,,,,,,,
Swaziland,11,21,28,35,44,64,73,83
Sweden,,,,,,,,
Switzerland,,,,,,,,
Syria,,,,,,,,
Taiwan,,,,,,,,
Tajikistan,0,0,2,4,5,11,15,22
Tanzania,0,3,9,21,24,32,38,40
Thailand,17,26,34,44,53,72,67,71
Timor-Leste,,,,,,,,
Togo,4,13,13,15,20,26,36,42
Tokelau,,,,,,,,
Tonga,,,,,,,,
Transnistria,,,,,,,,
Trinidad and Tobago,,,,,,,,
Tunisia,95,57,63,53,49,70,63,67
Turkey,32,38,66,74,65,67,56,50
Turkmenistan,,,,,,,,
Turks and Caicos Islands,,,,,,,,
Tuvalu,,,,,,,,
Uganda,9,16,20,24,31,41,45,54
Ukraine,1,3,3,5,7,13,19,22
United Arab Emirates,,,,,,,,
United Kingdom,,,,,,,,
United States,,,,,,,,
Uruguay,63,39,37,40,45,39,49,41
USSR,,,,,,,,
Uzbekistan,,,,,,,,
Wallis et Futuna,,,,,,,,
Vanuatu,,,,,,,,
Venezuela,,,,,,74,80,79
West Bank and Gaza,,,,,,,,
West Germany,,,,,,,,
Western Sahara,,,,,,,,
Vietnam,1,4,10,19,25,44,52,58
Virgin Islands (U.S.),,,,,,,,
North Yemen (former),,,,,,,,
South Yemen (former),,,,,,,,
Yemen,,,,,,4,7,8
Yugoslavia,,,,,,,,
Zambia,5,12,21,36,51,81,72,82
Zimbabwe,1,3,9,14,22,37,54,77
Åland,,,,,,,,
South Sudan,,,,,,,,6
Christian,,,,,,,,
Coastline,,,,,,,,
Curaçao,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,
St. Martin (French part),,,,,,,,
Antarctica,,,,,,,,
"Virgin Islands, British",,,,,,,,
Hawaiian Trade Zone,,,,,,,,
U.S. Pacific Islands,,,,,,,,
Wake Island,,,,,,,,
Bonaire,,,,,,,,
Sark,,,,,,,,
Chinese Taipei,,,,,,,,
Saint Eustatius,,,,,,,,
Saba,,,,,,,,
