"40-59 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,1168000,1232000,1318000,1431000,1572000,1748000,1809000,1572000,1599000,2220000,2452000,2883000,3425000,4103000,4862000,5731000,6791000,8092000,9638000,11353000,13148000
Albania,174000,205000,231000,256000,302000,348000,419000,484000,539000,572000,630000,707000,763000,781000,763000,793000,863000,946000,996000,934000,843000
Algeria,1330000,1406000,1473000,1502000,1643000,1973000,2388000,2634000,2982000,3570000,4314000,5481000,6798000,8097000,9620000,11226000,12525000,13323000,13115000,12594000,12339000
Angola,618000,665000,719000,769000,824000,892000,987000,1122000,1222000,1419000,1637000,1946000,2300000,2678000,3131000,3691000,4398000,5264000,6173000,7224000,8231000
Argentina,3530000,4025000,4455000,4895000,5316000,5668000,5889000,6119000,6485000,7003000,7619000,8177000,8662000,9277000,10290000,11137000,11974000,12629000,12784000,12916000,13023000
Armenia,225000,259000,264000,285000,386000,486000,639000,647000,637000,621000,647000,779000,809000,772000,726000,742000,852000,920000,882000,808000,725000
Aruba,5000,6000,7000,8000,9000,10000,11000,12000,15000,20000,25000,31000,36000,37000,34000,30000,27000,27000,27000,28000,27000
Australia,1893000,2105000,2327000,2627000,2849000,2896000,3064000,3286000,3789000,4364000,5015000,5590000,5860000,6129000,6188000,6268000,6421000,6549000,6734000,6815000,6915000
Austria,1969000,1989000,1799000,1757000,1705000,1652000,1768000,1799000,1846000,1959000,2103000,2303000,2506000,2583000,2513000,2390000,2263000,2234000,2207000,2121000,2031000
Azerbaijan,520000,597000,586000,601000,728000,885000,1146000,1153000,1131000,1199000,1418000,1876000,2234000,2388000,2393000,2446000,2707000,2947000,2972000,2840000,2706000
Bahamas,12000,14000,17000,20000,25000,27000,29000,33000,39000,48000,58000,71000,83000,95000,100000,106000,109000,114000,119000,119000,120000
Bahrain,15000,18000,19000,22000,28000,34000,47000,57000,68000,91000,123000,145000,172000,228000,272000,300000,314000,323000,330000,340000,342000
Bangladesh,7069000,7498000,8003000,8767000,9686000,10658000,11810000,13022000,14530000,17121000,20293000,24272000,29150000,34656000,41246000,48156000,54082000,58366000,60972000,61995000,61510000
Barbados,40000,45000,46000,44000,42000,42000,38000,39000,42000,52000,63000,73000,80000,82000,77000,74000,72000,68000,66000,61000,56000
Belarus,1671000,1723000,1636000,1671000,1914000,2154000,2542000,2455000,2344000,2395000,2513000,2781000,2794000,2755000,2654000,2671000,2793000,2694000,2447000,2130000,1850000
Belgium,2380000,2451000,2306000,2297000,2301000,2312000,2431000,2277000,2384000,2502000,2702000,2952000,3052000,3066000,2978000,2852000,2763000,2725000,2699000,2665000,2665000
Belize,12000,12000,14000,15000,15000,15000,17000,18000,20000,23000,30000,41000,52000,63000,73000,84000,97000,110000,123000,131000,136000
Benin,385000,388000,394000,398000,409000,429000,468000,533000,603000,708000,823000,990000,1205000,1449000,1732000,2055000,2420000,2849000,3335000,3882000,4513000
Bhutan,23000,27000,32000,37000,44000,55000,66000,76000,86000,70000,79000,96000,118000,138000,166000,206000,240000,271000,281000,279000,270000
Bolivia,407000,449000,483000,528000,595000,662000,749000,835000,938000,1066000,1224000,1404000,1606000,1860000,2115000,2402000,2725000,3076000,3415000,3726000,3952000
