Aid received per person (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1.776436592,3.516252857,1.683491639,3.573637296,4.407678047,5.041137194,4.608461927,3.636801421,2.562434811,2.333649339,2.307581856,3.620926773,4.381560032,4.332004516,3.719016014,5.14233266,5.158395156,6.02982145,5.668722781,7.066444612,2.078651575,1.463162162,0.5761272229,0.8101474877,0.3875508415,0.9510093811,0.1090300453,2.509653891,3.936374256,7.958973509,6.398342108,25.80379799,10.07581696,10.64424305,10.41563786,9.456005814,7.333350655,9.692901574,6.701893922,5.665618571,5.241068335,15.3707679,47.68778314,56.40167925,79.51832363,94.88793198,96.30926928,157.0054936,149.9207077,186.4704423,186.8944973
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.740298618,3.175813203,3.359190487,100.8447016,125.3878578,83.93435954,51.29830958,57.49574512,72.78488028,54.37106351,87.24156287,158.8655021,103.4716471,87.25934871,99.49582138,114.108181,95.98826956,101.5787128,101.9385688,96.99763224,114.1856864,111.8042499,106.3264055
Algeria,32.87500913,39.78597289,35.47149849,24.6838128,19.54885089,12.26452868,10.37788435,8.561455206,9.239531196,9.8381293,8.8904667,8.540939436,7.554453535,8.310318687,8.26648206,14.28188382,8.266335812,7.168296246,10.29177368,5.577445194,10.6032582,8.608494939,6.787539272,4.574534791,5.681873852,7.821869358,7.389189299,9.156581606,7.155327821,6.41354624,13.1091195,8.143672948,14.0244158,11.94225831,10.58156787,10.38824575,10.59650316,8.47418881,14.14485167,4.57922038,6.537667224,6.4127115,6.041629614,7.461428033,9.760449793,10.53895853,7.184664905,11.62900267,9.441435333,9.116980496,5.591486325
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,-0.01007441365,4.659958569,,0.00572291478,,0.2043771698,0.5177323324,3.236463731,0.001750346043,-0.01891567769,-0.005062152262,0,0.01456384913,0.02530767009,0.05714465753,0.7171462281,2.567247039,6.795433697,6.523141774,6.359260947,6.865294132,7.61953638,7.210892293,8.700278696,10.63089787,9.981730862,13.97149921,14.05760407,16.02399262,16.61864079,25.71540037,26.00831744,31.22719353,25.44815002,38.07132103,34.40036249,36.88429641,27.72462705,25.51859016,28.68207444,21.70055333,19.65006988,27.80502488,32.0189251,71.71943405,25.142184,9.612961885,14.13208636,20.44687527,12.86491622,12.48459798
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,0.1466662756,43.57425052,29.6744454,44.48576742,76.52807215,51.03993875,46.50833038,78.31634106,129.8123178,71.9445373,49.71088034,35.38177838,44.95991709,78.24726135,87.54526846,134.8354051,69.78389503,74.11337256,115.2117793,73.19519764,45.98546859,60.24366545,33.07013199,54.9325763,59.45632035,133.1715865,141.3436863,126.0688163,107.8759553,167.3146434,75.38303392,19.67695985,92.83092616,38.61003861,85.87886193,100.7124688,64.23543883,214.9701274
Argentina,1.38566667,1.392109155,1.868779997,1.74732029,0.7839217557,-2.789659495,-0.4283438626,0.9453064185,1.74965587,1.07888518,0.3894367086,1.136768793,0.9406266534,1.810308314,1.400163108,0.9015009204,1.153902076,1.037949971,1.031388454,1.532920551,0.6107132904,1.532129144,1.028927908,1.606222608,1.628442091,1.285487629,2.825615696,3.176547441,4.809460581,6.546085921,5.169343642,8.269882203,7.867615356,6.657635424,4.24806812,4.09006873,3.706168878,2.856228554,2.187928138,2.095179093,1.421310379,3.9021915,2.164783811,2.806223406,2.382319941,2.486480891,2.948965825,2.574167601,3.287984594,3.163309701,2.99710168
