Contraceptive prevalence (% of women ages 15-49),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.90000153,,,,,,,,,,23.5,,25.7,,,,,,16.8,,,,15.2,
Tonga,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,41,,32.8,33,,23,,,,23.9,,,,,
Trinidad and Tobago,,,,,,,,,,,,43.6,,,,,,60.2,,,,,,,,,,52.7,,,,,,,,,,,,,38.2,,,,,,42.5,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,31.4,,,,,41.1,,,,,49.8,,,,,,,60,,,,,65.5,62.6,,,,,60.2,,,,,
Turkey,,,,,,,,,,,,,,36.8,,,,,50.4,,,,,50.6,,,,,63.4,,,,,62.6,,,,,63.9,,,,,71,,,,,73,73,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,,,,,48,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,31.6,,,,,30.5,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,14.8,,,,,,22.8,,,,19.7,23.7,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,71.6,,,,,65.6,,66.7,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,77,,,,,,,83,,,81,,,69,,70,,82,,82,,,74,82,76,80,83,84,84,82,82,84,82,84,,
United States,,,,,,,,,,,67.6,,,69.6,,79,67.7,,,,,,69.5,,,,,,74.3,,70.7,,,,,76.4,,,,,,,72.8,,,,,,78.6,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,84,,,,,,,77,78,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,67.2,,67.7,,,,64.9,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,15,,,,39,,,,28,,,,,,,,38.4,,,,
Venezuela,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,58,,,,,70.3,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,20,,,,,58,,53.2,,,,,,65,,,75.3,71.9,,74.2,73.9,78.5,75.3,75.7,76.8,75.7,79,79.5,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,51.4,,,,50.6,,50.2,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,9.7,,,,,20.8,,,,,,23.1,,,27.7,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,25.9,,,22,,,34.2,,,,,40.8,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,43.1,,,,,48.1,,,,,53.5,,,,,,,60.2,,,64.9,,58.5
