Contraceptive prevalence (% of women ages 15-49),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,,,,,,,,,,,,,,,,,87,,,,,,,81,,,,,,,,,78.4,,,,,56.5,,,,75.6,,,74.6,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,56.1,,,,,,,34.3,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,16.4,,,,,18.6,,,,,17,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,30.7,,,,,,,35.4,,,65.6,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,30.3,,,,,45.3,,,,48.3,,53.4,,,,58.4,,,,60.6,,,
Bosnia and Herzegovina,,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,35.7,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,33,,,,,,,,41.7,,,,44.4,,,,,,,52.8,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,59.2,,,,,76.7,,,,,,,,,,80.6,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,85.9,,,63.4,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,11.9,,,,13.8,,,17.4,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,15.7,,19.7,,,,9.1,,,,21.9,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,21.8,,23.8,,,,,40,,,,,50.5,
Cameroon,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,16.1,,,,,,,19.3,,25.6,,,,26,,29.2,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,74.7,,,80,,,,74,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,,,,,,52.9,,,,,,,61.3,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,27.9,,,,,,19,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,7.9,,,,2.8,,,,,,4.82766002,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
