Homicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,4.220523,5.377863,5.240864,5.693329,5.535992,,,,,,,4.337879,4.284608,2.95441,3.252411,3.929097,3.604531,4.072668,4.514173,3.912547,5.862761,4.91799,5.213118,5.267,4.923048,4.628486,4.547734,4.213143,4.182941,3.776384,4.024317,3.862369,3.761269,4.556859,5.126373,5.755878,6.627157,6.647913,5.734886,4.643963,4.368706,4.547145,
Australia,1.172433,1.463051,1.390609,1.818242,0.7885683,1.085154,1.119967,1.225209,1.085685,0.8146358,1.309833,0.9156113,1.342641,1.653697,0.7836816,0.8484708,0.8663389,0.750009,0.7998886,0.7465108,1.120305,1.146438,1.11258,1.282004,1.4854,0.9956303,1.975328,1.50681,1.260375,1.274379,1.304544,2.006226,1.361372,0.9173974,1.326093,1.209288,1.039003,1.269073,1.51187,1.153262,1.576309,1.357828,1.060876,1.449792,1.062323,1.240764,1.386171,1.154084,1.117384,1.13041,1.179248,1.071788,0.6746253,0.7435229,0.369453,,0.3806124,,
Austria,,,,,,0.9503138,1.567274,0.6475996,0.65534,1.545104,0.9077432,1.113401,0.8693336,0.5619555,0.8174032,0.9585927,0.8107748,0.9616332,0.6999569,1.134549,2.074048,1.677677,0.9316221,0.6570587,1.492333,1.891411,1.178746,1.422376,0.9467757,1.21801,1.136789,1.134013,1.56892,1.388192,2.194753,0.8095316,1.163196,1.390372,1.018503,0.987609,1.177453,1.062129,1.269359,0.9639153,0.8094401,0.9635832,1.314605,0.2408271,1.441267,0.6227984,1.299444,0.5873412,0.7108244,0.4377508,0.8037012,0.7049708,0.7676566,0.5068139,0.7834567
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97781,4.063618,,,3.312143,4.221226,2.82853,5.272697,2.7671,8.121141,4.524637,28.55876,21.12906,20.80396,5.999678,6.310146,3.817814,6.425747,3.99162,4.216103,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7.279042,0,,,,,,,,,0,0,0,0,0,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73753,8.18207,,,4.871297,3.989051,4.215278,5.541386,6.297038,5.79293,5.505386,6.959675,8.671782,8.371139,12.64324,,11.7701,11.17098,10.28316,11.37263,11.97072,12.9342,11.77738,,,,7.649004,
Belgium,,,,,0.6470953,0.7369916,1.203855,0.8018814,0.696046,0.4970197,0.6744555,0.9719092,0.8634661,0.6147309,0.5202778,0.5315777,0.7841167,0.4965098,0.9906981,1.251974,1.858297,0.988377,1.837681,1.593783,1.254762,1.237973,0.651737,0.9114335,0.875266,1.327004,1.547994,1.654732,1.513317,2.266755,1.2708,2.161985,1.8832,1.454936,1.281489,0.765011,1.287697,1.87924,1.175456,1.93647,1.637452,1.49892,1.454852,0.9594552,1.783074,2.268708,,,,,1.260788,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2188134,0.2759057,0,0,0,0,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.263894,9.254566,8.957292,8.458864,7.304738,8.54883,8.429004,9.573449,9.162082,9.25557,8.617115,9.188485,8.673447,10.60618,10.7453,10.22895,9.939506,10.37133,10.03814,10.36212,10.6488,11.25445,10.42467,10.36036,,,
Bulgaria,,,,,,,,,,,,,,,1.45906,2.561564,1.547613,2.568455,2.835176,2.846681,3.162271,3.052149,2.934406,2.481305,2.773136,2.685741,2.768826,2.743609,3.086644,2.86486,2.978721,5.319098,4.939962,4.339768,4.841214,5.36496,4.087184,3.230821,3.256664,1.819676,3.188131,5.826768,6.394729,5.748699,5.350183,4.107098,4.819373,4.592183,4.20309,3.209642,3.706362,3.044748,2.929472,3.481299,2.876516,2.66954,2.46679,2.402512,2.087938
Canada,0.5473995,1.348479,0.9499289,0.6029446,1.37057,1.063397,1.056292,1.312394,1.173284,0.9494032,1.867094,1.519168,1.106405,2.058608,1.362652,1.460203,1.559093,1.194387,1.602417,1.852161,2.241616,1.55981,1.735016,1.877664,2.189194,2.172339,2.390073,2.022514,1.950869,1.809334,1.772951,1.917651,1.918116,1.702065,1.708232,1.396951,1.456094,1.792513,1.189274,1.51093,1.304992,1.572242,1.095286,0.9267984,0.9719564,1.129852,0.9304781,1.134096,1.113588,1.097497,1.10015,0.6607011,0.9986895,0.907632,1.210315,,,,
Chile,,,,,,2.259628,4.025088,4.573262,3.634677,5.001773,5.396377,5.229285,2.230576,2.140732,3.431118,3.164765,10.3368,1.500561,9.312334,5.367672,4.156791,4.789646,5.530986,6.853783,3.643564,4.06505,2.175415,2.870364,3.635416,4.492302,3.26344,3.935776,4.245534,4.21279,3.735403,3.683373,3.916167,3.821383,3.414599,2.026648,4.544621,4.126465,4.470973,2.242221,3.638541,3.091347,2.55942,2.23563,2.315937,2.349271,4.055346,3.334243,3.635158,3.358829,5.023989,4.149212,,,
Colombia,,,,31.17579,23.08609,33.61849,57.5085,48.56652,55.98545,43.70493,41.42821,38.17704,39.77787,35.75945,30.4257,28.20622,25.64908,24.40382,19.30568,16.53146,,,20.49276,,19.18453,16.24789,15.66313,16.97337,,,,,,,23.2491,28.39773,29.98107,25.61071,30.4201,31.9641,32.32664,40.28061,45.37733,42.48523,34.35665,27.7768,30.59612,27.95786,32.50838,34.45748,36.62976,36.80912,34.96853,,26.32996,20.89448,18.5864,,
Costa Rica,,,,,,,,,,,,,1.737357,9.795623,2.746565,4.457765,5.73279,11.05068,1.207256,3.690431,11.70619,5.837646,4.127765,2.632106,4.743773,6.858638,5.642323,9.875086,5.614747,8.270999,8.371407,7.270491,11.12295,3.106993,9.014057,6.132825,1.218099,5.902681,8.754898,5.552791,4.118689,7.747888,6.44621,9.976309,5.615192,3.069817,4.685431,6.129102,8.790995,4.520849,7.898182,5.59624,7.326344,6.143734,5.097641,6.468044,6.368515,,
