Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Costa Rica,6.5,6.7,6.2,6.3,6.2,6.5,7.1,7.7,7.7,7.7,7.6,7.8,8.4,9.4,10.5,10.9
Cote d'Ivoire,5.1,5.6,6.2,6.6,5.6,5.1,4.0,3.5,3.8,4.2,4.3,4.7,5.8,5.9,5.2,5.3
Croatia,6.8,7.1,5.9,5.7,7.3,7.8,7.2,6.3,6.4,6.6,7.0,7.0,7.5,7.8,7.8,7.8
Cuba,5.2,5.3,5.5,5.8,6.0,6.1,6.3,6.5,6.3,6.1,8.0,7.6,10.4,10.8,12.1,10.6
Cyprus,4.7,5.2,5.5,5.6,5.6,5.8,5.8,6.1,6.8,6.4,6.4,6.3,6.1,6.0,6.1,6.0
Czech Republic,6.7,6.4,6.4,6.4,6.3,6.3,6.4,6.8,7.1,6.9,6.9,6.7,6.5,6.8,8.0,7.9
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,8.1,8.2,8.2,8.2,9.0,8.7,9.1,9.3,9.5,9.7,9.8,9.9,9.9,10.2,11.5,11.4
Djibouti,4.0,4.0,4.5,5.3,6.2,5.8,5.4,5.5,6.3,5.7,7.2,7.0,7.7,7.2,7.8,7.2
Dominica,5.9,6.0,6.1,5.9,5.9,5.9,6.2,6.5,6.4,6.0,6.0,6.1,6.1,6.0,6.2,7.4
Dominican Republic,5.5,5.3,5.7,5.8,5.9,6.3,6.2,6.3,6.0,5.3,5.5,5.6,5.4,5.7,5.9,6.2
East Germany,,,,,,,,,,,,,,,,
Ecuador,4.1,4.4,4.4,4.3,4.7,4.2,4.6,5.5,6.6,6.6,6.6,6.7,7.0,7.0,8.8,8.1
Egypt,3.9,4.3,5.0,5.1,5.3,5.4,5.8,6.1,5.8,5.5,5.2,5.3,4.9,4.8,4.8,4.7
