"Energy use, per capita (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.7848756083,0.8661728578,0.7633399257,0.7776510293,0.8282281622,0.8924700164,0.9256989361,1.012379977,0.8646294902,1.149836035,0.989572955,0.9690102074,1.004458481,1.022991667,0.9187753391,0.9604456132,0.9122204076,0.9125296492,0.8886788402,0.812500627,0.568290197,0.4157383127,0.4127460037,0.4457735037,0.4237796162,0.4564323618,0.3922559641,0.4252485436,0.5734525543,0.5795138184,0.585242047,0.6492291679,0.6453549923,0.7051884868,0.7022350245,0.6626792629,0.6467986364,0.6556512752,0.6531791201,0.6482908506,
Algeria,,,,,,,,,,,,0.2447490588,0.2755559184,0.3205563429,0.3342689516,0.3448268048,0.3812640085,0.4133638017,0.4928532911,0.6044039077,0.5958478245,0.6267605123,0.7898385262,0.8261351678,0.793207226,0.8031421243,0.8810788805,0.8461007921,0.8695499861,0.8400941297,0.8771799816,0.9054158877,0.9084582861,0.8879536302,0.8379865206,0.852033242,0.8161179122,0.8230038406,0.8394854041,0.8837095639,0.884947275,0.8744834052,0.9161000969,0.9626882223,0.9568785365,0.9840914663,1.038731636,1.086021971,1.08761925,1.165830963,1.138239293,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.6367255449,0.6708463295,0.6533630572,0.6517346647,0.6208609099,0.5981265559,0.5744072808,0.6147310272,0.6051478663,0.597382312,0.5811657764,0.5530821529,0.5483862914,0.5354439894,0.5504580963,0.5414491743,0.5405932533,0.5489453737,0.547061462,0.5692429995,0.5654510272,0.5505482641,0.5516888781,0.5415530667,0.5286130934,0.5324224216,0.53320721,0.5217977412,0.5363806958,0.5384749497,0.5479048034,0.5576829186,0.5838478132,0.6119886874,0.5685691103,0.599435603,0.6258434987,0.6576182323,0.6790688713,0.7164935044,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588815665,,,,,,,,,,,,,,1.629686859,1.632584966,1.683303513,1.698958515,,,,
Argentina,,,,,,,,,,,,1.380653615,1.379444153,1.411518089,1.415105561,1.378449703,1.403645704,1.420289327,1.424761073,1.483555061,1.486605863,1.429765411,1.41625282,1.419373415,1.449148877,1.361948314,1.424090935,1.479741939,1.508437105,1.444903254,1.41146652,1.434960601,1.489450708,1.469434276,1.552459429,1.550329879,1.575621021,1.638880144,1.662641766,1.653371803,1.65049336,1.550461507,1.470793556,1.553825478,1.755382637,1.73141309,1.873916208,1.87138944,1.930172655,1.860434666,1.846823755,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.171313752,2.309840888,1.193328869,0.64657799,0.4149966267,0.5063069838,0.5575210777,0.5899801457,0.6060054016,0.5893240329,0.6512643615,0.6516362723,0.6101029478,0.6437658019,0.6801948794,0.8170536805,0.8294066409,0.9255551316,0.973201147,0.8431843458,0.7908451032,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,3.063554271,3.115787084,3.172974865,3.284050959,3.349414167,3.463215578,3.54653798,3.69280795,3.763558415,3.792934763,4.06341137,3.989629744,4.035206344,4.264271226,4.294161626,4.345871446,4.405702986,4.671195674,4.629618471,4.683853176,4.737482031,4.694676425,4.817489524,4.561426052,4.651519236,4.621420866,4.620451793,4.764945062,4.770742248,4.998047328,5.052769688,4.926835339,4.957523692,5.160706458,5.111248614,5.121669931,5.40365731,5.470087811,5.554759767,5.610886505,5.644541377,5.44741668,5.570152915,5.573861948,5.514906347,5.60023506,5.605496693,5.683007332,5.778817313,5.738862639,5.59322124,5.295940161
Austria,1.546261468,1.554034906,1.675873621,1.823995225,1.855085155,1.851843564,1.902756408,1.920212124,2.045828123,2.181632309,2.418210129,2.508520919,2.627322496,2.830946802,2.730437326,2.654848729,2.86697592,2.797421922,2.893022299,3.138916143,3.06701192,2.897009398,2.830221781,2.843405568,2.95368815,3.051597062,3.061588862,3.174745392,3.204562182,3.138983488,3.235539246,3.409948251,3.240361682,3.250397533,3.229638723,3.368098348,3.573953668,3.544436707,3.600872231,3.585108787,3.564577762,3.752244167,3.767459416,3.966704357,4.000779984,4.103304286,4.085859696,4.022449074,4.023800859,3.796842782,4.033582085,3.875007364
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.652533734,3.347853253,2.800997291,2.328624817,2.095960774,1.659706181,1.517486152,1.43582713,1.511399975,1.376562463,1.42028887,1.401123508,1.396911141,1.454833437,1.532110034,1.649877798,1.58833845,1.411960892,1.51548132,1.305221284,1.307459788,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519511116,,,,,,,,,,,,,,2.109684532,2.179372366,2.178568563,2.15592606,,,,
Bahrain,,,,,,,,,,,,6.41744256,5.995018729,8.53306104,9.053194672,8.042374415,9.635497529,8.232644358,7.886303384,8.861100358,7.836843531,8.340676855,9.122196021,8.55228788,8.880986787,9.975911966,8.248992097,7.880526828,8.821558081,8.714649735,8.825513146,7.976403485,8.319860072,8.746281665,9.07351342,8.818158403,8.635985556,9.130508983,9.512982689,9.020934481,9.189511637,9.445440538,10.01942623,10.4329289,10.37516524,10.34806369,10.19324756,9.456593856,8.7847075,8.096253521,7.753674609,
Bangladesh,,,,,,,,,,,,0.08380140981,0.08578244797,0.09216066468,0.09432200381,0.09530796787,0.09930344806,0.09909566873,0.09960020162,0.1005308648,0.1042162001,0.1034415173,0.1063546066,0.1060396524,0.1047444732,0.1078162774,0.1123460895,0.1076395712,0.1151783186,0.1178235031,0.1209964074,0.1165114759,0.1202354391,0.1241903757,0.1269887718,0.1353076212,0.1333361856,0.1365121189,0.1394543084,0.1387036124,0.1435902642,0.1532658135,0.1546725441,0.1590394235,0.162563068,0.1695432272,0.177721537,0.183203413,0.191053023,0.2001062435,0.2088425311,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.240797993,,,,,,,,,,,,,,1.389161576,1.441758502,1.468298766,1.476338092,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.470353617,4.348462625,3.620727682,3.076697041,2.615736482,2.427666765,2.501346161,2.505602748,2.465396663,2.408822222,2.467192904,2.484799694,2.544244131,2.633089048,2.735834578,2.749004127,2.941621474,2.891955576,2.931195793,2.815186705,2.922028978,
Belgium,2.519158979,2.570531976,2.809731125,3.043220661,3.021711404,3.116016022,3.051303201,3.182923458,3.590004258,3.877044364,4.13519977,4.09995532,4.473929513,4.720784112,4.617498595,4.317935658,4.622233118,4.58952441,4.827136834,4.97668551,4.743575013,4.415362154,4.207902395,4.156368309,4.335818475,4.473473744,4.633872966,4.728503296,4.771276323,4.798693198,4.844185819,5.055900423,5.092946771,4.954290927,5.225411575,5.304051836,5.586788816,5.579510757,5.65969222,5.688971966,5.70743402,5.673902866,5.454730066,5.709103575,5.650965341,5.6004279,5.509343894,5.366718146,5.469581576,5.28891252,5.585583508,5.082475745
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562,,,,,,,,,,,,,,0.5484784147,0.5517477724,0.5706967145,0.5714285714,,,,
