"Proportion of the population using improved sanitation facilities, total",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,29,29,29,29,29,29,30,30,31,32,32,33,34,34,35,35,37,37,37,37
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,
Albania,76,76,77,77,77,78,79,80,81,82,84,85,86,87,88,90,91,91,93,94,94
Algeria,88,89,89,89,90,90,90,91,91,92,92,92,93,93,93,94,94,94,95,95,95
American Samoa,,,,,,,,,,,,,,,,,,,,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,29,29,30,31,33,34,36,38,39,41,42,44,46,47,49,51,52,54,55,57,58
Anguilla,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,95,95,95,95,95,95,95,95,95,95,95,95,95,,,,,,
Argentina,90,91,91,91,91,91,90,90,90,90,91,91,90,90,90,90,90,90,,,
Armenia,,,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,90,90,90,90
Aruba,,,,,,,,,,,,,,,,,,,,,
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,,,,,57,57,57,57,57,60,62,65,67,69,72,74,77,79,82,82,82
Bahamas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,,,,,,,,,,,,,,,,,,,,,
Bangladesh,39,39,39,40,41,42,42,44,45,46,47,47,48,49,50,51,52,53,53,54,56
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,93,93,93,93,93,93,93,93,93,93,93,92,92,92,92,93,93,93,93,93,93
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,77,77,78,78,79,80,81,81,82,82,83,84,84,85,86,87,88,88,89,90,90
Benin,5,6,6,6,6,7,8,8,8,8,9,10,10,10,11,11,12,12,12,13,13
Bermuda,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,38,38,39,39,40,39,40,41,41,42,43,43,44,44
Bolivia,18,18,19,19,20,21,21,21,22,22,22,23,23,24,24,24,25,25,25,27,27
Bosnia and Herzegovina,,,,,95,95,95,95,95,95,95,96,96,96,96,95,95,95,95,95,95
Botswana,38,41,42,43,44,46,47,48,49,50,52,52,54,55,56,57,58,60,61,62,62
Brazil,68,68,69,69,70,71,71,72,73,73,74,74,75,76,76,76,78,78,78,78,79
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,
Bulgaria,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burkina Faso,8,8,8,8,8,9,9,10,10,11,11,12,12,13,14,14,15,15,16,17,17
