Primary school completion (% of girls),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bhutan,,,,,,,,,4.36428,4.96027,,,,,,,,,,,,,,20.02756,24.85335,,,,41.75747,46.27187,47.75046,48.38088,,,,64.47167,72.78407,,85.86301,90.75512,100.82394,98.08917
Bolivia,,,,,,,,,,,,,,,,,,,,,64.36921,,,,,,,,,93.60338,95.63232,95.40249,98.49751,98.35592,98.59702,,100.6494,98.22902,98.81581,94.2035,95.22421,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.68161,76.19928
Botswana,38.17305,44.47662,51.51832,,,,,,,76.94856,,90.83467,93.76456,84.70314,84.49438,91.17462,100.37805,102.09763,97.54662,96.28661,97.41906,97.33114,97.1303,95.66709,100.8795,95.57129,96.5119,,94.3234,92.27984,91.51186,94.4512,95.16267,95.57869,95.6872,97.47601,100.60235,96.12179,97.15258,97.84961,,
Brazil,,82.51947,64.35399,66.92624,69.75667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,112.07108,109.28613,115.90402,98.16972,114.73389,112.27578,120.7187,114.68144,99.05263,100.38986,81.85962,88.26552,54.27299,,128.93519,,,,,,,,,,,114.34629,117.52297,117.86421,116.50959,119.27284,117.35934,120.70064,117.15561,118.78417,118.06096,119.28105,118.79128,115.95214,117.61607,119.53876
Bulgaria,,,,,,,,,,,,,,,,,101.68305,103.2084,103.82864,102.99898,99.80437,91.64884,87.64117,86.28012,88.7341,88.15555,90.77313,94.64992,93.87527,95.63402,96.73168,101.88088,96.98831,97.8061,99.20977,99.30698,98.09996,97.84627,89.66705,95.67931,106.40971,
Burkina Faso,,4.5972,4.43857,4.72961,4.79954,5.28316,5.16219,5.99021,5.96154,6.41352,6.26301,6.77345,6.96492,7.57589,8.73594,9.30546,,10.65242,11.40992,11.18219,13.07477,13.90971,20.03913,18.06732,19.10006,14.30272,16.93109,,,18.00004,19.53123,20.21363,21.39872,23.29128,24.61862,25.87041,27.23575,29.07386,32.64238,38.57657,42.28228,
Burundi,,2.89839,,6.51733,7.2465,7.91337,7.70342,7.68838,7.89601,8.15198,8.2338,8.26807,9.95191,13.48962,18.37863,18.71222,20.02979,19.72363,28.58141,26.11944,33.43026,42.55992,43.02853,46.70702,,,,,,22.22288,23.9331,24.00288,24.15022,27.26483,27.87519,32.13733,,38.41644,41.8665,50.66352,54.89456,62.19
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,30.36757,,11.79077,25.70989,35.34627,,45.96171,54.25685,61.02991,72.72984,84.71234,89.3853,90.70509,86.01757,84.04106,86.91805,89.70219
Cameroon,,,,36.76785,36.81496,38.81149,40.59433,42.09723,51.44375,43.77678,43.15915,43.54707,43.13222,43.69527,45.28145,46.76505,47.1789,48.83231,47.76932,,52.40421,49.45237,,,,,,,,45.28612,47.44016,,50.90816,53.56509,54.75312,48.57973,48.57237,51.7478,68.44038,69.14923,72.39278,72.14815
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.94321,96.47142,97.73928,,,,,,95.51185,,,,,
Cape Verde,,,,,12.12191,13.81279,,15.64626,13.73626,15.12059,15.12367,25.35885,24.19038,19.77177,30.09005,30.54784,35.57473,39.53078,44.83358,,56.20837,,,,71.82805,,,,103.14454,110.83951,108.4623,101.58083,102.9484,105.64052,101.9002,89.55422,102.34506,95.45072,101.45349,94.85474,97.66103,96.04655
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.35644,,,,,,,,,,,,
Central African Republic,,10.96178,12.85528,15.3333,14.34175,16.9485,18.48824,,19.2554,,,18.3013,17.82369,15.57346,,,26.6298,19.41739,20.44382,19.03398,18.78812,19.41502,15.28623,,,,,,,,,,,,17.72995,19.84477,20.63435,24.6121,26.75599,29.46358,30.09791,32.8425
Chad,,,,,,,4.92558,4.58269,,,,,,,,,,,3.87471,4.74296,6.2798,7.03102,,,8.3214,6.5662,7.18908,7.77215,,11.50231,13.06903,14.9823,17.31269,21.47193,24.1496,21.87001,22.11208,,,25.16386,25.82881,29.24102
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,78.20163,84.76726,88.26855,89.12822,87.01616,88.05954,91.78883,89.90293,,,,,,97.89976,,,,,,,,,,,,,,,91.04052,96.33707,97.51907,,99.33764,96.42633,94.13214,,,89.15037,,,98.56792,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,90.80693,92.5945,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,37.38952,55.87004,57.03335,60.60389,61.55974,,,,,,,,74.37232,77.68261,77.39309,71.68964,69.76086,73.65153,72.91917,72.68228,85.52176,76.5678,88.68543,86.99153,85.32758,89.23928,90.17475,,96.06289,97.73844,97.68182,94.83919,95.26624,,102.53955,105.97948,111.75842,113.52849,112.54106,117.03819,115.1855,111.47679
Comoros,,,,,,,,,,,,,,,,,49.56574,43.27862,,,,,36.519,,,,,,,47.25307,,,59.29746,58.63905,65.99942,66.5043,,64.2246,65.45922,,,
"Congo, Dem. Rep.",,20.61118,22.57087,,,,33.82518,37.39227,40.84201,,42.33572,45.44073,47.02256,50.37351,53.83977,,,,34.90081,,,36.80285,34.0337,42.36064,34.67131,,,,,29.35162,,,31.05771,,,,,40.73085,45.30249,47.41193,50.40142,
"Congo, Rep.",,,49.7138,58.60324,47.49299,57.49472,61.85065,64.68861,66.36666,72.95791,75.10497,75.92249,74.7757,71.7579,73.19645,72.1243,74.37664,75.89706,75.26689,69.08069,59.9656,51.0214,63.29349,63.25197,53.28595,,50.01879,,,,,57.27675,59.45981,55.09176,78.26799,69.03232,74.07495,73.75983,69.13417,68.08756,68.80945,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,77.07351,77.21999,86.33764,88.83083,86.98046,87.51603,83.53996,92.11177,89.75546,86.46862,86.79348,90.07243,90.3446,,,79.26382,79.08187,76.29272,77.14096,76.85434,,81.37382,83.35032,84.8383,83.79564,82.26368,84.30537,,,83.82944,88.81348,92.48138,94.1485,,95.95187,95.10662,92.11125,93.9137,95.94772,97.22384,97.35353,100.87872
Cote d'Ivoire,,,,22.15269,22.70964,,29.68617,32.45167,33.89691,35.07489,37.62163,41.18149,,38.89532,37.60439,34.09875,33.28092,33.84208,33.29054,32.4251,30.34895,31.7976,29.74529,30.79487,31.58212,30.46414,31.60242,32.04085,,,33.01342,38.83779,,,,,34.669,38.87391,,41.44459,,52.21832
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,80.57262,84.90547,86.13871,92.02096,91.02396,91.66042,94.49123,93.8727,91.09353,,95.87271,95.62848,100.83056,98.91065,95.34,93.14546,
Cuba,,70.58043,62.99125,,,,,,,,,,,,,,,,,,,,,,,,,,,95.62107,96.37277,96.09191,100.67395,95.63655,91.6673,91.21695,90.13634,91.74624,88.69391,97.47619,98.91671,99.03915
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,100.55854,104.52595,99.81298,96.12532,99.21381,,99.82805,97.27323,98.57838,100.90276,103.19252,86.99913,99.85102,101.41141,99.95973,99.67638,103.32212,104.70352,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,95.996,102.2419,,106.42492,,,99.25002,99.48808,98.85631,103.17085,96.75127,98.05296,96.4953,91.20606,92.44537,95.31609,100.67889,104.58419,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,96.78071,93.8085,95.58251,94.38202,,,,,,,93.05377,91.02557,92.37157,97.20061,100.43018,96.83523,98.40014,102.78538,96.86326,95.33824,97.60709,96.95034,99.36722,97.26477,,,,101.68452,101.11135,99.51004,101.0556,105.55227,,100.73805,100.31833,102.23493,101.73883,,97.62434,98.70566,
Djibouti,,,10.93321,11.9211,11.70595,13.57249,11.70249,,,,,,,,,,,,,,,,,,,,,,,19.69409,22.56432,21.71775,,27.73033,27.05056,26.63336,31.41961,,37.30808,34.03744,,44.8732
Dominica,,,,,,,,,,,,,,,,,,,112.39954,,,,,,,,,,,137.78135,124.31562,120.30769,106.66667,98.98551,104.11348,106.59187,95.02134,97.48892,93.10873,85.55556,82.58706,101.39616
Dominican Republic,,36.49292,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.51941,81.78069,,94.57592,,88.61031,,87.28093,93.67916,,93.01195,91.46397,92.91567
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,55.15048,55.3306,58.99546,60.99774,64.98879,69.46745,71.49311,70.88552,73.79239,76.75194,,,,,,,89.8707,92.49998,,,,,,92.10563,90.46865,90.64064,94.53948,,98.34252,99.1543,100.84182,101.08163,101.41444,101.74998,106.8164,106.07211,106.17944,,,105.37296,
Egypt,,37.12497,35.13927,37.60921,39.85307,41.55335,42.88339,43.01475,33.80701,21.74278,33.72564,40.41956,,,,,57.13183,,,,,,,,,,,83.76088,,91.42031,90.61387,89.58169,91.07228,90.68558,92.90437,92.35781,90.12925,93.27361,,96.72455,,
El Salvador,,36.8348,40.78654,45.72011,47.32447,,46.51764,47.80235,,,,43.93218,46.52721,48.0194,46.82042,,,60.0653,64.0657,62.26688,,64.70779,65.86174,67.88375,,69.20869,72.46077,,75.50687,82.63227,81.96945,82.79766,82.51281,82.63413,84.15552,85.80262,85.40846,90.53235,91.86218,94.6881,95.7259,100.59197
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,44.3604,,,,31.66522,,45.84607,,,44.1433,48.14766,52.52172,52.15561
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,15.81663,20.29797,26.13232,28.73741,,29.92725,32.49855,33.39987,30.26164,32.35856,34.96545,44.22328,41.85209,41.15218,41.32332,43.04275,36.37015,34.32504
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,81.37586,92.30171,,88.43045,91.60411,91.97963,96.47669,99.41397,102.53562,101.6223,104.52483,98.04493,98.15987,97.21249,97.67221,95.06498,
Ethiopia,,,,,,,,,,,,,11.18258,,,,,19.17042,18.53255,18.08963,,,,,12.71933,12.06361,12.63705,,13.32321,14.59332,16.19913,19.88441,22.40982,25.20824,28.78424,35.74045,41.93541,43.08178,47.6534,52.72832,66.56152,60.45732
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,97.83032,98.69341,,96.15686,92.66821,94.54727,95.4311,,,,,,,,,,,,106.41349,100.32452,94.19905,98.98089,104.26858,108.04129,109.22736,,111.07262,103.49723,105.61988,105.14706,,
Finland,,,,,,,,,,,,,,,,,,104.64562,105.52355,105.51711,101.88326,96.93592,97.32844,96.32809,97.11755,100.09847,102.46043,,98.45291,95.78867,96.58461,102.67872,100.98337,101.84939,100.63865,99.68805,96.85767,98.42159,98.0019,97.38696,98.7582,
France,,94.76569,94.54143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,62.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,58.31725,56.57601,,85.35143,86.52314,82.23175,81.59578,89.49084,87.7686,89.45544,90.71076,91.09544,78.36257,,,71.11063,69.6803,69.40439,,,64.59103,,,67.1221,69.23837,70.11486,,,,,73.11969,70.25638,,,,,,,,
Gambia,,14.03631,14.73639,14.23298,14.57417,17.46374,15.69288,12.55144,18.16479,16.70661,17.52692,17.41483,18.10507,19.4388,23.73694,26.59524,30.2907,33.54636,,29.48578,,,29.22124,29.10777,27.2535,30.94837,38.28862,,,57.87339,59.24404,62.14925,60.91061,66.44985,66.67608,65.92385,64.99491,73.26979,81.17624,,,67.22544
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.70301,97.6459,101.19633,98.05599,86.31424,93.73306,82.75601,83.25465,92.07035,99.79487,107.95216,116.28396,
Germany,,,,,,,,,,,,,,,,,,,,,,,,101.04664,96.96923,95.65087,95.15685,95.83672,,97.46669,101.93925,105.54411,103.06374,103.58587,102.35106,98.90537,99.2409,103.12148,100.33432,100.31973,100.62929,
Ghana,,58.22036,53.07427,,47.94486,48.39203,49.95444,51.8575,52.45867,52.84463,54.73261,56.99023,,,,,,,,,,56.75739,58.88491,,,,,,,63.68315,66.78971,63.97591,65.45002,70.90572,63.45188,71.7459,69.70583,75.4757,82.29178,82.97057,,91.35704
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,103.00014,101.60567,99.27196,98.42857,99.0686,99.42732,100.34451,101.67083,101.29893,98.00476,96.91219,96.85398,99.20609,101.65296,104.21016,109.19597,100.68558,101.36415,98.44949,,,99.34185,,,,,,,,,,,,100.41692,100.17599,102.58845,100.49263,,,98.51151,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,89.62188,91.88504,,,,95.18581,86.93467,,,,,,,,,,,,,,,,,,88.06202,99.83819,,,,98.22596,106.1244,113.24828,103.31658,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,28.31049,28.46488,29.41538,,,,,,,,,,,,,,,,,,43.35802,,,47.62455,52.38362,55.08006,59.21723,60.55474,65.16702,69.16601,72.79787,74.03614,77.00963,80.50829,82.9543,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,12.0147,10.44593,9.93299,8.95078,6.93048,6.96875,9.4921,9.77402,9.57692,10.37166,11.0441,10.08008,,,14.2367,16.9001,20.23739,22.94073,27.29027,30.34135,39.86661,46.59527,52.85429,54.53389,47.92236,54.01466,52.96641,59.43032
Guinea-Bissau,,,,,,,,,,8.88758,5.26397,9.97403,9.28396,7.12688,7.3295,,,4.99698,3.75309,,,,,,,,,,,20.97782,21.42857,,,,,,,,,,59.96169,
Guyana,,95.23446,94.22222,88.20257,85.82357,,82.86151,90.48298,88.38704,86.96756,82.69756,,91.38435,,,,,93.59058,,,,,97.46686,97.41235,,77.42752,83.22248,87.76167,,102.11578,105.22246,80.28863,,75.23143,79.61037,106.83155,106.67855,102.00366,96.22141,94.26596,84.5748,86.73691
Haiti,,,,,,,,,,24.84065,25.33474,,26.61572,28.58662,,31.51572,33.25486,35.48842,,,,,,,,,,46.32697,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,47.64423,,52.74286,,58.14343,,,,,,,61.39827,,73.83786,,,,,,,,,,,,84.48468,91.7316,,93.15347,96.01859,101.59992,104.62149
"Hong Kong, China",,,,,,,,,,,103.97612,100.99249,98.97122,98.20211,102.68078,104.23654,,,,,,,,,,,,,,,,,,97.7527,98.60984,98.17928,99.53676,101.19709,97.45876,96.12403,,92.39885
Hungary,,,,,,,96.93097,99.87188,105.33983,99.96241,98.53683,93.08981,92.02884,92.47684,100.79131,112.42512,105.03134,99.89663,93.59034,87.99415,86.46909,,,,,,,96.21238,98.1442,95.30587,96.44212,98.45333,99.8678,96.64916,95.83298,94.06835,98.78071,95.01021,96.11898,97.17798,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.48456,90,94.2261,105.67961,103.42857,108.45725,97.99544,98.17046,101.67327,96.95633,95.60932,98.68062,96.88806,
India,,27.55731,,,29.40537,,,,,,,,,,,,,49.30396,50.57737,,,,,,,62.5615,,,,60.50359,63.3278,65.01814,68.24818,76.24571,80.97401,82.84115,83.84568,92.4569,95.09797,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,93.90501,92.70116,91.22556,,,,93.14285,94.99786,96.04809,97.57226,97.02482,95.94191,101.14018,100.59015,104.92544,,
Iran,,37.26615,,,,,,,,,,,,,,,,72.2811,74.77684,76.66064,80.91456,84.52259,88.25832,94.08797,93.25623,97.62195,,95.95169,,,90.72384,94.41291,94.21304,88.929,105.61656,111.39262,98.10947,95.36778,99.12554,104.32339,106.33908,105.64264
Iraq,,20.56606,20.85348,22.79115,23.31958,27.31529,28.5656,37.18561,41.62401,,53.1511,,,48.47658,,58.33163,56.85311,53.1424,57.77889,53.3614,,,,54.0086,,,,,,50.87453,50.08348,54.36886,,68.21609,67.17209,,,55.39513,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,103.01559,104.21454,102.5716,101.75563,,,95.48892,96.68114,94.9976,92.35696,94.58351,97.31986,99.42889,95.77633,,,,,103.82376,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.38289,104.57629,108.67131,104.23552,103.32075,104.9814,100.89767,104.59355,102.33107,
Italy,,97.81631,99.834,99.49177,100.2822,107.68492,105.61303,104.98629,101.74078,100.62608,102.19989,98.91222,99.56828,98.2767,98.43901,100.23276,99.99925,98.00582,98.05805,98.7344,99.60255,97.27432,98.7972,,103.12892,99.0919,100.20953,96.89358,,100.9089,101.97672,104.24325,102.07918,101.71131,99.72087,97.76102,98.39106,100.97996,105.42963,103.15858,103.81778,
Jamaica,,,,,,,82.78819,85.01458,,92.16457,88.35818,91.16198,,,92.81144,,,93.79158,96.79741,99.72302,99.93775,97.66921,,92.77903,,,,,,,90.38306,85.08433,90.74535,,89.29435,,,85.36357,,74.28203,72.96027,
Japan,,105.13237,100.8374,98.61101,97.8757,97.97154,98.32962,102.9869,99.10992,90.65864,106.12927,104.21022,99.44605,98.6969,99.1535,99.46966,101.47807,102.72455,100.90425,100.95635,103.53976,103.40751,101.20582,,98.84223,,,,102.98042,,,,,,,,,,,102.33392,101.92759,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,59.83578,66.20488,77.93753,89.38011,94.53515,95.71848,99.75388,98.53447,100.05179,97.6459,97.48009,94.83157,98.58785,99.53218,,89.76904,90.67235,91.96797,95.46206,97.7766,97.78351,97.48258,99.44911,,95.66989,,,92.50252,94.99264,,92.8868,97.57676,99.5206,105.27937,103.82431,104.2686,101.42503,,90.55789,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,105.43321,,,,,,93.07328,94.82167,96.73528,97.97335,105.33849,106.68779,104.26074,102.02182,106.84374,107.77325,110.91668,116.21187
Kenya,37.40088,40.17452,43.51009,46.20375,,,,59.82504,62.07114,,81.25257,80.88947,,,,,,,,,,,,,,,,,,,,,,,87.14365,89.61955,,,,,,
Kiribati,,,,,,,,77.33516,85.26316,66.33166,76.13219,124.52107,120.13699,130.9593,126.36505,127.03583,128.5489,113.97059,110.92669,112.81046,101.73913,110.90909,105.95238,104.42375,,113.14917,123.11828,129.8633,,106.25,94.70645,116.99905,110.95506,111.37835,116.75824,113.71841,108.84956,104.27948,113.10345,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,94.21166,95.73636,105.33024,104.03601,103.18191,107.04803,101.67178,98.90454,101.93923,99.10687,103.5928,101.67354,102.65192,108.10729,105.52652,105.02281,104.40046,99.98385,94.83405,100.01096,97.69278,109.53616,109.33531,112.44513,112.06862,,,101.22254,105.77599,104.61023,100.58976,96.28781,103.23913,101.43129,98.28231,98.45523,100.47021,98.97512,101.1367,100.56875,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,53.70739,49.10123,43.75108,42.32899,51.70694,74.86134,63.32691,69.09005,67.78365,77.48976,89.89202,89.36502,94.17318,95.65384,94.70694,93.42327,92.61998,,,,,54.57277,,82.21448,84.01562,110.33027,109.73724,,104.14835,104.65764,91.76955,96.4055,103.18638,105.64702,111.97434,106.46714,114.22918,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.40757,92.77801,92.2606,92.0655,90.20342,93.50584,98.37753,101.96508,96.05342,94.38397,97.52271,96.64924,95.41057
Lao,,,,,,,,,,,,,,,,,,,,,,,36.37661,39.67784,43.28929,,51.49675,53.91122,59.192,64.43664,63.38884,64.42728,65.67554,65.16604,65.30908,67.53004,70.03645,72.74843,75.47953,78.31774,83.61055,89.87358
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.82409,91.16004,98.20909,97.78313,101.43016,97.79597,93.82562,91.05901,92.05514,89.65085,86.18427,89.735,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.57528,104.30714,,,,,,,87.07596,87.7129,89.37251,87.12914,89.40012,89.18593
Lesotho,,,45.64945,52.2215,64.78557,68.64007,63.65587,59.4529,61.32583,62.65496,63.51736,64.25283,64.65428,64.71995,63.97043,63.75328,64.17658,68.3269,71.57957,71.67702,75.39523,75.98979,77.74465,76.78323,78.59573,,76.29669,,74.11441,70.38571,69.28764,70.36448,71.73041,72.78338,75.4392,70.83476,89.04591,81.54746,77.63315,77.93981,78.85983,
Liberia,,,,,,,,,17.01452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.13395,57.15502,55.64058,,60.2847
Libya,,21.34512,45.26545,48.93726,65.13734,90.46023,87.30268,98.89318,98.80597,93.44007,87.37097,91.08016,,94.34043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.53695,103.86473,,109.13978,102.72727,101.44928,96.83258,106.63507,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,92.93802,97.20159,96.98171,,95.51129,96.62651,103.40944,104.15324,106.33666,98.73275,91.16539,93.3611,95.97445,91.85569,94.14679,99.53613,
Luxembourg,,,,,,85.31226,84.54088,88.14214,88.32625,87.16557,,,,84.94909,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4644,
