Primary school completion (% of girls),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,4.19285,,,5.14529,5.91965,,8.72819,12.38975,7.5399,,10.37689,10.51868,,,,,,,,13.5525,,,,,,,,,,,,18.74188,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,94.18927,,,103.19619,102.26713,103.25462,,100.27718,97.70814,,,,90.41091,89.7601,86.01452,89.53901
Algeria,,,30.90031,33.02938,34.32702,39.7942,45.24156,48.22515,50.49138,51.07383,52.10572,55.0174,59.0781,61.84179,65.58597,77.1745,65.21181,68.3323,69.9132,73.15405,72.54374,73.08401,75.49738,74.73254,73.94814,75.87622,79.88931,82.44316,,83.46064,82.235,88.52598,90.09179,91.27633,93.30839,94.21432,,97.35583,109.72854,95.13346,95.87439,94.20928
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7707,103.68098,103.44828,,,,,,,66.51163
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.83506,40.51818,40.0373,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,85.43689,81.95938,,,,,,,,,,,,,,,,92.96029,,,,,,,,,,,,,,,,99.5104,92.77846,98.27798,92.43176
Argentina,74.02333,74.70327,,,,82.1907,81.85775,,,,,,,,,,,,,,,,,,,,95.41159,94.50475,102.4191,100.69154,100.81862,100.53656,105.45851,103.55583,102.02064,99.92796,102.10666,104.62379,108.03703,107.51852,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.67021,89.40265,98.84344,92.92974,94.58897,103.02998,,,,85.0512
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.82132,97.71689,100.58565,100.14065,88.37838,88.32685,88.06533,90.94293,95.14321,93.85965,89.36709,93.42784,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,96.69577,98.26127,98.18995,,,,,,,,,,,,,,,,,,,,,,,,,100.39762,100.79908,,,99.79545,100.69954,98.5312,99.07022,101.12819,103.69019,100.65695,99.58381,98.22294,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,94.72717,89.22605,,85.46427,97.29742,94.69745,91.77046,85.49743,93.9815,100.99123,90.24809,94.8575,89.6128,90.66259,98.49185,89.7156,91.42844,88.97885,92.18356
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.18605,,,,,,102.56917,96.84352,100.88828,102.19512,103.93419,98.5518,
Bahrain,,,,,,,,,,,,,82.60365,84.9154,89.63788,90.20979,90.2131,94.69579,100.94028,108.59047,,106.02968,101.8359,99.71647,97.27104,97.56767,94.78178,,95.48086,96.28092,94.35146,95.45998,102.6738,104.69314,109.96477,107.04923,,,,,,
Bangladesh,,,,,,,28.59714,,,,,22.11509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.79221,100.47071,111.13434,108.54612,111.33645,98.64724,95.59518,93.54322,95.43974,99.50166,103.0647,107.30701,114.29455
Belarus,,,,,,,,,,,,,,,,,,,,,,,,95.14937,95.74259,92.77302,93.04157,92.24453,,95.9127,99.47791,103.22604,128.11797,100.19917,97.93595,93.40978,92.8244,92.11484,95.07918,,,103.19754
Belgium,,,,,70.19695,71.29621,71.86694,74.20761,74.23494,68.72771,68.98903,74.87858,78.77043,72.71746,75.70846,73.47185,71.95775,71.25369,73.09399,,,80.52867,,,,,,,,,,,,,,,90.7742,91.54804,91.54501,91.97567,92.6676,
Belize,,,,,,,,,,,,,,,,,,,,,,,90.49415,,,85.19648,90.48739,,,91.25242,90.25,94.1194,90.26067,90.03313,88.14557,89.02023,89.21952,95.98029,91.8884,98.99173,98.14718,107.22635
Benin,,10.11446,12.07326,12.41432,11.46985,13.2341,14.48398,13.71668,15.67764,17.23248,19.79996,18.40978,21.5593,20.3135,18.30508,20.25343,18.53032,17.8855,16.93322,16.90064,11.62152,13.92793,13.88773,15.27525,16.77164,20.10405,21.01049,22.81302,24.81714,,26.87792,29.95627,31.59365,36.16296,41.51869,,,,55.04036,53.25543,,66.30847
Bermuda,,,,,,74.95652,,,,,,,,,,,,,,,,,,,,,,,,,,94.73684,104.63415,102.72953,,,,,,,100,83.6272
