Industrial water withdrawal as % of total water withdrawal (%),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Saudi Arabia,,,,,,,1.1,,,3
Senegal,,,,,,3,,,2.6,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,9.24,,,27.64
Sierra Leone,,,,,,4,,,2,
Singapore,,,,51,,,,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,,,,,0.06
South Africa,,,,,,,10.8,,6,
Spain,,,,,,26,,,10,
Sri Lanka,,,,,,,1.9,,2,
Sudan,,,,,,,,,,
Suriname,,,,,,4.7,,,2,
Swaziland,,,,,2.4,,,,1.1,
Sweden,,,,,,,55,,54,
Switzerland,,,,,,,,,70,
Syria,,,,,,,,2.8,3.4,3.5
Tajikistan,,,,,,4,4.9,4.2,4,
Thailand,,,,,,,,,2,
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,13.1,,,2.36,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,25.9,25,
Tunisia,,,,,,,2.7,,4,
Turkey,,,,,,,10,,,10
Turkmenistan,,,,,,,0.5,0.5,,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,8,,,,,,16,
Ukraine,,,,,,,,,35,
United Arab Emirates,,,,,9,,,,,1.7
United Kingdom,,,,,,,77,,75,
Tanzania,,,,,,,,,0.4,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,,,16,,46,
Uruguay,,3,,,,,,,1,
Uzbekistan,,,,3.5,3,3.4,2,1.9,,
Vanuatu,,,,,,,,,,
Venezuela,,,11,,,,,,7,
Vietnam,,,,,,6,9,,24,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,1,,2,
Zambia,,,,,,,6.1,6.9,7,
Zimbabwe,,,,,,6.9,,,7,
