"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.001104587303,0.001321139639,0.001307899753,0.001153026039,0.001211565223,0.00125396383,0.001264080994,0.001356735299,0.001293998158,0.001283293153,0.0009859223517,0.0009541066507,0.0009916611399,0.001041348265,0.0009498814833,0.0009883374822,0.0009314960258,0.0009050003537,0.0008911221278,0.0007445641154,0.0005817027398,0.0004279774336,0.0004113248748,0.0004019287032,0.0003934873812,0.0004255754921,0.0003563731968,0.0003525274298,0.0003482091629,0.0003209867259,0.0002868965074,0.0003104630818,0.0003366558288,0.0003689424906,0.000371221911,0.0003775357528,0.0003327733372,0.0003625272168,0.0003927067898,,
Algeria,,,,,,,,,,,,0.002930187085,0.003748940784,0.003753056512,0.003431465208,0.003311355243,0.00355572198,0.003637296396,0.003943917465,0.004162698482,0.003494695899,0.003455773182,0.003351030631,0.003569183144,0.00359442763,0.0036546115,0.003696667692,0.0037954353,0.003785036112,0.003842324095,0.003957199841,0.003956383858,0.003923934055,0.0038624026,0.003625996979,0.003772636788,0.00391398588,0.004160271802,0.004283635768,0.00455158482,0.004658605782,0.004415444648,0.004552614115,0.004866778759,0.004873769788,0.005067638976,0.004939544508,0.004845570059,0.004706747653,0.004357401973,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.00150770189,0.001701892249,0.001847431604,0.00187096968,0.001716838729,0.001638713586,0.001532691043,0.001416899321,0.001485764836,0.001479438156,0.001303789093,0.001269527821,0.001519922319,0.001626119824,0.00173662405,0.001966921175,0.00233419274,0.002761685177,0.002704645788,0.002772315998,0.002811795919,0.002976916561,0.002685204124,0.002805749573,0.003008199103,0.003195607708,0.003248800425,0.003270477723,0.003223324816,0.003136508192,0.003020205871,0.003454153508,0.003330028846,0.003610194166,0.00430021564,0.004702594171,0.005423803793,0.005864105117,0.005440960565,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0.001253605897,0.001248912844,0.001210259659,0.001203509966,0.001174766556,0.001171640235,0.001215596596,0.001242499423,0.001311719719,0.00137973932,0.001381305104,0.001378643539,0.00142605812,0.001435884449,0.001401953763,0.001391377893,0.001385292179,0.001457909404,0.001467694507,0.001483256308,0.001517422579,0.001619615973,0.001675878769,0.00181290354,0.001918703974,0.002041618083,0.00216920868,0.002205043487,0.00219090568,0.002227542504,0.002264942584,0.002159907099,0.002217508366,0.002272504799,0.00218930868,0.00220871239,0.002105007013,0.002086386721,0.002017316731,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00003873732437,0.00003850314247,0.00007615059972,0.0001098184088,0.00009212317735,0.00007607069183,0.0002338359837,0.0001720233531,0.0001760277328,0.0002089358007,0.0002054433896,0.0001963836637,0.0002411884483,0.0002261505597,0.000243721699,0.0002809197398,0.000275568726,0.0002686718837,0.0002588653715,0.0002674031168,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.002071289314,0.002148355782,0.002140040134,0.002161311496,0.002280089749,0.002490368945,0.002545770892,0.002625568788,0.002896895435,0.003107118566,0.00374719253,0.004146305696,0.004716198323,0.005046406835,0.004930628398,0.005396840723,0.00534909931,0.005780579924,0.005676446471,0.005952001876,0.005806385325,0.00652251495,0.00652647621,0.007007724948,0.007602823484,0.008098946262,0.008494063422,0.009117571318,0.00823870626,0.008585536758,0.009213930175,0.009642234496,0.00981963327,0.009867789113,0.009678915833,0.01031533441,0.01035797827,0.01085090396,0.01155502742,0.01126987775,0.01218684666,0.0130937632,0.01344075033,0.01328584585,0.01339492799,0.01372868677,0.01356902604,0.01413861031,0.01399291697,0.01418561763,0.01455064288,
Austria,0.001044829818,0.001005851541,0.001022554219,0.001080427719,0.001066108216,0.001100083998,0.001114940361,0.001059553729,0.001022047031,0.0009905881311,0.001065254621,0.0009823905392,0.0009743078727,0.001048783162,0.001032694722,0.001029846943,0.0009545244918,0.001012192719,0.001034502045,0.001059638716,0.001010972078,0.0009826682426,0.0009930843619,0.0009677470144,0.0009736507676,0.001000338774,0.001012160236,0.001062257023,0.001208376753,0.001129219975,0.001056851217,0.001081524804,0.001099893614,0.001118094552,0.001063692984,0.001101064768,0.001084666421,0.001092194332,0.001113414334,0.001217484477,0.001221804107,0.001215985858,0.001214702627,0.001180367545,0.001209164121,0.001221753588,0.001225634844,0.001309347067,0.001345537165,0.001362004861,0.001331167846,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002862119042,0.002589200649,0.002437548726,0.0021676561,0.001947489059,0.001896392926,0.001833784898,0.001781231567,0.002048088256,0.002367760326,0.002337860509,0.002390382598,0.002385422328,0.00236676936,0.002364818882,0.003170569599,0.004381507033,0.005908484537,0.00655593866,0.007120474105,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,0.0485959769,0.04415362205,0.04543173927,0.0457183375,0.03756338437,0.03660847136,0.03975551385,0.0363858232,0.03547111561,0.03349083549,0.0347977096,0.02765510377,0.02514974224,0.02750298768,0.02659588803,0.0292698395,0.02889223386,0.02847381779,0.02795150786,0.02726075745,0.025610845,0.02593637049,0.02602664165,0.02491453966,0.02440770102,0.02421961893,0.0240959483,0.02409395374,0.02318124337,0.02328489814,0.02314122893,0.02378180416,0.02415602073,0.02355815916,0.02225493959,0.02033039277,0.01838246557,0.01662241212,0.01500370219,,
