Homicide 15-29 all,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Totalt
Argentina,,,,,,,,,,,,,,,,,6.150066,8.336418,9.195576,10.21614,10.54855,,,,,,,16.43687,9.194626,4.489204,4.580719,4.806769,5.107858,5.018986,6.879683,7.382514,8.406837,8.527531,8.729055,9.474247,7.517523,6.326775,6.58955,6.332115,6.168481,5.831279,6.853279,7.455451,7.863725,8.741843,10.42395,12.54808,13.48608,12.3663,9.547773,9.074132,8.468966,7.1849,,296.261851
Australia,0.9991199,1.291138,1.715075,0.9230874,1.529231,1.001592,1.081378,1.564606,1.325401,1.526831,1.652152,1.638851,1.155085,1.363099,1.707288,1.463528,1.54989,1.701127,1.649052,1.589322,1.56504,2.384703,1.633469,2.807484,1.972006,1.923281,2.564361,2.266548,2.262708,2.353951,2.727095,2.029514,2.469302,2.336697,2.696673,2.926462,2.280204,3.47356,2.714956,2.43452,3.02897,2.762866,2.470682,2.503809,2.226867,2.132552,2.595404,2.452919,2.052278,2.064027,2.223932,1.822546,2.350477,1.916639,0.9639268,,1.038252,,,110.8555341
Austria,,,,,,0.8726699,0.998197,1.218347,1.214118,1.45917,1.180207,1.432146,0.9660615,0.7083678,1.118021,0.901993,1.410695,0.6960258,1.192393,0.7387798,1.717497,1.175511,1.760321,2.229384,2.030238,1.783476,1.628397,1.341136,2.025782,1.62882,1.652122,1.483278,1.547362,2.005232,1.036867,1.437487,1.140796,0.8192144,1.151516,0.8239998,1.379091,1.100239,1.729032,1.5721,0.764274,0.786909,0.595155,0.7766963,0.9518171,0.4791522,0.7859573,0.5921211,1.046835,0.6125321,0.5381482,0.5822336,0.5742602,0.6938318,0.3838835,62.4698964
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.247733,3.17683,,,2.500165,2.942188,3.019909,3.550091,2.00841,8.587761,7.053849,120.2516,108.2268,174.2986,19.06611,14.29264,13.31129,11.40487,9.188505,4.634257,,,,,,,,,510.761608
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.269603,0,,,,,,,,,0.702404,1.157971,0.666917,1.383336,0.9115193,,,,,,,,6.0917503
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.616762,6.327548,,,4.334188,5.149782,5.538764,5.501276,8.031669,9.410233,7.674395,9.925155,10.80425,11.90056,12.58172,,11.7602,12.85127,12.11792,10.56089,9.2011,9.533714,6.846095,,,,3.922075,,178.589566
Belgium,,,,,0.7267178,0.6736209,0.5792979,0.5302674,0.6499128,0.5843698,0.6043643,0.4934732,0.4464556,0.6206817,0.6330127,0.8557705,0.8005115,1.014517,0.7347905,0.6420867,1.112734,1.146259,1.242347,0.97364,0.9626924,1.020749,0.9617943,0.8234634,1.632615,1.918772,1.667382,1.218919,0.8103265,1.290566,1.633691,2.347603,1.959918,1.564604,1.322911,1.867665,1.263985,2.016476,1.56464,2.522619,1.692288,1.714339,2.024578,2.421218,2.269871,2.30912,,,,,1.92347,,,,,59.7911059
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0837135,0.2424415,0.4078533,0.1613442,0,0.0755071,0.1575149,,,,,,,,,,,,,,,,,,1.1283745
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.51602,22.61244,26.08934,26.28724,29.08852,29.79918,29.42853,37.15508,41.38108,38.11572,34.33349,36.74878,39.9559,44.40718,45.25735,47.36201,49.59199,49.45415,52.44843,54.35717,56.45786,57.2776,53.66858,51.89421,,,,973.68785
Bulgaria,,,,,,,,,,,,,,,2.261348,2.523502,3.0885,2.480253,2.648649,3.667917,2.516893,3.58712,3.150496,2.953188,3.334777,3.012296,2.615272,2.462277,2.968309,2.159367,3.379988,3.668863,4.314243,3.163004,3.712074,3.324592,3.292303,2.944107,2.665426,3.205276,4.104209,4.889118,5.644844,5.653197,5.877387,6.047793,5.886107,4.360298,3.915963,2.759674,3.47953,2.886625,2.280998,2.55603,2.892172,1.402061,1.269921,1.406426,1.626255,148.038648
