CME under 5 mortality,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,401.1,394.4,387.7,379.8,373.3,366.4,360,353,346.4,339.8,333.7,327.3,321.7,315.7,309.3,304.5,299,293.2,287.2,282.2,277.6,273.2,268,264.2,259.4,254.4,249.1,243.8,236.6,229,221,213.1,205.2,198.9,192,184.1,176.8,169.6,162.9,158,152,146.9,143.7,139.8,136.2,132.8,129.2,125.9,122.7,119.4,116.3,113.4,109.7,106.7,103.9,101.1
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,50.1,48.4,47.2,45.6,44,42.8,41.2,39.6,38.3,37.1,35.8,34.6,32.7,31.1,29.3,27.8,26.3,25,23.5,22.2,21,19.7,18.7,17.8,16.9,15.8,15,14.3
Algeria,,,,,,,,,,,,,,,,,,,,,,,278.2,271.8,268,263.2,257.1,252.8,247.6,243.1,237.7,234.1,229.1,224.4,219.9,215.6,211,207.2,202.5,198.7,195.4,189.6,187.4,183.5,177.5,170.4,163.8,154.7,141.8,129.3,118.2,107.1,97.5,89.2,82.5,77.3,71.8,69.7,67.5,65.6,63.4,61.9,59.6,57.4,54.8,52.5,50.9,49.1,47.5,45.7,43.6,42.3,40.7,39,37.7,36.4,34.9,33.5,32.1,31.3,29.8
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.9,7.5,7.1,6.8,6.4,6.1,5.8,5.5,5.2,5,4.8,4.6,4.4,4.3,4.1,4,3.9,3.7,3.6,3.5,3.3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.2,286,282.4,278,273.8,269.1,265,259.9,256.3,251.4,247.1,243.2,239.1,235.4,230.9,226.3,221.7,217.2,212.1,207.8,203.5,199.3,195.4,191.2,187.1,183.3,179.1,175.6,172,167.4,164.5,161,157.6
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,24.9,23.4,22,20.8,19.9,18.7,17.8,16.8,15.7,14.8,14,13.1,12.4,11.7,10.9,10.4,9.7,9.1,8.6,8.1,7.6
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,57.5,58.7,58.6,58.4,58.8,58.2,57.9,57.7,57.6,58.1,56.6,55.1,53.7,51.2,47.6,44.3,41.2,38.3,36.4,34.8,33.4,32.1,30.8,29.7,28.7,27.6,26.6,25.7,24.9,24.2,23.4,22.7,22,21.4,20.8,20.3,19.7,19,18.4,17.8,17.2,16.7,16.1,15.5,15,14.5,14.1
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,84.3,80.7,77.7,74.2,71.4,68.4,65.5,63.1,60.4,57.9,55.6,53.4,79.3,49.1,47.2,45.3,43.4,41.7,39.8,37.9,36.1,34.3,32.8,31.3,29.8,28.3,27,25.7,24.7,23.2,22.3,21.1,20.2,19.2,18.3,17.5
Australia,,,,,,,,,,,,,,,,,,33.3,32.6,31.7,31,30.2,29.5,28.7,28,27.3,26.6,26,25.5,24.9,24.3,23.8,23.3,22.9,22.5,22.2,22,21.7,21.4,21.1,20.5,19.8,19,18.1,17.2,16.3,15.4,14.5,13.8,13.2,12.7,12.3,11.9,11.5,11.2,10.9,10.5,10,9.6,9.1,8.6,8.2,7.8,7.4,7.1,6.9,6.7,6.5,6.4,6.2,6.1,6,5.9,5.7,5.6,5.5,5.3,5.1,4.9,4.7,4.5
Austria,,,,,,,,,,,,,,,,,,,,,,,60,57.2,54.6,52,49.5,47,44.8,42.6,40.4,38.3,36.3,34.6,33.2,32,31,30.2,29.5,28.8,28,27,25.8,24.3,22.7,21.2,19.8,18.5,17.3,16.3,15.5,14.8,14,13.2,12.5,11.8,11.2,10.6,10,9.4,8.9,8.4,7.9,7.4,6.9,6.5,6.2,5.9,5.7,5.6,5.4,5.3,5.2,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2
