Homicide 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515159,0.8059354,0,1.027207,0.8280212,1.208684,0.2796898,0.2927764,0.7120406,1.673563,1.405085,1.337669,0.3767799,0.3983101,0.3983101,0.3275434,0,0.5691859,1.021264,0.3961821,0.3194494,0,0,0
Spain,,0.0663273,0.079419,0.026386,0.0864696,0.0898679,0.1473334,0.2239514,0.0469518,0.0224852,0.0125389,0,0,0,0,0.0653619,0,0,0.0113848,0.0988615,0.12167,0.1365738,0.0951728,0.0321354,0.1143887,0.2801418,0.0825182,0.1236764,0.1239394,0.191486,0.1261001,0.1311949,0.1424788,0.139454,0.1602417,0.1813961,0.1993174,0.2875659,0.0875484,0.1763275,0.2330519,0.1848209,0.1494107,0.1951314,0.0840902,0.033493,0.1842486,0.1216424,0.1007122,0.1538027,0.1413933,0.1553451,0.2203099,0.0820647,0.2905124,0.1582085,,,
Sri Lanka,0.8010162,0.7863211,0.8309085,0.7755107,0.754789,0.8364115,0.7181108,0.5213058,0.7266353,0.6109442,0.6125274,0.1468636,0.3865885,0.6133591,0.3935326,0.2748478,0.3990683,0.4001329,0.2770143,,,,,,,,,0.9092809,,,0.4679901,0.6419777,0.3648452,0.812785,0.4894889,0.7763907,0.4682976,,,,,,,,,,,,,,,,,,,,,,
Sweden,,0.7635451,0.6514933,0.9257938,0.9279194,1.243162,1.395488,0.9084622,0.7240733,0.6268845,0.7076178,0.5105435,0.6413506,1.266205,0.8031188,0.670426,0.7855411,0.6565264,0.666062,0.8086933,0.8271917,0.8220071,0.7792069,0.5859646,0.4714065,0.5343114,0.3620322,0.4146537,0.1780106,0.7388427,0.563601,0.8956676,0.6166474,0.4700296,0.1890657,0.6120893,0.4020235,0.4753293,0.6014086,0.1915309,0.9080599,0.5537539,0.6631489,0.5898419,0.2425585,0.531168,0.3542945,0.0752746,0.3278739,0.1878057,0.2992571,0.413089,0.4100423,0.1292348,0.568872,0.1378503,0.1236494,0.1357088,
Switzerland,,2.849118,1.513417,1.825788,1.572813,2.529326,1.04374,1.099532,1.000497,1.480384,0.912876,0.7484229,1.149831,1.332069,1.05212,0.8901415,1.257104,0.8782493,0.8243999,0.3459623,0.9154686,0.6329501,1.319232,0.5816292,0.8865145,0.7037652,0.9793279,1.093741,0.578873,0.7393285,1.04832,0.6726371,0.7657328,1.24929,0.9059073,1.919008,0.8722419,1.355133,1.077674,0.4392896,1.216289,0.9381949,0.9928998,1.321284,0.4854611,0.3241876,0.8776013,0.4035962,0.2647936,0.3285913,0.6929852,0.5801388,0.5041746,0.5401175,0.6101586,1.392001,0.6296508,0.3525676,
Trinidad and Tobago,,0,2.261708,1.339488,2.077077,0.8444721,0.6668852,1.581936,0.3532712,,0.570306,0.4842719,0.7168222,1.329729,,,,1.19318,1.129013,,0.9490816,0.3139832,0.7153929,1.288257,0,0.9203493,1.374777,0.9726188,1.842406,0.5134595,0.3135915,0.2811664,0.3036812,0.8079844,0.5390306,0.727016,0.9750174,2.163785,0,2.068621,1.168162,2.024912,1.605232,2.781203,1.063727,3.135765,1.208926,2.805592,2.151064,0.353396,3.050996,3.910862,0.3714575,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5498523,0.5337893,,,0.3104104,0.3519462,0.2732918,1.056365,0.3482965,0.3362288,0.1439821,0.2485353,0.6238242,0.2856533,0.1595481,0.4245256,0.4336558,0.2749148,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7137852,0.7654355,,,0.6227928,0.8079846,0.9293313,0.9190439,0.9419246,0.8405717,0.93758,0.8503994,1.412572,1.122854,1.482429,1.66256,1.639214,1.238308,1.567803,1.532143,1.429878,1.397045,1.26267,1.089952,0.9374388,1.213327,,
United Kingdom,0.6170401,0.5183407,0.5120102,0.7036149,0.7887876,0.7315749,0.5808066,0.857383,0.544359,0.6919305,0.7095373,0.5539562,0.7092965,0.6484278,0.7252777,0.6734278,0.7517176,0.7335737,0.8863079,0.7902933,0.7596071,0.8003076,0.9696699,0.9826341,0.9815795,0.8449704,0.9299916,0.8435138,0.9702815,0.8840832,0.5001115,0.3711001,0.5718552,0.5478246,0.5673779,0.5779628,0.4565247,0.4253992,0.6014073,0.4997525,0.3899146,0.4518564,0.316449,0.5673764,0.459905,0.4078758,0.6567783,0.32508,0.2697006,0.3931631,0.4596795,0.3084812,0.1941212,0.195827,0.1579129,0.1519629,0.1046569,0.1117936,
United States,0.829125,0.7478704,0.7380419,0.7061849,0.779996,0.6740532,0.7228584,0.6550694,0.7447672,0.846177,0.8570048,0.9524295,0.9717218,1.037892,1.107108,1.112043,1.131585,1.212057,1.19813,1.223647,1.358342,1.582554,1.436138,1.748372,1.66152,1.707887,1.71884,1.87745,1.843081,1.752965,1.862925,1.948652,1.988529,1.672843,1.932913,1.844648,1.985884,1.929173,2.162444,2.280124,2.254507,2.384352,2.379764,2.579402,2.371283,2.315564,2.234631,2.02475,2.081811,2.003128,1.863171,1.8281,1.828434,1.758301,1.722072,1.697097,,,
Uruguay,,,,,,0.7815184,1.269163,0.3175508,1.19464,0.3011279,0.858966,,,0.5639423,0.9467649,0.5441575,0.5424086,1.176234,0.4888199,0.5507702,1.04855,0.7612136,0.4842033,0.7213092,1.201013,0.7808197,1.564885,1.042249,0.1278977,,0.7658786,1.004974,0.3670613,0.3786826,0.2486372,0.7578098,0.6488495,0.4924175,0.8573472,0.7318714,0.6370287,,,0.8847755,0.754666,0.491644,1.138742,1.496774,0.6359342,0.7674438,1.430188,1.253063,,,1.43651,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.464605,1.358299,,,0.4471555,0.5587941,0.3105077,0.4511372,0.3912432,0.4646913,0.3693832,0.3722853,0.2967096,0.2542707,0.2929635,0.5354638,0.3633258,0.3167461,0.2260182,0.2253751,0.4259595,0.4288326,0.2658766,0.3272528,0.2903242,,,
Venezuela,,,,,,0.7031969,0.4503568,0.5784468,0.5542349,0.6805038,0.8034328,0.7606693,0.8467044,1.062698,0.8776742,0.4897322,0.608213,0.5192326,0.5771647,0.6557596,0.7135783,0.7592801,0.789681,0.7241837,0.6105898,0.6848655,0.6250915,0.5661952,0.5190836,0.4579673,0.6483421,0.5153205,0.8188741,0.6699528,,0.754829,0.6334084,0.4437214,0.8783801,0.9911851,1.305452,,1.087375,1.377776,1.423103,,1.34423,1.26405,1.074333,1.239891,1.619054,1.792271,1.759287,1.838497,1.943298,1.574069,,1.805877,
Czechoslovakia,,,,0.9003357,1.069028,1.494053,1.495936,1.004068,0.8741592,1.002908,0.9429992,0.922786,1.296439,1.292061,1.117702,1.086618,1.190638,1.404086,1.018962,1.2095,1.427906,1.234367,1.131935,0.9662174,1.001172,1.013184,0.5950164,1.026264,0.7440806,0.8505671,0.6774505,0.8278433,0.9197969,0.9910903,0.8128296,0.6674984,0.6864039,0.6801358,0.6606676,0.474625,0.7780662,0.822616,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.3258027,0.5321924,,,,,,,,,,,,,,,0.7485086,0.6604021,,,,,,,,,,,,,,,,,,
West Germany,,,1.372166,1.530242,1.550837,1.537457,1.402443,1.514079,1.350916,1.149381,1.084408,1.35134,1.215916,1.084313,1.311263,1.111477,1.108014,1.298123,1.227211,1.072207,1.19651,1.006444,1.042353,1.123497,1.000052,0.9151393,1.126787,0.9413909,1.113362,0.8467951,0.8636879,0.8101716,0.9177447,1.008748,0.9451411,0.8253211,0.911676,0.7875788,0.8113155,0.5815685,0.5766008,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.048732,0.9732437,0.8706539,0.8257931,0.813355,0.7659603,0.8619792,0.8482451,0.8665863,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,1.386992,1.066262,,,,,,,,,0.6698188,0.5582523,0.6544523,0.775834,0.9887455,0.5969909,0.4106095,0.5157421,0.5940699,0.3573656,0.4173798,0.4349202,0.3725229,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500575,0.1798171,0.3512842,0.04255,0.9842721,0.5705369,,,,,,
