Homicide 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Costa Rica,,,,,,,,,,,,,0.1797536,0,0.1491958,0.5854825,0.3007977,0.300716,0.2320046,0.8035187,1.204928,0.6705934,1.107226,1.005654,0.3554011,0.8467696,1.098824,0.3695455,0.4469708,0.3530185,1.829956,0.737053,0.7564173,0.6163139,0.7597417,0.9741133,1.46638,1.542387,0.3541013,1.811288,0.64604,1.026397,0.5954874,0.5985297,0.4454615,0.5944751,0.7711412,0.7607456,0.624575,0.5194921,0.4971793,0.3432136,0.3357649,1.267691,0.9250533,0.9583733,0.4101121,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161437,1.274302,0.7808613,0.7040048,0.5626839,0.3608063,0.8082414,1.17704,1.031734,0.9259771,0.6858803,0.1090708,0.5581832,0.9882666,0.4824465,0.5122907,0.4662613,0.1725353,0.301833,0,0.1633451,0.1646684,0.3159152,0.1668811
Cuba,,,,,,,,,,,,,,,0.8022169,,,,0.9978847,0.5890909,0.9034671,0.8454447,1.005318,1.673713,1.173594,0.9851835,0.7543185,1.172979,,,,,,,,,,,,,,,1.301745,1.320594,0.789496,1.145522,0.6477059,0.903143,0.5579721,0.8804462,0.977816,0.628834,0.5858388,0.741024,0.7906376,0.7159606,0.7153817,0.5989156,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,0,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913699,0.6652681,0.4693524,0.5661616,0.8852645,0.8279841,0.9343634,1.149243,1.243034,1.031626,0.27307,0.3402735,0.4413867,0.700818,0.7086276,0.5038753,0.2918062,0.3283311,0.397306,0.0696882,0.0669371,0.6148177,0.0651743
Denmark,,2.451933,2.087549,2.283202,1.538976,0.7673518,2.074397,1.049713,1.125113,0.5942886,0.9744535,0.4563938,0.9713946,1.165941,0.8733339,0.7894762,0.7388526,0.6684236,0.7826386,0.7843728,0.5131443,0.7906662,0.7688868,1.243439,0.4319765,0.4378363,0.8068383,0.5670793,0.4407339,1.120554,1.30615,1.390976,0.5844343,0.9098083,0.9006737,0.8319365,1.538264,0.6062095,1.068614,1.070783,0.5767202,0.6814733,0.7523876,1.140422,0.6156257,0.5334286,0.4124241,0.3102043,0.72227,0.2094613,0.7180415,0.5041699,0.1085077,1.217601,0,0.6054857,0,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.709429,0.5261284,0.5782874,0.6363994,0.664908,0.5663006,0.4247169,0.2196053,,,,,,,0.0992431,,,,,,,,,,,,,0.0084773,,,,,,,,0.0436625
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.654586,3.377578,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.216062,1.206555,,,2.048177,2.104319,2.326094,0.5698714,0.5667605,1.175184,0.6908697,3.640413,3.106421,2.097018,2.383893,0.9858918,0.6575767,1.262562,3.214396,2.13586,0.5531815,0.4967139,1.441128,0,1.021892,0,1.534365,0.9099613
Finland,,,1.880447,2.479051,2.497324,1.803102,2.243956,2.598658,1.828833,1.317417,2.468261,1.299734,1.509148,1.350717,1.287882,1.471428,1.820287,1.072654,1.492472,1.018451,1.038513,1.842125,1.797325,1.035036,0.6331449,0.5966397,1.036947,1.169506,0.3240025,0.6256223,0.965923,0.5513847,0.9504935,0.8414313,1.060183,0.9580682,1.397894,0.8708572,0.2277917,1.049082,0.5358462,0.6208779,0.5193478,1.128208,0.6207083,0.9428664,0.9731932,0.6221953,0.3305211,0.5262847,0.8461565,0.5257136,1.229265,0.36145,0.4478128,0.7055174,0.3515826,0.6870375,0.4410431
