"SBP male (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Bhutan,122.6822,122.8407,122.9865,123.1498,123.3047,123.4433,123.6011,123.8154,124.0225,124.1988,124.3787,124.5276,124.6725,124.8112,124.9364,125.0881,125.2452,125.4048,125.5782,125.7667,125.9574,126.1686,126.3632,126.5382,126.6836,126.835,126.9573,127.071,127.1796
Bolivia,130.244,130.0872,129.8725,129.5899,129.2954,128.9791,128.6959,128.4638,128.2902,128.0897,127.9152,127.7252,127.5205,127.3352,127.2074,127.0574,126.9582,126.889,126.8888,126.9023,126.9434,127.0038,127.0869,127.2003,127.3516,127.541,127.7494,127.969,128.1917
Bosnia and Herzegovina,131.8165,132.1278,132.3998,132.6377,132.8645,133.0697,133.1989,133.2546,133.2558,133.1962,133.1055,132.8523,132.4668,131.9561,131.4639,131.1335,131.025,131.0083,131.0952,131.2412,131.5207,131.8051,132.0737,132.3089,132.5608,132.7762,132.9634,133.149,133.3159
Botswana,131.8298,131.9225,132.0206,132.0733,132.159,132.2069,132.2239,132.2701,132.3501,132.4836,132.6312,132.7559,132.8638,132.9057,132.8159,132.7238,132.6208,132.542,132.4829,132.4495,132.4809,132.5316,132.6175,132.7119,132.8586,133.0297,133.2083,133.3571,133.5112
Brazil,136.6203,136.3863,136.1193,135.7973,135.4749,135.1908,134.9303,134.6597,134.3477,134.0351,133.6462,133.2404,132.8302,132.3708,131.9315,131.565,131.224,130.9687,130.7886,130.7013,130.7314,130.8186,130.9997,131.2078,131.518,131.8909,132.3472,132.8638,133.4022
British Virgin Islands,133.1897,133.0259,132.8282,132.6194,132.4035,132.1565,131.9027,131.7243,131.5725,131.4322,131.3926,131.447,131.5786,131.7737,132.0182,132.2894,132.5347,132.7532,132.942,133.1353,133.3395,133.5185,133.6915,133.8553,134.0475,134.295,134.5795,134.8916,135.2066
Brunei,137.7054,137.0821,136.4662,135.8291,135.2012,134.5478,133.9703,133.5269,133.0452,132.664,132.38,132.1003,131.744,131.4112,131.1719,130.8539,130.5505,130.3283,130.1335,129.9487,129.7312,129.4804,129.1753,128.9007,128.6853,128.4627,128.3144,128.1495,127.9886
Bulgaria,134.9506,135.1541,135.3325,135.504,135.6538,135.7453,135.8053,135.8156,135.8007,135.7647,135.6777,135.522,135.3299,135.119,134.8883,134.6791,134.4704,134.2704,134.0941,133.9403,133.858,133.8393,133.827,133.8166,133.8564,133.9319,134.0152,134.1078,134.1873
Burkina Faso,131.1054,130.9857,130.7953,130.6213,130.4315,130.233,129.989,129.7246,129.5487,129.3364,129.0973,128.8733,128.6885,128.5423,128.4254,128.3595,128.3721,128.4328,128.5798,128.7614,129.0124,129.2976,129.6161,129.9533,130.2944,130.6252,130.9523,131.2755,131.5922
Burundi,129.6529,129.6887,129.7005,129.6942,129.6886,129.7241,129.8032,129.9119,130.0714,130.2301,130.3925,130.552,130.713,130.8228,130.9101,130.9855,131.0562,131.1443,131.2738,131.4845,131.7248,132.0284,132.3927,132.7852,133.2125,133.6632,134.1373,134.6247,135.1196
Cambodia,119.397,119.3887,119.3788,119.364,119.3725,119.427,119.5236,119.6088,119.747,119.9036,120.0399,120.1855,120.3576,120.5243,120.6985,120.8795,121.1308,121.3952,121.6177,121.8583,122.0701,122.3057,122.5021,122.6947,122.8722,123.0164,123.1227,123.2,123.2436
Cameroon,132.8411,132.6027,132.3929,132.1944,131.9618,131.7522,131.5111,131.198,130.8344,130.4399,130.0658,129.703,129.3174,129.0054,128.747,128.5558,128.4545,128.4355,128.4985,128.5947,128.774,128.9917,129.2626,129.5595,129.903,130.2584,130.5952,130.9404,131.2896
Canada,131.0402,130.9155,130.7018,130.5128,130.3074,130.136,130.0098,129.9283,129.9012,129.8791,129.8233,129.6972,129.5323,129.3001,129.0447,128.7658,128.4153,128.0165,127.6234,127.2328,126.8499,126.4527,126.0435,125.6238,125.214,124.8126,124.4236,124.0326,123.642
Cape Verde,136.7565,136.4493,136.1874,135.8758,135.5782,135.3567,135.1127,134.8933,134.6987,134.5392,134.4464,134.3965,134.2969,134.2101,134.1495,134.2126,134.2437,134.3348,134.5176,134.7505,135.0404,135.3796,135.7461,136.1098,136.4909,136.8748,137.2996,137.7295,138.1368
Central African Rep.,133.7163,133.4999,133.2885,133.0286,132.8236,132.6223,132.4414,132.2487,132.1067,131.9869,131.901,131.829,131.7113,131.6049,131.5216,131.484,131.474,131.5201,131.5859,131.6809,131.8155,131.982,132.1501,132.3143,132.5108,132.7061,132.9166,133.1217,133.3318
Chad,130.3407,130.0967,129.8736,129.7333,129.5942,129.5169,129.455,129.402,129.3774,129.4091,129.4179,129.4111,129.3931,129.3705,129.2325,129.2349,129.2557,129.31,129.3674,129.4757,129.6127,129.771,129.9808,130.199,130.4685,130.7173,130.9338,131.092,131.2404
