"SBP male (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Jordan,127.2848,127.211,127.1623,127.0368,126.912,126.7469,126.5967,126.4154,126.2047,125.9129,125.5619,125.2102,124.9274,124.7451,124.5677,124.4147,124.2934,124.26,124.2819,124.357,124.4755,124.6019,124.6981,124.763,124.868,124.948,125.0292,125.1171,125.225
Kazakhstan,137.0069,136.9304,136.8478,136.7483,136.6324,136.4964,136.3643,136.2059,136.0497,135.8868,135.6769,135.4044,135.1055,134.6727,134.1653,133.7345,133.3677,133.0441,132.9807,133.0979,133.2456,133.4001,133.5181,133.6651,133.8426,133.9942,134.1048,134.213,134.3008
Kenya,128.2376,128.0574,127.8755,127.7061,127.5699,127.4097,127.3535,127.3676,127.4627,127.5839,127.7406,127.8804,127.9677,128.0732,128.1186,128.1702,128.2438,128.3428,128.4757,128.6557,128.8658,129.1398,129.4686,129.8321,130.2566,130.688,131.1557,131.6354,132.1175
Kiribati,127.454,126.9015,126.4378,126.0325,125.7342,125.4696,125.2819,125.1574,125.15,125.1819,125.2405,125.2909,125.3606,125.4674,125.6125,125.761,125.9639,126.1878,126.4405,126.7422,127.0286,127.2943,127.5551,127.7965,128.0044,128.2062,128.3952,128.5721,128.7282
"Korea, Dem. Rep.",129.1002,128.664,128.3253,127.9779,127.6198,127.2781,126.9283,126.6331,126.374,126.1047,125.7715,125.4523,125.1351,124.8279,124.4604,124.0952,123.7931,123.5754,123.4608,123.4435,123.5167,123.651,123.82,124.0233,124.2476,124.4741,124.696,124.9505,125.1831
"Korea, Rep.",125.1877,125.0392,124.9762,124.9527,124.9429,124.9858,125.035,125.2623,125.5164,125.7969,126.1455,126.4384,126.6101,126.6877,126.6883,126.6784,126.7011,126.6267,126.5846,126.5231,126.4511,126.3252,126.1499,125.9738,125.6618,125.2953,124.9147,124.5331,124.1422
Kuwait,135.5765,134.8981,134.2454,133.6328,133.0842,132.5439,132.0673,131.6376,131.1893,130.8239,130.5214,130.272,130.0338,129.8943,129.7883,129.631,129.4559,129.3044,129.0757,128.8678,128.6684,128.5085,128.3063,128.1383,127.9786,127.8357,127.6623,127.5075,127.3793
Kyrgyzstan,133.8028,133.7906,133.7757,133.7486,133.7047,133.638,133.5897,133.5311,133.4681,133.382,133.2686,133.1012,132.8514,132.5999,132.2959,132.0008,131.7603,131.5781,131.5481,131.5055,131.5755,131.7018,131.8918,132.0647,132.2538,132.4499,132.6295,132.8278,133.0216
Laos,122.3038,122.2987,122.2697,122.2377,122.2067,122.1608,122.1349,122.1412,122.1843,122.252,122.3245,122.4011,122.511,122.6562,122.8245,123.0366,123.2445,123.4785,123.7263,123.9996,124.2244,124.4647,124.6736,124.9226,125.1735,125.4267,125.6991,125.9608,126.2132
Latvia,138.7732,138.7139,138.6501,138.5768,138.4727,138.3217,138.1622,138.0218,137.8718,137.7181,137.5266,137.2815,136.8916,136.4889,136.1137,135.9057,135.6601,135.5178,135.4591,135.4674,135.5433,135.5766,135.6879,135.821,135.9864,136.1742,136.3905,136.592,136.7529
Lebanon,131.9719,131.7119,131.3487,131.0406,130.8158,130.6286,130.4068,130.1415,129.7961,129.2718,128.8347,128.5031,128.2757,128.0941,127.948,127.8382,127.7739,127.703,127.6795,127.7004,127.7456,127.7746,127.8966,128.0373,128.1908,128.3365,128.4946,128.6859,128.8727
Lesotho,128.6312,128.6818,128.7342,128.7226,128.7145,128.6837,128.663,128.6655,128.7093,128.7521,128.7846,128.77,128.751,128.743,128.7159,128.7486,128.7797,128.8406,128.9233,129.052,129.2294,129.4426,129.675,129.9527,130.2637,130.5856,130.9328,131.2942,131.6563
Liberia,134.2041,133.8063,133.3962,132.9978,132.5765,132.2104,131.8643,131.5981,131.3732,131.0454,130.8143,130.5403,130.2859,130.0789,129.946,129.843,129.8102,129.8386,129.918,130.0917,130.3354,130.6494,130.9844,131.2533,131.5467,131.8362,132.1358,132.4533,132.7743
Libya,141.705,140.9658,140.2135,139.4652,138.706,137.9395,137.145,136.3587,135.6127,134.9045,134.1949,133.6066,133.0673,132.6023,132.2174,131.9379,131.7667,131.7041,131.7392,131.8768,132.1041,132.462,132.8741,133.3528,133.9192,134.527,135.2037,135.9149,136.6497
Lithuania,140.0776,140.0018,139.9218,139.821,139.6825,139.5037,139.3127,139.1353,138.9582,138.7618,138.5477,138.305,137.9741,137.6084,137.1993,136.8685,136.5501,136.2507,136.0126,135.8969,135.8528,135.8835,135.9676,136.1134,136.3313,136.5718,136.8258,137.0706,137.2822
Luxembourg,139.621,139.0046,138.3997,137.8215,137.267,136.7852,136.4272,136.182,135.986,135.8418,135.6998,135.5601,135.3626,135.122,134.8533,134.5522,134.2337,133.9065,133.6106,133.3345,133.0301,132.7392,132.4368,132.1412,131.8655,131.6012,131.3817,131.1578,130.9218
"Macao, China",134.3374,133.9039,133.4302,132.9515,132.4847,131.9928,131.5328,131.1431,130.8006,130.4733,130.1652,129.8642,129.5912,129.3191,129.0569,128.8058,128.5522,128.328,128.1126,127.942,127.808,127.7139,127.6493,127.6358,127.6639,127.6974,127.7513,127.8099,127.8373
"Macedonia, FYR",136.2127,136.2811,136.3266,136.3562,136.3346,136.3005,136.2389,136.1295,135.9954,135.7945,135.5424,135.228,134.8611,134.5468,134.2484,133.9949,133.7588,133.5238,133.3376,133.2543,133.2276,133.2303,133.3158,133.4161,133.5149,133.6407,133.7667,133.8998,134.0256
Madagascar,130.6493,130.4674,130.3153,130.126,129.975,129.8489,129.7805,129.7703,129.8331,129.9074,130.0019,130.1126,130.2016,130.292,130.3839,130.4702,130.5711,130.697,130.844,131.0367,131.274,131.5476,131.8243,132.1295,132.4676,132.8668,133.2837,133.7134,134.163
Malawi,130.2455,130.165,130.065,129.9469,129.8576,129.773,129.7404,129.7276,129.6986,129.6936,129.7198,129.7871,129.8595,129.9524,130.05,130.1951,130.3906,130.6386,130.9273,131.2767,131.679,132.1084,132.5868,133.1279,133.7131,134.3282,134.9758,135.6409,136.3253
Malaysia,127.3278,127.172,126.9662,126.7576,126.5523,126.3517,126.1521,126.0207,125.9259,125.8481,125.838,125.8524,125.8714,125.9116,125.9867,126.0895,126.1976,126.3277,126.3882,126.4364,126.5263,126.624,126.736,126.839,126.8915,126.9207,126.9297,126.9144,126.9059
Maldives,124.4417,124.3978,124.2685,124.2403,124.3278,124.4324,124.5152,124.6407,124.8069,124.8753,124.986,125.0776,125.2243,125.3743,125.5212,125.6259,125.7419,125.8871,126.0759,126.2915,126.5164,126.7355,126.9671,127.174,127.383,127.5675,127.6951,127.7785,127.8368
Mali,127.9186,127.8711,127.694,127.5344,127.3398,127.0105,126.739,126.505,126.2753,126.1258,126.0121,125.9354,125.9026,125.8674,125.8687,125.8735,125.9022,125.9692,126.0501,126.1777,126.2902,126.4248,126.5738,126.7429,126.8919,127.0582,127.2321,127.3856,127.5478
Malta,136.5557,136.1765,135.7571,135.2852,134.8284,134.4441,134.113,133.865,133.6654,133.531,133.3931,133.3252,133.276,133.1882,133.0753,132.9887,132.8627,132.7771,132.6734,132.5893,132.537,132.4823,132.3861,132.3083,132.221,132.1193,132.033,131.9197,131.8274
Marshall Islands,127.4392,127.1812,126.9324,126.7121,126.5114,126.2974,126.21,126.1995,126.2159,126.2339,126.2978,126.3462,126.381,126.4074,126.4172,126.4364,126.4354,126.4145,126.4554,126.4864,126.5519,126.6487,126.7459,126.8887,127.0506,127.2026,127.3439,127.4849,127.6025
Mauritania,134.1249,133.8481,133.5209,133.1328,132.7214,132.3273,131.9844,131.666,131.3851,131.1392,130.9203,130.7214,130.5349,130.3716,130.2629,130.2016,130.1678,130.1713,130.2049,130.3206,130.5008,130.73,130.9867,131.2714,131.5529,131.8319,132.1166,132.3835,132.6505
Mauritius,133.8192,133.6608,133.4924,133.3027,133.1174,132.9581,132.851,132.8212,132.8573,132.8873,132.93,132.9893,133.0308,133.0399,133.0257,132.964,132.9014,132.8685,132.8575,132.8729,132.9363,133.0326,133.1597,133.3312,133.5134,133.7286,133.9692,134.1888,134.4255
Mexico,129.7175,129.5213,129.2622,128.9411,128.6278,128.3077,127.9642,127.6692,127.3621,127.0625,126.8098,126.5708,126.3416,126.1154,125.9282,125.728,125.5625,125.4397,125.3534,125.3178,125.3375,125.3722,125.4426,125.5481,125.7031,125.9172,126.1663,126.427,126.6948
"Micronesia, Fed. Sts.",129.9958,129.8509,129.7062,129.5708,129.4347,129.3506,129.314,129.3318,129.3862,129.4604,129.5443,129.6674,129.799,129.9363,130.0742,130.238,130.3867,130.5553,130.7088,130.8465,131.0479,131.2509,131.4297,131.6029,131.7428,131.8434,131.9484,132.0317,132.0916
Moldova,135.9049,135.9249,135.9378,135.9312,135.885,135.8204,135.7262,135.598,135.4367,135.2263,134.9414,134.5351,133.9748,133.4375,132.9546,132.571,132.3146,132.1313,131.9537,131.8757,131.9851,132.0587,132.2157,132.4022,132.6168,132.853,133.106,133.4755,133.8282
Mongolia,135.0935,135.1196,135.1363,135.1156,135.0906,135.0712,135.0617,135.0594,135.0235,134.9857,134.9513,134.8816,134.7948,134.7169,134.6573,134.5679,134.4592,134.4359,134.4881,134.5891,134.6909,134.7944,134.9087,135.0854,135.3368,135.603,135.8726,136.2066,136.5868
Montenegro,137.1238,137.175,137.1926,137.2149,137.191,137.1415,137.0824,137.025,136.9529,136.867,136.7322,136.546,136.2493,135.7619,135.3725,135.0495,134.8555,134.6969,134.6241,134.5899,134.6432,134.756,134.8889,135.0287,135.1496,135.2429,135.3234,135.3729,135.4189
Morocco,127.8159,127.6906,127.5758,127.44,127.2623,127.1018,126.9485,126.7746,126.652,126.5607,126.4049,126.2924,126.234,126.1858,126.1451,126.0744,126.016,125.9767,125.9736,126.0055,126.101,126.1857,126.3062,126.4359,126.5349,126.6718,126.781,126.9329,127.0937
Mozambique,133.3791,133.2352,133.0908,132.9238,132.7198,132.4575,132.3218,132.2887,132.3011,132.3938,132.5182,132.6368,132.7031,132.7905,132.9022,132.9811,133.0618,133.2034,133.4238,133.6664,133.9509,134.3262,134.7484,135.1954,135.6542,136.1284,136.5796,137.0187,137.4502
Myanmar,120.2104,120.197,120.1837,120.1837,120.1733,120.1955,120.2195,120.2312,120.2167,120.2572,120.4064,120.5748,120.7749,120.9811,121.2159,121.4651,121.7448,122.0435,122.3588,122.671,123.0062,123.3446,123.6783,124.0253,124.3619,124.6894,124.9954,125.2654,125.4962
Namibia,137.2583,137.0569,136.8471,136.6031,136.3496,136.1103,135.9002,135.6885,135.4951,135.3272,135.1358,134.9852,134.8277,134.6498,134.4894,134.3342,134.1894,134.1135,134.0842,134.1235,134.254,134.3757,134.5155,134.7276,134.9775,135.2483,135.5237,135.8115,136.093
Nauru,135.5285,135.3158,135.1003,134.8748,134.6556,134.4428,134.2936,134.156,134.0465,133.9299,133.8203,133.7043,133.5613,133.4186,133.2677,133.1369,133.0318,132.9561,132.9392,132.9538,133.0287,133.1253,133.2462,133.379,133.4995,133.6231,133.7198,133.8025,133.8735
Nepal,123.8241,123.8392,123.9022,123.8861,123.8966,123.9163,123.9635,123.9618,123.9328,123.8895,123.9021,123.9301,123.951,124.0009,124.0528,124.1137,124.1896,124.2808,124.3748,124.49,124.6362,124.7787,124.9196,125.0334,125.1036,125.1632,125.2217,125.2778,125.3313
Netherlands,138.6991,138.1146,137.5113,136.9012,136.3247,135.7858,135.343,134.9824,134.6661,134.3874,134.1406,133.8821,133.6501,133.4274,133.1808,132.9726,132.7512,132.562,132.4023,132.2748,132.1376,132.0219,131.9032,131.7556,131.5972,131.48,131.3971,131.2736,131.1626
Netherlands Antilles,137.1997,137.0382,136.8121,136.5284,136.1383,135.7191,135.2518,134.8202,134.4054,134.0579,133.6796,133.3153,132.9328,132.5938,132.2825,132.0156,131.8029,131.6813,131.5794,131.4863,131.4402,131.4009,131.3284,131.2833,131.3987,131.6067,131.7914,131.9751,132.1605
New Zealand,134.1954,133.85,133.4801,133.1667,132.913,132.6396,132.4191,132.215,132.0095,131.8111,131.5452,131.2524,130.9432,130.6783,130.3754,130.1265,129.878,129.6427,129.3244,129.0486,128.8069,128.613,128.4176,128.2393,128.0288,127.845,127.6254,127.4408,127.2411
Nicaragua,131.6126,131.1715,130.7638,130.3564,129.9494,129.5271,129.1431,128.7708,128.4069,128.0748,127.8902,127.6542,127.4778,127.2719,127.063,126.8891,126.7479,126.6787,126.6633,126.7462,126.8611,126.9716,127.1194,127.3108,127.5634,127.8514,128.1921,128.5762,128.9598
Niger,140.9045,140.4526,139.9534,139.4265,138.7876,138.1563,137.5948,137.0509,136.5437,136.0819,135.6658,135.3502,135.0596,134.8786,134.7562,134.6798,134.6774,134.7396,134.9036,135.1272,135.4146,135.7719,136.1844,136.6665,137.17,137.7292,138.2941,138.852,139.4174
Nigeria,134.4935,134.0183,133.5333,133.033,132.4849,131.961,131.4338,130.9788,130.6301,130.3398,130.1046,129.9125,129.7506,129.6107,129.5136,129.4488,129.4625,129.5262,129.6393,129.7902,130.005,130.2745,130.5772,130.9281,131.3017,131.6876,132.0797,132.4604,132.8452
Norway,142.1456,141.4699,140.8364,140.1829,139.598,139.0803,138.6227,138.2453,137.9464,137.6688,137.3858,137.136,136.8808,136.6383,136.4144,136.2028,136.0263,135.8563,135.698,135.5204,135.3787,135.2536,135.1163,134.9724,134.8698,134.7656,134.686,134.5985,134.5024
Oman,131.6683,131.539,131.4184,131.3006,131.2182,131.1515,131.0595,130.934,130.8143,130.6808,130.5267,130.3537,130.2085,130.0401,129.8892,129.7321,129.6105,129.523,129.4358,129.4068,129.384,129.39,129.4204,129.4453,129.4643,129.4917,129.5183,129.5573,129.6063
Pakistan,125.0727,124.9698,124.846,124.7232,124.6008,124.5002,124.4419,124.3887,124.3724,124.2825,124.2139,124.1931,124.1841,124.1929,124.2248,124.3002,124.4092,124.5397,124.7207,124.9179,125.1357,125.3834,125.6497,125.9227,126.1769,126.4158,126.646,126.851,127.0499
Palau,134.3851,133.7178,133.098,132.5007,131.9852,131.5144,131.1343,130.8244,130.6987,130.632,130.6125,130.5984,130.578,130.5469,130.5267,130.5539,130.5995,130.6509,130.6919,130.7146,130.7553,130.7817,130.8117,130.82,130.8445,130.8497,130.8493,130.8151,130.7756
Panama,131.8722,131.673,131.4841,131.2366,130.9828,130.6942,130.4089,130.2366,129.9561,129.7135,129.4818,129.2935,129.0911,128.8839,128.6932,128.5408,128.4096,128.3443,128.2668,128.3018,128.4004,128.4487,128.5271,128.6501,128.8594,129.0879,129.368,129.6704,129.9783
Papua New Guinea,118.6532,118.6406,118.5835,118.5449,118.5221,118.5526,118.6426,118.7792,118.9472,119.1534,119.369,119.602,119.8658,120.1878,120.4949,120.7492,120.9898,121.2029,121.4063,121.617,121.7913,121.9557,122.0825,122.1991,122.2831,122.357,122.4181,122.4925,122.5505
Paraguay,132.8326,132.8094,132.7229,132.5307,132.342,132.1186,131.8738,131.612,131.3983,131.1945,130.9971,130.8575,130.6865,130.507,130.2919,130.115,129.9212,129.7727,129.6255,129.5248,129.4328,129.4076,129.4565,129.5485,129.6872,129.8807,130.141,130.4297,130.738
Peru,129.6581,129.4485,129.2044,128.8554,128.6134,128.3908,128.1685,128.0222,127.8182,127.5181,127.1908,126.8441,126.4802,126.1649,125.9284,125.7791,125.6367,125.5197,125.4141,125.3438,125.2879,125.2418,125.2429,125.2481,125.2675,125.291,125.3669,125.4751,125.6158
Philippines,126.6025,126.4238,126.2294,126.0869,125.8611,125.5875,125.3626,125.2128,125.1102,125.0278,124.9784,124.9435,124.9091,124.908,124.9286,124.9791,125.0314,125.1307,125.2278,125.344,125.4809,125.6005,125.7407,125.8887,126.0124,126.128,126.2499,126.3497,126.439
Poland,136.7665,136.85,136.8693,136.8824,136.8312,136.7452,136.6426,136.4999,136.3418,136.1405,135.8536,135.515,135.1603,134.7761,134.4277,134.1268,133.8896,133.7215,133.6426,133.6394,133.6787,133.7621,133.8972,134.0609,134.245,134.4294,134.627,134.7934,134.9622
Portugal,138.0721,137.7352,137.3737,136.9949,136.5814,136.195,135.9108,135.7598,135.6603,135.6127,135.6039,135.5804,135.5795,135.5494,135.4989,135.4716,135.4096,135.3767,135.3381,135.3029,135.2337,135.1797,135.1309,135.0633,134.951,134.8441,134.7585,134.6775,134.5676
Puerto Rico,132.0512,131.8223,131.5509,131.2957,131.0441,130.8274,130.6315,130.4741,130.338,130.2241,130.0916,129.9639,129.8288,129.6931,129.5627,129.4298,129.3107,129.2206,129.1611,129.1284,129.1431,129.1839,129.2519,129.3383,129.4595,129.6188,129.793,129.9888,130.1828
Qatar,139.256,138.6248,137.9518,137.257,136.5806,135.858,135.1836,134.5473,133.9737,133.4785,133.0112,132.5682,132.1977,131.8324,131.4944,131.2076,130.9699,130.8359,130.7598,130.713,130.7008,130.6949,130.68,130.683,130.695,130.684,130.6806,130.669,130.6473
Romania,134.7686,134.9776,135.1869,135.3479,135.4715,135.5835,135.666,135.7075,135.6434,135.4972,135.3019,135.066,134.7693,134.4266,134.1254,133.845,133.6193,133.3968,133.2147,133.0405,132.9295,132.8533,132.8372,132.8705,132.92,133.0008,133.0859,133.245,133.4096
Russia,134.6196,134.7259,134.7894,134.8202,134.7958,134.7015,134.5695,134.4131,134.2241,134.0005,133.7289,133.4122,133.0342,132.6492,132.2557,131.8975,131.5741,131.3244,131.1224,131.0058,130.9691,130.9978,131.082,131.2269,131.4116,131.6289,131.8613,132.0923,132.3133
Rwanda,131.8463,131.909,131.9632,132.0013,131.9553,131.937,131.9407,131.9616,131.9897,132.0654,132.0709,132.0575,132.1057,132.0819,131.873,131.8863,131.9566,132.0841,132.2689,132.5057,132.7775,133.0726,133.4516,133.8635,134.2717,134.6874,135.0844,135.5185,135.9554
Saint Kitts and Nevis,134.2442,134.0883,133.8775,133.6409,133.4022,133.1414,132.9315,132.748,132.559,132.3789,132.2278,132.0869,131.968,131.8984,131.913,131.9873,132.0963,132.2439,132.3938,132.6029,132.8463,133.1079,133.4294,133.7833,134.1581,134.5769,135.0172,135.452,135.891
Saint Lucia,131.1014,130.8685,130.6261,130.4244,130.2824,130.1351,130.0793,130.0269,130.0401,130.0883,130.1432,130.2007,130.1957,130.2011,130.1569,130.1538,130.131,130.106,130.1444,130.1943,130.2663,130.3835,130.4953,130.7237,130.954,131.2593,131.576,131.9116,132.2476
Saint Vincent and the Grenadines,129.2384,129.1154,129.0399,128.9577,128.9224,128.8725,128.8638,128.8905,128.9173,128.983,129.0475,129.0453,129.0516,129.0226,128.9236,128.8597,128.8064,128.8017,128.8094,128.8554,128.9641,129.1103,129.3166,129.5396,129.8387,130.1553,130.555,130.9432,131.3273
Samoa,130.2907,130.1969,130.0819,129.9304,129.8106,129.7806,129.7944,129.8745,129.9341,130.0036,130.028,130.0025,129.9626,129.9964,129.9258,129.9365,130.0482,130.1678,130.3549,130.554,130.808,131.1018,131.3581,131.5847,131.788,131.9515,132.1438,132.2794,132.3983
Sao Tome and Principe,138.4622,137.9923,137.6389,137.2058,136.7225,136.3179,135.9188,135.5685,135.2516,134.9173,134.5973,134.2647,133.9548,133.703,133.5682,133.48,133.4632,133.5933,133.7694,134.0141,134.2892,134.6018,134.9578,135.3276,135.7195,136.1348,136.5895,137.0533,137.5228
Saudi Arabia,136.7878,136.2238,135.5365,134.7564,134.0108,133.2471,132.5896,131.9876,131.4106,130.8871,130.3792,129.9737,129.587,129.2118,128.8842,128.5697,128.3145,128.1206,128.0086,128.0318,128.1072,128.2239,128.357,128.5358,128.7172,128.9158,129.0945,129.2996,129.4963
Senegal,133.2086,132.8664,132.5884,132.3211,131.9761,131.6209,131.3553,131.1902,131.0592,130.9166,130.7242,130.5493,130.4544,130.3393,130.2623,130.1995,130.1694,130.201,130.2795,130.4031,130.5727,130.7704,130.9783,131.1965,131.4531,131.7123,131.9591,132.2178,132.4783
Serbia,139.0199,139.1738,139.2908,139.4113,139.4807,139.5272,139.5565,139.5773,139.5639,139.5225,139.4102,139.2417,138.9248,138.4441,138.0558,137.6972,137.4072,137.1606,137.0038,136.8408,136.7849,136.8017,136.8445,136.8977,136.9456,136.9715,136.9807,136.957,136.9296
Seychelles,135.9212,135.9053,135.8361,135.7765,135.6975,135.6802,135.6154,135.6073,135.6275,135.6814,135.7749,135.8331,135.9197,135.9401,135.959,135.9298,135.8729,135.816,135.7581,135.6739,135.6008,135.558,135.5965,135.626,135.5661,135.602,135.648,135.7586,135.8688
Sierra Leone,134.4863,134.3209,134.1496,133.971,133.7886,133.5974,133.4131,133.266,133.1262,132.9912,132.872,132.7414,132.5893,132.4534,132.3975,132.3405,132.3024,132.2486,132.2284,132.2146,132.2823,132.4552,132.701,133.0067,133.3452,133.7296,134.1205,134.4958,134.8643
Singapore,131.6479,131.2713,130.9244,130.5626,130.2339,129.8449,129.5677,129.3751,129.2453,129.1859,129.1028,129.0389,128.9633,128.8914,128.8299,128.796,128.6947,128.5998,128.4814,128.3591,128.2837,128.1804,128.0825,127.9996,127.9077,127.8954,127.876,127.8219,127.7485
Slovak Republic,137.1651,137.2713,137.3646,137.4058,137.4271,137.4116,137.3904,137.3486,137.3434,137.2964,137.2107,137.0255,136.8162,136.6106,136.3229,136.1079,135.9188,135.7852,135.6454,135.5457,135.4513,135.3981,135.4213,135.4391,135.4171,135.4639,135.5131,135.5962,135.6677
Slovenia,138.328,138.4091,138.4519,138.4747,138.4706,138.4404,138.3837,138.3376,138.2759,138.1853,138.0586,137.8693,137.6284,137.4305,137.2435,137.0623,136.876,136.7514,136.6293,136.4879,136.4438,136.4077,136.3886,136.3812,136.3939,136.4031,136.4041,136.3921,136.3767
Solomon Islands,123.9146,123.9152,123.8707,123.7773,123.6955,123.6201,123.5662,123.5614,123.5916,123.7148,123.8841,124.0414,124.2298,124.4034,124.5343,124.6521,124.7901,124.9003,124.9975,125.0735,125.0954,125.1075,125.1272,125.1846,125.2639,125.3711,125.4787,125.5993,125.7259
Somalia,130.7846,130.6281,130.4989,130.3405,130.1878,130.0623,129.9826,129.9671,129.9803,130.0443,130.1053,130.1533,130.1917,130.2277,130.2466,130.2392,130.2737,130.3163,130.3974,130.528,130.7228,130.9514,131.2334,131.5744,131.9349,132.3526,132.7764,133.2337,133.6963
South Africa,135.4393,135.3102,135.1292,134.9389,134.7575,134.5389,134.3236,134.1075,133.9315,133.7526,133.5543,133.3188,133.0511,132.7252,132.4049,132.1,131.8272,131.6066,131.4193,131.3381,131.3462,131.4293,131.6052,131.8501,132.1673,132.5321,132.9425,133.3809,133.8297
Spain,136.5565,135.903,135.2215,134.573,133.9259,133.3066,132.8116,132.437,132.1236,131.8662,131.6128,131.3659,131.1561,130.9723,130.7987,130.6712,130.5561,130.466,130.4032,130.3511,130.3085,130.2827,130.2692,130.2749,130.2459,130.2645,130.3103,130.3582,130.3884
Sri Lanka,126.4659,126.3969,126.2855,126.1346,125.9876,125.8199,125.6924,125.6094,125.5439,125.5352,125.5568,125.5938,125.6525,125.8047,125.929,126.0925,126.2702,126.4565,126.6528,126.8085,127.0136,127.1755,127.3449,127.5245,127.7189,127.8784,128.0338,128.1967,128.3473
Sudan,129.7485,129.692,129.6821,129.598,129.5169,129.3707,129.2655,129.2448,129.2274,129.2749,129.3092,129.3442,129.4025,129.4617,129.5209,129.5944,129.688,129.8193,129.9893,130.1858,130.4723,130.782,131.1555,131.5496,131.9653,132.3969,132.8162,133.2255,133.6285
Suriname,131.1013,130.8687,130.6061,130.2968,129.8857,129.5038,129.1788,128.8061,128.5295,128.3416,128.1805,128.0462,127.9127,127.7704,127.6325,127.48,127.4027,127.4303,127.5057,127.6418,127.7707,127.9929,128.2185,128.4813,128.8021,129.1653,129.5468,129.959,130.3747
Swaziland,133.6435,133.5944,133.4957,133.3667,133.2062,133.0886,132.9746,132.9044,132.8557,132.8405,132.7852,132.7062,132.6156,132.5462,132.4493,132.3809,132.3013,132.2894,132.2788,132.3148,132.4276,132.5499,132.71,132.896,133.1432,133.3861,133.6074,133.8571,134.1334
Sweden,138.8169,138.1323,137.4391,136.761,136.1062,135.5364,135.1006,134.7906,134.5576,134.3727,134.1953,134.0169,133.8186,133.6114,133.4664,133.3366,133.2204,133.1408,133.0646,132.974,132.8921,132.7924,132.6917,132.5799,132.4273,132.2679,132.0793,131.8709,131.6516
Switzerland,138.3033,137.6806,137.0911,136.5006,135.9387,135.4399,135.0187,134.6813,134.3887,134.1333,133.8783,133.6026,133.2975,132.9939,132.6743,132.3727,132.0775,131.7999,131.5607,131.3375,131.1266,130.9939,130.8682,130.773,130.6927,130.6513,130.6158,130.5907,130.5664
Syria,129.6465,129.4852,129.2976,129.1087,128.8909,128.667,128.4251,128.208,128.0772,127.9214,127.7988,127.7216,127.6383,127.582,127.5631,127.5432,127.5609,127.5757,127.6308,127.6596,127.7301,127.8001,127.8332,127.8782,127.9373,128.0314,128.17,128.3461,128.513
Taiwan,128.9099,128.6664,128.3989,128.1417,127.9048,127.6643,127.4662,127.3328,127.2189,127.0814,126.9678,126.8423,126.6727,126.5153,126.331,126.1361,125.9408,125.7442,125.5925,125.4669,125.3547,125.2679,125.1995,125.1747,125.1819,125.2114,125.2255,125.2241,125.2079
Tajikistan,133.8833,133.8822,133.8811,133.8719,133.8405,133.7927,133.7585,133.6942,133.6362,133.5172,133.3562,133.1265,132.7365,132.2909,131.8617,131.4412,131.0934,130.7971,130.5896,130.4575,130.4779,130.5864,130.757,130.9574,131.1956,131.4789,131.7478,132.0538,132.3531
Tanzania,126.3819,126.2886,126.1991,126.1358,126.0755,126.0093,126.0001,126.0331,126.1313,126.2281,126.398,126.5683,126.7498,126.9191,127.0737,127.2076,127.3266,127.5231,127.7049,127.9298,128.1852,128.4926,128.8473,129.2377,129.6877,130.1545,130.6383,131.1181,131.5942
Thailand,122.7923,122.6462,122.4954,122.3155,122.1574,122.0505,121.9525,121.9254,121.9269,122.027,122.1361,122.2606,122.4,122.5873,122.7807,122.9892,123.1889,123.3623,123.4481,123.5515,123.6606,123.7513,123.8858,124.0268,124.1685,124.3049,124.4536,124.6024,124.7366
Timor-Leste,122.4633,122.2881,122.1056,121.9373,121.7916,121.69,121.646,121.6449,121.6943,121.7586,121.9419,122.1353,122.3688,122.6255,122.8943,123.173,123.4586,123.7763,124.1074,124.3223,124.5212,124.7266,124.8872,125.0559,125.2244,125.3939,125.5745,125.7606,125.9609
Togo,134.3251,134.004,133.6427,133.2072,132.8291,132.4221,132.0853,131.7874,131.5199,131.2897,131.0843,130.9182,130.7681,130.5996,130.509,130.4453,130.4492,130.4861,130.5707,130.7102,130.8634,131.0424,131.2482,131.5141,131.793,132.0766,132.3712,132.6703,132.9709
Tonga,126.2658,126.3431,126.4686,126.5827,126.729,126.8711,127.0355,127.2074,127.3815,127.5337,127.6968,127.8646,128.0247,128.1629,128.2954,128.4627,128.6293,128.8039,128.9687,129.1536,129.3466,129.5481,129.7242,129.9002,130.0661,130.1852,130.3268,130.4528,130.5589
Trinidad and Tobago,131.5946,131.4406,131.2521,130.9876,130.6953,130.4239,130.0647,129.7454,129.4363,129.1632,128.9189,128.7197,128.574,128.4438,128.3708,128.3062,128.2877,128.3081,128.3609,128.4687,128.6093,128.7971,129.0252,129.2988,129.5969,129.9068,130.2611,130.6266,130.9649
Tunisia,129.8247,129.7798,129.708,129.5964,129.4643,129.3383,129.1881,129.0936,128.9917,128.8901,128.7663,128.6596,128.5759,128.4976,128.4266,128.354,128.2827,128.2223,128.1801,128.1966,128.2826,128.4008,128.5166,128.6094,128.7048,128.7603,128.8295,128.8738,128.9207
