Total 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.29795067,28.43348858,28.48970252,28.48661892,28.55815525,28.04832295,27.59733276,27.21060766,26.79068288,26.74187127,26.70789307,26.96184452,27.52781976,28.25813987,29.0597211,29.7204741,30.16446524,30.76132781,31.50975199,32.32803534,33.06463611
Albania,26.6062603,26.88405797,27.56052142,27.60834671,26.94106642,27.48854644,29.36775159,31.27112914,33.13069909,31.82253431,28.61799218,28.40141525,29.66235405,31.48204971,32.22521713,29.84986753,26.92420252,24.76525822,23.65464222,24.14925373,23.85709961
Algeria,27.86154901,27.70228536,26.90063895,25.84081188,23.27611289,23.7420402,24.66772993,26.70498258,28.76354719,30.51015354,33.3202203,35.83952271,36.88980491,36.35432802,33.4547513,30.37475805,28.4548483,27.63376932,28.13748161,27.92545003,26.76127316
Angola,28.94356006,28.42639594,27.67019365,26.7707955,25.87539043,25.85143864,25.98675834,26.25375054,26.54975148,26.43375608,26.79647009,27.17535203,28.09077506,29.13785154,29.83064681,30.76642735,31.2477396,31.83710136,32.51236943,32.74464463,32.84909857
Argentina,32.70363244,31.70320405,30.47766389,29.35833184,28.73687719,28.71751499,28.49328692,28.35781395,28.00960118,28.05993328,29.26175587,29.99922543,30.65951901,30.8529391,29.91603467,29.13497374,28.47015004,27.78810793,27.1454299,26.59227434,25.78618821
Armenia,26.77514793,28.53486884,32.54817987,29.75056689,26.84670373,28.0155642,29.59974177,33.37327741,33.80361174,30.63314711,28.30679233,27.8013721,30.54027823,32.13375796,30.54156171,28.08671065,25.33123028,24.38869482,25.36069253,25.17050991,24.03049387
Aruba,32.43243243,30.23255814,28,26.92307692,27.5862069,32.20338983,33.33333333,38.46153846,34.92063492,35,31.46067416,29.29292929,25.92592593,25.45454545,25.89285714,26.54867257,25.66371681,24.10714286,22.72727273,22.72727273,23.58490566
Australia,31.20817618,29.0326087,27.50802763,26.39069687,27.67345015,29.374633,31.36694564,32.51692931,32.10858881,31.42904454,29.5722483,28.43132447,27.613779,26.78934796,26.33579725,25.53940817,24.95517268,24.45316036,24.27028017,24.26696155,24.10359953
Austria,26.816609,25.29530395,26.4309047,26.17246596,26.01767542,26.90683558,28.30638749,29.86772487,31.59129415,32.02268431,30.06495129,28.09766764,26.30574767,25.65556343,25.06148261,23.84883721,22.66095415,21.57657136,21.28178335,21.3160658,21.53846154
Azerbaijan,26.80483592,28.7518797,31.67351129,28.09357237,24.63263728,24.4682721,26.71210646,31.92382666,32.96352794,33.65026339,32.54095332,31.31803124,32.51231527,33.37576915,32.25216065,29.97334386,27.95428129,26.95137098,27.42408476,27.4663149,26.06599225
