"TB mortality, all forms in HIV+ (per 100 000 population per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Eritrea,0.6,1.1,1.7,2.6,3.5,4.3,4.9,5.1,4.6,2.2,2.3,2.3,2.4,2.3,2.6,2.7,3.1,3
Estonia,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.8,1.4,1.7,1.7,1.6,1.6,1.3
Ethiopia,5.1,8.1,11.5,15,18.3,21.2,21.5,21.5,22.7,25.4,26.2,28.9,29.7,30.9,31,30.4,29.5,28
Fiji,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gabon,7.2,8.9,11.1,13.7,16.9,18.9,23.6,27.1,33,37.7,48,23.4,36.2,37.2,33.6,40.3,40.4,40.8
Gambia,0.2,0.4,0.7,1.2,1.9,3,3.9,5.3,6.3,11.3,12.5,13.3,9.2,9.5,9.3,10.3,11.7,11.8
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.4
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0.5,1.3,3,6.2,10.3,13.9,16.7,16.9,17.4,17.4,16.8,16.1,15.9,15.6,15.2,14.9,14.6,14.2
Greece,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Guatemala,0.1,0.2,0.3,0.4,0.6,0.8,1.1,1.4,1.7,1.9,2,2.1,2.1,2.1,2,2,1.9,1.9
Guinea,1.5,2,2.5,3.2,3.9,4.8,5.7,7,8.5,9.9,11.7,13.3,15.2,17,18.5,21.4,21.9,23.5
Guinea-Bissau,1.8,2.5,3.4,4.6,6.1,7.9,10,12.6,15.1,17.1,12.5,13.5,15.9,16.1,15.5,16,14.2,14.4
Guyana,1.3,2.1,2.2,3.4,4.4,5.8,6.6,6.4,6.6,6.9,6.8,8,8.1,8.8,6.9,7.1,7.6,8.4
Haiti,16.8,20.6,23.2,25.1,26.2,26.8,27.2,27.3,27,26.6,26.1,25.9,25.1,24.3,24,23.2,23.5,23.7
Honduras,4.1,4.5,4.4,4.1,3.8,3.5,3.7,3.6,2.8,2.3,1.1,1.3,1.7,1.6,1.8,1.7,1.6,1.7
Hungary,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0.1,0.3,0.5,1,1.7,2.7,3.8,4.7,5.3,5.3,5.3,4.8,4.4,3.8,3.2,2.9,2.7,2.5
