"Hydro production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,60189.16595,77386.07051,96904.55718,111779.8796,137575.2365,163370.5933,189165.9501,206362.8547,232158.2115,253654.3422,262252.7945,268701.6337,275150.4729,235511.6079,183147.0335,349183.147,288048.1513,252708.5125,264660.3611,244883.9209,302493.5512,277386.0705,284952.7085,324247.6354,361478.9338,492347.3775,432330.1806,423129.8366,454342.2184,395012.8977,305674.9785,301977.644,420034.3938,469991.4015,461994.8409,466981.9433,239724.8495,326483.233,447635.4256,651676.6982,
Algeria,,,,,,,,,,,,28374.89252,42562.33878,64660.36113,42734.30782,28202.92347,33447.97936,23129.83663,21496.1307,25021.49613,22098.02236,31470.33534,41186.58641,20206.36285,38865.0043,55546.00172,21496.1307,42906.27687,15735.16767,19432.50215,11607.91058,25193.46518,17110.92003,30352.53654,14273.43078,16595.0129,11607.91058,6448.839209,18486.6724,17454.85813,4643.16423,5932.932072,4901.117799,22785.89854,21582.11522,47721.41015,18744.62597,19432.50215,24333.61995,26311.26397,14961.30696,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,52020.63629,58469.47549,69991.40155,73774.72055,81685.29665,36801.37575,36801.37575,45399.82803,47721.41015,51160.79106,51160.79106,54256.23388,49699.05417,51676.69819,60275.15047,60275.15047,60275.15047,60275.15047,61049.01118,62338.77902,66380.05159,72226.99914,76526.22528,76956.14789,77386.07051,79535.68358,75236.45744,91143.59415,76870.16337,78417.88478,87446.25967,98280.30954,106706.7928,150472.9149,190799.6561,229148.7532,214703.3534,269475.4944,266036.1135,303955.288,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,132760.1032,129320.7223,257437.6612,432330.1806,447205.503,431040.4127,495786.7584,666552.0206,916595.0129,1302149.613,1262682.717,1512725.709,1583748.925,1709372.313,1775236.457,1806448.839,1877987.962,1292605.331,1114789.338,1537059.329,1394754.944,1666723.99,2052192.605,2352622.528,2307136.715,1970077.386,2408856.406,2273000.86,1839380.911,2474118.659,3183404.987,3082545.142,2907394.669,2617368.874,2923817.713,3263112.64,2611092.003,2615391.23,2911951.849,2887962.167,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133705.9329,132932.0722,261736.8874,369131.5563,302149.6131,165004.2992,135167.6698,119518.4867,132158.2115,103181.4273,108426.4832,83233.01806,142562.3388,170421.3242,171797.0765,152450.5589,156921.7541,159329.3207,154514.1874,173602.7515,219776.4402,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,343766.1221,397334.4798,422785.8985,567411.8659,588134.1359,713069.6475,607394.669,655374.0327,654084.2648,719862.4248,764230.4385,995786.7584,995098.8822,981169.3895,1134995.701,1262596.733,1295356.836,1130438.521,1193637.145,1321496.131,1112811.694,1210318.143,1169045.572,1043164.23,1039208.942,1174720.55,1246947.549,1169131.556,1229406.707,1242906.277,1216509.028,1360361.135,1319776.44,1422098.022,1406276.87,1365864.144,1324849.527,1419776.44,1322699.914,1393207.223,1406706.793,1424161.651,1365176.268,1400687.876,1379707.653,1311865.864,1350042.992,1227773.001,1023989.682,944539.9828,1072141.015,1274204.643
Austria,976698.1943,963198.6242,996044.712,977300.086,1093035.254,1349441.101,1465262.253,1495098.882,1533619.948,1401977.644,1783319.003,1394411.006,1442390.37,1612209.802,1907738.607,2018314.703,1721324.162,2107910.576,2106620.808,2373086.844,2469905.417,2652364.574,2656577.816,2631642.304,2482287.188,2660275.15,2675580.396,3098108.34,3078761.823,3034135.856,2709286.328,2703611.35,2996388.65,3156147.893,3070335.34,3187188.306,2942046.432,3104471.195,3195442.82,3499484.093,3597248.495,3478503.869,3458899.398,2855975.924,3160963.027,3153654.342,3081513.328,3190283.749,3297764.402,3517282.889,3302321.582,2899054.17
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60189.16595,151160.7911,150214.9613,206362.8547,157265.6922,133791.9175,132244.196,147205.503,167755.804,129492.6913,131900.258,111865.8641,173688.736,212295.7868,236887.3603,258727.4291,216509.0284,203095.4428,191917.4549,198538.2631,296302.6655,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,15047.29149,15047.29149,28460.87704,20894.23904,37489.25193,42476.35426,37575.23646,43508.16853,50472.91488,50128.97678,53740.32674,44969.90542,56921.75408,77128.11694,63542.56234,38693.03525,44453.99828,58039.55288,79105.76096,76010.31814,72055.03009,68443.68014,52278.58985,72828.8908,31986.24248,63542.56234,61822.87188,74376.61221,71625.10748,81341.35856,85382.63113,91659.50129,96818.57266,105417.0249,111177.988,119432.5021,119690.4557,126741.1866,133447.9794,142906.2769,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.690456,1547.72141,1461.736887,1633.705933,1633.705933,1719.690456,1375.752365,1805.674979,2407.566638,1633.705933,2321.582115,2579.535684,2493.551161,2407.566638,2837.489252,3095.44282,3009.458298,3009.458298,3353.396389,3783.319003,3869.303525,
Belgium,14789.33792,16251.07481,14015.47721,12381.77128,9888.22012,23387.7902,25709.37231,20464.31642,20980.22356,19776.44024,21152.19261,11521.92605,15477.2141,14703.3534,20636.28547,15735.16767,9372.312984,19260.5331,19174.54858,20120.37833,23903.69733,32760.10318,28632.84609,28890.79966,30180.5675,24677.55804,29492.69132,36887.36028,30868.44368,26225.27945,22871.88306,19690.45572,29320.72227,21840.06879,29750.64488,29062.7687,20550.30095,26225.27945,33447.97936,29320.72227,39552.88048,37919.17455,30954.4282,21238.17713,27257.09372,24763.54256,30868.44368,33447.97936,35253.65434,28202.92347,26827.17111,17110.92003
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9690456,171.9690456,171.9690456,171.9690456,171.9690456,171.9690456,171.9690456,85.98452279,85.98452279,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,77214.10146,81599.31212,83576.95615,88907.99656,92347.37747,96818.57266,102235.5976,108254.5142,110576.0963,91401.54772,99398.10834,98452.27859,98280.30954,100085.9845,98194.32502,95786.75838,91229.57868,100000,100343.9381,101461.7369,112037.8332,108770.4213,129148.7532,113155.632,108598.4523,122527.945,134565.7782,133791.9175,153568.3577,167239.8968,183061.049,189423.9037,170851.2468,184780.7395,168873.6028,185640.5847,199398.1083,198624.2476,197420.4643,187618.2287,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262940.6707,441788.4781,293035.2537,203525.3654,297420.4643,313241.6165,443336.1995,400257.9536,391831.4703,475666.3801,438005.1591,445485.8126,452966.466,387016.3371,514101.4617,515735.1677,503611.35,344024.0757,418486.6724,536457.4377,690111.7799,
