"Hydro production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,2321.582115,6792.7773,7222.699914,10834.04987,14789.33792,14617.36887,13241.61651,16337.05933,16680.99742,18916.59501,21410.14617,20808.25451,16938.95099,17196.90456,18572.65692,27343.07825,27515.04729,33705.93293,34909.71625,39294.92691,28546.86156,27601.03181,23559.75924,20034.39381,21754.08426,23387.7902,17196.90456,26311.26397,34823.73173,24333.61995,24333.61995,22355.97592,21926.05331,22355.97592,22785.89854,23301.80567,13241.61651,15563.19862,17798.79622,15219.26053,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,20808.25451,26139.29493,30868.44368,34393.80911,36113.49957,37145.31384,40326.74119,55631.98624,63714.53138,67239.89682,70593.29321,72742.90628,71453.13844,75150.47291,112209.8022,122785.8985,150214.9613,163370.5933,171453.1384,195958.7274,198796.2167,188478.0739,194153.0525,156233.8779,143852.1066,175322.442,179277.73,165348.2373,183576.9561,194325.0215,163714.5314,138521.0662,149699.0542,120464.3164,147721.4101,177987.9622,190369.7334,196990.5417,240498.7102,255030.0946,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,6448.839209,8598.452279,7050.730868,7652.622528,8168.529665,7566.638005,8254.514187,9458.297506,8684.436801,6964.746346,14015.47721,14187.44626,12811.6939,11865.86414,12553.74033,9630.266552,14445.39983,13671.53912,13327.60103,15563.19862,13327.60103,13241.61651,14531.38435,14531.38435,13585.5546,15305.24506,16680.99742,13585.5546,14273.43078,13843.50817,14015.47721,17798.79622,18572.65692,13327.60103,15563.19862,15305.24506,15993.12124,16680.99742,14703.3534,17626.82717,17368.8736,15993.12124,18056.74979,18314.70335,19604.4712,16165.09028,19088.56406
Iceland,45227.85899,49785.03869,51246.77558,54342.2184,56405.84695,55374.03267,54170.24936,57523.64574,59415.30525,74290.62769,123043.8521,134049.871,148237.3173,189767.8418,196474.6346,191917.4549,204041.2726,218916.595,226483.233,245055.8899,265434.2218,268271.7111,296216.681,311951.8487,324935.5116,318486.6724,333963.8865,340240.7567,362080.8255,366208.0825,361478.9338,361478.9338,370593.2932,384006.8788,388220.1204,402579.5357,410318.1427,447721.4101,483319.0026,519948.4093,546517.6268,565606.1909,599914.0155,609458.2975,613413.5856,603525.3654,627085.1247,721754.0843,1068529.665,1055803.955,1082717.111,1075408.426
India,,,,,,,,,,,,2410146.174,2339036.973,2491745.486,2397420.464,2864230.439,2996044.712,3269045.572,4056061.909,3911607.911,4003181.427,4263370.593,4160275.15,4296818.573,4640240.757,4388564.058,4631040.413,4080997.42,4977128.117,5342390.37,6161306.965,6257523.646,6009114.359,6060017.197,7113241.617,6242132.416,5926913.156,6419690.456,7136973.345,6952106.621,6402579.536,6336801.376,5511951.849,6477987.962,7284866.724,8747205.503,9778159.931,10368787.62,9479363.715,8960533.104,9838693.035,
Indonesia,,,,,,,,,,,,66466.03611,56749.78504,88564.05847,94067.06793,102579.5357,93895.09888,95528.80482,119002.5795,123301.8057,115649.1831,140068.7876,113327.601,156147.8934,182115.2193,257093.7231,432502.1496,383233.0181,454084.2648,575064.4884,490799.6561,569819.4325,757695.6148,677901.9776,524677.558,647463.4566,701719.6905,439036.9733,832416.1651,808340.4987,861220.9802,1002149.613,854084.2648,782373.1728,831814.2734,922184.0069,827429.0628,970421.3242,991229.5787,978847.8074,1519862.425,
Iran,,,,,,,,,,,,230352.5365,303353.3964,244368.0138,294153.0525,296216.681,341788.4781,362252.7945,537317.2829,465950.129,483233.0181,535597.5924,554342.2184,533361.9948,494411.006,477214.1015,646345.6578,721410.1462,628632.8461,646775.5804,523043.8521,606706.7928,819432.5021,844625.9673,640154.7721,626655.2021,635597.5924,595786.7584,605331.0404,425021.4961,313843.5082,434823.7317,692175.4084,954256.2339,913757.5236,1384350.817,1570593.293,1546603.611,430180.5675,621926.0533,819088.5641,
Iraq,,,,,,,,,,,,17196.90456,17196.90456,24935.51161,34393.80911,39638.865,39466.89596,48667.2399,60877.04213,88736.02752,59329.32072,52450.5589,51590.71367,51590.71367,52450.5589,52450.5589,51590.71367,223559.7592,223559.7592,223559.7592,223559.7592,77386.07051,60189.16595,51590.71367,48151.33276,49011.17799,49011.17799,49957.00774,50988.82201,52020.63629,52536.54342,53138.43508,44453.99828,37231.29837,42390.36973,515907.1367,524161.6509,493207.2227,299656.0619,277472.055,409802.2356,
Ireland,80137.57524,63456.57782,56663.80052,56319.86242,67411.86586,80911.43594,73258.81341,68529.66466,66294.06707,50128.97678,68959.58727,40068.78762,58641.44454,55374.03267,67583.83491,44797.93637,51074.80653,64402.40757,60017.1969,71023.21582,72055.03009,74118.65864,68959.58727,67411.86586,59157.35168,71625.10748,79019.77644,58555.46002,74978.50387,59501.28977,59931.21238,64144.454,70249.35512,65778.15993,79105.76096,61306.96475,62080.82545,58297.50645,78761.82287,72742.90628,72742.90628,51246.77558,78417.88478,51418.74463,54170.24936,54256.23388,62252.7945,57351.6767,83319.00258,77558.03955,51504.72915,60791.05761
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,171.9690456,171.9690456,85.98452279,171.9690456,171.9690456,515.9071367,859.8452279,859.8452279,257.9535684,257.9535684,515.9071367,2493.551161,2235.597592,1977.644024,2149.61307,2063.628547,2149.61307,2149.61307,2837.489252,2665.520206,859.8452279,1805.674979,2665.520206,2407.566638,2407.566638,1289.767842,1203.783319,1375.752365,1891.659501,2493.551161,2407.566638
Italy,3942906.277,3588306.105,3350300.946,3937145.314,3352794.497,3665864.144,3759243.336,3640584.695,3669561.479,3539638.865,3471453.138,3360189.166,3555288.048,3226397.248,3249957.008,3527171.109,3368529.665,4397162.511,3911521.926,3950730.868,3890283.749,3700257.954,3565090.284,3563628.547,3645829.751,3533276.01,3533619.948,3396818.573,3497506.449,2928374.893,2719346.518,3631900.258,3628546.862,3561908.856,3839896.819,3248667.24,3614531.384,3577214.101,3544282.029,3900687.876,3800945.83,4025021.496,3398108.34,3153052.451,3640412.726,3101203.783,3180911.436,2821668.1,3578933.792,4225107.481,4395184.867,3985296.647
Jamaica,,,,,,,,,,,,10834.04987,12123.81771,8512.467756,10490.11178,11263.97248,9458.297506,9372.312984,9888.22012,9888.22012,10318.14273,10748.06535,11607.91058,12897.67842,12897.67842,12897.67842,12897.67842,10748.06535,8684.436801,10920.03439,7566.638005,8254.514187,7480.653482,6190.885641,7652.622528,8254.514187,8770.421324,9458.297506,9802.235598,9974.204643,9888.22012,5159.071367,8082.545142,10060.18917,11521.92605,13069.64746,14273.43078,13757.52365,13585.5546,12037.83319,13069.64746,
Japan,5030094.583,5846947.549,5365434.222,5930352.537,5913155.632,6540842.648,6822871.883,5894239.037,6315563.199,6478933.792,6483233.018,7239896.819,7317282.889,5741874.463,7109200.344,7171625.107,7187446.26,6274118.659,6022957.868,6942648.323,7591745.486,7531728.289,7016852.966,7246173.689,6157953.568,7125881.341,6948925.193,6430524.506,7763628.547,7888306.105,7678847.807,8382889.08,7097592.433,8219260.533,5783834.91,7060877.042,6923387.79,7721324.162,7954686.156,7430438.521,7502407.567,7236973.345,7083233.018,8134737.747,8087962.167,6575236.457,7525709.372,6363628.547,6573344.798,6611865.864,7068959.587,7165262.253
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,257.9535684,1633.705933,2321.582115,1461.736887,945.8297506,601.8916595,1289.767842,1891.659501,1203.783319,1547.72141,1891.659501,1461.736887,1117.798796,1203.783319,3353.396389,3697.33448,4557.179708,3525.365434,4557.179708,4901.117799,4385.210662,5245.05589,5331.040413,5073.086844,5245.05589,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633361.9948,619088.5641,590369.7334,655975.9243,789251.9347,716337.0593,630352.5365,558813.4136,528030.9544,527257.0937,647549.4411,694840.9286,764402.4076,741616.509,692777.3001,675494.411,667927.773,702579.5357,641444.54,591487.5322,689767.8418,
Kenya,,,,,,,,,,,,29148.75322,34479.79364,35081.6853,47033.53396,55803.95529,50128.97678,64402.40757,92261.39295,112467.7558,91143.59415,122098.0224,128374.8925,149613.0696,148237.3173,173344.7979,144453.9983,164316.423,199742.0464,212295.7868,212983.6629,238177.1281,240412.7257,257351.6767,263800.5159,271969.0456,288392.0894,280223.5598,281513.3276,209372.313,113929.4927,206620.8083,268185.7266,280309.5443,246689.5959,260189.166,281857.2657,299914.0155,244969.9054,186586.4144,294668.9596,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,787618.2287,801375.7524,815133.276,828890.7997,842648.3233,856405.8469,870163.3706,883920.8942,897678.4179,911435.9415,925193.4652,938950.9888,952708.5125,966466.0361,1057609.63,1117798.796,1169389.51,1289767.842,1289767.842,1341358.555,1289767.842,1220980.224,1143594.153,1186586.414,1220980.224,1074806.535,920034.3938,877042.1324,885640.5847,877042.1324,911435.9415,913155.632,1007738.607,1074806.535,1129148.753,1085124.678,1141874.463,1209630.267,1071711.092,1152880.482,
South Korea,,,,,,,,,,,,113499.5701,117540.8426,110404.1273,163886.5004,144711.9518,153826.3113,119776.4402,155460.0172,200171.969,170593.2932,232932.0722,172398.9682,234135.8555,206276.8702,314617.3689,345571.7971,459501.2898,306620.8083,394496.9905,546947.5494,299742.0464,266294.0671,363456.5778,201719.6905,237317.2829,208426.4832,241874.4626,367927.773,357609.6303,344797.9364,356921.7541,277987.9622,421496.1307,372312.9837,315821.1522,298194.325,312209.8022,263972.485,241874.4626,316595.0129,406104.9011
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4471.195185,4471.195185,4471.195185,4471.195185,9716.251075,9630.266552,8684.436801,8082.545142,6534.823732,10318.14273,13413.58555,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858641.4445,864832.3302,791057.6096,781169.3895,1008082.545,955975.9243,1053740.327,940154.7721,854944.1101,1044024.076,1176526.225,1068787.618,927515.0473,1162166.81,1211865.864,1226053.31,1280051.591,1199312.124,923473.7747,852106.6208,888220.1204,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386586.4144,281599.3121,216766.9819,247291.4875,284178.8478,252536.5434,159931.2124,253912.2958,371109.2003,237059.3293,242390.3697,243594.1531,211865.8641,194840.9286,267325.8813,285984.5228,231986.2425,234995.7008,267325.8813,297248.4953,302665.5202,
Lebanon,,,,,,,,,,,,72141.01462,69389.50989,41100.60189,70507.30868,68787.61823,68787.61823,68787.61823,68787.61823,73086.84437,73086.84437,73086.84437,55889.93981,48151.33276,50300.94583,50300.94583,48151.33276,52450.5589,51590.71367,42992.26139,42992.26139,48151.33276,61908.85641,60877.04213,70249.35512,61650.90284,68615.64918,77472.05503,67497.85039,28546.86156,38607.05073,28632.84609,58297.50645,117196.9046,96302.66552,89939.81083,59759.24334,50300.94583,32072.227,53482.37317,72141.01462,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35597.59243,29062.7687,26741.18659,33791.91745,38865.0043,32072.227,28030.95443,25451.41874,35855.546,35683.57696,29234.73775,28030.95443,30438.52107,27944.96991,36199.48409,38779.01978,34135.85555,36199.48409,34565.77816,36457.43766,46431.6423,
Luxembourg,1719.690456,4901.117799,3869.303525,171.9690456,6448.839209,8512.467756,7738.607051,8340.49871,8426.483233,7308.684437,8254.514187,4729.148753,5588.993981,4041.272571,7136.715391,6104.901118,3955.288048,6964.746346,6792.7773,7824.591574,8426.483233,9286.328461,8168.529665,7910.576096,7910.576096,7480.653482,8598.452279,9544.282029,9458.297506,7308.684437,6018.916595,7222.699914,6018.916595,5760.963027,7394.66896,7566.638005,5159.071367,7136.715391,9888.22012,7308.684437,10662.08083,10146.17369,8512.467756,6792.7773,8942.39037,8082.545142,9544.282029,10060.18917,11349.95701,9114.359415,9286.328461,5245.05589
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42218.40069,72914.87532,72914.87532,44883.92089,59759.24334,68873.60275,73086.84437,77386.07051,93121.23818,119432.5021,100601.8917,53826.31126,65090.28375,118142.7343,127429.0628,128288.908,141874.4626,86844.36801,72226.99914,109200.3439,208856.4058,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,89939.81083,99226.13929,95270.85125,86500.42992,86414.4454,81513.3276,66122.09802,77042.13242,93981.0834,120034.3938,133018.0567,128030.9544,149011.178,293981.0834,320980.2236,350988.822,422957.8676,487962.1668,450988.822,342992.2614,379019.7764,374978.5039,419002.5795,560963.0267,534995.7008,446001.7197,333018.0567,417454.8581,647033.534,598968.1857,606792.7773,456061.9089,434651.7627,501289.7678,446345.6578,553912.2958,558039.5529,641530.5245,598366.2941,556491.8315,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,1236543.422,1320034.394,1392003.439,1436715.391,1301117.799,1478847.807,1650214.961,1397420.464,1546345.658,1451934.652,2115047.291,1967497.85,1782889.08,2028718.831,2255975.924,1721066.208,1576870.163,1792605.331,2092261.393,2018744.626,1879105.761,2250214.961,2255803.955,1723817.713,2366981.943,2703525.365,2272656.922,2117368.874,2818744.626,2848925.193,2450730.868,2145399.828,1709372.313,2167325.881,2378245.916,2613413.586,2345313.844,3368701.634,2296904.557,3191831.47,3077901.978
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22098.02236,30008.59845,22269.9914,32244.19604,23903.69733,27858.98538,31470.33534,32846.0877,7222.699914,7824.591574,4987.102322,6276.870163,10404.12726,5503.009458,5073.086844,5417.024936,6620.808255,2837.489252,7050.730868,4729.148753,6792.7773,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160447.1195,150472.9149,110404.1273,132330.1806,178073.9467,236457.4377,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,130696.4746,137231.2984,102493.5512,114961.307,87360.27515,85812.55374,117368.8736,121754.0843,136027.515,130266.552,88048.15133,49183.14703,41358.55546,31470.33534,41788.47807,55288.04815,70937.2313,80481.51333,99484.09286,104901.1178,105417.0249,82889.07997,38091.14359,72226.99914,52536.54342,168271.7111,179105.761,152794.497,70937.2313,61736.88736,74892.51935,73086.84437,125193.4652,138263.1126,84178.84781,85812.55374,78675.83835,79879.62167,220808.2545,298194.325,
Mozambique,,,,,,,,,,,,19260.5331,18314.70335,16423.04385,57437.66122,44883.92089,52536.54342,53568.3577,69131.55632,36543.42218,25881.34136,4901.117799,21840.06879,20292.34738,20980.22356,32244.19604,14875.32244,15477.2141,14273.43078,24419.60447,24419.60447,27773.00086,27944.96991,29578.67584,31470.33534,32588.13414,38607.05073,84006.87876,587876.1823,660877.0421,829922.6139,1018142.734,1089767.842,934651.7627,1003267.412,1140498.71,1265434.222,1381169.39,1299570.077,1457437.661,1431384.351,
Myanmar,,,,,,,,,,,,41014.61737,46947.54944,49527.08512,48839.20894,48753.22442,54944.11006,61650.90284,63284.60877,66208.08255,68443.68014,73946.6896,79707.65262,85382.63113,86930.35254,86242.47635,89595.87274,88048.15133,80395.5288,106620.8083,102579.5357,106620.8083,130524.5056,146603.6113,138779.0198,139638.865,141960.4471,144969.9054,81599.31212,89251.93465,162682.7171,156663.8005,181513.3276,178417.8848,207050.7309,257695.6148,285898.5383,311177.988,350042.9923,451934.6518,438950.9888,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113671.5391,98796.21668,83147.03353,57781.59931,97506.44884,73430.78246,52450.5589,85296.6466,100515.9071,113499.5701,119346.5176,118314.7034,133533.9639,136457.4377,133447.9794,119088.5641,134479.7936,121668.0997,122871.8831,108684.4368,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,5760.963027,7222.699914,6964.746346,8254.514187,6448.839209,11092.00344,11951.84867,13155.63199,14617.36887,17454.85813,20894.23904,27429.06277,30610.49011,32846.0877,36715.39123,46431.6423,47979.36371,48323.30181,61478.93379,75408.42648,77386.07051,72141.01462,74892.51935,79879.62167,99656.06191,101547.7214,91315.5632,97248.49527,121324.1617,140326.7412,158985.3826,182201.2038,194582.9751,206706.7928,216423.0439,235167.6698,239294.9269,241014.6174,266723.9897,275494.411,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,257.9535684,257.9535684,85.98452279,171.9690456,3181.427343,7308.684437,8942.39037,10318.14273,7910.576096,8598.452279,7566.638005,6878.761823,7910.576096,9630.266552,7738.607051,12209.80224,10060.18917,9458.297506,6190.885641,8168.529665,7566.638005,9114.359415,9200.343938,8770.421324,8426.483233,9028.374893,4901.117799
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,478503.8693,516766.9819,588822.012,594926.9132,673086.8444,746001.7197,812037.8332,865864.1445,899742.0464,884952.7085,978761.8229,1127858.985,1227429.063,1230954.428,1220722.27,1450816.853,1283490.972,1254686.156,1393809.114,1607222.7,1627515.047,1680051.591,1546603.611,1736715.391,1728890.8,1694496.991,1873430.782,1898366.294,1991573.517,1905674.979,1993379.192,1968357.696,1813499.57,2019862.425,2221324.162,2367325.881,2251160.791,1999570.077,2176784.179,1970593.293,2100859.845,1863972.485,2138521.066,2031040.413,2315219.261,2005588.994,2026827.171,2032588.134,1920464.316,2082459.157,2125021.496,2156405.847
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,17454.85813,31642.30439,31900.25795,35081.6853,35167.66982,37833.19003,23215.82115,27944.96991,37919.17455,44196.04471,42562.33878,36543.42218,21668.09974,20206.36285,22699.91402,25193.46518,34479.79364,33276.01032,46001.71969,34651.76268,28976.78418,22098.02236,41530.52451,32932.07223,34995.70077,37059.32932,34995.70077,25451.41874,33791.91745,18056.74979,16938.95099,26053.3104,25537.40327,27601.03181,37231.29837,26483.23302,26311.26397,45915.73517,25537.40327,43336.19948,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,135339.6389,124419.6045,159759.2433,171023.2158,205760.963,249957.0077,248409.2863,199828.031,284178.8478,239294.9269,205503.0095,212639.7248,171023.2158,229406.7068,265778.1599,312123.8177,282373.1728,344625.9673,355975.9243,377214.1015,509974.2046,520980.2236,479105.761,478245.9157,472914.8753,472914.8753,480911.4359,496560.6191,528632.8461,483920.8942,508082.5451,707996.5606,640412.7257,697162.5107,667927.773,538521.0662,535425.6234,491917.4549,389423.9037,548065.3482,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2684780.739,2899398.108,3267497.85,3418658.641,3809372.313,4252106.621,4191229.579,4583061.049,5176698.194,4933018.057,4970593.293,5438091.144,5796818.573,6265434.222,6586156.492,6649183.147,7044969.905,6192777.3,6939466.896,7626655.202,7189423.904,7982287.188,7953482.373,9087532.244,9106018.917,8803353.396,8271797.077,8879879.622,9360017.197,10180567.5,10416595.01,9469819.433,10031900.26,10252192.61,9599570.077,10449699.05,8930524.506,9438950.989,9948667.24,10442992.26,12194153.05,10357953.57,11123989.68,9069647.463,9353482.373,11667067.93,10263886.5,11492347.38,11955631.99,10772398.97,10106276.87,10388392.09
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,316337.0593,316337.0593,374462.5967,356405.8469,374806.5348,467411.8659,445829.7506,639896.8186,707824.5916,749269.1316,777558.0396,819002.5795,977214.1015,1102837.489,1052536.543,1186930.353,1311263.972,1435081.685,1459157.352,1455288.048,1573774.721,1815305.245,1671195.185,1965434.222,1995356.836,1793465.176,1896818.573,1930266.552,1658469.475,1478417.885,1628632.846,1921840.069,2316766.982,2207308.684,2653654.342,2747463.457,2468357.696,2388993.981,2415563.199,2735253.654,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,7136.715391,7136.715391,8770.421324,9114.359415,8426.483233,11865.86414,29320.72227,61822.87188,69045.5718,82889.07997,114703.3534,92347.37747,74462.59673,128288.908,165864.1445,180223.5598,174720.5503,189079.9656,187532.2442,190283.7489,175064.4884,162596.7326,197334.4798,205588.994,207910.5761,258211.5219,249613.0696,184006.8788,268701.6337,293895.0989,214875.3224,292433.362,242734.3078,324935.5116,320206.3629,307824.5916,315219.2605,341616.509,335253.6543,360619.0886,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,14101.46174,16509.02837,25967.32588,38005.15907,45227.85899,45571.79708,30266.55202,21324.16165,38177.12812,56663.80052,59587.27429,55546.00172,67497.85039,88134.13586,346431.6423,1018228.719,1592777.3,1714015.477,2090025.795,2335253.654,2521410.146,2331556.32,2699398.108,3129320.722,3619260.533,3850472.915,4369475.494,4371109.2,4464230.439,4599484.093,3896560.619,4145485.813,4451504.729,4465262.253,4399484.093,4624591.574,4619518.487,4769045.572,4725623.388,4648753.224,
Peru,,,,,,,,,,,,368529.6647,381341.3586,410060.1892,448495.2709,470077.3861,498108.3405,518056.7498,532416.1651,576354.2562,602751.5047,687532.2442,721926.0533,697076.5262,748323.3018,806706.7928,865004.2992,935339.6389,896216.681,903439.3809,900171.969,988134.1359,833104.0413,1014531.384,1096044.712,1102407.567,1145571.797,1135167.67,1186844.368,1249699.054,1390197.764,1513843.508,1551160.791,1593637.145,1506878.762,1554514.187,1694153.052,1680911.436,1646431.642,1686328.461,1722699.914,
Philippines,,,,,,,,,,,,,,161220.9802,202923.4738,193465.1763,240240.7567,188907.9966,241272.5709,246775.5804,302837.4893,320292.3474,324419.6045,341186.5864,453826.3113,477472.055,517368.8736,451160.7911,538607.0507,557609.6303,521238.1771,442390.3697,381771.2812,432502.1496,504041.2726,535855.546,604471.1952,521840.0688,435597.5924,674118.6586,670593.2932,610834.0499,604729.1488,676698.1943,738865.0043,721152.1926,854600.172,736285.4686,846345.6578,841616.509,670937.2313,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,54342.2184,51934.65176,64832.33018,55631.98624,60619.08856,77042.13242,77042.13242,82287.18831,86414.4454,69647.46346,152278.5899,134909.7163,129234.7377,125193.4652,182459.1574,171109.2003,141444.54,168271.7111,167755.804,155374.0327,201977.644,183748.9252,132674.1187,144024.0757,121066.2081,159243.3362,133190.0258,142820.2923,154170.2494,138349.0972,121840.0688,122527.945,129578.6758,127944.9699,149011.178,162252.7945,166036.1135,168615.6492,198538.2631,185296.6466,181083.405,199914.0155,195958.7274,143680.1376,179019.7764,189251.9347,175580.3955,202235.5976,185038.693,204213.2416,251074.8065,200429.9226
Portugal,268099.742,295872.7429,303611.35,346259.6733,366208.0825,341788.4781,453654.3422,471281.1694,446087.7042,542648.3233,499054.1702,530524.5056,609286.3285,629836.6294,673086.8444,551160.7911,411607.9106,856921.7541,929578.6758,964144.454,689165.9501,431556.3199,595098.8822,690111.7799,839638.865,919432.5021,732072.227,787016.3371,1051848.667,500343.9381,787360.2752,777558.0396,399484.0929,734135.8555,916423.0439,717368.8736,1269217.541,1126827.171,1116337.059,626483.233,973602.7515,1206706.793,670679.2777,1351934.652,848581.2554,406792.7773,946001.7197,867755.804,584522.7859,712295.7868,1388478.074,992691.3156
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
