Municipal water withdrawal per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
New Caledonia,,,,,,,,,,
New Zealand,,,,,,264.4541,,,258.35,
Nicaragua,,,,,,,,,36.148,
Niger,,,,,,,9.567,,7.537,
Nigeria,,,,,,13.0108,,,12.867,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,,,,,,,,,109.95,
West Bank and Gaza,,,,,,,,,,51.42
Oman,,,,,,,28.3129,,40.91,52.6248
Pakistan,,,,21.2368,,,20.99,,21.794,
Palau,,,,,,,,,,
Panama,,,,,,,,165.7831,179.572,
Papua New Guinea,,,,,,7.5778,,,7.067,
Paraguay,,,,,,16.46262,,,17.95,
Peru,,,,,,,55.682,,63.827,
Philippines,,,,,,,,59.6403,59.504,
Poland,,,,,,,,,54.77,
Portugal,,,,,,,,,104.384,
Puerto Rico,,,,,,,,,,
Qatar,,,,183.9249,,,,119.23566,101.89,211.8558
"Korea, Rep.",,,,62.252,,,,135.6086,140.012,
Moldova,,,,,,,60.9861,,54.553,
Reunion,,,,,,,,,,
Romania,,,,,,,68.1093,,91.2,
Russia,,,,,,,98.109,96.18,98.385,
Rwanda,,,,,,5.3024,,,4.1088,
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,,,,,,,84.03304,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Saudi Arabia,,,,,,,88.5084,,,88.105285
Senegal,,,,,,9.4166,,,8.9983,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,134.62061,,,92.89147
Sierra Leone,,,,,,6.8398,,,4.061,
Singapore,,,,36.88694,,,,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,3.6542,,,1.334,1.7761
South Africa,,,,,,,59.2681,,83.8113,
Spain,,,,,,142.4875,,,115.733,
Sri Lanka,,,,,,,11.1239,,15.88,
Sudan,,,,,,,22.733,25.76,28.487,
Suriname,,,,,,71.3417,,,67.646,
Swaziland,,,,,16.8833,,,,22.0324,
Sweden,,,,,,,124.45,,122.197,
Switzerland,,,,,,,,,84.655,
Syria,,,,,,,,76.1964,79.258,73.4765
Tajikistan,,,,,,,87.8858,69.3935,69.644,
Thailand,,,,,18.5192,24.1493,26.909,,35.184,
