Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,0,,,0.002360626855,0.01954142322,0.1189616975,0.7174621209,1.203074592,1.816698459,2.857297783,5.263103629,7.543465824,9.10792384,12.06548488,18.14868416,19.96797459,27.05657302,33.55444373,39.50310114,44.74811707,45.98482596,50.79626605
Burkina Faso,0,,,,,,0.0009605185571,0.01868635311,0.04542348405,0.06178029269,0.07708016894,0.1577324647,0.2009925979,0.3734403032,0.4002952855,0.4699144887,0.6327075645,0.75,0.92,1.13,2.4,3
Burundi,0,0,0,0,0,0,0.0008035921211,0.007979438583,0.01584277629,0.03920446918,0.07724844738,0.1060012454,0.1182284123,0.2012731967,0.3490604619,0.5421428658,0.6575925904,0.7,0.81,0.9,1,1.11
Cambodia,0,,,,,,,0.00584491064,0.01632498607,0.03196957775,0.04702264007,0.07695605555,0.2269832377,0.2605701976,0.3004366444,0.3173217811,0.4683567201,0.49,0.51,0.53,1.26,3.1
Cameroon,0,,,,,,,0.006768744294,0.01321634052,0.1290675809,0.2521200777,0.2770513218,0.3608715843,0.5876226111,0.9760754155,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5
Canada,0.3598287215,0.5679571837,0.9116954166,1.17926229,2.370288127,4.156162704,6.739808038,15.00351866,24.7871626,36.04954849,51.12938457,59.97791664,61.43564737,64.06331861,65.85001545,71.59660113,72.51535612,73.30581298,76.72038636,80.17086651,80.04213592,82.67934446
Cape Verde,0,,,,,,,0.2409679199,0.4727350084,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,20,25,30,32
Cayman Islands,0,,,0,0,3.948967193,,,,,,,,,,38.03438308,44.5,52,61,64.5,66,69.46594499
Central African Republic,0,,,,,,0.005849502822,0.01427088072,0.02787820125,0.04089428718,0.05339417422,0.07854342784,0.1285371165,0.1515633379,0.2234013955,0.2681956092,0.3111591732,0.375815961,1,1.8,2,2.2
Chad,0,,,,,,,0.0006581683097,0.004268504477,0.0123217277,0.03570707629,0.04593413436,0.1660696647,0.3203085554,0.360920107,0.3992577001,0.5810457642,0.8472245207,1.19,1.5,1.7,1.9
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
