ODA % GNI,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,0.37,0.44,0.43,0.51,0.48,0.53,0.56,0.62,0.57,0.6,0.62,0.56,0.62,0.47,0.55,0.65,0.41,0.42,0.55,0.53,0.48,0.41,0.56,0.49,0.45,0.48,0.47,0.34,0.46,0.38,0.34,0.38,0.37,0.35,0.34,0.34,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.25,0.25,0.3,0.32,0.34
Austria,0,0.04,0.03,0.05,0.08,0.11,0.12,0.14,0.14,0.11,0.07,0.07,0.09,0.15,0.18,0.21,0.12,0.23,0.27,0.19,0.23,0.33,0.36,0.24,0.28,0.38,0.21,0.17,0.24,0.23,0.11,0.18,0.11,0.11,0.17,0.27,0.23,0.24,0.22,0.24,0.23,0.34,0.26,0.2,0.23,0.52,0.47,0.5,0.42
Belgium,0.88,0.76,0.54,0.57,0.46,0.6,0.42,0.45,0.42,0.5,0.46,0.5,0.55,0.51,0.5,0.6,0.5,0.47,0.55,0.58,0.5,0.59,0.58,0.59,0.58,0.55,0.48,0.48,0.39,0.46,0.46,0.41,0.39,0.39,0.32,0.38,0.34,0.31,0.35,0.3,0.36,0.37,0.43,0.6,0.41,0.53,0.5,0.43,0.47
Canada,0.16,0.15,0.1,0.15,0.17,0.19,0.34,0.32,0.29,0.29,0.41,0.42,0.44,0.42,0.47,0.54,0.46,0.5,0.52,0.48,0.43,0.43,0.41,0.45,0.5,0.49,0.48,0.47,0.5,0.44,0.44,0.45,0.46,0.45,0.43,0.38,0.32,0.34,0.3,0.28,0.25,0.22,0.28,0.24,0.27,0.34,0.29,0.29,0.32
Denmark,0.09,0.12,0.1,0.11,0.11,0.13,0.19,0.21,0.23,0.38,0.37,0.42,0.44,0.46,0.53,0.55,0.52,0.56,0.7,0.71,0.74,0.73,0.77,0.73,0.85,0.8,0.89,0.88,0.89,0.93,0.94,0.96,1.02,1.03,1.03,0.96,1.04,0.97,0.99,1.01,1.06,1.03,0.96,0.84,0.85,0.81,0.8,0.81,0.82
Finland,,0.03,0.04,0.04,0.04,0.02,0.04,0.05,0.06,0.14,0.06,0.11,0.15,0.15,0.16,0.17,0.17,0.15,0.16,0.21,0.22,0.27,0.29,0.32,0.35,0.4,0.46,0.5,0.6,0.64,0.65,0.8,0.64,0.45,0.31,0.31,0.33,0.32,0.31,0.33,0.31,0.32,0.35,0.35,0.37,0.46,0.4,0.39,0.43
France,1.35,1.36,1.27,0.98,0.9,0.76,0.69,0.71,0.67,0.67,0.52,0.51,0.49,0.43,0.44,0.44,0.41,0.38,0.39,0.42,0.44,0.51,0.56,0.56,0.62,0.61,0.56,0.6,0.58,0.61,0.6,0.62,0.63,0.63,0.62,0.55,0.48,0.44,0.38,0.38,0.3,0.31,0.37,0.4,0.41,0.47,0.47,0.38,0.39
Germany,0.31,0.45,0.45,0.41,0.44,0.4,0.34,0.41,0.42,0.38,0.32,0.34,0.32,0.32,0.38,0.4,0.36,0.33,0.37,0.45,0.44,0.47,0.48,0.48,0.45,0.47,0.43,0.39,0.39,0.41,0.42,0.39,0.37,0.35,0.33,0.31,0.32,0.28,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.36,0.36,0.37,0.38
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.14,0.15,0.15,0.2,0.17,0.21,0.21,0.16,0.17,0.17,0.16,0.2
Ireland,,,,,,,,,,,,,,,0.09,0.09,0.1,0.09,0.2,0.19,0.16,0.16,0.27,0.2,0.22,0.24,0.28,0.19,0.2,0.17,0.16,0.19,0.16,0.2,0.25,0.29,0.31,0.31,0.3,0.31,0.29,0.33,0.4,0.39,0.39,0.42,0.54,0.55,0.58
Italy,0.22,0.15,0.18,0.14,0.09,0.1,0.12,0.22,0.19,0.16,0.15,0.16,0.08,0.12,0.13,0.1,0.12,0.09,0.14,0.08,0.15,0.16,0.2,0.2,0.28,0.26,0.4,0.35,0.39,0.42,0.31,0.3,0.34,0.31,0.27,0.15,0.2,0.11,0.2,0.15,0.13,0.15,0.2,0.17,0.15,0.29,0.2,0.19,0.2
Japan,0.24,0.2,0.14,0.2,0.14,0.27,0.28,0.32,0.25,0.26,0.23,0.22,0.2,0.25,0.25,0.23,0.2,0.21,0.23,0.27,0.32,0.28,0.28,0.32,0.34,0.29,0.29,0.31,0.32,0.31,0.31,0.32,0.3,0.27,0.29,0.27,0.2,0.21,0.27,0.27,0.28,0.23,0.23,0.2,0.19,0.28,0.25,0.17,0.18
Luxembourg,,,,,,,,,,,,,,,,,,,,,0.11,0.13,0.1,0.09,0.16,0.17,0.16,0.17,0.2,0.19,0.21,0.33,0.26,0.35,0.4,0.36,0.44,0.55,0.65,0.66,0.72,0.77,0.78,0.86,0.79,0.79,0.9,0.91,0.92
Netherlands,0.31,0.45,0.49,0.26,0.29,0.36,0.45,0.49,0.49,0.5,0.62,0.58,0.67,0.53,0.61,0.74,0.8,0.81,0.78,0.94,0.97,1.07,1.07,0.91,1.02,0.91,1.01,0.98,0.98,0.94,0.92,0.88,0.86,0.82,0.76,0.81,0.81,0.81,0.8,0.79,0.84,0.82,0.81,0.8,0.73,0.82,0.81,0.81,0.8
New Zealand,,0.23,0.18,0.18,0.19,0.18,0.17,0.17,0.21,0.22,0.22,0.23,0.25,0.22,0.31,0.52,0.41,0.39,0.34,0.34,0.33,0.29,0.28,0.28,0.25,0.25,0.3,0.26,0.27,0.22,0.23,0.25,0.26,0.25,0.24,0.23,0.21,0.26,0.27,0.27,0.25,0.25,0.22,0.23,0.23,0.27,0.27,0.27,0.3
Norway,0.11,0.14,0.14,0.17,0.15,0.16,0.18,0.17,0.29,0.3,0.33,0.34,0.43,0.45,0.57,0.65,0.71,0.84,0.9,0.95,0.87,0.85,1.03,1.1,1.03,1.01,1.17,1.09,1.13,1.05,1.17,1.13,1.16,1.01,1.05,0.86,0.83,0.84,0.89,0.88,0.76,0.8,0.89,0.92,0.87,0.94,0.89,0.95,0.88
Portugal,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.02,0.06,0.04,0.05,0.08,0.11,0.21,0.25,0.24,0.3,0.35,0.28,0.34,0.25,0.21,0.25,0.24,0.26,0.26,0.25,0.27,0.22,0.63,0.21,0.21,0.22,0.27
Spain,,,,,,,,,,,,,,,,,,,,,0.08,0.13,0.13,0.04,0.08,0.1,0.09,0.08,0.07,0.14,0.2,0.24,0.27,0.28,0.28,0.24,0.22,0.24,0.24,0.23,0.22,0.3,0.26,0.23,0.24,0.27,0.32,0.37,0.43
Sweden,0.05,0.06,0.12,0.14,0.18,0.19,0.25,0.25,0.28,0.43,0.35,0.44,0.46,0.53,0.69,0.78,0.78,0.95,0.86,0.92,0.78,0.83,1.02,0.84,0.8,0.86,0.85,0.88,0.86,0.96,0.91,0.9,1.03,0.99,0.96,0.77,0.84,0.79,0.72,0.7,0.8,0.77,0.84,0.79,0.78,0.94,1.02,0.93,0.98
Switzerland,0.04,0.08,0.05,0.05,0.07,0.09,0.09,0.08,0.14,0.16,0.14,0.11,0.21,0.15,0.14,0.18,0.19,0.19,0.2,0.21,0.24,0.24,0.25,0.31,0.3,0.31,0.3,0.31,0.32,0.3,0.32,0.36,0.45,0.33,0.36,0.34,0.34,0.34,0.32,0.35,0.34,0.34,0.33,0.37,0.4,0.44,0.39,0.37,0.41
United Kingdom,0.56,0.59,0.52,0.48,0.53,0.47,0.45,0.44,0.4,0.43,0.39,0.44,0.42,0.36,0.4,0.38,0.39,0.44,0.46,0.51,0.35,0.43,0.37,0.35,0.33,0.33,0.31,0.28,0.32,0.31,0.27,0.32,0.31,0.31,0.31,0.29,0.27,0.26,0.27,0.24,0.32,0.32,0.31,0.34,0.36,0.47,0.51,0.35,0.43
United States,0.54,0.57,0.58,0.6,0.56,0.58,0.5,0.41,0.44,0.36,0.32,0.29,0.33,0.2,0.25,0.27,0.25,0.24,0.26,0.19,0.27,0.19,0.27,0.24,0.24,0.24,0.23,0.2,0.21,0.15,0.21,0.2,0.2,0.15,0.14,0.1,0.12,0.09,0.1,0.1,0.1,0.11,0.13,0.15,0.17,0.23,0.18,0.16,0.18
