"","wages","education","age","sex","language"
"1",10.56,15,40,"Male","English"
"2",11,13.2,19,"Male","English"
"3",NA,16,49,"Male","Other"
"4",17.76,14,46,"Male","Other"
"5",NA,8,71,"Male","English"
"6",14,16,50,"Female","English"
"7",NA,12,70,"Female","English"
"8",NA,14.5,42,"Female","English"
"9",8.2,15,31,"Male","English"
"10",NA,10,56,"Female","English"
"11",NA,12.5,71,"Female","English"
"12",16.97,13.5,30,"Female","English"
"13",NA,2,56,"Male","English"
"14",6.7,12,61,"Female","English"
"15",NA,12,25,"Female","English"
"16",NA,11,36,"Female","French"
"17",NA,11,54,"Female","English"
"18",NA,10,62,"Female","English"
"19",NA,10.5,70,"Female","English"
"20",14,14,46,"Female","Other"
"21",NA,8,49,"Female","English"
"22",NA,8,34,"Male","Other"
"23",NA,11,17,"Male","English"
"24",NA,17,85,"Female","English"
"25",19.2,18,43,"Male","English"
"26",7.25,11,17,"Male","English"
"27",NA,11,77,"Female","English"
"28",NA,13,70,"Male","English"
"29",16,7,46,"Male","Other"
"30",23,14,32,"Male","English"
"31",36.11,17,35,"Male","English"
"32",NA,13,89,"Male","Other"
"33",NA,8,68,"Male","English"
"34",NA,10,72,"Male","English"
"35",NA,11,16,"Female","English"
"36",NA,6,58,"Female","Other"
"37",20.16,20,39,"Male","English"
"38",12.61,13,32,"Male","English"
"39",NA,11,64,"Female","English"
"40",NA,10,53,"Female","English"
"41",NA,8,72,"Male","English"
"42",NA,19,38,"Female","English"
"43",13.65,19,30,"Female","English"
"44",9,13.8,20,"Female","English"
"45",NA,11,19,"Female","English"
"46",NA,11,18,"Female","English"
"47",18.07,13.6,48,"Male","Other"
"48",NA,10,66,"Female","English"
"49",NA,12,52,"Female","English"
"50",NA,13,39,"Female","English"
"51",NA,NA,24,"Female",NA
"52",6.35,NA,16,"Male","English"
"53",NA,20,67,"Male","English"
"54",16.01,19,39,"Female","English"
"55",26.4,12.7,38,"Male","English"
"56",NA,14,63,"Female","English"
"57",20.65,19,37,"Male","English"
"58",NA,9,32,"Male","English"
"59",NA,18.8,59,"Female","English"
"60",NA,13,70,"Male","English"
"61",23.04,19,37,"Female","English"
"62",24.03,18.3,31,"Male","English"
"63",12,14,46,"Female","English"
"64",25.6,13,41,"Male","English"
"65",NA,14,28,"Female","Other"
"66",6.85,15.6,31,"Female","English"
"67",NA,16,52,"Female","English"
"68",15,12,40,"Male","English"
"69",NA,14,32,"Female","Other"
"70",NA,7,77,"Male","English"
"71",9.75,8,60,"Male","English"
"72",NA,8,53,"Female","English"
"73",6.7,11,17,"Female","English"
"74",NA,18,57,"Male","English"
"75",15,17,39,"Male","English"
"76",NA,1,49,"Female","English"
"77",NA,12,49,"Female","English"
"78",10.5,13.5,24,"Male","English"
"79",13.26,12,52,"Female","English"
"80",17.75,18,34,"Male","English"
"81",NA,8,91,"Female","English"
"82",14.26,12,34,"Female","English"
"83",18.05,15,34,"Male","English"
"84",NA,20,58,"Male","English"
"85",NA,12,73,"Female","Other"
"86",NA,12.5,40,"Male","English"
"87",NA,12,35,"Female","English"
"88",18.39,9,40,"Male","English"
"89",18.92,10.5,48,"Male","English"
"90",20.64,19,39,"Male","English"
