"","population","nonwhite","density","crime"
"Akron",675,7.3,746,2602
"Albany",713,2.6,322,1388
"Albuquerque",NA,3.3,NA,5018
"Allentown",534,0.8,491,1182
"Anaheim",1261,1.4,1612,3341
"Atlanta",1330,22.8,770,2805
"Bakersfield",331,7,41,3306
"Baltimore",1981,21.6,877,4256
"Beaumont",315,20.7,240,2117
"Binghamton",305,0.6,147,1063
"Birmingham",739,32.1,272,2285
"Boston",3239,3.4,1831,2835
"Bridgeport",785,5.3,1252,2630
"Buffalo",1324,6.8,832,2171
"Canton",363,5.4,630,1764
"Charleston.SC",NA,38.5,NA,2482
"Charleston.W.VA",NA,5.8,NA,1434
"Charlotte",388,24.2,328,3447
"Chattanooga",306,17.6,308,2643
"Chicago",6815,14.8,1832,2680
"Cincinnati",1376,10.4,640,1780
"Cleveland",2068,13.7,1361,3162
"Columbia",NA,29,NA,2884
"Columbus",870,11,583,3037
"Corpus.Christi",297,4.2,194,3077
"Dallas",1459,15,320,3701
"Davenport",366,2.1,215,1877
"Dayton",836,9.7,489,2392
"Denver",1129,4.2,308,4095
"Des.Moines",NA,4.1,NA,2415
"Detroit",4127,13.1,2114,4283
"Duluth",271,0.8,37,1736
"El.Paso",351,3.3,332,2430
"Erie",NA,2.8,NA,1181
"Flint",487,9,374,3164
"Fort.Lauderdale",526,16.6,431,3688
"Fort.Worth",680,10.7,423,2927
"Fresno",415,7.5,70,3863
"Gary",608,15.3,649,3310
"Grand.Rapids",514,3.4,362,2188
"Greensboro",592,19.9,268,1987
"Greenville",NA,16.3,NA,2602
"Harrisburg",398,6.3,245,1339
"Hartford",802,5.4,1085,2390
"Honolulu",628,64.3,1053,3283
"Houston",1867,19.8,297,3511
"Huntington",NA,3,NA,1413
"Indianapolis",1062,10.8,345,2798
"Jacksonville",513,23.4,670,4035
"Jersey.City",615,6.9,13087,2301
"Johnstown",270,1.3,151,458
"Kansas.City",1231,10.9,445,3748
"Knoxville",399,7.5,281,1597
"Lancaster",302,1.3,319,627
"Lansing",361,2.8,212,2991
"Little.Rock",323,19.9,217,3420
"Los.Angeles",6860,9.7,1686,4852
"Louisville",802,11.6,883,3758
"Memphis",770,38,565,2691
"Miami",1150,14.9,563,4460
"Milwaukee",1344,5.3,923,1929
"Minneapolis",1677,1.8,796,3231
"Mobile",382,30.8,135,2433
"Nashville",536,18.4,329,3185
"New.Haven",726,7.7,1200,2726
"New.Orleans",1064,30.9,539,3467
"New.York",11551,12,5408,4732
"Newark",1881,13.4,2683,3261
"Norfolk",653,26.4,963,3160
"Oklahoma.City",605,9.4,283,2343
"Omaha",525,6,342,2663
"Orlando",390,16.6,321,2560
"Paterson",1353,3.8,3170,1922
"peoria",336,3.3,186,2125
"philadelphia",4829,15.7,1359,1753
"phoenix",872,5.5,94,3962
"pittsburgh",2387,6.8,783,2127
"Portland",957,3,262,3627
"Providence",749,1.9,1221,2903
"Reading",292,1.8,338,1052
"Richmond",515,26.3,430,3183
"Rochester",853,4,368,1820
"Sacramento",765,6.8,222,3793
"St.Louis",2327,14.2,565,3302
"Salt.Lake",534,1.4,504,2977
"San.Antonio",850,7.1,434,3459
"San.Bernardino",1086,4.7,40,3743
"San.Diego",1221,5.5,286,2587
"San.Francisco",2999,12.5,1210,5441
"San.Jose",985,3.2,758,3000
"Seattle",1340,4.8,317,4329
"Shreveport",299,34.1,171,1864
"South.Bend",275,5.3,302,1973
"Spokane",273,2,155,2130
"Springfield",554,3.1,481,2467
"Syracuse",625,2.6,259,1577
"Tacoma",401,5.1,239,2843
"Tampa",924,11.5,709,3247
"Toledo",678,7.3,446,2050
"trenton",NA,12.9,NA,3098
"Tucson",NA,6.3,NA,2705
"Tulsa",466,9.2,123,2840
"Utica",350,1.6,132,869
"Washington",2751,24.5,1170,4019
"Wichita",406,5.8,166,2532
"Wilkes",340,0.3,383,613
"Wilmington",488,11.7,419,2393
"Worcester",612,0.9,405,2874
"York",316,2,220,1062
"Youngstown",528,9.2,513,1698
